日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-08,67.68,68.13,66.53,68.11,1379707.0,95288294.0,42000000.0,0.0329
2021-01-11,67.72,69.56,64.39,64.87,3273373.0,224722287.0,42000000.0,0.0779
2021-01-12,64.51,64.51,58.68,60.0,5507058.0,338876869.0,42000000.0,0.1311
2021-01-13,59.51,61.27,59.03,60.62,2701634.0,166690977.0,42000000.0,0.0643
2021-01-14,61.17,66.64,60.78,66.26,4473101.0,294449673.0,42000000.0,0.1065
2021-01-15,66.05,66.05,62.23,63.69,2871594.0,187889190.0,42000000.0,0.0684
2021-01-18,63.14,66.15,62.21,65.13,2693371.0,179099344.0,42000000.0,0.0641
2021-01-19,65.08,66.78,63.41,63.41,2471300.0,163741285.0,42000000.0,0.0588
2021-01-20,62.93,63.9,62.34,63.14,1386927.0,89599441.0,42000000.0,0.033
2021-01-21,63.27,63.84,62.29,63.39,1635400.0,105618222.0,42000000.0,0.0389
2021-01-22,63.37,63.84,61.61,61.61,1796600.0,115033391.0,42000000.0,0.0428
2021-01-25,59.54,62.29,59.18,60.55,1547542.0,96011235.0,42000000.0,0.0368
2021-01-26,60.59,62.49,60.35,60.91,1415351.0,88987087.0,42000000.0,0.0337
2021-01-27,60.59,61.06,59.22,59.69,1158500.0,71094702.0,42000000.0,0.0276
2021-01-28,63.32,64.11,61.28,61.32,2865600.0,184131861.0,42000000.0,0.0682
2021-01-29,60.78,61.95,59.04,59.62,2007935.0,123057374.0,42000000.0,0.0478
2021-02-01,59.12,60.2,57.08,57.89,1658795.0,99355568.0,42000000.0,0.0395
2021-02-02,57.61,57.66,56.11,56.84,1701656.0,99092188.0,42000000.0,0.0405
2021-02-03,56.11,56.3,53.4,54.06,2376500.0,132743539.0,42000000.0,0.0566
2021-02-04,53.56,55.21,52.42,54.79,1853410.0,102314519.0,42000000.0,0.0441
2021-02-05,54.75,54.75,52.49,52.6,1425544.0,77782506.0,42000000.0,0.0339
2021-02-08,52.61,54.59,52.38,54.25,1802997.0,99493868.0,188000000.0,0.0096
2021-02-09,54.25,58.21,53.73,57.47,2710043.0,157467966.0,188000000.0,0.0144
2021-02-10,57.56,58.95,57.23,57.83,1604100.0,95425362.0,188000000.0,0.0085
2021-02-18,58.54,61.24,58.54,60.93,2411554.0,149632341.0,188000000.0,0.0128
2021-02-19,60.53,61.08,59.49,60.72,1579400.0,97814723.0,188000000.0,0.0084
2021-02-22,60.8,61.82,58.61,58.83,1982500.0,122469288.0,188000000.0,0.0105
2021-02-23,58.81,64.39,58.58,62.56,3517420.0,223018772.0,188000000.0,0.0187
2021-02-24,62.5,64.97,62.29,63.32,3207807.0,208809507.0,188000000.0,0.0171
2021-02-25,63.3,63.86,60.68,63.47,2266517.0,145120517.0,188000000.0,0.0121
2021-02-26,62.45,64.68,61.68,62.44,1970100.0,127289636.0,188000000.0,0.0105
2021-03-01,63.08,65.37,62.39,64.68,2139834.0,141151112.0,188000000.0,0.0114
2021-03-02,64.7,65.25,63.2,64.53,1674625.0,109973836.0,188000000.0,0.0089
2021-03-03,63.82,66.43,63.71,66.23,3240000.0,217912540.0,188000000.0,0.0172
2021-03-04,66.12,68.85,65.86,67.2,2698825.0,186444504.0,188000000.0,0.0144
2021-03-05,66.11,67.66,62.45,66.75,2777017.0,185687109.0,188000000.0,0.0148
2021-03-08,66.68,70.25,65.87,68.1,3165008.0,222174658.0,188000000.0,0.0168
2021-03-09,67.62,68.29,63.32,66.04,2125626.0,144513663.0,188000000.0,0.0113
2021-03-10,66.33,67.31,63.42,64.55,1771810.0,117766581.0,188000000.0,0.0094
2021-03-11,64.28,66.05,63.53,64.7,1473694.0,97755818.0,188000000.0,0.0078
2021-03-12,64.7,65.56,63.03,65.13,1409800.0,92969897.0,188000000.0,0.0075
2021-03-15,63.94,65.25,61.17,62.24,1578500.0,101826954.0,188000000.0,0.0084
2021-03-16,62.54,63.6,61.55,61.85,1050500.0,67143661.0,188000000.0,0.0056
2021-03-17,61.51,62.42,60.68,61.33,925800.0,58329568.0,188000000.0,0.0049
2021-03-18,61.8,62.41,61.22,62.38,891495.0,56553204.0,188000000.0,0.0047
2021-03-19,61.46,62.73,60.89,61.32,718656.0,45472445.0,188000000.0,0.0038
2021-03-22,61.54,61.9,60.18,60.67,896300.0,55902899.0,188000000.0,0.0048
2021-03-23,60.59,62.28,60.34,60.56,989710.0,62111145.0,188000000.0,0.0053
2021-03-24,60.2,60.91,58.52,58.64,1309370.0,79714579.0,188000000.0,0.007
2021-03-25,58.54,59.37,58.03,59.07,759133.0,45885813.0,188000000.0,0.004
2021-03-26,59.16,60.93,58.89,60.54,839800.0,51808465.0,188000000.0,0.0045
2021-03-29,60.6,61.67,60.01,61.08,909000.0,56765720.0,188000000.0,0.0048
2021-03-30,61.03,61.52,60.13,60.39,852100.0,52939872.0,188000000.0,0.0045
2021-03-31,60.55,63.9,59.81,63.4,1982825.0,126449816.0,188000000.0,0.0105
2021-04-01,64.39,66.91,63.98,65.48,2079595.0,139316548.0,188000000.0,0.0111
2021-04-02,66.34,72.02,66.33,72.02,5494985.0,399100672.0,188000000.0,0.0292
2021-04-06,73.17,73.23,69.79,70.83,4469708.0,323903441.0,188000000.0,0.0238
2021-04-07,72.39,73.15,69.42,71.57,3477880.0,254425709.0,188000000.0,0.0185
2021-04-08,71.12,75.88,70.39,74.15,5739310.0,434229164.0,188000000.0,0.0305
2021-04-09,72.24,74.64,72.24,74.52,2940849.0,223153844.0,188000000.0,0.0156
2021-04-12,74.44,81.76,73.95,77.79,6307220.0,506937056.0,188000000.0,0.0335
2021-04-13,77.08,79.02,76.3,77.76,3262047.0,259709719.0,188000000.0,0.0174
2021-04-14,77.76,78.04,75.14,77.02,2342538.0,183849082.0,188000000.0,0.0125
2021-04-15,77.02,78.42,75.12,77.56,1877017.0,147935826.0,188000000.0,0.01
2021-04-16,77.61,78.03,75.4,77.08,2693291.0,212396752.0,188000000.0,0.0143
2021-04-19,76.56,78.73,76.51,77.16,2430929.0,193051745.0,188000000.0,0.0129
2021-04-20,76.86,79.61,75.03,75.32,3651055.0,287755503.0,188000000.0,0.0194
2021-04-21,75.14,76.38,73.17,73.61,2722715.0,208162745.0,188000000.0,0.0145
2021-04-22,75.23,76.88,73.67,76.0,3090461.0,240242082.0,188000000.0,0.0164
2021-04-23,75.58,78.27,75.58,77.37,2229200.0,176579943.0,188000000.0,0.0119
2021-04-26,77.37,81.64,77.37,80.96,4635516.0,380622896.0,188000000.0,0.0247
2021-04-27,79.9,79.9,76.47,78.04,3061434.0,243855894.0,188000000.0,0.0163
2021-04-28,77.91,81.34,77.19,81.17,2693567.0,221781164.0,188000000.0,0.0143
