证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
瑞芯微,福州瑞芯微电子股份有限公司,,,,,,37028.0,37028.0,,,,,,,,22428.0,,,,,,定期报告,2020-04-23,14600.0,603893,2019-12-31,,,,,,,,37028.0,,,,,,,,,015019
瑞芯微,福州瑞芯微电子股份有限公司,,,,,0.0,0.0,0.0,,37028.0,,0.0,,,11918.04,,4200.0,2681.96,,,,A股上市,2020-02-06,,603893,2020-02-07,,,,,37028.0,,,41228.0,,,,,,4200.0,22428.0,34346.04,015001
瑞芯微,瑞芯微电子股份有限公司,,,,,,,,,37028.0,,,,,11918.04,,4200.0,2681.96,,,,定期报告,2020-08-28,,603893,2020-06-30,,,,,37028.0,,,41228.0,,,,,,4200.0,22428.0,34346.04,015019
瑞芯微,瑞芯微电子股份有限公司,,,,,0.0,0.0,0.0,,37387.8,,0.0,,,11918.04,,4200.0,2681.96,,,,"股权激励,增发新股上市",2020-11-10,,603893,2020-11-06,,,,,37387.8,,,41587.8,,,,,,4200.0,22787.8,34705.84,"015025,015004"
瑞芯微,瑞芯微电子股份有限公司,,,,,,,,,37387.8,,,,,11918.04,,4200.0,2681.96,,,,定期报告,2021-04-27,,603893,2020-12-31,,,,,37387.8,,,41587.8,,,,,,4200.0,22787.8,34705.84,015019
瑞芯微,瑞芯微电子股份有限公司,,,,,,,,,22787.8,,,,,,,18800.0,,,,,限售股份上市,2021-02-03,,603893,2021-02-08,,,,,22787.8,,,41587.8,,,,,,18800.0,22787.8,22787.8,015027
瑞芯微,瑞芯微电子股份有限公司,,,,,,0.0,0.0,,22880.7,,0.0,,,,,18800.0,,,,,"增发新股上市,股权激励",2021-03-26,,603893,2021-03-24,,,,,22880.7,,,41680.7,,,,,,18800.0,22880.7,22880.7,"015004,015025"
瑞芯微,瑞芯微电子股份有限公司,,,,,,,,,22880.7,,,,,,,18800.0,,,,,定期报告,2021-08-27,,603893,2021-06-30,,,,,22880.7,,,41680.7,,,,,,18800.0,22880.7,22880.7,015019
瑞芯微,瑞芯微电子股份有限公司,,,,,,,,,22772.76,,,,,,,18907.94,,,,,激励股份解禁,2021-11-03,,603893,2021-11-08,,,,,22772.76,,,41680.7,,,,,,18907.94,22772.76,22772.76,015998
瑞芯微,瑞芯微电子股份有限公司,,,,,0.0,0.0,0.0,,22769.96,,0.0,,,,,18950.0582,,,,,"股份回购,期权行权",2021-12-16,,603893,2021-12-20,,,,,22769.96,,,41720.0182,,,,,,18950.0582,22769.96,22769.96,"015016,015992"
瑞芯微,瑞芯微电子股份有限公司,,,,,0.0,0.0,0.0,,22769.96,,0.0,,,,,18955.16,,,,,"定期报告,期权行权",2022-03-22,,603893,2021-12-31,,,,,22769.96,,,41725.12,,,,,,18955.16,22769.96,22769.96,"015019,015992"
瑞芯微,瑞芯微电子股份有限公司,,,,,,,,,22742.93,,,,,,,18984.59,,,,,"期权行权,激励股份解禁",2022-03-23,,603893,2022-03-28,,,,,22742.93,,,41727.52,,,,,,18984.59,22742.93,22742.93,"015992,015998"
瑞芯微,瑞芯微电子股份有限公司,,,,,,0.0,0.0,,22742.93,,0.0,,,,,18984.79,,,,,期权行权,2022-04-02,,603893,2022-03-31,,,,,22742.93,,,41727.72,,,,,,18984.79,22742.93,22742.93,015992
瑞芯微,瑞芯微电子股份有限公司,,,,,,0.0,0.0,,22749.93,,0.0,,,,,18984.79,,,,,"增发新股上市,股权激励",2022-05-07,,603893,2022-05-05,,,,,22749.93,,,41734.72,,,,,,18984.79,22749.93,22749.93,"015004,015025"
瑞芯微,瑞芯微电子股份有限公司,,,,,,0.0,0.0,,22749.93,,0.0,,,,,18985.03,,,,,期权行权,2022-06-02,,603893,2022-05-31,,,,,22749.93,,,41734.96,,,,,,18985.03,22749.93,22749.93,015992
