SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
688235.SH,688235,百济神州,10426756,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-11-13 00:00:00,2025-11-13 00:00:00,CNY,27595233000,44.2069357019,27595233000.0,44.2069357019,,,,,,,,,,,26135552000.0,14.4915262071,3721495000.0,21.086168632,,,,,11159244000.0,9.7710528288,,,,,,,,,,,,,90053000.0,-12.2213449523,7747123000.0,22.0366453829,3300203000.0,4.663785101,,,117434000.0,843.9123273787,243584000.0,101.235914213,89562000.0,-35.4949764125,,,,,,,-17657000.0,37.79680124,74199000.0,-68.1879764365,-24896000.0,55.1059417546,,,,,-80000.0,-102.8520499109,-149739000.0,-426.582501055,-4336000.0,-152.5894481504,182577000.0,95.41581933,,,0.0,,1544645000,145.2876529506,404000.0,121.978021978,,,1830000.0,129.0362953692,,,,,0.0,,1543219000,145.2376604163,404623000.0,46.9566164854,,,,,,,1138596000.0,130.8839301553,,,1138596000.0,130.8839301553,,,1138596000,130.8839301553,,,969458000.0,124.2959507835,,,,,0.81,129.889298893,0.77,128.4132841328,-171941000.0,-37.2333208291,-171941000.0,-37.2333208291,,,,,,,-124224000.0,-10.7155907701,,,,,4895000.0,,,,-129119000.0,-15.0782969849,,,-47717000.0,-264.5301757066,,,,,,,,,,,,,,,-47717000.0,-1069.5343137255,,,,,,,,,966655000.0,125.3583106964,966655000.0,125.3583106964,,,,,,,,,,,,,
688235.SH,688235,百济神州,10426756,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,17518269000,46.0293107786,17518269000.0,46.0293107786,,,,,,,,,,,16821863000.0,12.7429905352,2317150000.0,24.0136283065,,,,,7277637000.0,9.8016185005,,,,,,,,,,,,,56286000.0,-28.5384185669,5021371000.0,20.4222886362,2138952000.0,1.6569649178,,,10467000.0,-85.3475187233,120636000.0,67.6128548206,53645000.0,-50.98003381,,,,,,,-31805000.0,-98.2484572711,109102000.0,-33.5161453477,-20805000.0,39.9878850813,,,,,-44000.0,-101.5924719508,-149725000.0,-748.3002832861,-369000.0,-104.2723167767,175375000.0,109.3954843409,,,0.0,,798940000,129.606039641,230000.0,42.8571428571,,,2403000.0,283.2535885167,,,,,0.0,,796767000,129.5204178379,346983000.0,94.5495424778,,,,,,,449784000.0,115.6316716301,,,449784000.0,115.6316716301,,,449784000,115.6316716301,,,261105000.0,108.3560552238,,,,,0.32,115.0943396226,0.31,114.6226415094,-50040000.0,-131.4631892004,-50040000.0,-131.4631892004,,,,,,,-168064000.0,-453.4394649955,,,,,2167000.0,,,,-170231000.0,-457.9966772518,,,118024000.0,5.8587163205,,,,,,,,,,,,,,,118024000.0,-2.0563974042,,,,,,,,,399744000.0,114.7054127767,399744000.0,114.7054127767,,,,,,,,,,,,,
688235.SH,688235,百济神州,10426756,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-05-14 00:00:00,2025-05-14 00:00:00,CNY,8047870000,50.1653749026,8047870000.0,50.1653749026,,,,,,,,,,,7908399000.0,8.1516196078,1137785000.0,29.2521836728,,,,,3473599000.0,4.3704225627,,,,,,,,,,,,,26056000.0,-54.9850560614,2261979000.0,14.3696540412,1027684000.0,-3.0446546838,,,-18704000.0,-325.8937198068,56567000.0,75.663002298,26707000.0,-60.4826657591,,,,,,,-14380000.0,8.2849671535,71471000.0,-25.0545279141,-7172000.0,-18.0576131687,,,,,-21000.0,94.9029126214,-143238000.0,-970.0582698342,379000.0,181.5053763441,96991000.0,67.4539458918,,,0.0,,150673000,108.2350947861,99000.0,106.25,,,358000.0,-23.991507431,,,,,0.0,,150414000,108.2190388554,244917000.0,214.0444683798,,,,,,,-94503000.0,95.047157945,,,-94503000.0,95.047157945,,,-94503000,95.047157945,,,-196160000.0,90.4149951381,,,,,-0.07,95.0354609929,-0.07,95.0354609929,-27450000.0,-131.9390307755,-27450000.0,-131.9390307755,,,,,,,-23407000.0,-793.7462951986,,,,,,,,,-23407000.0,-793.7462951986,,,-4043000.0,-104.8963921958,,,,,,,,,,,,,,,-4043000.0,-104.8816121515,,,,,,,,,-121953000.0,93.3070488022,-121953000.0,93.3070488022,,,,,,,,,,,,,
688235.SH,688235,百济神州,10426756,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-29 00:00:00,2025-04-29 00:00:00,CNY,27213955000,56.1924909478,27213955000.0,56.1924909478,,,,,,,,,,,31778399000.0,19.7075981427,4234101000.0,57.4551994118,,,,,14139839000.0,10.3515110252,,,,,,,,,,,,,127803000.0,79.3046845406,8855655000.0,21.236305281,4277852000.0,23.2216637977,,,143149000.0,-27.2402435677,174975000.0,242.082111437,168452000.0,-48.9449660849,,,,,,,-98447000.0,-94.0721903523,296402000.0,77.0304007645,-73195000.0,-30.4793482717,,,,,2660000.0,477.0065075922,-29258000.0,-34.9352026934,7288000.0,155.2917077612,223803000.0,-3.0253266027,,,0.0,,-4161996000,52.7596473928,430000.0,-99.9834845838,,,1084000.0,-34.103343465,,,,,0.0,,-4162650000,32.9499524264,815637000.0,60.689420118,,,,,,,-4978287000.0,25.872669453,,,-4978287000.0,25.872669453,,,-4978287000,25.872669453,,,-5379293000.0,44.4395705048,,,,,-3.64,26.4646464646,-3.64,26.4646464646,262518000.0,-57.9110565284,262518000.0,-57.9110565284,,,,,,,181169000.0,-39.3716597673,,,,,-14016000.0,64.8325178773,,,195185000.0,-42.3678817978,,,81349000.0,-74.9620656011,,,,,,,,,-9010000.0,-114.25926219,,,,,90359000.0,-65.4744073729,,,,,,,,,-4715769000.0,22.5925319802,-4715769000.0,22.5925319802,,,,,,,,,,,,,标准无保留意见
688235.SH,688235,百济神州,10426756,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-11-13 00:00:00,2025-11-13 00:00:00,CNY,19135857000,48.625291218,19135857000.0,48.625291218,,,,,,,,,,,22827499000.0,17.9134248114,3073427000.0,61.7295235088,,,,,10165926000.0,10.7707525601,,,,,,,,,,,,,102591000.0,152.5938692601,6348194000.0,22.8797741001,3153147000.0,18.3856375969,,,-15786000.0,-103.8362649273,121044000.0,181.3668061367,138845000.0,-43.1966485429,,,,,,,-28386000.0,48.3599847187,233242000.0,55.1295950197,-55455000.0,-46.215097424,,,,,2805000.0,508.4598698482,-28436000.0,-396.5252313602,8245000.0,522.8205128205,93430000.0,-55.4836619369,,,0.0,,-3410742000,44.8658478628,182000.0,-99.9930096977,,,799000.0,10.6648199446,,,,,0.0,,-3411359000,4.8003906931,275335000.0,-6.5805991925,,,,,,,-3686694000.0,4.935683794,,,-3686694000.0,4.935683794,,,-3686694000,4.935683794,,,-3990204000.0,41.175509742,,,,,-2.71,4.9122807018,-2.71,4.9122807018,-125291000.0,-114.5875320617,-125291000.0,-114.5875320617,,,,,,,-112201000.0,-146.2846771033,,,,,,,,,-112201000.0,-146.2846771033,,,-13090000.0,-102.1233592224,,,,,,,,,-9010000.0,-115.7382661706,,,,,-4080000.0,-100.7295785075,,,,,,,,,-3811985000.0,-26.2575292775,-3811985000.0,-26.2575292775,,,,,,,,,,,,,
688235.SH,688235,百济神州,10426756,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-30 00:00:00,2025-08-30 00:00:00,CNY,11996406000,65.4396469122,11996406000.0,65.4396469122,,,,,,,,,,,14920540000.0,18.1400488506,1868464000.0,57.0339715947,,,,,6627987000.0,12.6773294401,,,,,,,,,,,,,78764000.0,204.8142414861,4169802000.0,22.3993885024,2104088000.0,22.6990087104,,,71435000.0,-82.57776412,71973000.0,-6.0711256117,109435000.0,-31.71579394,,,,,,,-16043000.0,-602.7577561893,164103000.0,59.2490878037,-34668000.0,-81.3843980537,,,,,2763000.0,499.3492407809,-17650000.0,-370.6666666667,8637000.0,659.0291262136,83753000.0,-56.4591510488,,,0.0,,-2698571000,46.9260394434,161000.0,-44.4827586207,,,627000.0,27.9591836735,,,,,0.0,,-2699037000,46.9189623557,178352000.0,32.9259021867,,,,,,,-2877389000.0,44.866219499,,,-2877389000.0,44.866219499,,,-2877389000,44.866219499,,,-3124740000.0,43.2038424662,,,,,-2.12,44.9350649351,-2.12,44.9350649351,159043000.0,-79.5184136342,159043000.0,-79.5184136342,,,,,,,47551000.0,-86.4415043768,,,,,,,,,47551000.0,-86.4415043768,,,111492000.0,-73.8163064487,,,,,,,,,-9010000.0,-118.8442473804,,,,,120502000.0,-68.1206579999,,,,,,,,,-2718346000.0,38.8091360423,-2718346000.0,38.8091360423,,,,,,,,,,,,,
688235.SH,688235,百济神州,10426756,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-05-11 00:00:00,2025-05-14 00:00:00,CNY,5359338000,74.7768466427,5359338000.0,74.7768466427,,,,,,,,,,,7312326000.0,29.6413321826,880283000.0,58.0383335188,,,,,3328145000.0,18.0969687163,,,,,,,,,,,,,57883000.0,403.9000609385,1977779000.0,32.6028188958,1059956000.0,30.0608980219,,,8280000.0,115.7157499146,32202000.0,-12.1771620258,67583000.0,-25.1025112485,,,,,,,-15679000.0,-8910.9195402299,95364000.0,90.4119162191,-6075000.0,-511.7824773414,,,,,-412000.0,,-13386000.0,,-465000.0,69.5879659908,57921000.0,-56.5711929219,,,0.0,,-1829645000,23.5190647953,48000.0,,,,471000.0,995.3488372093,,,,,0.0,,-1830068000,23.5027579784,77988000.0,43.7619820086,,,,,,,-1908056000.0,22.0112974029,,,-1908056000.0,22.0112974029,,,-1908056000,22.0112974029,,,-2046530000.0,21.700967504,,,,,-1.41,22.0994475138,-1.41,22.0994475138,85945000.0,194.9018352068,85945000.0,194.9018352068,,,,,,,3374000.0,112.9804178048,,,,,,,,,3374000.0,112.9804178048,,,82571000.0,227.8802521334,,,,,,,,,-250000.0,-100.7232122194,,,,,82821000.0,183.5419671767,,,,,,,,,-1822111000.0,28.1825376743,-1822111000.0,28.1825376743,,,,,,,,,,,,,
688235.SH,688235,百济神州,10426756,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,17423344000,82.1304525031,17423344000.0,82.1304525031,,,,,,,,,,,26546685000.0,14.7820367159,2689083000.0,41.8572545428,,,,,12813453000.0,14.8973653898,,,,,,,,,,,,,71277000.0,-9.4308695155,7304458000.0,21.7999990662,3471672000.0,28.7995945694,,,196742000.0,-84.9700534759,51150000.0,-69.4619573005,329942000.0,-20.8229145169,,,,,,,-50727000.0,68.5827005735,167430000.0,162.3472265747,-56097000.0,-120.2300565327,,,,,461000.0,256.2711864407,-21683000.0,-182.6619736671,-13181000.0,-1050.3244412401,230785000.0,-4.047480459,,,0.0,,-8810256000,34.3752395216,2603628000.0,1438368.50828729,,,1645000.0,-15.3371075656,,,,,0.0,,-6208273000,53.7626416339,507586000.0,136.0008926994,,,,,,,-6715859000.0,50.7708633921,,,-6715859000.0,50.7708633921,,,-6715859000,50.7708633921,,,-9681878000.0,29.9651260705,,,,,-4.95,51.3752455796,-4.95,51.3752455796,623722000.0,-73.3470816575,623722000.0,-73.3470816575,,,,,,,298819000.0,-73.0919749307,,,,,-39855000.0,-1664.7820965842,,,338674000.0,-69.4330096492,,,324903000.0,-73.577474456,,,,,,,,,63187000.0,314.3821673339,,,,,261716000.0,-79.2143389261,,,,,,,,,-6092137000.0,46.0962369348,-6092137000.0,46.0962369348,,,,,,,,,,,,,标准无保留意见
688235.SH,688235,百济神州,10426756,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-11-14 00:00:00,2024-11-13 00:00:00,CNY,12875236000,87.4460201754,12875236000.0,87.4460201754,,,,,,,,,,,19359542000.0,11.5466090037,1900350000.0,34.994214077,,,,,9177446000.0,14.4694045273,,,,,,,,,,,,,40615000.0,-37.2169235288,5166183000.0,17.9089499446,2663454000.0,37.0565396936,,,411494000.0,-73.2958929588,43020000.0,-65.7306727208,244431000.0,-18.9474452119,,,,,,,-54969000.0,58.1755790243,150353000.0,683.9459825851,-37927000.0,-103.4928640412,,,,,461000.0,298.7068965517,-5727000.0,,-1950000.0,-297.7687626775,209878000.0,-15.8653865427,,,0.0,,-6186260000,40.2226318658,2603607000.0,3425698.68421053,,,722000.0,16.6397415186,,,,,0.0,,-3583375000,65.3759318436,294730000.0,249.7365673059,,,,,,,-3878105000.0,62.8307855507,,,-3878105000.0,62.8307855507,,,-3878105000,62.8307855507,,,-6783236000.0,35.6933608146,,,,,-2.85,63.4615384615,-2.85,63.4615384615,858891000.0,-67.6789932328,858891000.0,-67.6789932328,,,,,,,242415000.0,-90.0656633771,,,,,,,,,242415000.0,-90.0656633771,,,616476000.0,183.8235023296,,,,,,,,,57249000.0,181.575685034,,,,,559227000.0,94.5929299924,,,,,,,,,-3019214000.0,61.1740125826,-3019214000.0,61.1740125826,,,,,,,,,,,,,
688235.SH,688235,百济神州,10426756,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-30 00:00:00,2024-08-30 00:00:00,CNY,7251228000,72.2278038332,7251228000.0,72.2278038332,,,,,,,,,,,12629536000.0,18.2944775243,1189847000.0,32.4655906999,,,,,5882272000.0,17.2761374432,,,,,,,,,,,,,25840000.0,-6.1489848545,3406718000.0,20.8619622271,1714837000.0,36.2714339978,,,410022000.0,-37.6639843347,76625000.0,-6.1278743553,160264000.0,-18.7919939194,,,,,,,3191000.0,102.2213868527,103048000.0,1399.5343422584,-19113000.0,-137.2811918063,,,,,461000.0,197.4630021142,-3750000.0,,-1545000.0,-212.5273124545,192355000.0,11.8733279051,,,0.0,,-5084548000,20.9250461428,290000.0,4042.8571428571,,,490000.0,-17.3693086003,,,,,0.0,,-5084748000,20.9291418466,134174000.0,-42.4624990351,,,,,,,-5218922000.0,21.6826815146,,,-5218922000.0,21.6826815146,,,-5218922000,21.6826815146,,,-5501675000.0,17.6021590648,,,,,-3.85,22.8456913828,-3.85,22.8456913828,776517000.0,-34.3420951389,776517000.0,-34.3420951389,,,,,,,350710000.0,-70.6818633999,,,,,,,,,350710000.0,-70.6818633999,,,425807000.0,3242.2551841193,,,,,,,,,47813000.0,160.7805250111,,,,,377994000.0,480.5111036029,,,,,,,,,-4442405000.0,18.9511498054,-4442405000.0,18.9511498054,,,,,,,,,,,,,
