日期,688235.SH_close,688235.SH_volume,688235.SH_turnover
2024-04-15,124.1,188978666.0,1.31
2024-04-16,120.17,194229524.0,1.39
2024-04-17,120.01,200459777.0,1.45
2024-04-18,118.21,187622332.0,1.37
2024-04-19,116.3,155368467.0,1.16
2024-04-22,119.9,176277661.0,1.29
2024-04-23,125.05,246761777.0,1.75
2024-04-24,124.42,210310336.0,1.47
2024-04-25,129.2,271717455.0,1.84
2024-04-26,130.77,158812363.0,1.06
2024-04-29,134.5,265292483.0,1.73
2024-04-30,133.31,141275145.0,0.92
2024-05-06,137.5,223632612.0,1.41
2024-05-07,138.4,255569741.0,1.6
2024-05-08,134.35,196940100.0,1.26
2024-05-09,138.46,367388257.0,2.29
2024-05-10,137.44,158368129.0,0.99
2024-05-13,131.41,270744259.0,1.78
2024-05-14,132.93,144291667.0,0.94
2024-05-15,131.85,141173172.0,0.92
2024-05-16,131.63,131860063.0,0.86
2024-05-17,133.37,148330175.0,0.97
2024-05-20,132.1,139785551.0,0.92
2024-05-21,128.85,135507311.0,0.91
2024-05-22,129.1,78524897.0,0.53
2024-05-23,126.27,109713485.0,0.75
2024-05-24,121.47,212113943.0,1.51
2024-05-27,123.0,136747850.0,0.98
2024-05-28,124.84,139711315.0,0.98
2024-05-29,122.06,90596559.0,0.64
2024-05-30,122.42,74685483.0,0.53
2024-05-31,121.52,153043934.0,1.08
2024-06-03,120.95,150096163.0,1.08
2024-06-04,124.89,224937111.0,1.58
2024-06-05,127.54,232461044.0,1.57
2024-06-06,124.39,209856106.0,1.44
2024-06-07,124.12,146464231.0,1.02
2024-06-11,126.97,217552324.0,1.5
2024-06-12,126.01,150756405.0,1.04
2024-06-13,130.4,240820184.0,1.61
2024-06-14,130.0,201947495.0,1.36
2024-06-17,127.9,137051410.0,0.93
2024-06-18,126.11,133228723.0,0.91
2024-06-19,124.1,98548177.0,0.69
2024-06-20,122.01,144044242.0,1.01
2024-06-21,123.0,122169127.0,0.87
2024-06-24,121.47,107957285.0,0.77
2024-06-25,121.0,132198588.0,0.95
2024-06-26,121.34,135999575.0,0.99
2024-06-27,116.16,182856973.0,1.35
2024-06-28,115.84,141006202.0,1.05
2024-07-01,113.6,147067813.0,1.12
2024-07-02,113.84,124324323.0,0.95
2024-07-03,116.1,126392357.0,0.95
2024-07-04,113.82,78834390.0,0.6
2024-07-05,119.2,198243581.0,1.48
2024-07-08,113.07,155804561.0,1.17
2024-07-09,113.94,166750357.0,1.28
2024-07-10,116.69,167051344.0,1.25
2024-07-11,119.9,171941144.0,1.25
2024-07-12,122.71,172529996.0,1.23
2024-07-15,120.95,119996526.0,0.87
2024-07-16,121.96,124402476.0,0.89
2024-07-17,126.88,219056844.0,1.51
2024-07-18,127.49,157524809.0,1.07
2024-07-19,128.48,173659899.0,1.19
2024-07-22,129.0,185044725.0,1.26
2024-07-23,124.45,147245087.0,1.01
2024-07-24,123.93,99876084.0,0.7
2024-07-25,124.85,166808616.0,1.15
2024-07-26,125.39,134410691.0,0.93
2024-07-29,124.29,98530208.0,0.69
2024-07-30,123.11,80987321.0,0.57
2024-07-31,129.7,214935432.0,1.47
2024-08-01,129.7,114497655.0,0.77
2024-08-02,129.18,190712898.0,1.27
2024-08-05,131.01,252615467.0,1.65
2024-08-06,137.08,351339440.0,2.25
2024-08-07,137.5,242577067.0,1.54
2024-08-08,140.88,484379575.0,3.01
2024-08-09,140.01,247934378.0,1.54
2024-08-12,141.0,313877920.0,1.94
2024-08-13,142.0,278323387.0,1.71
2024-08-14,140.7,226965237.0,1.41
2024-08-15,142.49,277422660.0,1.69
2024-08-16,147.3,347557249.0,2.07
2024-08-19,148.23,196817878.0,1.16
2024-08-20,147.22,215108751.0,1.27
2024-08-21,150.66,312416196.0,1.8
2024-08-22,152.6,283766845.0,1.62
2024-08-23,148.0,445898501.0,2.62
2024-08-26,151.12,279218715.0,1.61
2024-08-27,151.19,154844819.0,0.89
2024-08-28,151.67,185655221.0,1.07
2024-08-29,149.18,369299647.0,2.16
2024-08-30,145.48,327592662.0,1.94
2024-09-02,144.4,316678728.0,1.9
2024-09-03,148.07,315606828.0,1.85
2024-09-04,147.0,160078787.0,0.94
2024-09-05,147.6,177174231.0,1.03
2024-09-06,146.0,151934428.0,0.9
2024-09-09,146.21,229746340.0,1.35
2024-09-10,150.45,244364539.0,1.43
2024-09-11,161.1,542729639.0,2.99
2024-09-12,144.01,724539505.0,4.16
2024-09-13,151.0,545484265.0,3.18
2024-09-18,154.35,330710660.0,1.86
2024-09-19,151.76,296303457.0,1.68
2024-09-20,152.0,233964210.0,1.34
2024-09-23,146.14,241558597.0,1.42
2024-09-24,146.0,372398402.0,2.22
2024-09-25,146.52,298007167.0,1.74
2024-09-26,152.35,285001926.0,1.67
2024-09-27,159.75,228277495.0,1.27
2024-09-30,180.46,877918396.0,4.42
2024-10-08,191.0,1386750157.0,6.28
2024-10-09,188.3,1155366033.0,5.24
2024-10-10,185.68,670083443.0,3.07
2024-10-11,174.74,570038357.0,2.8
2024-10-14,178.9,502003355.0,2.5
2024-10-15,174.95,415658957.0,2.02
2024-10-16,172.26,213455168.0,1.07
2024-10-17,171.0,299663566.0,1.5
2024-10-18,180.21,600017430.0,2.96
2024-10-21,186.72,666472684.0,3.15
2024-10-22,178.68,464478289.0,2.24
2024-10-23,180.38,267414805.0,1.29
2024-10-24,179.04,216730080.0,1.05
2024-10-25,172.6,1211926121.0,6.14
2024-10-28,172.74,688368376.0,3.42
2024-10-29,175.0,576735044.0,2.85
2024-10-30,173.58,376790864.0,1.88
2024-10-31,167.1,554013489.0,2.86
2024-11-01,168.5,328694067.0,1.69
2024-11-04,170.92,396549962.0,2.01
2024-11-05,175.42,508908905.0,2.55
2024-11-06,179.88,621174715.0,2.99
2024-11-07,179.88,423147364.0,2.08
2024-11-08,181.34,470155234.0,2.24
2024-11-11,186.92,555536940.0,2.63
2024-11-12,178.0,1143836039.0,5.55
2024-11-13,175.73,753466216.0,3.77
2024-11-14,168.82,509561241.0,2.59
2024-11-15,165.32,333129189.0,1.72
2024-11-18,156.21,633824907.0,3.45
2024-11-19,156.64,390946711.0,2.18
2024-11-20,166.4,624765079.0,3.28
2024-11-21,169.28,587227182.0,2.98
2024-11-22,166.43,387807853.0,2.0
2024-11-25,164.9,339594349.0,1.76
2024-11-26,165.55,309075136.0,1.6
2024-11-27,176.32,573843905.0,2.88
2024-11-28,176.0,367853755.0,1.8
2024-11-29,181.38,488187845.0,2.35
2024-12-02,181.33,384522308.0,1.85
2024-12-03,178.16,351822282.0,1.72
2024-12-04,172.58,320384103.0,1.6
2024-12-05,170.95,239982873.0,1.22
2024-12-06,172.3,262129912.0,1.33
2024-12-09,168.91,239129640.0,1.22
2024-12-10,166.28,366718189.0,1.88
2024-12-11,161.89,534028563.0,2.89
2024-12-12,163.66,324951913.0,1.73
2024-12-13,162.01,424091548.0,2.25
2024-12-16,164.79,345324330.0,1.84
