证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
百济神州,百济神州有限公司,,,,,0.0,0.0,0.0,,2208.8697,419.6863,240.7263,,121553.7338,1968.1434,,9296.6563,,,,,A股上市,2021-12-14,,688235,2021-12-15,,,,,2208.8697,,,133478.9461,,,,240.7263,,131270.0764,,1968.1434,015001
百济神州,百济神州有限公司,,,,,0.0,0.0,0.0,,3934.6697,419.6863,240.7263,,121553.7338,2733.4453,,7570.8563,960.4981,,,,"超额配售,股份回购",2021-12-22,,688235,2021-12-20,,,,,3934.6697,,,133478.9461,,,,240.7263,,129544.2764,,2733.4453,"015029,015016"
百济神州,百济神州有限公司,,,,,0.0,0.0,0.0,,3895.2397,333.7394,241.2294,,121641.1627,2176.9373,,7610.2863,1477.073,,,,定期报告,2022-04-29,,688235,2021-12-31,,,,,3895.2397,,,133480.4281,,,,241.2294,,129585.1884,,2176.9373,015019
百济神州,百济神州有限公司,,,,,0.0,0.0,0.0,,3451.6578,1225.8696,240.7263,,122201.1559,2250.4334,,8053.8682,960.4981,,,,限售股份上市,2022-06-08,,688235,2022-06-15,,,,,3451.6578,,,134932.5515,,,,240.7263,,131480.8937,,2250.4334,015027
百济神州,百济神州有限公司,,,,,0.0,0.0,0.0,,3451.6578,551.6077,240.7263,,122906.8102,2250.4334,,8053.8682,960.4981,,,,"期权行权,定期报告,增发新股上市,股权激励",2022-08-31,,688235,2022-06-30,,,,,3451.6578,,,134963.9439,,,,240.7263,,131512.2861,,2250.4334,"015992,015019,015004,015025"
百济神州,百济神州有限公司,,,,,,,,,460.2212,551.6077,,,122906.8102,230.1106,,11045.3048,230.1106,,,,限售股份上市,2022-12-08,,688235,2022-12-15,,,,,460.2212,,,134963.9439,,,,,,134503.7227,,230.1106,015027
百济神州,百济神州有限公司,,,,,0.0,0.0,0.0,,415.1012,470.9804,0.0,,123637.5116,230.1106,,11090.4248,184.9906,,,,"定期报告,期权行权",2023-04-26,,688235,2022-12-31,,,,,415.1012,,,135614.018,,,,,,135198.9168,,230.1106,"015019,015992"
百济神州,百济神州有限公司,,,,,0.0,0.0,0.0,,448.1012,470.9804,0.0,,125648.6272,230.1106,,11057.4248,217.9906,,,,"定期报告,期权行权",2023-08-30,,688235,2023-06-30,,,,,448.1012,,,137625.1336,,,,,,137177.0324,,230.1106,"015019,015992"
百济神州,百济神州有限公司,,,,,0.0,0.0,0.0,,448.1012,539.181,0.0,,123905.0554,230.1106,,11057.4248,217.9906,,,,"股份回购,期权行权",2023-12-08,,688235,2023-11-30,,,,,448.1012,,,135949.7624,,,,,,135501.6612,,230.1106,"015016,015992"
百济神州,百济神州有限公司,,,,,0.0,0.0,0.0,,0.0,539.181,0.0,,123905.0554,,,11505.526,,,,,限售股份上市,2023-12-08,,688235,2023-12-15,,,,,0.0,,,135949.7624,,,,,,135949.7624,,0.0,015027
百济神州,百济神州有限公司,,,,,,,,,,,,,124445.7964,,,11505.526,,,,,"定期报告,期权行权",2024-04-27,,688235,2023-12-31,,,,,,,,135951.3224,,,,,,135951.3224,,,"015019,015992"
百济神州,百济神州有限公司,,,,,,0.0,0.0,,,,0.0,,126404.6641,,,11505.526,,,,,"定期报告,期权行权",2024-08-30,,688235,2024-06-30,,,,,,,,137910.1901,,,,,,137910.1901,,0.0,"015019,015992"
百济神州,百济神州有限公司,,,,,,0.0,0.0,,,,0.0,,127231.2444,,,11505.526,,,,,"定期报告,期权行权",2025-04-29,,688235,2024-12-31,,,,,,,,138736.7704,,,,,,138736.7704,,0.0,"015019,015992"
百济神州,百济神州有限公司,,,,,,0.0,0.0,,,,0.0,,127881.2444,,,11505.526,,,,,期权行权,2025-03-07,,688235,2025-02-20,,,,,,,,139386.7704,,,,,,139386.7704,,0.0,015992
百济神州,百济神州有限公司,,,,,,0.0,0.0,,,,0.0,,128822.6563,,,11505.526,,,,,期权行权,2025-05-15,,688235,2025-03-31,,,,,,,,140328.1823,,,,,,140328.1823,,0.0,015992
百济神州,百济神州有限公司,,,,,,0.0,0.0,,,,0.0,,131314.8044,,,11505.526,,,,,"定期报告,期权行权",2025-08-30,,688235,2025-06-30,,,,,,,,142820.3304,,,,,,142820.3304,,0.0,"015019,015992"
