日期,收盘价
2022-12-27,23.25
2022-12-28,22.89
2022-12-29,22.75
2022-12-30,22.69
2023-01-03,23.10
2023-01-04,22.97
2023-01-05,23.26
2023-01-06,23.35
2023-01-09,23.30
2023-01-10,23.09
2023-01-11,22.95
2023-01-12,23.55
2023-01-13,23.45
2023-01-16,23.99
2023-01-17,24.84
2023-01-18,24.63
2023-01-19,24.79
2023-01-20,25.02
2023-01-30,24.87
2023-01-31,25.03
2023-02-01,25.38
2023-02-02,25.43
2023-02-03,25.11
2023-02-06,24.93
2023-02-07,25.10
2023-02-08,25.26
2023-02-09,25.40
2023-02-10,25.15
2023-02-13,25.39
2023-02-14,26.10
2023-02-15,25.78
2023-02-16,25.30
2023-02-17,25.52
2023-02-20,25.22
2023-02-21,25.14
2023-02-22,24.82
2023-02-23,24.93
2023-02-24,24.71
2023-02-27,24.91
2023-02-28,24.80
2023-03-01,24.91
2023-03-02,24.62
2023-03-03,24.47
2023-03-06,24.42
2023-03-07,23.80
2023-03-08,23.91
2023-03-09,23.85
2023-03-10,23.39
2023-03-13,23.29
2023-03-14,23.16
2023-03-15,23.19
2023-03-16,22.73
2023-03-17,23.02
2023-03-20,22.83
2023-03-21,23.10
2023-03-22,22.95
2023-03-23,22.88
2023-03-24,22.75
2023-03-27,22.66
2023-03-28,22.38
2023-03-29,22.32
2023-03-30,22.54
2023-03-31,22.36
2023-04-03,22.51
2023-04-04,22.23
2023-04-06,22.28
2023-04-07,22.30
2023-04-10,22.53
2023-04-11,22.49
2023-04-12,22.24
2023-04-13,21.74
2023-04-14,22.18
2023-04-17,22.30
2023-04-18,22.26
2023-04-19,21.99
2023-04-20,21.62
2023-04-21,21.00
2023-04-24,21.19
2023-04-25,20.12
2023-04-26,20.67
2023-04-27,20.51
2023-04-28,20.42
2023-05-04,20.26
2023-05-05,20.15
2023-05-08,20.27
2023-05-09,20.04
2023-05-10,20.21
2023-05-11,20.21
2023-05-12,19.92
2023-05-15,20.80
2023-05-16,20.46
2023-05-17,20.44
2023-05-18,20.22
2023-05-19,20.16
2023-05-22,20.47
2023-05-23,20.35
2023-05-24,20.23
2023-05-25,19.67
2023-05-26,18.93
2023-05-29,18.89
2023-05-30,18.82
2023-05-31,18.79
2023-06-01,19.05
2023-06-02,19.65
2023-06-05,19.75
2023-06-06,19.42
2023-06-07,19.33
2023-06-08,19.39
2023-06-09,19.38
2023-06-12,19.38
2023-06-13,19.36
2023-06-14,19.23
2023-06-15,19.59
2023-06-16,19.59
2023-06-19,19.25
2023-06-20,19.08
2023-06-21,18.88
2023-06-26,19.00
2023-06-27,19.02
2023-06-28,18.94
2023-06-29,18.74
2023-06-30,19.17
2023-07-03,19.25
2023-07-04,19.36
2023-07-05,19.41
2023-07-06,19.06
2023-07-07,18.97
2023-07-10,19.20
2023-07-11,19.13
2023-07-12,19.13
2023-07-13,19.29
2023-07-14,19.15
2023-07-17,19.16
2023-07-18,19.38
2023-07-19,19.37
2023-07-20,19.97
2023-07-21,19.60
2023-07-24,19.09
2023-07-25,19.47
2023-07-26,19.54
2023-07-27,19.35
2023-07-28,19.97
2023-07-31,20.00
2023-08-01,19.95
2023-08-02,19.75
2023-08-03,19.88
2023-08-04,19.85
2023-08-07,19.65
2023-08-08,19.60
2023-08-09,19.61
2023-08-10,19.65
2023-08-11,19.16
2023-08-14,18.92
2023-08-15,18.78
2023-08-16,18.54
2023-08-17,18.28
2023-08-18,17.99
2023-08-21,17.66
2023-08-22,17.71
2023-08-23,17.30
2023-08-24,17.41
2023-08-25,17.84
2023-08-28,17.80
2023-08-29,17.93
2023-08-30,18.08
2023-08-31,17.90
2023-09-01,17.88
2023-09-04,18.35
2023-09-05,18.31
2023-09-06,18.20
2023-09-07,17.88
2023-09-08,17.66
2023-09-11,17.84
2023-09-12,18.00
2023-09-13,17.90
2023-09-14,17.80
2023-09-15,17.49
2023-09-18,17.71
2023-09-19,17.51
2023-09-20,17.36
2023-09-21,17.24
2023-09-22,17.48
2023-09-25,17.54
2023-09-26,17.20
2023-09-27,17.10
2023-09-28,17.16
2023-10-09,17.17
2023-10-10,17.47
2023-10-11,17.30
2023-10-12,17.72
2023-10-13,17.51
2023-10-16,17.06
2023-10-17,17.02
2023-10-18,16.69
2023-10-19,16.19
2023-10-20,16.39
2023-10-23,16.04
2023-10-24,16.16
2023-10-25,16.21
2023-10-26,16.22
2023-10-27,16.71
2023-10-30,16.81
2023-10-31,16.93
2023-11-01,16.71
2023-11-02,16.59
2023-11-03,16.76
2023-11-06,17.08
2023-11-07,16.98
2023-11-08,16.88
2023-11-09,16.91
2023-11-10,16.87
2023-11-13,16.84
2023-11-14,16.76
2023-11-15,17.05
2023-11-16,16.71
2023-11-17,16.71
2023-11-20,16.68
2023-11-21,16.62
2023-11-22,16.20
2023-11-23,16.24
2023-11-24,16.13
2023-11-27,15.88
2023-11-28,16.07
2023-11-29,15.97
2023-11-30,15.85
2023-12-01,15.99
2023-12-04,15.94
2023-12-05,15.63
2023-12-06,16.20
2023-12-07,16.11
2023-12-08,16.05
2023-12-11,15.87
2023-12-12,15.82
2023-12-13,15.51
2023-12-14,15.25
2023-12-15,15.25
2023-12-18,15.00
2023-12-19,15.04
2023-12-20,14.90
2023-12-21,15.07
2023-12-22,15.31
2023-12-25,15.27
2023-12-26,15.14
2023-12-27,15.17
2023-12-28,15.87
2023-12-29,15.95
2024-01-02,15.74
2024-01-03,15.76
2024-01-04,15.51
2024-01-05,15.41
2024-01-08,15.08
2024-01-09,15.10
2024-01-10,15.15
2024-01-11,15.46
2024-01-12,15.46
2024-01-15,15.23
2024-01-16,15.27
2024-01-17,14.85
2024-01-18,14.98
2024-01-19,15.06
2024-01-22,14.67
2024-01-23,14.73
2024-01-24,14.90
2024-01-25,15.20
2024-01-26,15.10
2024-01-29,14.96
2024-01-30,14.66
2024-01-31,14.34
2024-02-01,14.30
2024-02-02,13.89
2024-02-05,13.65
2024-02-06,14.65
2024-02-07,15.00
2024-02-08,15.00
2024-02-19,15.14
2024-02-20,15.20
2024-02-21,15.32
2024-02-22,15.53
2024-02-23,15.55
2024-02-26,15.56
2024-02-27,15.63
2024-02-28,15.58
2024-02-29,16.15
2024-03-01,16.55
2024-03-04,16.64
2024-03-05,16.58
2024-03-06,16.57
2024-03-07,16.60
2024-03-08,16.60
2024-03-11,17.18
2024-03-12,17.01
2024-03-13,17.12
2024-03-14,16.92
2024-03-15,17.20
2024-03-18,17.05
2024-03-19,16.80
2024-03-20,16.81
2024-03-21,16.66
2024-03-22,16.21
2024-03-25,16.05
2024-03-26,16.19
2024-03-27,15.92
2024-03-28,15.90
2024-03-29,16.04
2024-04-01,16.47
2024-04-02,16.50
2024-04-03,16.85
2024-04-08,16.78
2024-04-09,17.07
2024-04-10,16.87
2024-04-11,16.69
