日期,成交量(万手),成交额(亿元),换手率(%),涨跌幅(%),MACD,RSI(14)
2025-12-12,106.52,26.92,2.01,-1.91,0.18,47.84
2025-12-15,71.90,17.92,1.36,-0.83,0.11,46.45
2025-12-16,63.17,15.76,1.19,0.36,0.06,47.16
2025-12-17,167.26,44.48,3.16,7.83,0.17,59.70
2025-12-18,85.18,22.85,1.61,-1.93,0.22,55.91
2025-12-19,123.94,33.53,2.34,2.15,0.30,58.98
2025-12-22,121.56,33.99,2.30,4.22,0.45,64.34
2025-12-23,89.07,25.18,1.68,0.82,0.58,65.32
2025-12-24,88.69,25.34,1.68,0.78,0.70,66.28
2025-12-25,69.91,19.62,1.32,-1.61,0.74,62.40
2025-12-26,100.47,29.04,1.90,2.95,0.83,66.24
