日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-08-10,39.22,43.9,32.41,35.9,785246069.0,29924287289.0,5428890937.0,0.1446
2021-08-11,34.0,35.2,32.7,32.88,403090939.0,13589231800.0,5428890937.0,0.0742
2021-08-12,32.9,36.17,31.32,36.17,471038854.0,15915163322.0,5428890937.0,0.0868
2021-08-13,35.5,39.12,34.88,37.32,456374667.0,17080532677.0,5428890937.0,0.0841
2021-08-16,36.65,36.95,34.01,34.65,227383471.0,8043226533.0,5428890937.0,0.0419
2021-08-17,33.87,36.0,33.8,34.2,195249619.0,6849716257.0,5428890937.0,0.036
2021-08-18,35.28,37.05,34.35,36.4,215373691.0,7708306491.0,5428890937.0,0.0397
2021-08-19,35.79,38.98,34.89,37.73,255000218.0,9455144629.0,5428890937.0,0.047
2021-08-20,37.22,41.5,36.15,41.5,282327554.0,10923712455.0,5428890937.0,0.052
2021-08-23,42.32,45.65,41.48,43.76,361619523.0,15744340523.0,5428890937.0,0.0666
2021-08-24,42.8,44.83,42.38,42.88,222710504.0,9656360840.0,5428890937.0,0.041
2021-08-25,42.5,42.87,40.02,41.74,206159341.0,8522157358.0,5428890937.0,0.038
2021-08-26,41.2,44.98,41.03,41.26,212110377.0,9064013263.0,5428890937.0,0.0391
2021-08-27,40.73,43.26,39.87,42.29,186190432.0,7792606402.0,5428890937.0,0.0343
2021-08-30,41.44,44.1,39.7,40.15,266330552.0,11098233534.0,5428890937.0,0.0491
2021-08-31,39.01,40.44,37.7,39.81,182299390.0,7115829999.0,5428890937.0,0.0336
2021-09-01,39.79,42.3,37.93,39.95,201680269.0,8140712228.0,5428890937.0,0.0371
2021-09-02,39.95,41.58,39.66,41.5,178622042.0,7285217194.0,5428890937.0,0.0329
2021-09-03,40.5,41.4,37.69,38.94,172617344.0,6787001370.0,5428890937.0,0.0318
2021-09-06,38.08,39.24,36.33,38.37,125635708.0,4740706229.0,5428890937.0,0.0231
2021-09-07,38.0,39.23,37.42,38.27,110337682.0,4259453722.0,5428890937.0,0.0203
2021-09-08,37.79,40.15,37.58,39.65,168060219.0,6604525305.0,5428890937.0,0.031
2021-09-09,39.58,40.1,37.9,38.27,126496123.0,4891900159.0,5428890937.0,0.0233
2021-09-10,38.3,38.38,35.7,36.95,165631719.0,6109065214.0,5428890937.0,0.0305
2021-09-13,37.0,38.52,36.0,38.11,146718992.0,5486136862.0,5428890937.0,0.027
2021-09-14,37.64,38.88,36.36,37.67,147956673.0,5571424652.0,5428890937.0,0.0273
