证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
*ST盐湖,青海盐湖钾肥股份有限公司,0.0,0.0,,13585.0,0.0,15585.0,15585.0,,,0.0,,0.0,0.0,,,6500.0,,0.0,,,定期报告,,2000.0,000792,2000-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,22085.0,,0.0,0.0,,0.0,6500.0,,,015019
*ST盐湖,青海盐湖钾肥股份有限公司,0.0,0.0,,13585.0,0.0,15585.0,15585.0,,,0.0,,0.0,0.0,,,6500.0,,0.0,,,定期报告,,2000.0,000792,2000-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,22085.0,,0.0,0.0,,0.0,6500.0,,,015019
*ST盐湖,青海盐湖钾肥股份有限公司,0.0,0.0,,13585.0,0.0,15585.0,15585.0,,,0.0,,0.0,0.0,,,6500.0,,0.0,,,定期报告,,2000.0,000792,2001-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,22085.0,,0.0,0.0,,0.0,6500.0,,,015019
*ST盐湖,青海盐湖钾肥股份有限公司,0.0,0.0,,13585.0,0.0,15585.0,15585.0,,,0.0,,0.0,0.0,,,6500.0,,0.0,,,定期报告,,2000.0,000792,2001-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,22085.0,,0.0,0.0,,0.0,6500.0,,,015019
*ST盐湖,青海盐湖钾肥股份有限公司,0.0,0.0,,13585.0,0.0,15585.0,15585.0,,,0.0,,0.0,0.0,,,6500.0,,0.0,,,定期报告,,2000.0,000792,2002-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,22085.0,,0.0,0.0,,0.0,6500.0,,,015019
*ST盐湖,青海盐湖钾肥股份有限公司,0.0,0.0,,13585.0,,15585.0,15585.0,,,0.0,,0.0,0.0,,,9993.5338,,,,,增发新股上市,2002-11-09,2000.0,000792,2002-11-13,0.0,0.0,,0.0,0.0,0.0,6.4662,25585.0,,0.0,0.0,,0.0,10000.0,,,015004
*ST盐湖,青海盐湖钾肥股份有限公司,0.0,0.0,,13585.0,0.0,15585.0,15585.0,,,0.0,,0.0,0.0,,0.0,10000.0,,0.0,,,定期报告,2003-03-31,2000.0,000792,2002-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,25585.0,,0.0,0.0,,0.0,10000.0,,,015019
*ST盐湖,青海盐湖钾肥股份有限公司,0.0,0.0,,0.0,0.0,31170.0,31170.0,,,0.0,,0.0,0.0,,0.0,20000.0,,0.0,,,"送股,转增",2003-05-13,4000.0,000792,2003-05-19,0.0,27170.0,,0.0,0.0,0.0,0.0,51170.0,,0.0,0.0,,0.0,20000.0,,,"015010,015011"
*ST盐湖,青海盐湖钾肥股份有限公司,0.0,0.0,,0.0,0.0,31170.0,31170.0,,,0.0,,0.0,0.0,,0.0,20000.0,,0.0,,,定期报告,2003-08-14,4000.0,000792,2003-06-30,0.0,27170.0,,0.0,0.0,0.0,0.0,51170.0,,0.0,0.0,,0.0,20000.0,,,015019
*ST盐湖,青海盐湖钾肥股份有限公司,0.0,0.0,,0.0,0.0,31170.0,31170.0,,,0.0,,0.0,0.0,,0.0,20000.0,,0.0,,,定期报告,2004-03-29,4000.0,000792,2003-12-31,0.0,27170.0,,0.0,0.0,0.0,0.0,51170.0,,0.0,0.0,,0.0,20000.0,,,015019
*ST盐湖,青海盐湖钾肥股份有限公司,0.0,0.0,,46755.0,,46755.0,46755.0,,,0.0,,0.0,0.0,,0.0,29987.3757,,,,,"送股,转增",2004-05-26,0.0,000792,2004-06-01,0.0,0.0,,0.0,0.0,0.0,12.6243,76755.0,,0.0,0.0,,0.0,30000.0,,,"015010,015011"
*ST盐湖,青海盐湖钾肥股份有限公司,0.0,0.0,,0.0,0.0,46755.0,46755.0,,,0.0,,0.0,0.0,,0.0,30000.0,,0.0,,,定期报告,2004-08-18,6000.0,000792,2004-06-30,0.0,40755.0,,0.0,0.0,0.0,0.0,76755.0,,0.0,0.0,,0.0,30000.0,,,015019
*ST盐湖,青海盐湖钾肥股份有限公司,0.0,0.0,,0.0,0.0,31404.0,46755.0,,,0.0,,0.0,0.0,,0.0,30000.0,,0.0,,,定期报告,2005-04-04,6000.0,000792,2004-12-31,0.0,25404.0,,0.0,0.0,0.0,0.0,76755.0,,0.0,0.0,,15351.0,30000.0,,,015019
*ST盐湖,青海盐湖钾肥股份有限公司,0.0,0.0,,0.0,0.0,46755.0,46755.0,,0.0,0.0,,0.0,0.0,,0.0,30000.0,,0.0,,,定期报告,2005-08-15,21351.0,000792,2005-06-30,0.0,25404.0,,0.0,0.0,0.0,0.0,76755.0,,0.0,0.0,,0.0,30000.0,,,015019
*ST盐湖,青海盐湖钾肥股份有限公司,0.0,0.0,,0.0,0.0,46755.0,46755.0,,0.0,0.0,,0.0,0.0,,0.0,30000.0,,0.0,,,定期报告,2006-03-28,31404.0,000792,2005-12-31,0.0,15351.0,,0.0,0.0,0.0,0.0,76755.0,,0.0,0.0,,0.0,30000.0,,,015019
