SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
688082.SH,688082,盛美上海,10000067289,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-30 00:00:00,2025-10-30 00:00:00,CNY,4020705158.39,,,,,,,,,,,,222124988.12,81298664.05,,0.0,4324128810.56,2967837639.78,,,,,,808225725.92,201267691.94,405766262.46,,0.0,4383097320.1,,0.0,-58968509.54,99985900.0,3153985.68,,,,,,0.0,103139885.68,354160435.32,53693600.0,,,,,,0.0,407854035.32,,0.0,-304714149.64,4566812822.65,1741999.05,1072390252.45,,,,0.0,5639203075.1,546798222.8,317190393.42,,,71600538.72,,,0.0,935589154.94,,0.0,4703613920.16,-23431361.19,,0.0,4316499899.79,2634590605.4,,0.0,6951090505.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0872645484,,,,,,,,,,,,22.0043792955,169.1243277151,,,9.0058432721,18.1584759839,,,,,,53.7219191908,298.4696719801,30.2702289094,,,28.9333900384,,,-110.3932567297,-66.0075841258,-93.9472663205,,,,,,,-70.212790699,-22.8929861893,-73.7995639657,,,,,,,-38.5987872446,,,4.1745197115,80944.7842063744,,34.3039947536,,,,,601.2933583347,113.793242746,9.1115989672,,,356.7545219022,,,,66.4337881523,,,1843.8368251643,-221.6099224461,,,791.7020384758,72.9480627138,,,246.2704992329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688082.SH,688082,盛美上海,10000067289,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-07 00:00:00,2025-08-07 00:00:00,CNY,2514699064.76,,,,,,,,,,,,149937225.62,52563198.2,,0.0,2717199488.58,1861118243.11,,,,,,580523307.75,148241783.03,259270100.12,,0.0,2849153434.01,,0.0,-131953945.43,50247400.0,1599144.71,,,,,,0.0,51846544.71,256661254.56,50293600.0,,,,,,0.0,306954854.56,,0.0,-255108309.85,127095879.3,,761127086.38,,,,0.0,888222965.68,284815593.89,18583904.93,,,63217392.13,,,0.0,366616890.95,,0.0,521606074.73,-7776272.04,,0.0,126767547.41,2634590605.4,,0.0,2761358152.81,695731108.77,32693636.73,36404173.1,36404173.1,,11360482.9,2387779.61,,,,387945.27,120200.31,-13110964.83,24068332.43,-15367921.13,22095662.61,22095662.61,,,-182720298.75,-722708450.14,-156905924.74,79930649.52,,0.0,-131953945.43,,,,,2620369854.59,2542699605.4,140988298.22,91891000.0,,,126767547.41,-7.8968810092,,,,,,,,,,,,-2.1872871289,182.2341669491,,,-6.3752130679,2.5004970615,,,,,,67.6115692571,259.9533870001,2.7816876013,,,16.0313326323,,,-129.5384773618,-75.0418226323,-95.9617873706,,,,,,,-78.4808471293,-9.6952739508,-62.3517065351,,,,,,,-26.531524591,,,-44.2326717713,2155.5025816475,,91.6911810033,,,,,120.5702421848,1619.8396070354,74.6024484896,,,496.0746256626,,,,869.6355693384,,,42.9511406925,-360.9233448124,,,-80.1214595567,72.9480627138,,,27.7783861548,56.9852057226,51.0987603697,72.073872053,72.073872053,,31.3992606126,-55.5664469368,,,,,5616.2298660351,-268.5597373005,99.7302285844,-14.1069071466,168.6509366379,168.6509366379,,,62.3070690442,-70861.1585272671,-161.6191222352,-52.450356701,,,-129.5384773618,,,,,21.2543294348,66.9158653779,,,,,-80.1214595567,,,,,13484096.24,6.962100331
688082.SH,688082,盛美上海,10000067289,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-30 00:00:00,2025-04-30 00:00:00,CNY,1290856741.71,,,,,,,,,,,,108219565.06,30558185.1,,0.0,1429634491.87,931569704.75,,,,,,186104946.96,82364976.14,136442699.97,,0.0,1336482327.82,,0.0,93152164.05,50318800.0,2052359.45,42222.12,,,,,0.0,52413381.57,128863829.25,,,,,,,0.0,128863829.25,,0.0,-76450447.68,126345879.3,,298327086.38,,,,0.0,424672965.68,180142213.81,12985336.58,,,7465311.52,,,0.0,200592861.91,,0.0,224080103.77,-2965910.93,,0.0,237815909.21,2634590605.4,,0.0,2872406514.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6725840931,,,,,,,,,,,,61.5474362703,370.8600468608,,,30.8555153724,-11.0168728548,,,,,,63.5792503282,195.195736506,131.3566826005,,,7.1282681517,,,160.0887312176,-55.3592437834,-93.9299991178,,,,,,,-64.2305007895,55.6164198447,,,,,,,,-45.2362494407,,,13.8855198396,,,78.6389738802,,,,,154.2951890299,1793.3418714428,230.6638543847,,,100.9305681998,,,,1069.1652480722,,,49.5431878201,-643.9067076256,,,354.5836208516,72.9480627138,,,100.8776461266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688082.SH,688082,盛美上海,10000067289,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-02-27 00:00:00,2025-02-27 00:00:00,CNY,5588138827.27,,,,,,,,,,,,210280334.74,95172081.85,,0.0,5893591243.86,3454085471.79,,,,,,714911510.15,64494772.77,443956497.41,,0.0,4677448252.12,,0.0,1216142991.74,390361788.48,75054067.01,10822.58,,,,,0.0,465426678.07,573844510.45,378561582.44,,3000000.0,,,,0.0,955406092.89,,0.0,-489979414.82,36681205.02,,932471833.93,,,,0.0,969153038.95,270915851.51,298306627.2,,,21798154.15,,,0.0,591020632.86,,0.0,378132406.09,6952548.44,,0.0,1111248531.45,1523342073.95,,0.0,2634590605.4,1153188729.25,22717836.37,47407683.53,47407683.53,,19869628.71,8411141.61,,,,-2099.26,4750.45,-24045316.96,30179323.89,-32446908.58,-11192277.8,-11192277.8,,,-327476064.75,-555193564.01,483798449.65,314263006.63,,0.0,1216142991.74,,,,,2542699605.4,1000507973.95,91891000.0,522834100.0,,,1111248531.45,60.1491966672,,,,,,,,,,,,-39.4378091362,149.7038438661,,,52.1059878687,9.8586424975,,,,,,26.0794219442,-54.5850690702,-1.0045499879,,,8.736785065,,,384.8352484466,-66.1753111222,-43.9008536192,-95.0222517157,,,,,,-63.8666108578,44.0238021539,10.9009905404,,-50.599003549,,,,,28.0943938618,,,-190.3657180932,35.0639264971,,120.95472565,,,,,115.7615552997,-33.2997420936,65.9523434557,,,-19.3598895972,,,,-3.578450024,,,330.8823380735,-26.659823108,,,2946.2427774163,-2.4989137987,,,72.9480627138,26.6513885009,364.941135599,31.5531721892,31.5531721892,,67.7602551061,-42.4707133599,,,,-51.1324530964,-61.9135238278,-192.8542439576,130.1099241282,64.8296637615,85.9423515383,85.9423515383,,,73.5981276121,6.3439954405,26.0123647393,120.6362380113,,,384.8352484466,,,,,154.1408636017,-35.9627651062,-82.4244440062,,,,2946.2427774163,标准无保留意见,,,,22419680.33,-0.3196022314
688082.SH,688082,盛美上海,10000067289,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2025-10-30 00:00:00,CNY,3754606278.67,,,,,,,,,,,,182063127.08,30208589.74,,0.0,3966877995.49,2511743330.36,,,,,,525771295.45,50510165.79,311480424.85,,0.0,3399505216.45,,0.0,567372779.04,294141788.48,52108449.62,5380.0,,,,,0.0,346255618.1,459310272.59,204933993.96,,,,,,0.0,664244266.55,,0.0,-317988648.45,5634925.02,,798479787.9,,,,0.0,804114712.92,255760292.41,290702726.77,,,15675934.29,,,0.0,562138953.47,,0.0,241975759.45,-7285646.23,,0.0,484074243.81,1523342073.95,,0.0,2007416317.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8879546765,,,,,,,,,,,,-31.1844017302,-27.7537804168,,,41.103651099,4.8535727787,,,,,,39.3459715712,-54.9788297961,69.1915445154,,,10.766189871,,,320.1166790082,-50.5835201135,-51.915020304,,,,,,,-50.7878318404,49.9735509648,-39.6734860467,,,,,,,2.8291482199,,,-651.7885246191,-79.2516331374,,94.5422804031,,,,,83.7562205146,-30.8211059418,65.8878041984,,,-22.0891421781,,,,-0.5186119194,,,289.8283302135,-128.9573917205,,,260.0551010117,-2.4989137987,,,59.3260294431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688082.SH,688082,盛美上海,10000067289,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-08 00:00:00,2025-08-07 00:00:00,CNY,2730308259.17,,,,,,,,,,,,153290120.7,18623967.03,,0.0,2902222346.9,1815716310.13,,,,,,346350380.42,41183605.54,252253204.02,,0.0,2455503500.11,,0.0,446718846.79,201326400.0,39600309.76,5380.0,,,,,0.0,240932089.76,284216857.51,133587993.96,,,,,,0.0,417804851.47,,0.0,-176872761.71,5634925.02,,397059000.0,,,,0.0,402693925.02,16560590.46,10643553.45,,,10605617.05,,,0.0,37809760.96,,0.0,364884164.06,2980289.88,,0.0,637710539.02,1523342073.95,,0.0,2161052612.97,443182595.18,21637263.37,21156130.6,21156130.6,,8645773.84,5373821.01,,,,,2102.79,7778230.46,12050420.51,-13468002.52,-32185522.43,-32185522.43,,,-484760123.76,1021334.96,254638363.95,168099367.26,,0.0,446718846.79,,,,,2161052612.97,1523342073.95,,,,,637710539.02,61.5717886113,,,,,,,,,,,,-7.0699676468,-37.3687629658,,,54.0024250266,11.1358586816,,,,,,39.8892340934,-40.6023071605,103.3929954927,,,18.3530475871,,,334.8711116686,-64.2933480033,-61.4227605062,,,,,,,-63.8504139187,64.8392700081,-12.1063385447,,,,,,,28.7896173447,,,-151.7054434913,-79.8421635789,,,,,,,1340.5583463014,106.310029897,13.7888348166,,,-26.0161683795,,,,19.2140321459,,,9799.5999760809,-90.1445833813,,,257.544292447,-2.4989137987,,,24.1454006796,0.8507053851,-12.061016826,30.9320757548,30.9320757548,,82.2732882627,-23.9553889284,,,,,-70.8623284198,152.2743919414,178.8509745279,75.634513923,-42.976421956,-42.976421956,,,29.121170065,100.5947270476,5.6236225591,1076.1801749011,,,334.8711116686,,,,,24.1454006796,-2.4989137987,,,,,257.544292447,,,,,12606424.33,17.5588381973
688082.SH,688082,盛美上海,10000067289,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-30 00:00:00,CNY,1019049821.2,,,,,,,,,,,,66989342.3,6489865.79,,0.0,1092529029.29,1046906008.63,,,,,,113770509.76,27901817.66,58975041.67,,0.0,1247553377.72,,0.0,-155024348.43,112719416.66,33811518.15,,,,,,0.0,146530934.81,82808632.52,152499993.96,,,,,,0.0,235308626.48,,0.0,-88777691.67,,,167000000.0,,,,0.0,167000000.0,9514510.64,3927050.51,,,3715368.74,,,0.0,17156929.89,,0.0,149843070.11,545297.73,,0.0,-93413672.26,1523342073.95,,0.0,1429928401.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9336103624,,,,,,,,,,,,-2.7095078442,-64.981300761,,,54.9154582971,41.108370038,,,,,,20.7263538132,14.7749822878,-35.506533087,,,31.0581746491,,,37.1521211701,-78.2705997766,-10.6221079787,,,,,,,-73.6725693684,-3.4729170288,45.2380894857,,,,,,,23.3351436401,,,-124.2705654758,,,,,,,,,105.751093999,-15.6743031575,,,-38.9167663293,,,,11.6714680094,,,1075.3024414919,106.526366095,,,-197.9196304449,-2.4989137987,,,-13.7445386423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688082.SH,688082,盛美上海,10000067289,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-02-29 00:00:00,2025-02-27 00:00:00,CNY,3489333036.67,,,,,,,,,,,,347213883.35,38113983.5,,0.0,3874660903.52,3144118107.84,,,,,,567032668.08,142012266.56,448461517.53,,0.0,4301624560.01,,0.0,-426963656.49,1154073552.28,133788251.43,217419.19,,,,,0.0,1288079222.9,398437273.47,341350947.9,,6072752.0,,,,0.0,745860973.37,,0.0,542218249.53,27158402.67,,422019411.98,,,,0.0,449177814.65,406169121.4,179754392.73,,,27031404.15,,,0.0,612954918.28,,0.0,-163777103.63,9479863.2,,0.0,-39042647.39,1562384721.34,,0.0,1523342073.95,910521979.19,4886174.75,36036898.8,36036898.8,,11844062.05,14620625.6,,,,-1389.02,12472.8,-8210677.31,13115177.02,-92256463.97,-79616998.75,-79616998.75,,,-1240351668.77,-592800821.07,383929347.45,142434900.75,,0.0,-426963656.49,,,,,1000507973.95,1562384721.34,522834100.0,,,,-39042647.39,23.579267836,,,,,,,,,,,,-1.0577676639,-54.7117998679,,,18.9041161096,9.8878925752,,,,,,50.4353733347,350.0842841236,74.0424433432,,,21.9502914479,,,-58.8904322992,4611.9267449288,1675.2402800015,845.300826087,,,,,,3918.7234302671,-41.8825162225,-72.2680423039,,,,,,,-61.0814384784,,,128.7738392023,,,8.2101056359,,,,,15.1737986282,409.5530878832,1493.4913098116,,,3.822388046,,,,423.7695713423,,,-159.9976770473,-76.3072346341,,,97.8782850134,-54.0816827063,,,-2.4989137987,36.206395588,-70.7236661151,105.1827890075,105.1827890075,,170.5713992776,-12.9102578936,,,,90.6285968735,-82.4737270309,-127.2172683142,167.3292635818,-261.7260743785,-420.1588565317,-508.4070620211,,,1.7478082248,9.9697071771,-56.6914071157,323.707981838,,,-58.8904322992,,,,,-35.9627651062,-54.0816827063,,,,,97.8782850134,标准无保留意见,,,,22491563.87,30.9617114454
688082.SH,688082,盛美上海,10000067289,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-31 00:00:00,CNY,2504941966.0,,,,,,,,,,,,264566655.9,41813384.72,,0.0,2811322006.62,2395477105.64,,,,,,377313595.45,112192032.24,184099285.66,,0.0,3069082018.99,,0.0,-257760012.37,595230152.28,108367415.25,,,,,,0.0,703597567.53,306260850.42,339707999.9,,,,,,0.0,645968850.32,,0.0,57628717.21,27158402.67,,410440232.45,,,,0.0,437598635.12,369708559.08,175240565.86,,,20120346.16,,,0.0,565069471.1,,0.0,-127470835.98,25159884.22,,0.0,-302442246.92,1562384721.34,,0.0,1259942474.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3767255856,,,,,,,,,,,,-3.9836869412,-9.703390991,,,26.9716910604,11.6097408862,,,,,,60.2054441392,1518.4319017925,11.5341330592,,,20.1766376872,,,24.1159799316,1767.3020930652,84913.1541322815,,,,,,,2098.4710275119,67.9881439512,-66.02920001,,,,,,,-45.3638801381,,,105.0098552075,,,14.0111756806,,,,,21.5551764222,384.1349706214,2325.3817414179,,,-15.4862191018,,,,426.1490374406,,,-150.4629596844,-44.8230840708,,,74.6226865437,-54.0816827063,,,-43.0083297281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688082.SH,688082,盛美上海,10000067289,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-05 00:00:00,2024-08-08 00:00:00,CNY,1689842195.0,,,,,,,,,,,,164952186.95,29735908.01,,0.0,1884530289.96,1633780790.17,,,,,,247589017.6,69335362.32,124022562.04,,0.0,2074727732.13,,0.0,-190197442.17,563834436.28,102652004.86,,,,,,0.0,666486441.14,172420599.47,151988200.0,,,,,,0.0,324408799.47,,0.0,342077641.67,27954017.0,,,,,,0.0,27954017.0,8027040.89,9353776.64,,,14335047.02,,,0.0,31715864.55,,0.0,-3761847.55,30240120.69,,0.0,178358472.64,1562384721.34,,0.0,1740743193.98,439444219.54,24604859.63,16158096.08,16158096.08,,4743302.72,7066669.07,,,,,7216.74,-14879619.2,-15282525.78,-55274918.29,-22511070.0,-22511070.0,,,-683927943.23,-171731715.26,241080884.92,14291974.21,,0.0,-190197442.17,,,,,1740743193.98,1562384721.34,,,,,178358472.64,84.2775056871,,,,,,,,,,,,10.1473826106,-10.7305372631,,,71.3091550654,35.9749566263,,,,,,69.1092512048,975.2579575101,69.2005394806,,,45.3210320784,,,41.9439717301,,,,,,,,,,138.7622918752,-84.3311134021,,,,,,,-68.8731205458,,,132.8221969738,,,,,,,,,-79.0947111762,114.4804260728,,,12.7282628168,,,,-42.828311196,,,93.218813975,62.6914046245,,,112.6791050339,-54.0816827063,,,-12.7804899537,85.7420412696,470.7579294711,99.4704186931,99.4704186931,,171.9255223635,5.2435894367,,,,,-70.1485141143,-153.5957116881,-58.6764794798,-517.0489997599,-170.53376563,-268.9832458065,,,-37.4614399744,35.2392655583,61.8974899889,5.8544301796,,,41.9439717301,,,,,-12.7804899537,-54.0816827063,,,,,112.6791050339,,,,,10723501.97,30.2713935237
