日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-11-18,120.12,138.82,120.12,127.75,24267354.0,3139353918.0,33477540.0,0.7249
2021-11-19,128.97,130.85,120.67,123.33,8909527.0,1131714160.0,33477540.0,0.2661
2021-11-22,120.62,138.82,120.39,135.77,9184382.0,1226113215.0,33477540.0,0.2743
2021-11-23,133.01,135.32,127.2,132.81,5122436.0,684422966.0,33477540.0,0.153
2021-11-24,131.93,138.14,128.61,129.61,4320657.0,587254223.0,33477540.0,0.1291
2021-11-25,131.44,135.94,128.31,129.59,3139684.0,419280644.0,33477540.0,0.0938
2021-11-26,131.46,135.87,129.48,131.94,3204022.0,431220796.0,33477540.0,0.0957
2021-11-29,129.0,134.59,125.04,125.62,3542580.0,464588533.0,33477540.0,0.1058
2021-11-30,126.12,130.45,125.25,126.33,2209511.0,286307930.0,33477540.0,0.066
2021-12-01,124.44,129.37,121.77,122.48,2349459.0,296871751.0,33477540.0,0.0702
2021-12-02,123.17,129.58,123.17,125.55,3018462.0,389542998.0,33477540.0,0.0902
2021-12-03,127.0,127.77,123.08,126.74,1889575.0,240757591.0,33477540.0,0.0564
2021-12-06,126.25,135.17,123.86,129.69,2870977.0,381528253.0,33477540.0,0.0858
2021-12-07,129.96,134.37,125.9,129.74,2188938.0,287616095.0,33477540.0,0.0654
2021-12-08,132.91,134.86,130.55,132.47,1511825.0,203704164.0,33477540.0,0.0452
2021-12-09,132.91,132.91,126.03,126.81,1920810.0,250829997.0,33477540.0,0.0574
2021-12-10,125.83,127.63,124.58,125.39,1718692.0,219461479.0,33477540.0,0.0513
2021-12-13,126.75,126.75,123.27,126.57,1774941.0,224972611.0,33477540.0,0.053
2021-12-14,125.04,131.24,124.6,129.86,1838678.0,240152638.0,33477540.0,0.0549
2021-12-15,128.97,129.86,123.86,125.03,1942957.0,248870542.0,33477540.0,0.058
2021-12-16,125.04,127.79,123.32,127.11,1660396.0,213071383.0,33477540.0,0.0496
2021-12-17,125.55,127.26,121.1,124.55,1580790.0,197679167.0,33477540.0,0.0472
2021-12-20,123.06,125.53,121.97,122.09,709423.0,89285797.0,33477540.0,0.0212
2021-12-21,123.13,123.91,120.74,122.04,660395.0,81960882.0,33477540.0,0.0197
2021-12-22,123.03,124.03,121.69,123.58,848816.0,106113286.0,33477540.0,0.0254
2021-12-23,122.21,123.86,121.72,122.31,640998.0,79676886.0,33477540.0,0.0191
2021-12-24,121.49,122.68,111.6,112.8,2027639.0,238808480.0,33477540.0,0.0606
2021-12-27,112.39,118.9,108.5,116.35,2229649.0,254469355.0,33477540.0,0.0666
2021-12-28,115.88,119.67,113.48,118.06,1297100.0,154243891.0,33477540.0,0.0387
2021-12-29,116.18,120.05,114.86,118.16,1107715.0,132416382.0,33477540.0,0.0331
2021-12-30,116.5,127.01,116.5,123.6,1471161.0,184706038.0,33477540.0,0.0439
2021-12-31,123.6,126.87,122.08,125.83,1145759.0,145772733.0,33477540.0,0.0342
2022-01-04,126.91,126.91,116.97,117.4,1205647.0,146986183.0,33477540.0,0.036
2022-01-05,119.28,119.28,108.85,108.99,2112893.0,237487224.0,33477540.0,0.0631
2022-01-06,107.2,115.07,105.7,112.27,1554409.0,175983201.0,33477540.0,0.0464
2022-01-07,114.7,115.11,107.9,108.35,1241915.0,139150214.0,33477540.0,0.0371
2022-01-10,108.35,112.2,106.6,111.45,797878.0,89130638.0,33477540.0,0.0238
2022-01-11,109.29,110.57,106.86,108.3,921623.0,101315004.0,33477540.0,0.0275
2022-01-12,108.25,111.91,108.25,109.29,725911.0,81412586.0,33477540.0,0.0217
2022-01-13,110.73,110.73,105.15,105.65,932640.0,100929458.0,33477540.0,0.0279
2022-01-14,105.64,110.7,103.48,109.98,1033167.0,113360513.0,33477540.0,0.0309
2022-01-17,109.77,114.38,107.9,113.12,784131.0,89595824.0,33477540.0,0.0234
2022-01-18,111.63,114.59,108.67,108.82,690562.0,77607752.0,33477540.0,0.0206
2022-01-19,107.46,109.02,104.93,105.33,531128.0,57251804.0,33477540.0,0.0159
2022-01-20,105.84,105.84,100.01,100.05,1042936.0,107857735.0,33477540.0,0.0312
2022-01-21,99.93,101.37,96.74,97.37,685331.0,68300543.0,33477540.0,0.0205
2022-01-24,98.46,100.92,96.77,99.79,562651.0,56955200.0,33477540.0,0.0168
2022-01-25,99.06,100.51,97.06,98.35,449246.0,45025656.0,33477540.0,0.0134
2022-01-26,98.95,102.67,97.5,102.36,723828.0,74122580.0,33477540.0,0.0216
2022-01-27,102.36,102.36,96.49,96.81,748015.0,74781700.0,33477540.0,0.0223
2022-01-28,98.67,98.75,92.35,93.88,461485.0,44425329.0,33477540.0,0.0138
2022-02-07,95.5,97.47,91.15,91.78,495771.0,46986128.0,33477540.0,0.0148
2022-02-08,90.87,92.52,86.64,88.03,1091494.0,97951094.0,33477540.0,0.0326
2022-02-09,88.04,89.89,87.96,89.4,375239.0,33946604.0,33477540.0,0.0112
2022-02-10,89.89,89.95,84.4,85.15,1008122.0,87858028.0,33477540.0,0.0301
2022-02-11,84.85,85.02,77.95,78.37,3474719.0,282616952.0,33477540.0,0.1038
2022-02-14,78.18,80.33,75.95,79.83,1693517.0,134952142.0,33477540.0,0.0506
2022-02-15,81.03,84.18,78.57,83.86,1633666.0,136152918.0,33477540.0,0.0488
2022-02-16,84.17,85.16,82.71,84.69,842865.0,71866021.0,33477540.0,0.0252
2022-02-17,83.72,88.07,83.72,86.31,924034.0,80867284.0,33477540.0,0.0276
2022-02-18,85.08,88.41,84.24,87.72,789597.0,69417869.0,33477540.0,0.0236
2022-02-21,89.65,89.65,85.68,85.94,458073.0,40445780.0,33477540.0,0.0137
2022-02-22,85.02,88.41,84.57,87.38,480930.0,42375563.0,33477540.0,0.0144
2022-02-23,87.23,100.92,87.04,97.44,1633896.0,159318029.0,33477540.0,0.0488
2022-02-24,97.06,98.15,92.55,94.0,1081445.0,104004991.0,33477540.0,0.0323
2022-02-25,95.99,99.18,94.63,96.26,703762.0,69044075.0,33477540.0,0.021
2022-02-28,96.24,97.29,94.76,95.99,811657.0,79035033.0,33477540.0,0.0242
2022-03-01,97.27,99.04,95.28,98.36,708702.0,70043993.0,33477540.0,0.0212
2022-03-02,98.34,98.77,94.64,97.83,395677.0,38856558.0,33477540.0,0.0118
2022-03-03,98.78,99.92,92.08,93.42,968719.0,92704165.0,33477540.0,0.0289
2022-03-04,91.78,96.21,91.27,93.93,826776.0,79208883.0,33477540.0,0.0247
2022-03-07,92.41,92.84,90.44,91.64,630837.0,58472753.0,33477540.0,0.0188
2022-03-08,91.74,97.47,90.69,95.5,1031785.0,99018115.0,33477540.0,0.0308
2022-03-09,95.98,99.93,92.65,96.49,1958136.0,192558573.0,33477540.0,0.0585
2022-03-10,101.01,103.25,96.37,96.88,1465970.0,148770211.0,33477540.0,0.0438
2022-03-11,90.68,92.38,81.57,91.65,2604645.0,230791026.0,33477540.0,0.0778
2022-03-14,87.63,94.07,86.17,91.57,1764706.0,163915685.0,33477540.0,0.0527
2022-03-15,89.7,93.81,88.71,90.58,1326570.0,123286024.0,33477540.0,0.0396
2022-03-16,92.21,96.12,87.63,94.91,1046778.0,97545695.0,33477540.0,0.0313
2022-03-17,97.77,101.21,96.27,96.88,1032483.0,103712470.0,33477540.0,0.0308
2022-03-18,97.96,97.96,91.89,93.88,599009.0,57355534.0,33477540.0,0.0179
2022-03-21,94.92,94.98,90.69,91.17,697424.0,65097824.0,33477540.0,0.0208
2022-03-22,91.12,92.26,88.01,88.02,984146.0,89424382.0,33477540.0,0.0294
2022-03-23,88.61,91.66,88.61,89.68,574637.0,52629078.0,33477540.0,0.0172
2022-03-24,88.61,89.22,85.73,88.12,660598.0,58885219.0,33477540.0,0.0197
2022-03-25,88.44,89.09,85.16,85.38,506327.0,44646115.0,33477540.0,0.0151
2022-03-28,84.63,87.29,83.19,86.61,410402.0,35659858.0,33477540.0,0.0123
2022-03-29,87.22,87.6,85.26,86.19,327381.0,28625516.0,33477540.0,0.0098
2022-03-30,86.81,91.74,86.81,91.35,803907.0,73984018.0,33477540.0,0.024
2022-03-31,90.48,90.89,87.09,89.0,797716.0,71687461.0,33477540.0,0.0238
2022-04-01,89.17,89.17,85.66,85.72,700437.0,61423259.0,33477540.0,0.0209
2022-04-06,85.31,85.31,83.17,83.79,347139.0,29554778.0,33477540.0,0.0104
2022-04-07,82.58,85.64,81.99,82.43,590736.0,49968734.0,33477540.0,0.0176
2022-04-08,83.29,87.77,80.76,84.64,810368.0,69691200.0,33477540.0,0.0242
2022-04-11,84.18,84.74,81.28,83.81,438360.0,36729335.0,33477540.0,0.0131
2022-04-12,84.84,84.84,80.75,82.76,287151.0,23951528.0,33477540.0,0.0086
2022-04-13,81.61,82.7,79.75,79.75,292472.0,24001653.0,33477540.0,0.0087
2022-04-14,79.34,91.7,77.65,90.91,1515812.0,129750761.0,33477540.0,0.0453
2022-04-15,87.83,88.45,84.26,87.76,1029743.0,90151573.0,33477540.0,0.0308
