证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,0.0,0.0,,40007.956,,35923.077,,,3007.9561,,3347.754,1076.9229,,,,A股上市,2021-11-17,,688082,2021-11-18,,,,,40007.956,,,43355.71,,,,35923.077,,3347.754,,3007.9561,015001
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,,,,40007.956,,35923.277,,,2825.0783,,3347.754,1259.6007,,,,定期报告,2022-03-02,,688082,2021-12-31,,,,,40007.956,,,43355.71,,,,35923.277,,3347.754,,2825.0783,015019
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,,,,39790.0704,,35923.277,,,2607.1927,,3565.6396,1259.6007,,,,限售股份上市,2022-05-11,,688082,2022-05-18,,,,,39790.0704,,,43355.71,,,,35923.277,,3565.6396,,2607.1927,015027
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,,,,39790.0704,,35923.077,,,2607.3927,,3565.6396,1259.6007,,,,定期报告,2022-08-08,,688082,2022-06-30,,,,,39790.0704,,,43355.71,,,,35923.077,,3565.6396,,2607.3927,015019
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,,,,36040.7239,,35769.2308,,,117.647,,7314.9861,153.8461,,,,限售股份上市,2022-11-09,,688082,2022-11-18,,,,,36040.7239,,,43355.71,,,,35769.2308,,7314.9861,,117.647,015027
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,,,,35886.8778,,35769.2308,,,117.647,,7468.8322,,,,,限售股份上市,2022-12-06,,688082,2022-12-13,,,,,35886.8778,,,43355.71,,,,35769.2308,,7468.8322,,117.647,015027
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,,,,35886.8778,,35769.2308,,,,,7468.8322,117.647,,,,定期报告,2023-02-25,,688082,2022-12-31,,,,,35886.8778,,,43355.71,,,,35769.2308,,7468.8322,,,015019
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,,,,35886.8778,,35769.2308,,,,,7468.8322,117.647,,,,定期报告,2023-08-05,,688082,2023-06-30,,,,,35886.8778,,,43355.71,,,,35769.2308,,7468.8322,,,015019
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,0.0,0.0,52.9231,36101.9087,,35822.1539,,,,,7468.8322,117.647,,,,期权行权,2023-09-09,,688082,2023-09-06,,,,,36101.9087,,,43570.7409,,,,35769.2308,,7468.8322,162.1078,162.1078,015992
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,,,52.9231,35984.2617,,35822.1539,,,,,7586.4792,,,,,限售股份上市,2023-11-11,,688082,2023-11-20,,,,,35984.2617,,,43570.7409,,,,35769.2308,,7586.4792,162.1078,162.1078,015027
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,,,52.9231,35984.2617,,35822.1539,,,,,7586.4792,,,,,定期报告,2024-02-29,,688082,2023-12-31,,,,,35984.2617,,,43570.7409,,,,35769.2308,,7586.4792,162.1078,162.1078,015019
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,0.0,0.0,94.077,36028.8771,,35863.3078,,,,,7586.4792,,,,,期权行权,2024-06-18,,688082,2024-06-14,,,,,36028.8771,,,43615.3563,,,,35769.2308,,7586.4792,165.5693,165.5693,015992
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,,,97.5385,36028.8771,,35866.7693,,,,,7586.4792,,,,,定期报告,2024-08-08,,688082,2024-06-30,,,,,36028.8771,,,43615.3563,,,,35769.2308,,7586.4792,162.1078,162.1078,015019
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,0.0,0.0,0.0,97.5385,36028.8771,,35866.7693,,,,,7586.4792,,,,,其他,2024-08-08,,688082,2024-08-08,,,,,36028.8771,,,43615.3563,,,,35769.2308,,7586.4792,162.1078,162.1078,015999
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,,,97.5385,259.6463,,97.5385,,,,,43355.71,,,,,限售股份上市,2024-11-08,,688082,2024-11-18,,,,,259.6463,,,43615.3563,,,,,,43355.71,162.1078,162.1078,015027
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,0.0,0.0,150.4616,474.6732,,150.4616,,,,,43355.71,,,,,期权行权,2024-11-27,,688082,2024-11-25,,,,,474.6732,,,43830.3832,,,,,,43355.71,324.2116,324.2116,015992
盛美上海,盛美半导体设备(上海)股份有限公司,,,,,,0.0,0.0,194.1537,518.3653,,194.1537,,,,,43355.71,,,,,期权行权,2024-12-04,,688082,2024-12-02,,,,,518.3653,,,43874.0753,,,,,,43355.71,324.2116,324.2116,015992
