REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,STD_REPORT_DATE,ACCOUNTS_PAYABLE,DEFER_INCOME,LONG_LOAN,MINORITY_EQUITY,MONETARYFUNDS,NET_CURRENT_ASSETS,PREPAYMENT,RESTRICTED_CASH,SHARE_CAPITAL,SHORT_LOAN,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_ASSETS_LESS_CURRENT_LIAB,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIABILITIES,TOTAL_LIAB_EQUITY,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_PARENT_EQUITY,中长期存款,交易性金融资产(流动),储备,其他应付款及应计费用,其他金融负债(流动),其他金融资产(流动),其他金融资产(非流动),可供出售投资,合同负债,合营公司权益,商誉,存货,应付关联方款项(流动),应付关联方款项(非流动),应付票据,应付票据(非流动),应付股利,应收关联方款项,应收帐款,应收票据,总权益及非流动负债,总资产减总负债合计,投资物业,拨备(流动),持作出售的负债(流动),持作出售的资产(流动),指定以公允价值记账之金融资产,无形资产,流动资产平衡项目,物业厂房及设备,短期存款,联营公司权益,融资租赁负债(流动),融资租赁负债(非流动),衍生金融工具-负债(流动),衍生金融工具-资产(流动),财务担保合同及负债(流动),贷款及垫款,贷款及垫款(流动),递延税项负债,递延税项资产,长期应付款,长期应收款,非流动资产其他项目,预缴及应收税项
2000-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2000-12-31 00:00:00,280176580.8,,139630111.2,9598430.0,130771980.0,213265448.0,1641808.8,,131562127.0,330519020.4,8526163.4,2068385301.8,1449163537.2,832487212.6,619221764.6,2509241722.0,808965225.8,2068385301.8,1235898089.2,189743461.2,1249821646.0,,,1118259519.0,,,,,,,15604607.8,,148741725.8,,,,,,127272000.0,366527451.0,28459079.8,1449163537.2,,,,,,,83668612.8,10606000.0,1130915658.8,,,,,,,,4067401.0,20108976.0,,,,,,
2001-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2001-06-30 00:00:00,342298549.6,,142577526.0,9385252.8,158311938.4,249626076.0,23615944.8,,131636554.0,288281347.2,14063022.4,2114848500.8,1470205581.6,894268995.2,644642919.2,2645870858.3999996,787220445.2,2114848500.8,1220579505.6,142577526.0,1318242802.8,,,1186606248.8,,,,,,,18254762.4,,116075117.2,,,,,,130136017.2,476637980.0,,1470205581.6,,,,,,,86676693.6,,1087962402.8,,,,,,,,4069702.0,13107942.4,,,,,,
2001-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2001-12-31 00:00:00,376671029.4,,233382908.8,10173275.2,190672546.8,284542010.4,,,131562127.0,321893160.6,,2343853879.2,1645289689.2,983106200.4,698564190.0,2813640285.6000004,931947098.8,2343853879.2,1360747678.8,233382908.8,1401733505.2,,,1270171378.2,,,,,,,20268066.0,,157956218.6,,,,,,156461833.2,310687921.6,154880478.6,1645289689.2,,,,,,,93888554.4,,1243366834.4,,,,,,,,3224224.0,12225536.2,,,,,,221665.4
2002-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2002-06-30 00:00:00,423567579.6,,173506735.8,10774635.4,272734350.6,246485561.2,30219675.8,,136085586.0,387757481.2,,2509590659.4,1674875126.2,1081201094.4,834715533.2,2991962145.4,1008222269.0,2509590659.4,1428389565.0,173506735.8,1490593755.0,,,1354508169.0,,,,,,,24039559.6,,210040163.4,,,,,23390472.4,150673078.4,298323446.8,138287391.6,1674875126.2,,,,,,,85498147.8,,1285407957.8,,,,,,,,3224224.0,8430709.4,,,,,,2711954.2
2002-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2002-12-31 00:00:00,488535745.5,,89540923.5,10408329.9,344087141.4,185779510.2,,,159399503.1,576535951.8,17078404.5,3128968496.7,2002646924.1,1312101082.8,1126321572.6,3815803671.3,1215862496.1,3128968496.7,1816867413.9,89540923.5,1902697670.7,,,1743298167.6,,,,,,,22080429.9,63980085.6,291734589.6,,,44171470.8,,,100007613.9,447340660.2,128087503.2,2002646924.1,,,,,,,88591239.0,,1639833489.9,,,,,,,,2382169.5,843574.5,,,,,,
2003-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2003-06-30 00:00:00,499912218.4,,53102448.0,9396926.0,395393569.2,458977489.6,,,159414525.2,363754952.4,32498188.8,3236586777.2,2251077928.4,1444486338.4,985508848.8,4386554034.8,1038611296.8,3236586777.2,1792100438.8,53102448.0,2188578554.4,,,2029164029.2,,,,,,,24533882.8,62345500.0,321329237.6,,,89343489.2,,,42217719.6,528326909.6,156375248.4,2251077928.4,,,,,,,86269192.8,,1616569469.2,,,,,,,,2382394.0,843654.0,,,,,,
2003-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2003-12-31 00:00:00,512698678.7,,262844248.0,8815470.4,504288174.3,378662392.6,97586149.0,31904926.6,163917448.4,171896344.3,18297003.3,3582653208.8,2532752211.3,1428563390.1,1049900997.5,4531000456.200001,1312745245.5,3582653208.8,2154089818.7,262844248.0,2261092492.9,51680055.8,,2097175044.5,,,,,,,22630139.5,62819817.9,311028807.8,27997004.7,,319011966.5,,,15621030.6,467386180.4,97487038.9,2532752211.3,,,,,,,64401316.7,,1853427074.8,,,,,,,,1545265.0,847231.5,,,,,,
2004-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2004-06-30 00:00:00,596128197.2,,464239231.0,9082364.9,520055301.8,208735257.7,156473201.9,27342575.7,163179150.8,180514256.8,29114278.7,4086543303.1,2764401982.6,1530876578.2,1322141320.5,4591243138.299999,1786380551.5,4086543303.1,2555666724.9,464239231.0,2291080386.7,31785624.9,,2127901235.9,,,,,,,24438892.4,60848980.4,416989927.7,57438186.9,,458946400.9,,,14516294.7,471165847.1,79963215.7,2764401982.6,,,,,,,74183432.5,,2206398287.8,,,,,,,,1538305.0,843415.5,,,,,,
2004-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2004-12-31 00:00:00,916207358.0,,927787859.9,10698694.6,533281740.2,-81040111.9,161248410.4,7745863.4,163609824.4,265726088.1,4139920.4,5007097570.2,3341426338.8,1584631119.5,1665671231.4,4816578263.200001,2593459091.3,5007097570.2,3422466450.7,927787859.9,2413638478.9,10015799.2,,2239329959.9,,,,,,,26224459.8,59316166.8,481701863.5,66839716.9,,412758148.0,,,21976042.0,439977167.3,96085084.7,3341426338.8,,,,,,,74405815.0,,3093576792.9,,,,,,,,696723.5,845641.5,,,,,,
2005-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2005-06-30 00:00:00,1110803579.4,,1447188451.0,12122821.6,426866229.9,312477866.6,128405642.0,709223.4,163794398.8,100289087.3,4345856.9,5556244602.9,3956086461.6,1912636007.9,1600158141.3,5005673199.6,3047346592.3,5556244602.9,3643608595.0,1447188451.0,2508898010.6,4005088.9,,2332980790.2,,,,,,,25787618.4,59383083.6,653332123.5,66189924.4,,318529693.3,,,36804008.9,603064583.9,187166824.0,3956086461.6,,,,,,,68215364.2,,3360960707.2,,,,,,,,697509.5,846595.5,,,,,,
