REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,ISSUE_BOND,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_OUTFLOW_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:应占附属公司溢利,减:投资收益,减:政府补助,减:重估盈余,加:减值及拨备,加:利息支出,加:购股权开支,发行相关费用,受限制存款及现金增加(减少),吸收投资所得,存款减少(增加),存货(增加)减少,已付利息(经营),已付利息(融资),已收利息(投资),已收利息(经营),已收股息(投资),应付关联方款项增加(减少),应付帐款及应计费用增加(减少),应收关联方款项(增加)减少,应收关联方款项(增加)减少(投资),应收帐款减少,应收票据(增加)减少,投资支付现金,收回投资所得现金,政府补助(投资),期间变动其他项目,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,赎回债券,递延收入(增加)减少,除税前溢利(业务利润),非运算项目,预付款项、按金及其他应收款项减少(增加),预收账款、按金及其他应付款增加(减少)
2000-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2000-01-01 00:00:00,75302.6,,213655748.8,,-82883768.8,137010429.2,1521961.0,130771980.0,101391238.8,,-229089.6,,14483553.6,-143956298.6,46588976.2,-97367322.4,2462713.2,128484265.8,2436198.2,-44026566.6,264305762.4,13254318.2,412182038.6,424538028.6,-1490143.0,,-26515.0,7037081.0,3700433.4,,,,31054368.0,31651485.8,,,,2052261.0,,-16141271.4,31651485.8,,,7037081.0,,-1197417.4,-46390644.0,-8047832.8,,-24979251.2,-39065079.8,,,,,,,4285884.6,,,108483471.0,-68640971.4,,
2001-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2001-01-01 00:00:00,,,130845960.0,,27465978.4,,,158311938.4,,,,,-622924.4,-65034580.8,93123483.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2001-01-01 00:00:00,,,130771980.0,,59900566.8,293148779.4,5803603.2,190672546.8,110270582.0,,-23037292.6,,108108018.6,-293808472.6,245601020.8,,,310797163.4,,-972570.2,327135706.4,39005686.2,522572468.4,630680487.0,12052658.4,,482573.0,2267562.8,5497089.8,,,,17736413.8,26119396.2,,,,,,-20027309.8,27485449.0,,,2267562.8,,,111013002.0,-29189833.2,,37680996.8,-115815398.8,,7883439.8,,,,,3362102.0,,,181256540.0,,,
2002-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2002-01-01 00:00:00,,,190672546.8,,82061803.8,,,272734350.6,,,,,10948573.8,-96968536.8,168081766.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2002-01-01 00:00:00,28931952.6,47384481.6,190762435.8,,153324705.6,320616670.5,9433179.0,344087141.4,126978653.7,,-1020778.2,,92086502.4,-306201627.0,367439830.2,,-9057549.6,429012279.9,,-485983.8,463087384.2,34239574.8,436821975.9,547361007.3,,,-7246251.9,2377925.1,,,,,15148263.6,,,,,,,-133703905.5,29224816.2,,,2377925.1,4916076.3,,155858612.4,57171006.9,,-140266809.0,26865990.9,,843574.5,,,,,8814557.7,,,316092140.1,,,
2003-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2003-01-01 00:00:00,,,344119568.8,,51274000.4,,,395393569.2,,,,,-344934570.4,-57901194.4,454109765.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2003-01-01 00:00:00,23651080.1,210797591.4,345578801.8,,158709372.5,442448800.4,4351253.1,504288174.3,155551703.4,,,,-421370320.1,-540870458.2,1120950150.8,,18341762.7,1248346060.2,,-3120369.6,833984849.0,98941719.4,555509979.1,321286170.3,,,-9623271.0,1693397.3,,,,,11592684.6,,,,,,-83584982.4,-11444552.3,27027217.7,,,1693397.3,,27826492.7,287019652.5,91514856.1,,-11710977.3,31155739.5,,847231.5,,,,,1693397.3,,,658910587.3,,,
2004-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2004-01-01 00:00:00,,,502016819.1,,18038482.7,438812640.7,2136652.6,520055301.8,,-84489015.1,-35246280.7,,127481987.6,-491472534.0,382029029.1,,,,,,,,104929375.4,316900378.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19550265.2,,,,,,
2004-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2004-01-01 00:00:00,,57534469.3,503341776.3,,29939963.9,1193711796.2,6895967.1,533281740.2,195533588.8,,-7388460.2,,670854316.0,-1148402431.0,507488078.9,,,524998708.3,,,489344548.0,17510629.4,261158560.3,1020747794.0,,,-5906726.1,2610319.8,3636790.3,,,,,29739988.3,,,,2091234.2,65666455.8,-171256763.7,,33291682.6,2610319.8,,,-18694527.5,204238909.6,-6384327.4,,26531869.1,1219000.2,,845641.5,,,,,23320558.8,,,264411354.9,,,
2005-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2005-01-01 00:00:00,,,533883355.4,,-107017125.5,343816808.7,3171272.2,426866229.9,,-27234817.5,14338878.5,,325382324.8,-345520648.7,-86878801.6,,,,,,,,601689798.0,954306940.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19213990.7,,,,,,
2005-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2005-01-01 00:00:00,,57036528.1,521550243.8,,-42755289.7,438141070.4,8308876.1,491756051.8,277255554.5,,-59302301.5,,240270808.9,-477466491.0,194440392.4,,,191790748.3,,,517900871.4,-2649644.1,929111695.7,1302913332.0,,,-16415934.0,2795286.1,-1143289.7,,,,,70885001.7,,,,1384639.3,14845081.0,-315416879.4,,77878938.6,2795286.1,,,-1501152.9,117986664.8,-11214434.0,,-103362127.4,-29076385.0,,811434.0,,12961097.7,16474190.8,,6783796.3,,,154996377.6,,,
2006-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2006-01-01 00:00:00,,,486613010.52,,-105730698.78,130019863.68,6176.52,380882311.74,,-49530543.3,-7037115.12,,-34754248.62,-141831428.76,70854978.6,,,,,,,,265974333.66,280750628.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4780626.48,,,,,,
2006-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2006-01-01 00:00:00,,,474913537.02,,-111416898.33,337566105.99,173807.91,389214181.35,338226174.18,,11704405.5,,-15113250.81,-328199567.58,231895920.06,,,200735075.34,-1602448.65,,433513095.66,-31160844.72,729390420.0,810165888.0,,,3014.01,4304006.28,-3365644.5,,,,,96223273.92,,,,,-1683826.92,73459461.06,,95888718.81,4304006.28,,,14628999.87,-113046473.07,15697968.75,,-61788209.67,19872372.6,,673128.9,,25717542.66,-181602139.86,,5804983.26,,,1607472.0,,,
2007-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2007-01-01 00:00:00,,,377471935.8,,17873659.84,163672018.44,3055592.96,395345595.64,,-53493338.36,835026.52,,-35954858.36,-171024539.0,224853057.2,,,,,,,,493026160.0,510564640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11243140.04,,,,,,
2007-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2007-01-01 00:00:00,,398897.88,362758293.9,,22434728.42,564007892.64,3136873.0,408347826.96,399256513.54,,,,-76573410.88,-743260052.42,842268191.72,,152846243.78,857500285.18,,,1039226360.92,15232093.46,1038482875.2,1062930820.62,,,-45460312.62,3267029.82,-2512307.54,,,-515945.38,,105632091.42,,,,4681900.0,3139682.14,-200083805.64,,105304358.42,3267029.82,,,-2301622.04,365298692.84,-6061187.74,,-167141020.86,-171437132.3,,,,23154804.64,,,35949500.96,,,489116220.24,,,
2008-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2008-01-01 00:00:00,,67613448.02,383399003.64,,186708453.73,111879657.52,10062100.65,606497182.84,,7324365.27,-5033248.25,,-138495650.1,-144660390.14,469864493.97,,22337072.19,,,,,,427077048.41,348870481.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,13775714.73,,,36389725.47,,,1696798.1,,,,606497182.84,,
2008-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2008-01-01 00:00:00,,69564365.09,384585173.88,5663497.58,580992659.56,319580180.09,11564223.57,988653367.18,415578316.04,,5555907.0,,-366957956.56,-389253017.65,1337203633.77,,33253426.23,1409202015.26,-6041828.39,,1543858681.25,71998381.49,1189804539.17,979165994.56,,,-58244425.05,5946584.27,2472819.56,,,,10901924.18,96449663.63,,,,15322838.75,-1143811.33,-335838704.13,,96414388.03,5946584.27,,,-531779.67,305918822.1,9046427.62,,-122670017.11,9418585.2,13818334.41,,,23075533.74,,,44523980.43,,,977145584.57,,,
2009-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2009-01-01 00:00:00,,132490432.88,988249784.86,,415567346.48,190614994.96,1821240.98,1403817131.34,,-31378941.88,-27784062.54,,27343297.54,-296936328.26,685160377.2,,9015407.31,,,,,,570437181.47,761649853.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71343104.43,,,,1403817131.34,,
2009-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2009-01-01 00:00:00,,270300316.16,987072669.76,,283603488.48,608881856.32,12865573.76,1270676158.24,442169131.68,,-23068576.0,,-214914602.24,-881807763.84,1380325854.56,,219692967.2,1511802650.08,,,1478530191.36,131476795.52,1099046833.28,1194979531.68,-7062330.08,,11357311.52,8585560.48,911296.8,,,,4402400.0,61559639.68,,,,30017324.16,-43051950.08,373673070.56,,61559639.68,8585560.48,,,-47216620.48,177789163.04,-8518644.0,,-127357029.6,-335097480.8,1501218.4,,,,,9004668.96,,,,991253188.8,,,
2010-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2010-01-01 00:00:00,,321380624.49,1259000969.57,,-113206560.74,267475646.39,2463629.36,1145794408.83,,-70051172.22,-12107028.42,,-364808198.69,-284212448.54,535814086.49,,,643828181.95,,,,108014095.46,572548684.61,599172282.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7093403.09,,,,,,
2010-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2010-01-01 00:00:00,,333546690.47,1228030691.59,,-333076977.11,636035286.87,19687967.41,935857919.58,488563161.36,71139449.86,-36728691.59,,-410367799.94,-715306223.81,792597046.64,,,970634577.75,,,1413146258.44,184947082.71,904684949.96,847927068.03,,,-59620410.45,6909551.6,7430320.76,,,,4068296.33,54279122.84,,,7409047.51,6920613.69,,-192598645.27,,54279122.84,,6909551.6,3868327.78,-37195001.23,191420107.22,-7628587.45,,-324105622.12,-72403931.84,,,,40904205.1,,51253215.76,66098540.54,,,820955139.82,,,
