REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ASSET_IMPAIRMENT_LOSS,BASIC_EPS,CONTINUED_NETPROFIT,DILUTED_EPS,FINANCE_EXPENSE,GROSS_PROFIT,HOLDER_PROFIT,INCOME_TAX,MANAGE_EXPENSE,MINORITY_INTEREST,NETPROFIT,NETPROFIT_OTHER,NON_OPERATING_ITEMS,OPERATE_INCOME,OPERATE_PROFIT,OTHER_INCOME,PARENT_TCI,RESEARCH_EXPENSE,SALE_EXPENSE,TOTAL_PROFIT,全面收益总额,其他全面收益,其他全面收益其他项目,其他支出,其他收入,出售资产之溢利,应占合营公司溢利,应占联营公司溢利,股息,销售成本,非控股权益应占全面收益总额
2000-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2000-01-01 00:00:00,31054368.0,0.06883294,,0.0678784,31651485.8,262364864.4,85349663.8,22658658.4,83121343.2,475148.8,85824812.6,-1146508.6,,2110797635.2,137581032.0,,,,20992455.8,108483471.0,,,,3019528.2,13403862.8,,4008007.4,-307574.0,,793033953.2,
2001-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2001-01-01 00:00:00,,0.05104372,,0.05114984,14127755.6,157166903.6,64087990.4,14525705.6,58222738.0,683412.8,64771403.2,1939873.6,,1211098744.8,88467999.2,,,,12914804.0,79297108.8,,,,6117818.0,8556455.6,,3016991.6,,,448382468.8,
2001-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2001-01-01 00:00:00,13939465.8,0.11974174,,0.1177266,28744381.2,349699971.4,148490363.6,31091489.0,107304083.8,1674687.4,150165051.0,2141351.4,,2478079172.8,202362480.0,,,,27251056.4,181256540.0,,,,9945246.2,11102360.8,,5497089.8,,47362153.6,889339615.0,
2002-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2002-01-01 00:00:00,,0.08612072,,0.084848,13496135.0,206289881.8,107291356.6,20988213.4,62137372.2,1087115.0,108378471.6,,,1495855391.6,138534511.4,,,,12843866.0,129366685.0,,,,2195442.0,9421309.8,,4328308.6,,,541637814.0,
2002-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2002-01-01 00:00:00,15148263.6,0.17635482,,0.17348985,28312270.2,534030408.0,242081476.2,52577505.0,130828324.5,1520556.3,243602032.5,,,3448850886.0,316092140.1,,,,45144499.5,296179537.5,,,,41881617.0,15064436.7,,8399667.6,,95640126.3,1190395035.0,
2003-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2003-01-01 00:00:00,,0.25383904,,0.24863916,15466990.0,619817206.4,381353893.2,69355787.2,107197118.0,1357274.8,382711168.0,,,2887062516.8,464297285.2,,,,47418660.8,452066955.2,,,,6631438.8,5727296.4,,3236660.0,,,823714052.0,
2003-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2003-01-01 00:00:00,,0.35455839,,0.34986931,27027217.7,985729872.0,537292903.3,101218054.6,213345680.1,1482388.7,538775292.0,,,5282517176.4,658910587.3,,,,100739555.3,639993346.6,,,,22881644.7,10147595.4,,8109977.0,,229485706.6,1655528716.2,
2004-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2004-01-01 00:00:00,,0.10036114,,,11069430.6,369933708.2,154398081.5,27028549.3,109483819.1,306600.1,154704681.6,,,2430176046.6,190891980.6,,,,68245575.2,181733230.9,,,,5821158.3,4508825.0,,1910680.9,,114226042.1,845154315.1,
2004-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2004-01-01 00:00:00,,0.16944741,,,29739988.3,671029826.5,260618200.7,3387884.5,244655254.8,405269.7,261023470.4,,,5213510682.6,290514552.9,,,,139826556.1,264411354.9,,,,11645387.6,15611924.9,,3636790.3,,,1935725514.8,
2005-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2005-01-01 00:00:00,,0.05920844,,,27234817.5,361909459.7,91124557.9,8162458.5,150583249.4,-4259.6,91120298.3,,,3072541061.4,126984000.5,,,,75720779.4,99282756.8,,,,14991662.2,6370231.8,,-466426.2,,,1174361071.0,
2005-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2005-01-01 00:00:00,,0.10590254,,,70885001.7,721514629.2,162825675.4,-7595230.3,305048209.3,-234067.5,162591607.9,,,6641410439.0,227024669.0,,,,190086736.9,154996377.6,,,,21364641.1,22009627.1,,-1143289.7,,,2599190590.3,
2006-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2006-01-01 00:00:00,,0.011117736,,,49530543.3,331424857.26,17131607.64,3158260.56,160876728.18,-43235.64,17088372.0,,,3602216464.56,68971140.0,,,,114526063.26,20246632.56,,,,4896950.94,17846025.12,,806035.86,,,1469683375.02,
2006-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2006-01-01 00:00:00,,0.010247634,,,96223273.92,616189227.75,15737150.88,-13827273.21,309532798.98,-302405.67,15434745.21,,,7110559962.36,101196390.42,,,,233596826.37,1607472.0,,,,6839793.36,34976581.38,,-3365644.5,,,2939090753.43,
2007-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2007-01-01 00:00:00,,0.078143672,,,53662877.0,611178027.96,120230177.84,10235651.8,222436644.4,-1563847.8,118666330.04,,,4499693864.72,187040094.32,,,,182753884.68,128901981.84,,,,32086649.16,13139244.6,,-4475235.48,,,1638668904.4,
2007-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2007-01-01 00:00:00,,0.290652352,,,105632091.42,1438671086.84,447016575.44,42669900.22,441297166.4,-570255.42,446446320.02,-515945.38,,9337691852.84,597776564.58,,,,355078105.14,489116220.24,,,,70061824.36,25542573.64,,-2512307.54,,72013240.28,3230174839.58,
2008-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2008-01-01 00:00:00,,0.253728462,,,50760638.29,950561241.51,390309279.84,92828043.62,213866015.03,1433926.27,391743206.11,6023193.67,,5795318081.02,527137144.45,,,,167721019.24,484571249.73,,,,65754003.47,23916940.68,,974120.36,1197429.54,,1947097799.0,
2008-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2008-01-01 00:00:00,,0.539363924,,,96449663.63,2011885641.26,829470458.4,141969297.87,453726231.77,5705828.3,835176286.7,-3096315.79,,12046608581.1,1074218744.43,,,,415182347.43,977145584.57,,,,106533193.89,37774876.26,,1271685.38,1201134.18,,4011418649.29,
2009-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2009-01-01 00:00:00,,0.305979063,,,31378941.88,1033190184.26,469599846.3,63513354.97,190627336.38,4018013.74,473617860.04,,,6175836978.48,568226304.23,,,,264373491.59,537131215.01,,,,24555018.15,14591966.09,,283852.66,,,2054728304.98,
2009-12-31,01093.HK,01093,石药集团,10010486,001,12-31,2009-01-01 00:00:00,,0.556815552,,,61559639.68,1996306140.64,854716274.72,125711412.48,406360890.56,10825501.6,865541776.32,21244221.44,,12382368096.96,1030657310.24,,,,517583124.16,991253188.8,,,,85272727.04,43567911.36,,911296.8,,,4194877907.84,
2010-06-30,01093.HK,01093,石药集团,10010486,002,12-31,2010-01-01 00:00:00,,0.242262703,,,30205631.36,1073224646.68,371832682.97,87331473.34,273582376.39,10146768.09,381979451.06,,,6876209386.04,496351524.84,,,,214572172.01,469310924.4,,,,107114661.37,18396087.93,,3165030.92,,,2364880046.34,
