日期,开盘,最高,最低,收盘,成交量,成交额,换手率,流通股本
2021-01-04,6.8072,6.9353,6.7901,6.8157,67589569.0,,,
2021-01-05,6.8328,6.8328,6.6705,6.7474,68147276.0,,,
2021-01-06,6.7303,6.9951,6.7303,6.9438,55801622.0,,,
2021-01-07,7.0207,7.0634,6.7986,6.8584,64126482.0,,,
2021-01-08,6.8669,7.0463,6.7901,6.9609,57785946.0,,,
2021-01-11,7.0548,7.0719,6.8072,6.8584,40770432.0,,,
2021-01-12,6.8499,7.0207,6.8328,6.9609,50826162.0,,,
2021-01-13,6.9267,7.0036,6.8669,6.9267,47741657.0,,,
2021-01-14,6.9353,6.9353,6.7901,6.8926,41930197.0,,,
2021-01-15,6.8669,6.884,6.7645,6.8242,37194116.0,,,
2021-01-18,6.7217,6.8328,6.5766,6.7901,52495116.0,,,
2021-01-19,6.9011,7.4306,6.7303,7.2342,151278216.0,,,
2021-01-20,7.294,7.8065,7.2342,7.5588,151785802.0,,,
2021-01-21,7.6271,7.7552,7.4392,7.5161,77105000.0,,,
2021-01-22,7.5673,7.6869,7.2855,7.3452,64053633.0,,,
2021-01-25,7.4306,7.4477,7.1573,7.2427,82676673.0,,,
2021-01-26,7.1488,7.2171,6.9865,7.0634,81901116.0,,,
2021-01-27,7.1317,7.3623,7.1061,7.1659,77142848.0,,,
2021-01-28,7.1403,7.1488,6.9353,6.978,64427664.0,,,
2021-01-29,6.978,7.089,6.7217,6.7645,72755874.0,,,
2021-02-01,6.7132,6.978,6.7132,6.9011,51257359.0,,,
2021-02-02,7.3452,7.8065,7.183,7.5331,177746439.0,,,
2021-02-03,7.4819,7.4904,7.2598,7.3025,71314633.0,,,
2021-02-04,7.2598,7.3709,7.0121,7.1488,64600771.0,,,
2021-02-05,7.1744,7.2171,6.9182,6.9524,54621876.0,,,
2021-02-08,6.9694,7.0207,6.8157,6.9096,57521510.0,,,
2021-02-09,6.9182,6.9694,6.7815,6.9524,43838219.0,,,
2021-02-10,7.0463,7.0463,6.8328,7.0036,26453202.0,,,
2021-02-11,7.0292,7.0634,6.9353,7.0207,19382404.0,,,
2021-02-16,7.1317,7.1403,6.978,7.0463,41500200.0,,,
2021-02-17,7.0292,7.2342,6.9951,7.1744,44704800.0,,,
2021-02-18,7.2342,7.2855,7.0121,7.0634,59130953.0,,,
2021-02-19,7.089,7.4306,7.0121,7.3794,94396740.0,,,
2021-02-22,7.5161,7.5161,7.1146,7.183,94425013.0,,,
2021-02-23,7.0976,7.3965,6.9865,7.3025,75485416.0,,,
2021-02-24,7.3794,7.3879,6.9865,7.1061,91074262.0,,,
2021-02-25,7.1744,7.2427,7.0292,7.0634,59700309.0,,,
2021-02-26,6.9438,7.0805,6.7815,6.9182,75668579.0,,,
