SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
002518.SZ,002518,科士达,10132727,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-27 00:00:00,2025-10-27 00:00:00,CNY,3338201625.02,,,,,,,,,,,,101740716.29,55328893.97,,0.0,3495271235.28,2087100115.3,,,,,,538946022.08,148439868.39,227287066.24,,0.0,3001773072.01,,0.0,493498163.27,1278282173.19,25881827.79,83403.2,,,,,0.0,1304247404.18,137409079.13,1328910804.73,,,,,,0.0,1466319883.86,,0.0,-162072479.68,,,49893111.12,,265000000.0,,0.0,314893111.12,275000000.0,134870771.62,,,13569605.44,,,0.0,423440377.06,,0.0,-108547265.94,12442391.21,,0.0,235320808.86,219411609.42,,0.0,454732418.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9360805872,,,,,,,,,,,,-0.4162712092,-36.4262043206,,,17.5863582669,10.1878867984,,,,,,6.722057023,-22.0780633123,5.1806873093,,,6.9876855073,,,195.8694242698,38.1679924968,116.1093595015,657.1852672289,,,,,,39.1713135607,12.8400857917,-16.6820570186,,,,,,,-14.5879922743,,,79.2110384648,,,-69.4993023465,,2346.8602388943,,,80.5471737617,144.35695551,-49.8554171672,,,-95.0620358504,,,,-35.4812272643,,,77.4749253816,12728.9703551296,,,121.4942891215,-83.1674525939,,,117.8985528102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002518.SZ,002518,科士达,10132727,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-28 00:00:00,2025-08-28 00:00:00,CNY,1980809902.1,,,,,,,,,,,,60791126.79,33462462.84,,0.0,2075063491.73,1313339683.1,,,,,,370008361.27,109713512.86,145174811.67,,0.0,1938236368.9,,0.0,136827122.83,909518920.0,8341734.61,53723.2,,,,,0.0,917914377.81,76278810.25,646561515.09,,,,,,0.0,722840325.34,,0.0,195074052.47,,,,,265000000.0,,0.0,265000000.0,275000000.0,134548771.62,,,3648728.92,,,0.0,413197500.54,,0.0,-148197500.54,10417830.49,,0.0,194121505.25,219411609.42,,0.0,413533114.67,256885664.13,15726183.9,45731346.08,45731346.08,,5407731.99,3764064.22,,,,,512819.67,-217272.16,1703102.04,-4480485.85,2720756.58,2882980.16,-162223.58,,-24779998.53,-27699801.99,-140498703.73,,,0.0,136827122.83,,,,,413533114.67,219411609.42,,,,,194121505.25,12.2645293385,,,,,,,,,,,,-14.6920143962,-47.8331971782,,,9.2242813523,1.8396259058,,,,,,4.509188961,-28.7334871122,4.5013606416,,,0.0881617864,,,472.7220027083,43.0334415627,-17.3359869227,599.0748090411,,,,,,42.0969957814,-8.3400349833,-47.4810153912,,,,,,,-45.0027098871,,,129.1877343356,,,,,2346.8602388943,,,381.1051112652,144.35695551,-49.1696978624,,,-92.947028317,,,,-3.6780396522,,,60.3637519564,406479.628928584,,,117.9918036839,-83.1674525939,,,84.1591300617,19.4795555762,-76.0906957043,4.9454961907,4.9454961907,,9.5110737464,-16.3891039971,,,,,99.5083172286,49.2082009647,-21.6703022945,9.0542521304,136.6282679761,138.8479192039,-2275.757034338,,-171.6504207858,72.6410508217,52.4603066089,,,,472.7220027083,,,,,84.1591300617,-83.1674525939,,,,,117.9918036839,,,,,2051716.48,0.3106789944
002518.SZ,002518,科士达,10132727,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2025-04-25 00:00:00,CNY,817219521.2,,,,,,,,,,,,9005351.45,16438834.81,,0.0,842663707.46,692352184.48,,,,,,159102409.18,54350310.92,68257744.01,,0.0,974062648.59,,0.0,-131398941.13,687191413.55,6350746.5,245.0,,,,,0.0,693542405.05,38115983.76,402781481.09,,,,,,0.0,440897464.85,,0.0,252644940.2,,,,,165000000.0,,0.0,165000000.0,175000000.0,315000.0,,,1572676.62,,,0.0,176887676.62,,0.0,-11887676.62,5478044.87,,0.0,114836367.32,219411609.42,,0.0,334247976.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.926832008,,,,,,,,,,,,-61.4743877169,-35.8007655124,,,-4.4876495241,1.1871487317,,,,,,9.532354992,23.8960618745,14.5806351039,,,4.4095442562,,,-159.3299425525,182.9946887322,-2.6007298072,-96.2200108,,,,,,178.1343457609,-6.7872899677,85.9130347156,,,,,,,71.1944724269,,,3186.0416866829,,,,,6747.0247117255,,,253.6134707883,59.7585849352,-1.0989010989,,,-96.6473579605,,,,12.8345101097,,,89.2034483992,6994.6473910115,,,167.9340227497,-83.1674525939,,,-70.5366950748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002518.SZ,002518,科士达,10132727,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-25 00:00:00,2025-04-25 00:00:00,CNY,3986133027.12,,,,,,,,,,,,126661258.57,100656270.45,,0.0,4213450556.14,2532074380.04,,,,,,661241733.18,238986150.34,289878043.31,,0.0,3722180306.87,,0.0,491270249.27,959566794.15,16734338.71,14026.9,,,,,0.0,976315159.76,167081863.3,1911221391.38,,,,,,0.0,2078303254.68,,0.0,-1101988094.92,,,273141504.17,,10910205.82,,0.0,284051709.99,109540279.21,269282292.3,6000000.0,,378613966.82,,,0.0,757436538.33,,0.0,-473384828.34,18121.32,,0.0,-1084084552.67,1303496162.09,,0.0,219411609.42,394815303.77,120134095.25,88008268.32,88008268.32,,8947665.14,8315915.88,,,,45969.78,487146.78,-913248.76,5543293.12,-9349635.72,11997942.07,11989947.36,7994.71,,34005407.68,-188778104.35,12713290.78,,,0.0,491270249.27,,,,,219411609.42,1303496162.09,,,,,-1084084552.67,-22.977625849,,,,,,,,,,,,-55.4362401804,-8.738133891,,,-24.3520017701,-34.3762035634,,,,,,10.424218985,-24.0668027216,2.6534241865,,,-26.3577186673,,,-4.6825784334,168.489422662,270.2680407344,-97.7924790561,,,,,,169.2914956924,-8.0396191161,83.0853843037,,,,,,,69.3345979244,,,-27.4290367431,,,143.0026859749,,-98.1629577369,,,-65.0619801128,70.0869985016,28.3690611091,33.758155179,,-24.4398006862,,,,-2.2978180337,,,-1353.4792016494,100.6883269663,,,-244.9771398594,-19.4250853707,,,-83.1674525939,-54.6804856726,46.9870376955,3.1594490754,3.1594490754,,13.2496420909,-15.6781948648,,,,148.3391576496,-24.645467847,-1726.49752,95.8607923794,-1932.3434565588,168.9043343184,169.3184349776,106.9186257025,,120.0786828677,-2.4311984024,107.197179485,,,,-4.6825784334,,,,,-83.1674525939,-19.4250853707,,,,,-244.9771398594,标准无保留意见,,,,5296939.53,24.4080116226
002518.SZ,002518,科士达,10132727,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-27 00:00:00,CNY,2783317254.22,,,,,,,,,,,,102166003.95,87030974.6,,0.0,2972514232.77,1894128452.72,,,,,,504999657.16,190498176.38,216092014.66,,0.0,2805718300.92,,0.0,166795931.85,925165192.09,11976264.17,11014.9,,,,,0.0,937152471.16,121773284.88,1594987534.71,,,,,,0.0,1716760819.59,,0.0,-779608348.43,,,163580229.17,,10830205.82,,0.0,174410434.99,112540279.21,268963792.3,6000000.0,,274801619.23,,,0.0,656305690.74,,0.0,-481895255.75,-98522.61,,0.0,-1094806194.94,1303496162.09,,0.0,208689967.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.1596001927,,,,,,,,,,,,-61.087742197,16.1918515881,,,-31.2349617748,-31.2230762975,,,,,,10.2251872527,-24.5842853027,6.8860068038,,,-23.4860738843,,,-74.5650063164,212.6671052164,413.5032432464,-97.3779860998,,,,,,213.7993971671,6.1229608762,255.3634558097,,,,,,,203.7650799362,,,-192.5209346628,,,,,-97.1567017045,,,-64.231985459,74.7452027639,28.4121997904,33.758155179,,-43.9270163485,,,,-14.0887399679,,,-74.3983003326,-126.1141718349,,,-1066.134150788,-19.4250853707,,,-87.9444011064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002518.SZ,002518,科士达,10132727,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-29 00:00:00,2025-08-28 00:00:00,CNY,1764412957.3,,,,,,,,,,,,71260769.27,64145128.76,,0.0,1899818855.33,1289615580.79,,,,,,354043854.85,153948198.69,138921455.93,,0.0,1936529090.26,,0.0,-36710234.93,635878512.09,10091131.92,7684.9,,,,,0.0,645977328.91,83219331.62,1231100562.79,,,,,,0.0,1314319894.41,,0.0,-668342565.5,,,44251312.5,,10830205.82,,0.0,55081518.32,112540279.21,264701892.3,,,51733213.8,,,0.0,428975385.31,,0.0,-373893866.99,2562.31,,0.0,-1078944105.11,1303496162.09,,0.0,224552056.98,215003866.47,65774326.62,43576282.68,43576282.68,,4938068.64,4501882.41,,,,2052.69,257041.75,-427770.16,2174273.73,-4926547.92,-7428024.12,-7421195.83,-6828.29,,34584582.0,-101245854.91,-295539776.78,,,0.0,-36710234.93,,,,,224552056.98,1303496162.09,,,,,-1078944105.11,-40.2091602196,,,,,,,,,,,,-66.6881520017,33.8557510498,,,-40.8674984644,-20.4659953525,,,,,,9.1395658055,-18.2792908489,10.5561002863,,,-14.3090896295,,,-103.8524087284,166.1752994552,362.2269116221,-97.913760553,,,,,,167.5450911577,-9.8239946857,222.8415592277,,,,,,,177.3265068618,,,-187.485212955,,,,,-90.014410746,,,-74.4010605252,227.1282005959,29.3463913621,,,-89.3439350763,,,,-40.7925704587,,,26.5951540243,-99.8438433667,,,-607.2138332894,-19.4250853707,,,-87.7325073273,-58.6838523252,378.2474785177,4.749038686,4.749038686,,17.4206536444,-9.2325920057,,,,101.779439918,-17.9994954438,-119.5382369599,20.5546999289,-272.292016231,-26.3355217484,-27.3701956592,87.1462861065,,112.1141001923,-170.5456725766,-157.8086193022,,,,-103.8524087284,,,,,-87.7325073273,-19.4250853707,,,,,-607.2138332894,,,,,2045361.97,16.4771706822
002518.SZ,002518,科士达,10132727,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2025-04-25 00:00:00,CNY,833275337.11,,,,,,,,,,,,23374972.95,25605967.02,,0.0,882256277.08,684229364.26,,,,,,145256083.64,43867666.25,59571797.58,,0.0,932924911.73,,0.0,-50668634.65,242828378.38,6520322.47,6481.5,,,,,0.0,249355182.35,40891401.77,216650479.46,,,,,,0.0,257541881.23,,0.0,-8186698.88,,,44251312.5,,2409805.82,,0.0,46661118.32,109540279.21,318500.0,,,46908575.43,,,0.0,156767354.64,,0.0,-110106236.32,-79453.59,,0.0,-169041023.44,1303496162.09,,0.0,1134455138.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45.0256684432,,,,,,,,,,,,-79.4374777856,5.8138103069,,,-46.6473018915,-11.9301927333,,,,,,8.2670492298,-36.8652715827,5.663868607,,,-10.0312173338,,,-108.2162618329,42.5094031342,525.5726028025,-97.5514621717,,,,,,45.2258582232,-20.0017187283,-35.4885769523,,,,,,,-33.4427826852,,,96.1965928218,,,,,-97.163627815,,,-45.0792686169,,-34.3339587242,,,-82.6610135679,,,,-42.157218087,,,40.8229347618,93.7650663562,,,-178.9527369062,-19.4250853707,,,-38.0704702143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002518.SZ,002518,科士达,10132727,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-16 00:00:00,2025-04-25 00:00:00,CNY,5175292336.88,,,,,,,,,,,,284224803.03,110293899.02,,0.0,5569811038.93,3858469819.69,,,,,,598819479.33,314732105.2,282385166.99,,0.0,5054406571.21,,0.0,515404467.72,357394635.75,4519520.15,635414.13,,,,,0.0,362549570.03,181688963.98,1043896211.95,,,,1750100.0,,0.0,1227335275.93,,0.0,-864785705.9,106712740.0,1000000.0,112402668.75,,593900643.41,,0.0,813016052.16,64402500.0,209771957.49,4485707.8,,501075923.91,,,0.0,775250381.4,,0.0,37765670.76,-2632661.64,,0.0,-314248229.06,1617744391.15,,0.0,1303496162.09,871181674.45,81731081.28,85312852.2,85312852.2,,7900833.04,9862117.95,,,,-95098.43,646473.1,-50000.0,2830220.92,-460042.11,-17412463.51,-17296910.07,-115553.44,,-169360748.93,-184297467.27,-176642680.74,,,0.0,515404467.72,,,,,1303496162.09,1617744391.15,,,,,-314248229.06,24.9785582646,,,,,,,,,,,,42.0934295484,-42.2765917244,,,22.89843327,42.0542107226,,,,,,22.5995953147,99.6134011711,-9.0881957681,,,37.6129215425,,,-40.0084398768,-87.5159145567,-87.6063194291,-28.6659345639,,,,,,-87.4989760453,9.0546011101,-50.4777093402,,,,,,,-46.0401833225,,,-238.2278559412,,,82.0153490839,,1641.5620057751,,,748.1630138111,93.2529144349,41.7196524718,,,236.5092021764,,,,134.7475582535,,,116.112154543,-200.4251359641,,,-125.0800533583,343.5047804522,,,-19.4250853707,27.7320242313,33.7078823565,7.2001526381,7.2001526381,,-2.9743965426,-6.43918099,,,,-111.8801153892,-80.6059037959,90.9318448888,-18.2983185721,98.1542831039,26.2339221588,23.1547217483,89.4589762364,,43.6648771076,45.4056363343,-125.5053358882,,,,-40.0084398768,,,,,-19.4250853707,343.5047804522,,,,,-125.0800533583,标准无保留意见,,,,4257715.77,-11.5753983279
002518.SZ,002518,科士达,10132727,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-31 00:00:00,2024-10-30 00:00:00,CNY,3985253895.88,,,,,,,,,,,,262554808.48,74902820.99,,0.0,4322711525.35,2754017409.84,,,,,,458152687.01,252597455.51,202170537.68,,0.0,3666938090.04,,0.0,655773435.31,295894635.75,2332266.51,420093.12,,,,,0.0,298646995.38,114747349.56,448832739.73,,,,1580600.0,,0.0,565160689.29,,0.0,-266513693.91,106712740.0,1000000.0,,,380902905.51,,0.0,487615645.51,64402500.0,209453457.49,4485707.8,,490078467.98,,,0.0,763934425.47,,0.0,-276318779.96,377276.41,,0.0,113318237.85,1617744391.15,,0.0,1731062629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9453353629,,,,,,,,,,,,101.0038156171,-20.3342296229,,,49.0440203852,48.7352018757,,,,,,25.8227400748,166.4305941709,3.6325090126,,,46.3472440597,,,66.1659264305,-87.6260914101,-91.972063712,-10.1726048515,,,,,,-87.6632841954,9.6503623469,-79.3216103342,,,,,,,-75.1598300826,,,-283.0329127072,,,,,1914.6901213476,,,504.5263391976,93.2529144349,41.9792220276,,,511.8334605622,,,,192.7518265887,,,-53.264595444,-91.0335594026,,,-68.8838664317,343.5047804522,,,137.4760156081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002518.SZ,002518,科士达,10132727,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-29 00:00:00,2024-08-29 00:00:00,CNY,2950975373.12,,,,,,,,,,,,213920192.22,47921085.39,,0.0,3212816650.73,1621464411.99,,,,,,324395513.43,188383336.72,125656979.19,,0.0,2259900241.33,,0.0,952916409.4,238894635.75,2183155.43,368361.36,,,,,0.0,241446152.54,92285449.25,381332739.73,,,,306900.0,,0.0,473925088.98,,0.0,-232478936.44,106712740.0,,,,108458354.78,,0.0,215171094.78,34402500.0,204645749.69,,,485481405.85,,,0.0,724529655.54,,0.0,-509358560.76,1640858.89,,0.0,212719771.09,1617744391.15,,0.0,1830464162.24,520387012.27,13753198.83,41600651.64,41600651.64,,4205451.5,4959800.56,,,,-115355.96,313463.62,2189400.0,1803557.83,-1323302.06,-5879600.62,-5826477.53,-53123.09,,-285490308.41,143518165.2,511238255.38,,,0.0,952916409.4,,,,,1830464162.24,1617744391.15,,,,,212719771.09,103.6700266511,,,,,,,,,,,,119.8323273734,62.9673763549,,,103.9085928913,34.0034114905,,,,,,26.6777829502,279.1318541485,19.3299424799,,,39.4064983785,,,2195.6753986705,-79.1943742449,-89.3997755829,266.3044141925,,,,,,-79.344461962,28.5500558534,-39.1425566981,,,,,,,-32.1402905777,,,-149.4081223341,,,,,216816.70956,,,248.147941946,3.2317594635,39.1867095528,,,1243.0991987231,,,,234.6533837736,,,-229.2620424798,-40.6993973164,,,-22.1169470063,343.5047804522,,,186.9557022774,136.4750772521,53.2106590696,3.0188659226,3.0188659226,,10.543126474,-6.0479029255,,,,-942.6300214932,-89.9048174665,137.5365737282,123.2845290807,89.5713532358,-311.1675135472,-280.0884082488,88.2213789005,,-24.8871216665,253.5214259924,6832.7553709442,,,,2195.6753986705,,,,,186.9557022774,343.5047804522,,,,,-22.1169470063,,,,,1756019.62,-31.7262159626
