日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-27,8.33,8.59,8.29,8.53,6778745.0,62203825.0,558163643.0,0.01214472688254258
2019-11-28,8.54,8.6,8.29,8.34,6460350.0,59019062.0,558163643.0,0.011574293813328862
2019-11-29,8.35,9.08,8.26,8.9,22303207.0,211456917.0,558163643.0,0.03995818659940916
2019-12-02,8.86,9.07,8.78,9.04,18378355.0,178766689.0,558163643.0,0.03292646382559174
2019-12-03,8.93,9.66,8.86,9.47,24854683.0,252812086.0,558163643.0,0.04452938365245692
2019-12-04,9.43,9.51,9.24,9.4,14402411.0,146799696.0,558163643.0,0.02580320517221506
2019-12-05,9.38,9.65,9.32,9.58,18636418.0,192076121.0,558163643.0,0.03338880673028716
2019-12-06,9.47,9.54,9.25,9.43,14986480.0,152846508.0,558163643.0,0.02684961693214404
2019-12-09,9.46,9.74,9.31,9.58,16086150.0,166789778.0,558163643.0,0.02881977391709119
2019-12-10,9.69,9.69,9.32,9.58,13529474.0,139259180.0,558163643.0,0.024239260599780772
2019-12-11,9.47,9.58,9.29,9.31,11448031.0,117149170.0,558163643.0,0.02051016963138174
2019-12-12,9.33,9.44,9.16,9.2,11343325.0,114462337.0,558163643.0,0.02032257948409585
2019-12-13,9.24,9.36,9.21,9.31,9835519.0,99357252.0,558163643.0,0.01762121041624347
2019-12-16,9.36,9.74,9.18,9.74,19184112.0,198131585.0,558163643.0,0.03437004943010951
2019-12-17,9.74,9.74,9.51,9.64,15140526.0,158577182.0,558163643.0,0.027125604094568375
2019-12-18,9.59,10.02,9.56,9.69,17139844.0,182003852.0,558163643.0,0.030707560793242137
2019-12-19,9.65,10.18,9.53,10.05,17387330.0,185317747.0,558163643.0,0.031150954058109442
2019-12-20,10.04,10.04,9.36,9.38,16665109.0,176929618.0,558163643.0,0.029857030655792823
2019-12-23,9.38,9.43,9.07,9.18,13806572.0,138250401.0,558163643.0,0.024735706406445394
2019-12-24,9.17,9.42,9.05,9.36,9853706.0,98973964.0,558163643.0,0.017653794050502138
2019-12-25,9.33,9.42,9.19,9.36,8185454.0,82839402.0,558163643.0,0.014664971648825218
2019-12-26,9.29,9.54,9.28,9.49,8816966.0,90484570.0,558163643.0,0.015796381779026047
2019-12-27,9.55,9.95,9.55,9.66,18718103.0,197937365.0,558163643.0,0.03353515270072866
2019-12-30,9.72,10.01,9.53,9.84,15003043.0,159345442.0,558163643.0,0.02687929102540991
2019-12-31,9.82,9.98,9.69,9.81,9593662.0,102174899.0,557714231.0,0.01720175219986452
2020-01-02,9.85,10.07,9.77,9.99,11106108.0,120119737.0,557714231.0,0.019913617732304198
2020-01-03,9.93,10.3,9.9,10.19,12157600.0,134211100.0,557714231.0,0.021798977548414037
2020-01-06,10.11,10.6,9.99,10.39,16147272.0,182845890.0,557714231.0,0.028952590955133795
2020-01-07,10.45,10.96,10.45,10.95,18382479.0,215445782.0,557714231.0,0.03296039078479244
2020-01-08,10.81,12.05,10.8,11.37,35172969.0,438704244.0,557714231.0,0.063066292816186
2020-01-09,11.57,11.84,10.92,11.4,25906474.0,320530948.0,557714231.0,0.04645116183165855
2020-01-10,11.2,11.61,11.09,11.26,15556690.0,191205892.0,557714231.0,0.02789365796190343
2020-01-13,11.4,11.92,11.29,11.73,19962846.0,252931668.0,557714231.0,0.03579404090909776
2020-01-14,11.68,12.3,11.68,11.85,22122974.0,288085109.0,557714231.0,0.0396672216169431
2020-01-15,11.73,11.84,11.3,11.64,16435799.0,205878013.0,557714231.0,0.029469929376788665
2020-01-16,11.59,11.69,11.45,11.53,9193180.0,115241959.0,557714231.0,0.016483674772860512
2020-01-17,11.51,11.68,11.42,11.48,7983635.0,100067607.0,557714231.0,0.014314920717882847
2020-01-20,11.48,11.71,11.37,11.66,8490269.0,107068206.0,557714231.0,0.015223332179952927
2020-01-21,11.77,11.77,11.4,11.43,7870297.0,98415685.0,557714231.0,0.01411170194794617
2020-01-22,11.33,12.15,11.06,12.0,16132296.0,204609251.0,557714231.0,0.028925738493483052
2020-01-23,11.77,12.18,11.14,11.41,14237964.0,179172602.0,557714231.0,0.025529138775015406
2020-02-03,10.27,10.27,10.27,10.27,1998900.0,22327713.0,557714231.0,0.003584093589320657
2020-02-04,9.54,10.61,9.54,10.23,14612127.0,163446360.0,557714231.0,0.02620002536747175
2020-02-05,10.45,10.9,10.31,10.68,13253068.0,153890094.0,557714231.0,0.023763187782095522
2020-02-06,10.43,10.85,10.26,10.68,12253372.0,141491167.0,557714231.0,0.021970699901326347
2020-02-07,10.58,10.75,10.32,10.47,13996290.0,159678617.0,557714231.0,0.02509580932676613
2020-02-10,10.51,11.44,10.46,11.31,17618550.0,212019616.0,557714231.0,0.031590640906561336
2020-02-11,11.13,11.37,10.99,11.29,12428731.0,150584766.0,557714231.0,0.022285124368648216
2020-02-12,11.24,12.42,11.24,12.42,29490185.0,386552216.0,557714231.0,0.05287687378377117
2020-02-13,13.01,13.66,12.47,13.2,50806347.0,723729264.0,557714231.0,0.09109745488993987
2020-02-14,12.98,13.46,12.7,12.89,26875443.0,380786311.0,557714231.0,0.04818855518858008
2020-02-17,12.89,13.78,12.8,13.53,25479194.0,365768738.0,557714231.0,0.0456850347073177
2020-02-18,13.62,14.04,13.24,13.93,25873155.0,382064681.0,557714231.0,0.04639141976637136
2020-02-19,14.08,14.83,13.41,13.54,29003386.0,443518516.0,557714231.0,0.05200402713051803
2020-02-20,13.66,14.19,13.53,13.84,24660450.0,372070814.0,557714231.0,0.044216999727231275
2020-02-21,13.66,14.41,13.48,13.83,30284081.0,458241726.0,557714231.0,0.054300355480798194
2020-02-24,13.76,14.02,13.36,13.7,22827182.0,340672833.0,557714231.0,0.04092988977360343
2020-02-25,13.56,14.98,13.18,14.79,36476009.0,556257246.0,557714231.0,0.06540268648801971
2020-02-26,14.19,14.34,13.31,13.34,28162579.0,421162927.0,557714231.0,0.050496432464173575
2020-02-27,13.61,13.77,13.25,13.35,15188898.0,223028258.0,557714231.0,0.027234194782453022
2020-02-28,12.69,13.2,12.38,12.43,16443622.0,228332208.0,557714231.0,0.029483956273656572
2020-03-02,12.79,13.06,12.6,12.9,13612106.0,190550599.0,557714231.0,0.024406954750989668
2020-03-03,13.48,13.7,13.01,13.31,14921502.0,217540595.0,557714231.0,0.026754744940334866
2020-03-04,13.19,13.95,12.97,13.65,18482228.0,272370637.0,557714231.0,0.03313924402979776
2020-03-05,15.02,15.03,14.32,14.61,39478351.0,632387508.0,557714231.0,0.07078598465958814
2020-03-06,14.4,14.61,13.93,14.04,24080223.0,373233758.0,557714231.0,0.0431766335903306
2020-03-09,13.7,13.94,13.04,13.14,22290845.0,326508922.0,557714231.0,0.0399682198534396
2020-03-10,12.87,14.07,12.63,13.96,21894059.0,317611139.0,557714231.0,0.039256769476266065
2020-03-11,14.12,14.53,13.81,13.81,24141073.0,373420549.0,557714231.0,0.043285739646116365
2020-03-12,13.55,14.14,13.12,13.67,19227248.0,284545214.0,557714231.0,0.03447508944773547
2020-03-13,13.04,14.09,12.76,13.94,22074137.0,324272403.0,557714231.0,0.03957965526613934
2020-03-16,14.05,14.05,12.54,12.54,24454817.0,348584577.0,557714231.0,0.04384829297999391
2020-03-17,12.42,12.73,11.85,12.34,14703065.0,196975214.0,557714231.0,0.026363080199041936
2020-03-18,12.51,13.41,12.42,12.6,23554881.0,331552780.0,557714231.0,0.04223467806759265
2020-03-19,12.74,13.14,12.36,13.02,20503262.0,285800291.0,557714231.0,0.03676302461071681
2020-03-20,13.32,13.37,12.73,13.01,14975372.0,212517132.0,557714231.0,0.026851335626040355
2020-03-23,12.53,12.9,11.93,12.14,12379802.0,167612839.0,557714231.0,0.02219739305881187
2020-03-24,12.62,12.82,12.09,12.64,11945034.0,162027801.0,557714231.0,0.021417839703645646
2020-03-25,13.2,13.63,13.14,13.33,21406348.0,310422381.0,557714231.0,0.038382287576950856
2020-03-26,13.2,13.3,12.66,12.82,14689725.0,207309058.0,557714231.0,0.026339161139318317
2020-03-27,13.08,13.13,12.21,12.33,21602869.0,295934490.0,557714231.0,0.03873465620783128
2020-03-30,12.1,12.11,11.12,11.26,22514183.0,278853372.0,557714231.0,0.040368672249283165
