日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-04,11.13,12.07,11.06,12.07,9343644.0,117713340.0,565356814.0,0.0165
2021-01-05,12.59,13.13,12.11,12.77,27642540.0,373669395.0,565356814.0,0.0489
2021-01-06,12.68,13.51,12.52,13.45,29622241.0,413436300.0,565356814.0,0.0524
2021-01-07,13.45,13.74,12.92,13.39,25516396.0,364697405.0,565356814.0,0.0451
2021-01-08,13.21,13.63,12.83,13.13,18468461.0,258235212.0,565356814.0,0.0327
2021-01-11,13.27,13.45,12.77,13.26,17766016.0,250449268.0,565356814.0,0.0314
2021-01-12,13.11,13.51,12.88,13.11,15282189.0,214641258.0,565356814.0,0.027
2021-01-13,12.94,13.17,12.3,12.39,17169550.0,232440473.0,565356814.0,0.0304
2021-01-14,12.33,12.35,11.58,11.6,14252261.0,180605645.0,565356814.0,0.0252
2021-01-15,11.6,11.77,11.43,11.65,9553957.0,118402916.0,565356814.0,0.0169
2021-01-18,11.71,12.03,11.53,11.92,8995228.0,113808067.0,565356814.0,0.0159
2021-01-19,11.86,12.24,11.81,11.98,7323663.0,94069718.0,565356814.0,0.013
2021-01-20,11.89,12.03,11.74,11.86,5297134.0,67252328.0,565356814.0,0.0094
2021-01-21,11.89,12.95,11.88,12.8,14793457.0,199034438.0,565356814.0,0.0262
2021-01-22,12.79,13.0,12.63,12.88,11046197.0,151392812.0,565356814.0,0.0195
2021-01-25,12.88,13.79,12.85,13.38,20165403.0,288325601.0,565356814.0,0.0357
2021-01-26,13.25,13.99,13.01,13.45,17746966.0,256937851.0,565356814.0,0.0314
2021-01-27,13.55,13.79,13.08,13.46,13761871.0,197582947.0,565356814.0,0.0243
2021-01-28,13.19,13.51,12.82,12.86,11363000.0,159405872.0,565356814.0,0.0201
2021-01-29,13.08,13.2,12.66,12.96,10719214.0,148662171.0,565356814.0,0.019
2021-02-01,12.96,13.45,12.59,12.64,11708233.0,161703435.0,565356814.0,0.0207
2021-02-02,12.58,13.53,12.47,13.46,16660747.0,234516297.0,565356814.0,0.0295
2021-02-03,13.36,13.45,12.83,12.88,13971557.0,195000184.0,565356814.0,0.0247
2021-02-04,12.82,12.88,11.59,11.59,20097852.0,255759134.0,565356814.0,0.0355
2021-02-05,11.37,11.52,10.79,10.83,15811252.0,188277306.0,565356814.0,0.028
2021-02-08,10.84,11.01,10.6,10.94,8196616.0,94792195.0,565356814.0,0.0145
2021-02-09,10.92,11.38,10.85,11.38,8074033.0,96765593.0,565356814.0,0.0143
2021-02-10,11.42,11.44,11.14,11.37,6641624.0,80204559.0,565356814.0,0.0117
2021-02-18,11.48,11.71,11.32,11.44,7145125.0,87891178.0,565356814.0,0.0126
2021-02-19,11.44,11.57,11.13,11.55,7150541.0,86750009.0,565356814.0,0.0126
2021-02-22,11.54,11.83,11.42,11.42,9632347.0,119782735.0,565356814.0,0.017
2021-02-23,11.49,11.49,11.12,11.22,6827419.0,82200651.0,565356814.0,0.0121
2021-02-24,11.23,11.35,11.06,11.24,6480955.0,77667858.0,565356814.0,0.0115
2021-02-25,11.28,11.32,10.93,10.97,5739865.0,67603784.0,565356814.0,0.0102
2021-02-26,10.84,11.02,10.77,10.98,4252393.0,49682859.0,565356814.0,0.0075
2021-03-01,11.03,11.21,11.01,11.19,4477542.0,53144340.0,565356814.0,0.0079
2021-03-02,11.19,11.37,11.12,11.26,5053884.0,60623439.0,565356814.0,0.0089
2021-03-03,11.32,11.33,11.13,11.32,4698731.0,56387757.0,565356814.0,0.0083
2021-03-04,11.24,11.45,11.21,11.33,6097141.0,73793698.0,565356814.0,0.0108
2021-03-05,11.24,11.43,11.24,11.42,5038375.0,61203681.0,565356814.0,0.0089
2021-03-08,11.48,11.53,11.1,11.13,6708512.0,81390587.0,565356814.0,0.0119
2021-03-09,11.13,11.17,10.65,10.94,5371219.0,62702354.0,565356814.0,0.0095
2021-03-10,10.99,11.07,10.68,10.7,3494406.0,40499034.0,565356814.0,0.0062
2021-03-11,10.72,10.92,10.58,10.9,3129652.0,36028901.0,565356814.0,0.0055
2021-03-12,10.9,11.39,10.69,11.33,7513112.0,89133755.0,565356814.0,0.0133
2021-03-15,11.23,11.23,10.89,11.01,4525184.0,53561558.0,565356814.0,0.008
2021-03-16,11.03,11.13,10.93,11.07,3222436.0,38074977.0,565356814.0,0.0057
2021-03-17,11.14,11.16,10.96,11.07,2403607.0,28392179.0,565356814.0,0.0043
2021-03-18,11.1,11.14,10.95,11.01,3134460.0,36938593.0,565356814.0,0.0055
2021-03-19,10.85,11.08,10.84,10.88,3067468.0,35884779.0,565356814.0,0.0054
2021-03-22,10.98,11.28,10.89,11.28,5594725.0,66887586.0,565356814.0,0.0099
2021-03-23,11.28,11.57,11.2,11.36,6102907.0,74123475.0,565356814.0,0.0108
2021-03-24,11.28,11.64,11.25,11.43,6571520.0,80793135.0,565356814.0,0.0116
2021-03-25,11.45,11.59,11.32,11.55,5472829.0,67109681.0,565356814.0,0.0097
2021-03-26,11.58,11.99,11.42,11.93,9559380.0,119654333.0,565356814.0,0.0169
2021-03-29,12.0,12.4,11.93,12.4,12242720.0,159112886.0,565356814.0,0.0217
2021-03-30,12.4,12.59,12.14,12.34,10825696.0,143298587.0,565356814.0,0.0191
2021-03-31,12.79,12.81,12.05,12.16,13944913.0,184316200.0,565356814.0,0.0247
2021-04-01,12.17,12.27,11.75,11.98,7461343.0,95358690.0,565356814.0,0.0132
2021-04-02,12.03,12.1,11.87,12.05,5673878.0,72715734.0,565356814.0,0.01
2021-04-06,12.12,12.16,11.76,11.84,7588595.0,96240097.0,565356814.0,0.0134
2021-04-07,11.87,12.0,11.68,11.74,7710824.0,97303087.0,565356814.0,0.0136
2021-04-08,11.76,11.78,11.58,11.6,6527275.0,81513625.0,565356814.0,0.0115
