SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
002230.SZ,002230,科大讯飞,10026422,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-21 00:00:00,2025-10-21 00:00:00,CNY,17438148060.7,,,,,,,,,,,,289188904.36,1270002322.22,,0.0,18997339287.28,10915993933.07,,,,,,4446106045.23,855199826.3,2657367925.67,,0.0,18874667730.27,,0.0,122671557.01,22155488.37,83433819.61,7855907.58,,,18091659.34,,0.0,131536874.9,2123410343.1,246178120.0,,,,,,0.0,2369588463.1,,0.0,-2238051588.2,417051293.0,158483091.0,4705860853.67,,,,0.0,5122912146.67,2829302175.28,361058425.53,2055598.65,,173891581.54,,,0.0,3364252182.35,,0.0,1758659964.32,362739.98,,0.0,-356357326.89,3110849275.22,,0.0,2754491948.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2637028541,,,,,,,,,,,,25.4071263952,52.4245968731,,,18.2707107391,3.5384678581,,,,,,16.3752385291,26.5097124588,44.1008749292,,,11.7934067587,,,114.9429071431,-28.9368241322,201.9835318701,170.5664729459,,,53.3239887388,,,78.5616662942,-11.3799538451,356.2618767708,,,,,,,-3.2836426496,,,5.820746433,1662.7999432,569.879193524,14.367288647,,,,,23.7911841628,127.3753350641,2.4231604326,-66.1881047796,,2.6634598098,,,,90.4766894092,,,-25.8613179764,129.7966729763,,,56.8785960038,-8.0422187789,,,7.7444135337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002230.SZ,002230,科大讯飞,10026422,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-22 00:00:00,2025-08-22 00:00:00,CNY,10360973954.08,,,,,,,,,,,,179153283.07,819984342.29,,0.0,11360111579.44,6671922581.77,,,,,,3089811035.93,606138687.21,1764213638.69,,0.0,12132085943.6,,0.0,-771974364.16,20424671.15,69635370.71,7322289.21,,,17437041.41,,0.0,114819372.48,1475050120.78,55931792.8,,,,,,0.0,1530981913.58,,0.0,-1416162541.1,329077293.0,70509091.0,3823880853.67,,,,0.0,4152958146.67,1792641243.29,83936763.92,1119499.02,,118174327.69,,,0.0,1994752334.9,,0.0,2158205811.77,3390941.15,,0.0,-26540152.34,3110849275.22,,0.0,3084309122.88,-228224725.58,348672637.87,362887329.58,362887329.58,,790441678.72,27722862.86,,,,-7533081.38,1443939.16,-2388706.53,81924900.66,-20718095.5,-250305149.35,-247881132.48,-2424016.87,,-176088241.81,-1299986180.46,-215729803.9,-282172415.68,,0.0,-771974364.16,,,,,3084309122.88,3110849275.22,,,,,-26540152.34,14.9878986032,,,,,,,,,,,,13.901246995,40.7002444861,,,16.5071879504,-3.2751359196,,,,,,16.2973630832,20.6797589632,43.5256559371,,,7.4955990091,,,49.7267285459,-32.9267760165,746.2848317972,240.4760789128,,,73.3576440083,,,125.6284756071,-10.8386089779,34.6528120694,,,,,,,-9.7243831521,,,13.9115519464,6742.2350140347,1366.0378625637,26.880642828,,,,,37.5802385474,127.9805011269,6.677608451,-81.5857129681,,-29.7877361391,,,,93.0456277323,,,8.7111900962,-19.3797735786,,,97.7717824842,-8.0422187789,,,40.7192874714,51.4480797167,-5.6071196174,0.230698226,0.230698226,,1.5855039967,-36.4338309287,,,,-537.7896864621,-43.6841497763,95.6226679227,46.933522331,-293.7238457241,-61.7757146784,-66.2075803101,56.5905450281,,-193.7225571273,-45.4856068806,83.3821210751,47.7211896297,,,49.7267285459,,,,,40.7192874714,-8.0422187789,,,,,97.7717824842,,,,,98078687.18,47.6999946926
002230.SZ,002230,科大讯飞,10026422,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-22 00:00:00,2025-04-22 00:00:00,CNY,4995268680.7,,,,,,,,,,,,120173495.67,290046953.84,,0.0,5405489130.21,3233469183.14,,,,,,1832397063.47,383276831.78,668581645.82,,0.0,6117724724.21,,0.0,-712235594.0,20227973.11,58757925.17,6379650.89,,,7100459.8,,0.0,92466008.97,751198907.66,43625000.0,,,,,,0.0,794823907.66,,0.0,-702357898.69,295018202.0,36450000.0,1385045806.98,,,,0.0,1680064008.98,486186926.99,38669505.36,427200.0,,33385543.54,,,0.0,558241975.89,,0.0,1121822033.09,1496868.59,,0.0,-291274591.01,3110849275.22,,0.0,2819574684.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.564164845,,,,,,,,,,,,-1.5349502878,-17.587124286,,,11.8170264566,-5.7558999215,,,,,,17.2075407671,6.1608514557,-22.5281769607,,,-1.6184087411,,,48.542948499,26.4998463464,6182.8009713622,219.8348115206,,,101.524598915,,,311.9896024325,5.0964423189,34.8070718688,,,,,,,6.3833199033,,,3.0813807506,11941.5592653061,1387.7551020408,-2.7414466188,,,,,17.7722516381,152.9732804734,10.9736910109,1642.7309720253,,,,,,145.8839947405,,,-6.4759932052,56.6423462173,,,67.9342633701,-8.0422187789,,,13.9432367717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002230.SZ,002230,科大讯飞,10026422,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-22 00:00:00,2025-04-22 00:00:00,CNY,22908708903.11,,,,,,,,,,,,317800942.77,1521207910.8,,0.0,24747717756.68,13666948993.72,,,,,,4270976792.93,958167506.06,3356451009.05,,0.0,22252544301.76,,0.0,2495173454.92,33255210.98,48262117.54,4988479.11,155775.12,,24114460.77,,0.0,110776043.52,3220014055.18,196036943.69,,,,,,0.0,3416050998.87,,0.0,-3305274955.35,544144119.93,525605161.43,5390350662.03,,,,0.0,5934494781.96,4672578950.2,406089694.47,6672316.22,,317231148.56,,,0.0,5395899793.23,,0.0,538594988.73,-554537.7,,0.0,-272061049.4,3382910324.62,,0.0,3110849275.22,507033632.21,1072404836.4,684945549.51,684945549.51,,1411532204.47,69996469.71,,,,-8005149.95,4562475.38,21917068.19,72574508.74,-92973584.68,-298143750.14,249525093.68,-547668843.82,,-446289837.58,-3120514658.77,2322094566.86,75199070.66,,0.0,2495173454.92,,,,,3110849275.22,3382910324.62,,,,,-272061049.4,20.3435498568,,,,,,,,,,,,11.0908304231,59.9360839014,,,22.0704954994,13.9312945524,,,,,,-3.0110929203,7.778298049,27.3712663586,,,11.6896990575,,,613.4003447872,-93.5363834959,194.457019951,-77.19875902,-90.2262622162,,-2.1196918042,,,-80.867606956,-21.1140032244,-58.8043422648,,,,,,,-25.0492172114,,,16.9263457444,183.334610742,173.6814170424,8.6866651974,,,,,15.1975066472,181.6417559237,28.501120162,-23.7947304132,,-8.5281462965,,,,132.3937448238,,,-80.9663870113,-105.9488223929,,,65.5594603555,-18.9305475382,,,-8.0422187789,-17.3062773838,40.7379731301,74.6630041316,74.6630041316,,7.0706143095,-17.5329240778,,,,37.0439815003,75.4595810205,127.4035771843,17.0693475538,54.6224738606,-17.3029367936,139.5513387531,-245.3768767157,,-275.0946855213,2.9392019694,489.6941800313,-23.1346236481,,,613.4003447872,,,,,-8.0422187789,-18.9305475382,,,,,65.5594603555,标准无保留意见,,,,218840053.91,62.1702608688
002230.SZ,002230,科大讯飞,10026422,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-19 00:00:00,2025-10-21 00:00:00,CNY,14998789504.05,,,,,,,,,,,,230600056.53,833200381.22,,0.0,16062589941.8,10542935547.42,,,,,,3820491456.28,675995391.72,1844102561.47,,0.0,16883524956.89,,0.0,-820935015.09,31177171.72,27628599.18,2903503.71,155775.12,,11799627.37,,0.0,73664677.1,2396083544.56,53955443.69,,,,,,0.0,2450038988.25,,0.0,-2376374311.15,23658458.5,23658458.5,4114691280.47,,,,0.0,4138349738.97,1244331173.6,352516387.9,6079513.25,,169380207.78,,,0.0,1766227769.28,,0.0,2372121969.69,-1217384.17,,0.0,-826404740.72,3382910324.62,,0.0,2556505583.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0691703845,,,,,,,,,,,,7.4412417077,-5.7777540673,,,22.6965158604,26.5786357915,,,,,,10.0481707776,15.278831128,-1.6845433792,,,18.373615051,,,29.9301524497,-93.8201658193,80.5151935111,-80.8359952576,-90.2262622162,,-37.9931059798,,,-86.7408962733,37.2680326167,-84.1477585024,,,,,,,17.4340360636,,,-55.2442371511,-76.5873740722,2153.1865238095,76.8191784683,,,,,70.2070833457,714.1105266412,26.1233735702,-23.8196205169,,-32.0908502638,,,,159.0656181027,,,35.5813477929,-119.4115167044,,,12.6849735472,-18.9305475382,,,-20.7626896102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002230.SZ,002230,科大讯飞,10026422,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-22 00:00:00,2025-08-22 00:00:00,CNY,9010490738.54,,,,,,,,,,,,157288254.34,582788143.18,,0.0,9750567136.06,6897836089.2,,,,,,2656819513.37,502270382.72,1229197405.28,,0.0,11286123390.57,,0.0,-1535556254.51,30451303.72,8228360.96,2150603.13,,,10058420.85,,0.0,50888688.66,1654359699.72,41537782.94,,,,,,0.0,1695897482.66,,0.0,-1645008794.0,4809500.0,4809500.0,3013762200.79,,,,0.0,3018571700.79,786313405.94,78682644.97,6079513.25,,168310094.55,,,0.0,1033306145.46,,0.0,1985265555.33,4206067.51,,0.0,-1191093425.67,3382910324.62,,0.0,2191816898.95,-470063231.79,369384466.77,362052081.85,362052081.85,,778104796.08,43612605.99,,,,-1181123.11,2564001.35,-54569918.11,55756439.62,10694654.25,-154723562.71,-149139486.91,-5584075.8,,187882455.63,-893549683.94,-1298178936.52,-539745288.16,,0.0,-1535556254.51,,,,,2191816898.95,3382910324.62,,,,,-1191093425.67,20.0375122439,,,,,,,,,,,,15.3377544109,-11.1241652899,,,17.4979385443,22.8488493428,,,,,,5.2363628412,20.1330229579,-3.1845414843,,,14.8452729342,,,-0.4457538395,-92.8350560499,-45.8915616483,-85.6603882002,,,-36.3295081222,,,-89.1957565653,61.5620431879,-85.8870527456,,,,,,,28.642573387,,,-94.1482038435,-95.2404750124,358.0476190476,50.9996492323,,,,,43.9523899767,666.1091380726,135.2264542226,-13.1550052856,,-32.519887874,,,,168.0369960569,,,16.0014204753,-54.7517139127,,,-81.7556325011,-18.9305475382,,,-37.6887097348,-3264.0166049568,28.9922548502,116.5940546647,116.5940546647,,19.763229138,18.923843669,,,,86.1185738493,144.5215285548,22.4593630841,499.6233112089,107.9387999554,7.0929732402,26.9321590344,-114.8611185724,,280.6217571648,5.1365829497,-8.6369224259,-85.1896235841,,,-0.4457538395,,,,,-37.6887097348,-18.9305475382,,,,,-81.7556325011,,,,,66403988.29,1.7042390308
002230.SZ,002230,科大讯飞,10026422,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-23 00:00:00,2025-04-22 00:00:00,CNY,4360236630.24,,,,,,,,,,,,122046854.21,351943736.13,,0.0,4834227220.58,3430951306.71,,,,,,1563378133.76,361034059.66,862999758.61,,0.0,6218363258.74,,0.0,-1384136038.16,15990512.0,935218.63,1994670.58,,,3523371.26,,0.0,22443772.47,714771015.16,32361061.92,,,,,,0.0,747132077.08,,0.0,-724688304.61,2450000.0,2450000.0,1424086374.75,,,,0.0,1426536374.75,192189043.08,34845651.26,24513.25,,0.0,,,0.0,227034694.34,,0.0,1199501680.41,955596.38,,0.0,-908367065.98,3382910324.62,,0.0,2474543258.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7885876291,,,,,,,,,,,,32.7968023721,135.1490113253,,,23.5692988603,14.986058973,,,,,,1.8011032545,25.9810614938,11.4286042427,,,11.4286061473,,,17.0392048426,-95.4203615935,-80.6763236703,-82.0939644899,,,-24.2078983164,,,-93.9307286497,70.5161508999,-85.9497621516,,,,,,,15.031037223,,,-159.0844344403,250.0,250.0,71.1394705381,,,,,71.2898059249,11987.3612,179.6155511696,,,-100.0,,,,1354.1261391854,,,46.7806020957,121.6044832375,,,19.992262379,-18.9305475382,,,-18.5337031871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002230.SZ,002230,科大讯飞,10026422,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-23 00:00:00,2025-04-22 00:00:00,CNY,19036092030.17,,,,,,,,,,,,286073064.32,951134899.45,,0.0,20273299993.94,11995781358.77,,,,,,4403572451.25,889017105.86,2635171263.51,,0.0,19923542179.39,,0.0,349757814.55,514498515.79,16390207.83,21878103.54,1593813.17,,24636682.51,,0.0,578997322.84,4081857600.58,475867978.49,,,,,,0.0,4557725579.07,,0.0,-3978728256.23,192050000.0,192050000.0,4959532664.14,,,,0.0,5151582664.14,1659050496.57,316020353.72,8755715.0,,346807390.16,,,0.0,2321878240.45,,0.0,2829704423.69,9321806.29,,0.0,-789944211.7,4172854536.32,,0.0,3382910324.62,613146459.21,761986841.61,392152621.51,392152621.51,,1318318955.74,84878078.83,,,,-12715464.13,2600299.94,-79978858.39,61992750.67,-204889055.42,-254165631.56,-630889121.7,376723490.14,,254884856.3,-3215010304.97,393779461.54,97832176.5,,0.0,349757814.55,,,,,3382910324.62,4172854536.32,,,,,-789944211.7,7.894784994,,,,,,,,,,,,32.4289387665,4.9144322694,,,8.0332249349,14.2573979209,,,,,,-4.1166548869,8.3672382763,18.5348223411,,,9.8621368493,,,-44.549888558,-33.5604934058,-71.8802065956,551.483944792,,,-24.1122803003,,,-33.3333613204,79.9650744985,70.7175421083,,,,,,,77.1781641505,,,-133.5070719885,385.6215482865,385.6215482865,30.0942930628,,,,,33.7445607837,-32.2640472495,-0.9635558224,-79.5915496569,,-75.2596589017,,,,-44.321802049,,,988.8164939771,-53.9551073516,,,42.3929013924,-24.7336421898,,,-18.9305475382,22.9666935047,9.0761870092,21.9619537704,21.9619537704,,8.6054238219,12.9221528911,,,,-161.8203497085,-46.0981921481,-131.8559312372,408.0521322968,-641.8204877889,22.8582031438,-103.6850874783,2008.3319118827,,179.1861785678,-7.9384893162,-54.0297562058,-57.4017370722,,,-44.549888558,,,,,-18.9305475382,-24.7336421898,,,,,42.3929013924,标准无保留意见,,,,134944627.17,2.9861626958
002230.SZ,002230,科大讯飞,10026422,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-20 00:00:00,2024-10-19 00:00:00,CNY,11992395454.4,,,,,,,,,,,,214628994.29,884292634.9,,0.0,13091317083.59,8329158772.72,,,,0.0,0.0,3471653757.88,586400282.78,1875699533.78,,0.0,14262912347.16,,0.0,-1171595263.57,504498515.79,15305414.82,15150819.2,1593813.17,,19029541.08,,0.0,555578104.06,1745551020.79,340364759.76,0.0,0.0,,395028.8,,0.0,2086310809.35,,0.0,-1530732705.29,101050000.0,1050000.0,2327061643.49,,3250000.0,,0.0,2431361643.49,152845483.86,279501235.91,7980418.7,,249421776.65,,,0.0,681768496.42,,0.0,1749593147.07,6271453.12,,0.0,-946463368.67,4172854536.32,,0.0,3226391167.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.4912281719,,,,,,,,,,,,25.0803954192,0.1655627155,,,-5.6774784963,-5.403933324,,,,,,2.9154023512,20.9590134867,-15.7980475346,,,-4.2159358714,,,-15.8409737687,-27.0490905403,4.0801756506,531.4286463029,,,-27.3878053323,,,-24.3978587689,10.1116604976,-34.1558137654,,-100.0,,,,,-1.9448980777,,,-9.9015788128,155.5170916655,-97.3449485774,24.1478024032,,,,,27.0320057789,-84.3906252582,-5.7605906317,-80.9990030952,,-65.4681029443,,,,-65.8786572662,,,2180.4985186193,-71.6119864422,,,61.6227091028,-24.7336421898,,,4.8241029822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002230.SZ,002230,科大讯飞,10026422,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-12 00:00:00,2024-08-22 00:00:00,CNY,7506395767.54,,,,,,,,,,,,136371871.59,655732961.7,,0.0,8298500600.83,5614896782.59,,,,,,2524621187.62,418095183.45,1269629276.28,,0.0,9827242429.94,,0.0,-1528741829.11,425004074.45,15207167.7,14997638.43,,,15797617.63,,0.0,471006498.21,1023977951.18,294323943.76,,,,,,0.0,1318301894.94,,0.0,-847295396.73,101050000.0,1050000.0,1995873643.49,,,,0.0,2096923643.49,102637257.13,33449743.24,7000418.7,,249421776.65,,,0.0,385508777.02,,0.0,1711414866.47,9295528.9,,0.0,-655326830.47,4172854536.32,,0.0,3517527705.85,14856534.92,286361741.02,167156980.56,167156980.56,,649702585.41,36672718.14,,,,-8508658.24,1048578.98,-70375896.15,9298577.72,-134713738.98,-166535910.26,-204110980.89,37575070.63,,49361985.25,-941932845.9,-1194970280.39,-291455470.19,,0.0,-1528741829.11,,,,,3517527705.85,4172854536.32,,,,,-655326830.47,-8.2932160758,,,,,,,,,,,,31.0161599231,-1.6297848533,,,-7.3403857673,-13.6818587413,,,,,,8.264454435,0.2736487167,-3.765133425,,,-7.0538131174,,,5.4667495438,27.3166329551,3.4120736993,1129.3534105023,,,-18.8535133295,,,27.5714327189,-7.2496131006,126.4679254325,,,,,,,6.8335440431,,,2.0204382728,351.1109029865,-95.3125537047,55.9294559506,,,,,61.0064023809,-87.3902481355,-88.381299446,-83.3323364286,,1928.8299501836,,,,-65.3985662413,,,809.146106645,-0.9557457924,,,71.311515336,-24.7336421898,,,7.905210395,-93.8736174291,334.2645472626,8.9296542122,8.9296542122,,8.421700726,29.7274506237,,,,-67542.7378720739,-29.9853690125,-143.4649257773,116.3082854247,-14039.5942984264,-469.926672309,-374.6559252657,228.2577550807,,122.231363988,-1.5759272196,37.473765625,-296.5625912805,,,5.4667495438,,,,,7.905210395,-24.7336421898,,,,,71.311515336,,,,,65291269.0,18.210053783
