日期,002230.SZ_close,002230.SZ_volume,002230.SZ_turnover
2024-05-13,43.9,1174415539.08,1.22
2024-05-14,43.33,1403404127.84,1.47
2024-05-15,42.8,764687681.69,0.81
2024-05-16,42.64,1176530647.75,1.25
2024-05-17,42.99,890805149.51,0.95
2024-05-20,43.4,1173959994.84,1.23
2024-05-21,43.19,725208950.65,0.76
2024-05-22,43.67,1166808641.18,1.22
2024-05-23,42.45,1347106990.58,1.43
2024-05-24,41.6,1001070056.24,1.09
2024-05-27,41.96,795183578.18,0.87
2024-05-28,40.94,886179045.74,0.98
2024-05-29,40.99,805475130.42,0.89
2024-05-30,41.78,1178250704.16,1.29
2024-05-31,42.0,926997634.25,1.0
2024-06-03,42.04,707652143.79,0.77
2024-06-04,41.96,725158649.88,0.79
2024-06-05,42.15,927499355.52,1.0
2024-06-06,41.78,1172912506.92,1.27
2024-06-07,41.31,934234340.02,1.03
2024-06-11,41.61,829603223.84,0.91
2024-06-12,42.73,1471592381.31,1.57
2024-06-13,42.88,1166443888.45,1.24
2024-06-14,43.2,1361269828.73,1.44
2024-06-17,42.7,1191284893.58,1.27
2024-06-18,43.4,1595421413.76,1.67
2024-06-19,42.84,871983818.61,0.92
2024-06-20,41.9,978348751.75,1.05
2024-06-21,42.53,833298518.42,0.9
2024-06-24,41.28,949940829.23,1.04
2024-06-25,41.31,915077012.08,1.0
2024-06-26,44.56,3794111586.47,3.97
2024-06-27,42.94,2394587348.5,2.5
2024-06-28,42.75,2085958468.78,2.22
2024-07-01,43.29,1667621073.81,1.76
2024-07-02,42.63,1385605000.29,1.47
2024-07-03,41.86,1163070557.19,1.27
2024-07-04,40.91,1119274857.86,1.23
2024-07-05,41.1,949364091.53,1.06
2024-07-08,38.6,1878697888.54,2.2
2024-07-09,38.9,1541676079.18,1.83
2024-07-10,38.76,1006234460.23,1.18
2024-07-11,39.15,1048726610.86,1.22
2024-07-12,38.56,941637921.38,1.11
2024-07-15,38.03,802398432.34,0.96
2024-07-16,38.91,1146196747.15,1.36
2024-07-17,38.82,906726163.05,1.06
2024-07-18,38.59,1107927015.25,1.33
2024-07-19,39.2,1122935318.37,1.31
2024-07-22,39.54,1184481261.77,1.36
2024-07-23,38.48,821038117.89,0.96
2024-07-24,38.24,743298128.16,0.88
2024-07-25,38.32,594035953.16,0.71
2024-07-26,38.56,576447431.67,0.69
2024-07-29,38.51,443251494.85,0.53
2024-07-30,38.66,515505361.72,0.61
2024-07-31,39.62,1111355252.83,1.29
2024-08-01,39.16,810990833.26,0.94
2024-08-02,38.77,613826144.05,0.72
2024-08-05,37.8,924062574.83,1.1
2024-08-06,36.32,1850530614.16,2.33
2024-08-07,36.36,798025323.41,1.0
2024-08-08,36.05,708703937.08,0.9
2024-08-09,35.8,476915203.61,0.6
2024-08-12,34.61,1154457791.4,1.52
2024-08-13,34.82,577006706.3,0.76
2024-08-14,34.57,458029118.24,0.6
2024-08-15,34.58,741380013.89,0.98
2024-08-16,34.36,465800730.55,0.62
2024-08-19,34.41,505417292.03,0.67
2024-08-20,33.92,582122637.15,0.78
2024-08-21,33.9,582822375.87,0.78
2024-08-22,32.98,829677239.42,1.13
2024-08-23,33.83,843483506.99,1.15
2024-08-26,33.9,492683558.65,0.66
2024-08-27,33.23,495164434.38,0.68
2024-08-28,33.22,510333309.03,0.71
2024-08-29,33.49,558439384.53,0.76
2024-08-30,34.29,978243498.11,1.3
2024-09-02,33.29,678010654.78,0.92
2024-09-03,33.99,692972144.62,0.93
2024-09-04,33.78,396415615.28,0.54
2024-09-05,34.15,490117795.76,0.66
2024-09-06,33.9,667682294.44,0.89
2024-09-09,33.56,448339327.74,0.61
2024-09-10,34.06,566933119.34,0.77
2024-09-11,34.24,512893609.24,0.68
2024-09-12,33.98,491054536.27,0.65
2024-09-13,33.72,445507613.86,0.6
2024-09-18,33.74,371853924.41,0.51
2024-09-19,34.48,864006380.85,1.15
2024-09-20,34.59,634556172.06,0.84
2024-09-23,34.71,704323144.53,0.92
2024-09-24,35.75,1339333538.01,1.74
2024-09-25,36.28,1769655936.63,2.2
2024-09-26,37.47,1406537750.87,1.74
2024-09-27,40.3,2950486696.47,3.4
2024-09-30,44.34,4828743059.34,5.06
2024-10-08,48.78,6678014043.65,6.31
2024-10-09,46.87,6942143622.88,6.61
2024-10-10,44.64,4293400007.06,4.34
2024-10-11,42.81,2568282971.02,2.72
2024-10-14,43.55,2313967453.92,2.46
2024-10-15,42.95,2385162817.04,2.49
2024-10-16,42.9,1412525057.12,1.51
2024-10-17,44.3,3534829720.46,3.66
2024-10-18,45.73,5100644027.33,5.17
2024-10-21,46.08,4441628408.26,4.38
2024-10-22,45.45,2516923851.23,2.53
2024-10-23,45.48,2059996997.27,2.07
2024-10-24,44.71,1697958586.56,1.72
2024-10-25,45.38,1866511888.57,1.88
2024-10-28,45.55,1821071794.77,1.82
2024-10-29,45.81,3752782509.07,3.71
2024-10-30,45.45,2160674500.0,2.17
2024-10-31,45.85,2930889740.24,2.93
2024-11-01,44.68,2752387532.03,2.77
2024-11-04,45.33,2180904470.49,2.21
2024-11-05,46.69,4303433742.31,4.24
2024-11-06,47.69,5284244456.3,5.05
2024-11-07,48.6,4836029294.38,4.64
2024-11-08,48.1,5288687968.71,4.92
2024-11-11,51.25,8227981097.01,7.45
2024-11-12,49.18,5508650546.34,5.06
2024-11-13,54.11,11740730573.67,10.28
2024-11-14,52.59,10529295828.15,8.93
2024-11-15,52.97,10385019896.25,8.69
2024-11-18,48.25,8207257821.05,7.57
2024-11-19,47.66,6044962784.12,5.9
2024-11-20,49.05,5131498448.8,4.79
2024-11-21,49.95,5056707843.69,4.64
2024-11-22,48.82,6760262845.02,6.1
2024-11-25,48.69,4388962799.91,4.16
2024-11-26,46.94,3040706028.66,2.91
2024-11-27,48.38,3120429633.99,3.02
2024-11-28,47.72,2811825526.66,2.66
2024-11-29,51.21,7856545954.11,7.14
2024-12-02,51.05,4453201552.35,4.0
2024-12-03,49.78,3859608599.73,3.52
2024-12-04,49.78,3375035117.87,3.09
2024-12-05,51.2,4840352155.65,4.3
2024-12-06,51.72,4551823404.48,4.02
2024-12-09,52.58,4861529162.2,4.19
2024-12-10,54.41,8345556960.77,6.99
2024-12-11,53.11,4307642434.93,3.71
2024-12-12,52.23,3850817468.09,3.36
2024-12-13,50.87,3536434086.83,3.13
2024-12-16,50.4,2364113041.7,2.13
2024-12-17,49.84,2208399716.99,2.01
2024-12-18,50.5,2239341387.61,2.03
2024-12-19,51.49,3076032671.5,2.75
2024-12-20,51.65,3124270596.75,2.76
2024-12-23,50.14,2353131611.46,2.12
2024-12-24,50.18,2124543802.48,1.94
2024-12-25,49.77,1787460600.65,1.63
2024-12-26,50.7,2181236822.34,1.96
2024-12-27,49.86,2352838833.53,2.13
2024-12-30,50.0,2366736371.79,2.16
2024-12-31,48.22,2521599846.29,2.35
2025-01-02,46.2,2609222544.05,2.54
2025-01-03,44.37,2373980682.42,2.4
2025-01-06,44.3,1316446929.36,1.35
2025-01-07,45.11,1471804892.52,1.5
2025-01-08,44.99,1913404367.75,1.96
2025-01-09,45.31,1553088702.07,1.56
2025-01-10,44.7,1587914511.83,1.6
2025-01-13,45.03,1842694015.9,1.86
2025-01-14,46.91,2682180974.02,2.64
