证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
科大讯飞,安徽科大讯飞信息科技股份有限公司,,,,,536.0,0.0,0.0,,8036.6,0.0,0.0,,0.0,4159.1,,2144.0,646.8,536.0,,,A股上市,2008-05-09,0.0,002230,2008-05-12,,0.0,,,8572.6,,0.0,10716.6,,,,0.0,,2144.0,3230.7,7389.8,015001
科大讯飞,安徽科大讯飞信息科技股份有限公司,,,,,0.0,0.0,0.0,,8036.6,0.0,0.0,,0.0,4159.1,,2680.0,646.8,,,,定期报告,2008-07-30,,002230,2008-06-30,,,,,8036.6,,,10716.6,,,0.0,0.0,,2680.0,3230.7,7389.8,015019
科大讯飞,安徽科大讯飞信息科技股份有限公司,,,,,0.0,0.0,0.0,,8036.6,,0.0,,,4159.1,,2680.0,646.8,,,,配售股份上市,2008-08-06,,002230,2008-08-12,,0.0,,,8036.6,,0.0,10716.6,,,,,,2680.0,3230.7,7389.8,015009
科大讯飞,安徽科大讯飞信息科技股份有限公司,,,,,0.0,0.0,0.0,,8036.6,,0.0,,,4159.1,,2680.0,646.8,,,,定期报告,2009-04-10,,002230,2008-12-31,,0.0,,,8036.6,,0.0,10716.6,,,,,,2680.0,3230.7,7389.8,015019
科大讯飞,安徽科大讯飞信息科技股份有限公司,,,,,0.0,0.0,0.0,,5214.9625,,0.0,,,2299.0,,5501.6375,646.8,,,,限售股份上市,2009-05-08,,002230,2009-05-12,,0.0,,,5214.9625,,0.0,10716.6,,,,0.0,,5501.6375,2269.1625,4568.1625,015027
科大讯飞,安徽科大讯飞信息科技股份有限公司,,,,,0.0,0.0,0.0,,7822.4437,,0.0,,,3448.5,,8252.4563,970.2,,,,转增,2009-05-14,,002230,2009-05-22,,0.0,,,7822.4437,,0.0,16074.9,,,,0.0,,8252.4563,3403.7437,6852.2437,015011
科大讯飞,安徽科大讯飞信息科技股份有限公司,,,,,,,,,7822.4437,,,,,3448.5,,8252.4563,970.2,,,,定期报告,2009-07-23,,002230,2009-06-30,,,,,7822.4437,,,16074.9,,,,,,8252.4563,3403.7437,6852.2437,015019
科大讯飞,安徽科大讯飞信息科技股份有限公司,,,,0.0,0.0,0.0,0.0,,7710.9037,,0.0,,,3448.5,,8363.9963,970.2,,,,定期报告,2010-03-20,,002230,2009-12-31,,,,,7710.9037,,,16074.9,,,0.0,0.0,,8363.9963,3292.2037,6740.7037,015019
科大讯飞,安徽科大讯飞信息科技股份有限公司,,,,0.0,0.0,0.0,0.0,,7710.9037,,0.0,,,3448.5,,8363.9963,970.2,,,,定期报告,2010-07-28,,002230,2010-06-30,,,,,7710.9037,,,16074.9,,,0.0,0.0,,8363.9963,3292.2037,6740.7037,015019
科大讯飞,安徽科大讯飞信息科技股份有限公司,,0.0,,,0.0,0.0,0.0,0.0,7599.3637,,0.0,,,3448.5,,8475.5363,970.2,,,,定期报告,2011-01-28,,002230,2010-12-31,,,,,7599.3637,,,16074.9,,,,,,8475.5363,3180.6637,6629.1637,015019
科大讯飞,安徽科大讯飞信息科技股份有限公司,,,,,0.0,0.0,0.0,,11399.0455,,0.0,,,5172.75,,12713.3045,1455.3,,,,转增,2011-02-23,,002230,2011-03-03,,,,,11399.0455,,,24112.35,,,,,,12713.3045,4770.9955,9943.7455,015011
