SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
000333.SZ,000333,美的集团,10015250,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-30 00:00:00,2025-10-30 00:00:00,CNY,329917929000.0,28794000.0,,,,,,,1646393000.0,,,,9184963000.0,6109484000.0,1539152000.0,0.0,348426715000.0,207261758000.0,1486125000.0,,,1462000.0,,34525943000.0,16013909000.0,32071433000.0,,0.0,291360630000.0,,0.0,57066085000.0,133879056000.0,5290437000.0,539158000.0,352209000.0,,67631000.0,,0.0,140128491000.0,6655496000.0,108910793000.0,,5708580000.0,,2269000.0,,0.0,121277138000.0,,0.0,18851353000.0,3971331000.0,2016074000.0,68793776000.0,,29867000.0,,0.0,72794974000.0,104562811000.0,28606344000.0,426183000.0,,8468921000.0,,,0.0,141638076000.0,,0.0,-68843102000.0,444092000.0,,0.0,7518428000.0,55118728000.0,,0.0,62637156000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6845210369,101.3988948731,,,,,,,19.550999276,,,,23.7773551078,-11.5760618644,,,5.3088128978,8.6051006729,,,,-58.2524271845,,2.125171959,9.9597347603,7.7681902611,,,7.6727909893,,,-5.3060084398,87.9725502541,85.26215932,-10.2897009812,770.6622500185,,,,,87.5387226865,32.0635540486,-31.9398829382,,,,-98.983313618,,,-26.6251100559,,,120.8153917902,-88.3421767085,6605.9406599255,133.7741984133,,,,,14.6499451406,427.3738612478,28.275922559,46.7814928087,,503.0015073398,,,,225.3641525336,,,-444.8866939952,285.1146931443,,,171.0651317674,-7.9625148988,,,27.0333942232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000333.SZ,000333,美的集团,10015250,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,225290399000.0,,,,,,,,1194849000.0,,,,6414591000.0,4637281000.0,1013543000.0,0.0,238550663000.0,140964082000.0,2508067000.0,,,991000.0,,24545991000.0,10644732000.0,22584632000.0,21153000.0,0.0,201269648000.0,,0.0,37281015000.0,70232747000.0,2030130000.0,352065000.0,268578000.0,,,,0.0,72883520000.0,3145319000.0,56615147000.0,,5572186000.0,,472000.0,,0.0,65333124000.0,,0.0,7550396000.0,3472732000.0,1968235000.0,50310188000.0,,,,0.0,53782920000.0,43618375000.0,25396083000.0,140462000.0,,3881526000.0,,,0.0,72895984000.0,,0.0,-19113064000.0,829194000.0,,0.0,26547541000.0,55118728000.0,,0.0,81666269000.0,26647354000.0,366345000.0,4270742000.0,,,,,,,,20653000.0,,1369697000.0,-2880030000.0,-645870000.0,-1102756000.0,-1068051000.0,-34705000.0,,13680715000.0,-16926805000.0,11575374000.0,559219000.0,,0.0,37281015000.0,,,,,81666269000.0,55118728000.0,,,,,26547541000.0,17.432856623,,,,,,,,40.6078557358,,,,28.8630699893,-29.1515306055,,,16.3577119077,21.2254092658,,,,-63.9898255814,,2.7232467488,3.5796651797,10.455933429,-27.1289789169,,17.3400971221,,,11.325924946,19.1729328284,-4.7299713457,-7.9320705968,731.2277552536,,,,,18.5500725108,-15.7784176838,-27.562193354,,,,-99.7885077248,,,-20.4367074253,,,136.5892575503,192.3593443506,6446.8167908462,159.2299132992,,,,,161.1406390315,128.5700039794,17.1912970472,66.3768596608,,374.0731422234,,,,75.346472086,,,8.8862951679,416.479011931,,,416.5491610014,-7.9625148988,,,58.5730811421,26.0443336973,12.593009211,11.3312381324,,,,,,,,118.1155543081,,650.1299316804,-60.9716100459,-18.4447965494,2.6496111302,4.0119817524,-72.8508815619,,104.0720539569,-4.5161732105,-43.9699450459,-30.5928450506,,,11.325924946,,,,,58.5730811421,-7.9625148988,,,,,416.5491610014,,,,,,
000333.SZ,000333,美的集团,10015250,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-30 00:00:00,2025-04-30 00:00:00,CNY,109266834000.0,,,,,,,,589883000.0,,,,3721907000.0,1884438000.0,466121000.0,0.0,115929183000.0,67837319000.0,5667495000.0,,,579000.0,,14723891000.0,4262314000.0,9101712000.0,14905000.0,0.0,101608215000.0,,0.0,14320968000.0,28472979000.0,1405893000.0,23276000.0,100292000.0,,,,0.0,30002440000.0,1863477000.0,46969564000.0,,4386072000.0,,,,0.0,53219113000.0,,0.0,-23216673000.0,264326000.0,7027000.0,21678276000.0,,,,0.0,21942602000.0,13593543000.0,543914000.0,30103000.0,,471712000.0,,,0.0,14609169000.0,,0.0,7333433000.0,94820000.0,,0.0,-1467452000.0,55118728000.0,,0.0,53651276000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3500955621,,,,,,,,53.2259153817,,,,53.1362234643,-59.7344888815,128.2512462417,,20.3957147256,26.1994307742,413.6257067741,,,150.6493506494,,4.088722083,-2.5219389524,1.2946020021,,,23.3690078107,,,2.8147217284,-24.5886239261,37.6860519094,-76.9476082005,371.9401439932,,,,,-22.8732657343,25.8107245937,8.2927493054,,,,,,,18.6468623725,,,-289.8770099302,-61.1065088322,,425.2427563191,,,,,356.481159799,49.6024846689,34.3020743568,-8.183370951,,16.1014341867,,,,47.6012373749,,,244.051927919,183.0275912191,,,-152.9955854226,-7.9625148988,,,-14.3720529285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000333.SZ,000333,美的集团,10015250,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-29 00:00:00,2025-03-29 00:00:00,CNY,388661338000.0,48384000.0,,,,,,,1936687000.0,,3979158000.0,,9278400000.0,8871166000.0,,0.0,412775133000.0,245627386000.0,,2045260000.0,,5040000.0,,43788585000.0,19521276000.0,41276014000.0,,0.0,352263561000.0,,0.0,60511572000.0,112907842000.0,3984518000.0,960404000.0,78073000.0,,5000000.0,,0.0,117935837000.0,7839636000.0,197985757000.0,,,,12246000.0,,0.0,205837639000.0,,0.0,-87901802000.0,34695921000.0,32294000.0,37800361000.0,,180667000.0,,0.0,72676949000.0,24986249000.0,22821861000.0,409782000.0,,2170885000.0,,,0.0,49978995000.0,,0.0,22697954000.0,-76256000.0,,0.0,-4768532000.0,59887260000.0,,0.0,55118728000.0,38757214000.0,1008107000.0,7823840000.0,,,,,,,,-214895000.0,,-1302145000.0,-4025866000.0,-1442940000.0,-1491582000.0,-1556421000.0,64839000.0,,-15794154000.0,-14349722000.0,50345636000.0,1193484000.0,,0.0,60511572000.0,,,,,55118728000.0,59887260000.0,,,,,-4768532000.0,9.1512296651,321.0599599687,,,,,,,14.4769002424,,,,26.534115689,14.885404245,,,10.7129219218,13.4816592551,,2260.0696968648,,-85.6948228883,,13.4254627903,5.5835840374,0.834591872,,,11.8541557088,,,4.5057743596,-2.7282872073,-25.3308841649,145.4023032561,187.7312596742,,-98.6624435551,,,-3.4920499445,24.1617465554,34.685861472,,,,-88.8827358311,,,34.1634033052,,,-181.5573678994,1371.5123284394,-29.1503038547,11.5426606914,,-79.1279022079,,,95.8306871863,-24.546224927,16.1782774722,22.9409929316,,-4.1076012997,,,,-9.1660083281,,,226.7319043051,-342.0381427164,,,-154.4645684005,17.1229317831,,,-7.9625148988,14.8520068779,129.2314059171,6.4624316958,,,,,,,,-453.0508641651,,-674.9187609275,-28.4316493425,-211.272950054,22.7689798454,16.5781755501,198.838432341,,-7764.6837875611,-47.2077231489,69.5587933521,-5.4168687532,,,4.5057743596,,,,,-7.9625148988,17.1229317831,,,,,-154.4645684005,标准无保留意见,,,,,
000333.SZ,000333,美的集团,10015250,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2025-10-30 00:00:00,CNY,312172422000.0,14297000.0,,,,,,,1377147000.0,,2968149000.0,,7420552000.0,6909310000.0,,0.0,330861877000.0,190839801000.0,,1624340000.0,,3502000.0,,33807476000.0,14563430000.0,29759647000.0,,0.0,270598196000.0,,0.0,60263681000.0,71222663000.0,2855649000.0,600999000.0,40453000.0,,,,0.0,74719764000.0,5039616000.0,160021460000.0,,,,223176000.0,,0.0,165284252000.0,,0.0,-90564488000.0,34065802000.0,30064000.0,29427446000.0,,,,0.0,63493248000.0,19827075000.0,22300634000.0,290352000.0,,1404461000.0,,,0.0,43532170000.0,,0.0,19961078000.0,-239901000.0,,0.0,-10579630000.0,59887260000.0,,0.0,49307630000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9793278785,-65.0097895252,,,,,,,7.2602867758,,518.1737714205,,20.0367718722,39.1955627034,,,20.1043880027,19.3860621031,,,,-85.3134829105,,15.2268736356,-4.0625349141,13.1689620857,,,17.2987100836,,,34.5560221685,-18.2521256952,-32.5376315483,402.1506454443,574.2166666667,,,,,-18.6566424306,21.6190759576,31.990867094,,,,163.129598189,,,31.7369670037,,,-169.4721003824,1450.7364060544,-26.5154477904,29.2682701833,,,,,151.313730836,8.9839673191,17.4141814924,50.4024864025,,-5.6554558456,,,,12.5605726304,,,248.853261653,-240.7993661414,,,-413.4309598049,17.1229317831,,,0.481414905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000333.SZ,000333,美的集团,10015250,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-20 00:00:00,2025-08-30 00:00:00,CNY,191846137000.0,,,,,,,,849774000.0,,795817000.0,,4977835000.0,6545351000.0,,0.0,205014914000.0,116282620000.0,,593490000.0,,2752000.0,,23895264000.0,10276855000.0,20446735000.0,29028000.0,0.0,171526744000.0,,0.0,33488170000.0,58933472000.0,2130922000.0,382397000.0,32311000.0,,,,0.0,61479102000.0,3734576000.0,78156904000.0,,,,223176000.0,,0.0,82114656000.0,,0.0,-20635554000.0,1187830000.0,30064000.0,19407555000.0,,,,0.0,20595385000.0,19083158000.0,21670622000.0,84424000.0,,818761000.0,,,0.0,41572541000.0,,0.0,-20977156000.0,-262006000.0,,0.0,-8386546000.0,59887260000.0,,0.0,51500714000.0,21141255000.0,325371000.0,3836068000.0,,,,,,,,-114007000.0,,-248977000.0,-1789154000.0,-545292000.0,-1132770000.0,-1112692000.0,-20078000.0,,6703865000.0,-16195393000.0,20659223000.0,805708000.0,,0.0,33488170000.0,,,,,51500714000.0,59887260000.0,,,,,-8386546000.0,10.1074100617,,,,,,,,4.0859071846,,,,22.8014409048,98.8350319729,,,12.4002060206,15.94565179,,136.4219416006,,-86.5322501713,,17.9816750487,3.0219117877,10.6476665741,-2.9747977806,,12.3935649823,,,12.4342337942,3.6353483022,-37.8094465393,238.3565158916,977.0333333333,,,,,1.1461234047,33.6321403358,-8.008153324,,,,202.4351903297,,,-6.5063730323,,,23.7039522177,-36.4878643982,172.9369042215,35.6208770095,,,,,25.09883352,405.8079567813,19.2797033714,-15.7579628004,,-14.7575033212,,,,81.5298172556,,,-225.8370705606,-303.469779217,,,-134.8400931571,17.1229317831,,,8.2839637142,14.0993304699,72.0993335449,16.22514921,,,,,,,,-1237.3255131965,,-340.0865934447,-8.1780133962,-32.9481121725,31.8084952684,28.7294640164,79.909342886,,-52.7898559808,-16.4458288024,100.5379102737,38.6772691675,,,12.4342337942,,,,,8.2839637142,17.1229317831,,,,,-134.8400931571,,,,,,
000333.SZ,000333,美的集团,10015250,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-30 00:00:00,2025-04-30 00:00:00,CNY,88582691000.0,7758000.0,,,,,,,384976000.0,,,,2430455000.0,4680030000.0,204214000.0,0.0,96290124000.0,53754061000.0,1103429000.0,,,231000.0,,14145520000.0,4372588000.0,8985387000.0,,0.0,82361216000.0,,0.0,13928908000.0,37756875000.0,1021086000.0,100970000.0,21251000.0,,,,0.0,38900182000.0,1481175000.0,43372769000.0,,,,1109000.0,,0.0,44855053000.0,,0.0,-5954871000.0,679615000.0,,4127287000.0,,,,0.0,4806902000.0,9086442000.0,404993000.0,32786000.0,,406293000.0,,,0.0,9897728000.0,,0.0,-5090826000.0,-114203000.0,,0.0,2769008000.0,59887260000.0,,0.0,62656268000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2164472266,,,,,,,,1.6983360058,,,,25.2680130543,364.6620796473,278.8405528244,,20.9644379583,27.4460345347,-59.7130478976,,,-96.3524396021,,20.6752172159,-6.2406952866,-0.2855251225,,,17.1073079256,,,50.2204412449,33.8288636606,-18.1663431531,151.1629063954,,,,,,31.8616132064,-4.6892373981,-18.2378703435,,,,110800.0,,,-17.8502248828,,,76.2761610292,41.665259634,,-63.4823263476,,,,,-59.2009469444,415.010120029,-3.1038409823,6.3686208351,,-23.4664295711,,,,264.8047035963,,,-156.135991579,-23.2428640803,,,140.4092869584,17.1229317831,,,41.5015500492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000333.SZ,000333,美的集团,10015250,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-28 00:00:00,2025-03-29 00:00:00,CNY,356076005000.0,11491000.0,,,,,,,1691771000.0,,,,7332726000.0,7721752000.0,,0.0,372833745000.0,216446770000.0,333557000.0,86661000.0,,35232000.0,,38605604000.0,18488931000.0,40934379000.0,,0.0,314931134000.0,,0.0,57902611000.0,116074693000.0,5336233000.0,391359000.0,27134000.0,,373816000.0,,0.0,122203235000.0,6314051000.0,146998174000.0,,712000.0,,110153000.0,,0.0,153423090000.0,,0.0,-31219855000.0,2357841000.0,45581000.0,33888703000.0,,865591000.0,,0.0,37112135000.0,33114644000.0,19643828000.0,333316000.0,,2263876000.0,,,0.0,55022348000.0,,0.0,-17910213000.0,-17251000.0,,0.0,8755292000.0,51131968000.0,,0.0,59887260000.0,33745352000.0,439777000.0,7348921000.0,,,,,,,,60868000.0,,226492000.0,-3134637000.0,-463561000.0,-1931325000.0,-1865724000.0,-65601000.0,,206064000.0,-9747941000.0,29692141000.0,1261836000.0,,0.0,57902611000.0,,,,,59887260000.0,51131968000.0,,,,,8755292000.0,12.3275861593,,,,,,,,-5.3852159489,,,,-32.9413736823,5.8360404262,,,8.4550508189,-2.2132509767,,,,-38.3419961149,,8.2148396342,6.336124516,18.7691189339,,,1.8831393374,,,67.0693587607,17.7649545503,40.4236736187,63.5938401344,82.9792973228,,11.5595585558,,,18.6969877056,-14.1192568397,35.9216534159,,-99.9259989108,,,,,31.7349601624,,,-131.0953913206,74.8773069155,69.9832183479,-27.0839365079,,1133.6858458162,,,-32.2022291706,-19.0762289103,42.9677955016,19.3756804768,,-67.3488166687,,,,-16.1172359025,,,-64.9968617804,-105.9797152087,,,-17.2618527303,26.0959773676,,,17.1229317831,13.2005719781,-17.5463989816,12.9227310723,,,,,,,,1.6941223644,,-9.8255769973,2.85957508,-122.8080209945,16.7884183455,1.618836294,84.5483645306,,148.6076809307,49.8146947355,37.7414645069,22.633364109,,,67.0693587607,,,,,17.1229317831,26.0959773676,,,,,-17.2618527303,标准无保留意见,,,,,
000333.SZ,000333,美的集团,10015250,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-31 00:00:00,2024-10-31 00:00:00,CNY,262375345000.0,40860000.0,,,,,,,1283930000.0,,480148000.0,,6181899000.0,4963743000.0,152667000.0,0.0,275478592000.0,159850989000.0,,,,23845000.0,,29339923000.0,15180128000.0,26296651000.0,,0.0,230691536000.0,,0.0,44787056000.0,87124789000.0,4232951000.0,119685000.0,6000000.0,,373816000.0,,0.0,91857241000.0,4143771000.0,121236767000.0,,,,84816000.0,,0.0,125465354000.0,,0.0,-33608113000.0,2196750000.0,40912000.0,22764632000.0,,303154000.0,,0.0,25264536000.0,18192653000.0,18993135000.0,193050000.0,,1488651000.0,,,0.0,38674439000.0,,0.0,-13409903000.0,170385000.0,,0.0,-2060575000.0,51131968000.0,,0.0,49071393000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9628275964,350.0,,,,,,,-8.6294380119,,-93.5599617472,,-28.2187151799,-20.739913017,23.9482016725,,6.6880896991,-4.103014574,,,,-37.8097125867,,11.5709493279,16.8036751451,16.687009622,,,0.8545041969,,,51.9629515826,9.4261283048,14.0198342397,-4.0000962526,-59.5387416549,,11.5595585558,,,9.6059742563,-4.0565884398,23.9417663036,,,,,,,22.3899658636,,,-79.6649309486,74.7773264857,3991.2,-47.1178531782,,234.9841985458,,,-50.6902900655,-46.9768458424,45.0905386638,22.0985389918,,-70.2645180724,,,,-26.2045542497,,,-1044.9800246074,-51.2501823987,,,-120.720385533,26.0959773676,,,-2.8187524738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000333.SZ,000333,美的集团,10015250,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-31 00:00:00,2024-08-20 00:00:00,CNY,174235446000.0,,,,,,,,816416000.0,,,,4053564000.0,3291850000.0,,0.0,182397276000.0,100290626000.0,3312680000.0,251030000.0,,20434000.0,,20253369000.0,9975407000.0,18479138000.0,29918000.0,0.0,152612602000.0,,0.0,29784674000.0,56866188000.0,3426440000.0,113016000.0,3000000.0,,373816000.0,,0.0,60782460000.0,2794669000.0,84960686000.0,,,,73793000.0,,0.0,87829148000.0,,0.0,-27046688000.0,1870241000.0,11015000.0,14310153000.0,,282897000.0,,0.0,16463291000.0,3772807000.0,18167904000.0,100216000.0,,960508000.0,,,0.0,22901219000.0,,0.0,-6437928000.0,128769000.0,,0.0,-3571173000.0,51131968000.0,,0.0,47560795000.0,18528816000.0,189060000.0,3300549000.0,,,,,,,,-8525000.0,,103703000.0,-1653898000.0,-410154000.0,-1661160000.0,-1561223000.0,-99937000.0,,14200052000.0,-13908092000.0,10301904000.0,580995000.0,,0.0,29784674000.0,,,,,47560795000.0,51131968000.0,,,,,-3571173000.0,13.6074759116,,,,,,,,-18.4227644389,,,,-22.594741414,-1.8791066896,,,8.7321533088,-3.7632360469,,,,-42.9854910714,,9.8854462517,14.8763065855,23.2659694744,,,4.2760229802,,,39.2151330866,12.4856324934,13.3441458452,75.1344315135,-79.7693708274,,11.5595585558,,,12.5774939101,-2.5872339654,48.2492836246,,,,,,,45.041454713,,,-312.1179023997,64.8396501972,1001.5,-10.7035028563,,216.0930970524,,,-31.6612348347,-3.6695284723,44.9032708928,101.6215672468,,-48.169880503,,,,25.0908922674,,,-211.3242284382,-11.6731944549,,,-117.2016120082,26.0959773676,,,-22.426633434,14.925938122,-18.0419544042,1.3851515732,,,,,,,,55.0416622719,,-86.1681751856,-6.1815739853,32.5234804153,-33.2573922251,-74.8893235293,71.7602744371,,66.2446604342,-133.9202268009,1121.3905391739,-30.4270094014,,,39.2151330866,,,,,-22.426633434,26.0959773676,,,,,-117.2016120082,,,,,,
