日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-25,82.99,84.53,81.1,83.8,37735992.0,3802697805.0,6869165118.0,0.0055
2021-01-26,82.99,82.99,79.79,80.48,40767026.0,4006657957.0,6869165118.0,0.0059
2021-01-27,79.78,82.04,79.2,80.49,28326851.0,2781047166.0,6869165118.0,0.0041
2021-01-28,79.32,79.7,77.65,78.19,31057214.0,2959282875.0,6869165118.0,0.0045
2021-01-29,78.35,80.36,76.98,79.16,37246508.0,3576339186.0,6869165118.0,0.0054
2021-02-01,79.16,80.95,77.78,80.69,28606271.0,2784442680.0,6869165118.0,0.0042
2021-02-02,80.04,82.34,80.04,81.01,31544355.0,3125263983.0,6869165118.0,0.0046
2021-02-03,81.76,82.5,79.05,80.23,32395536.0,3178416762.0,6871775459.0,0.0047
2021-02-04,79.12,80.19,78.25,79.21,36486402.0,3514921395.0,6871775459.0,0.0053
2021-02-05,79.69,80.83,78.06,79.91,37262393.0,3600456020.0,6871775459.0,0.0054
2021-02-08,79.92,80.12,77.57,79.43,37743563.0,3614401924.0,6873367646.0,0.0055
2021-02-09,80.19,83.73,79.62,83.73,53712247.0,5347054459.0,6873367646.0,0.0078
2021-02-10,84.57,88.75,83.4,88.01,53679907.0,5641813862.0,6873367646.0,0.0078
2021-02-18,88.02,88.22,79.71,80.78,94042908.0,9433652348.0,6873367646.0,0.0137
2021-02-19,78.07,80.8,78.07,80.52,69387709.0,6722204870.0,6873367646.0,0.0101
2021-02-22,79.94,79.94,74.27,74.32,90398609.0,8324148677.0,6875002619.0,0.0131
2021-02-23,73.17,75.6,72.99,74.73,60475531.0,5494666678.0,6875002619.0,0.0088
2021-02-24,78.97,81.02,76.52,78.08,100354633.0,9587929017.0,6875002619.0,0.0146
2021-02-25,77.98,78.71,75.68,77.19,41637020.0,3934052807.0,6875002619.0,0.0061
2021-02-26,75.6,77.64,74.79,76.49,60112303.0,5569084605.0,6875002619.0,0.0087
2021-03-01,76.75,78.31,75.46,76.69,37084402.0,3475175712.0,6875002619.0,0.0054
2021-03-02,77.96,78.75,76.17,76.85,47339822.0,4469317461.0,6875002619.0,0.0069
2021-03-03,76.2,77.01,75.19,76.82,33059187.0,3072269141.0,6875002619.0,0.0048
2021-03-04,75.78,76.07,73.49,73.87,44634820.0,4041856217.0,6875002619.0,0.0065
2021-03-05,71.96,74.18,70.69,73.54,40948709.0,3626107488.0,6875002619.0,0.006
2021-03-08,72.72,73.72,70.21,70.26,48829340.0,4260904988.0,6875002619.0,0.0071
2021-03-09,69.56,69.76,67.13,67.37,56896333.0,4741767514.0,6875002619.0,0.0083
2021-03-10,69.02,69.57,67.42,68.75,47316765.0,3942944036.0,6875002619.0,0.0069
2021-03-11,69.5,71.08,68.61,70.63,40811644.0,3495579074.0,6875002619.0,0.0059
2021-03-12,70.64,72.34,70.02,70.64,32364532.0,2806048361.0,6875002619.0,0.0047
2021-03-15,69.69,69.71,66.56,67.63,49051385.0,4035896117.0,6875002619.0,0.0071
2021-03-16,67.72,68.23,67.01,67.86,34926115.0,2877253722.0,6875002619.0,0.0051
2021-03-17,67.39,69.25,66.86,69.08,37095228.0,3081574544.0,6875002619.0,0.0054
2021-03-18,69.83,71.49,69.68,71.25,34703588.0,2986372292.0,6875002619.0,0.005
2021-03-19,69.85,71.16,69.35,70.1,30529185.0,2610073941.0,6875002619.0,0.0044
2021-03-22,69.84,70.28,67.63,68.52,31409285.0,2620969353.0,6875002619.0,0.0046
2021-03-23,68.52,68.56,66.62,66.95,36969597.0,3027477689.0,6875002619.0,0.0054
2021-03-24,66.97,67.78,66.77,67.12,23536758.0,1923709265.0,6875002619.0,0.0034
2021-03-25,66.62,66.97,65.16,66.3,24752483.0,1990607891.0,6875002619.0,0.0036
2021-03-26,66.64,67.79,65.7,67.39,31083020.0,2533340710.0,6875002619.0,0.0045
