证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
联影医疗,上海联影医疗科技股份有限公司,,,,,,0.0,0.0,,77690.7446,,0.0,,,60743.7851,,4725.0542,14671.5761,,,,A股上市,2022-08-19,,688271,2022-08-22,,,,,77690.7446,,,82415.7988,,,,,,4725.0542,2275.3834,63019.1685,015001
联影医疗,上海联影医疗科技股份有限公司,,,,,,,,,77690.7446,,,,,60743.7851,,4725.0542,14671.5761,,,,定期报告,2023-04-28,,688271,2022-12-31,,,,,77690.7446,,,82415.7988,,,,,,4725.0542,2275.3834,63019.1685,015019
联影医疗,上海联影医疗科技股份有限公司,,,,,,,,,77415.7988,,,,,60468.8393,,5000.0,14671.5761,,,,限售股份上市,2023-02-14,,688271,2023-02-22,,,,,77415.7988,,,82415.7988,,,,,,5000.0,2275.3834,62744.2227,015027
联影医疗,上海联影医疗科技股份有限公司,,,,,,,,,77243.3488,,,,,57775.4158,,5172.45,17192.5496,,,,定期报告,2023-08-19,,688271,2023-06-30,,,,,77243.3488,,,82415.7988,,,,,,5172.45,2275.3834,60050.7992,015019
联影医疗,上海联影医疗科技股份有限公司,,,,,0.0,0.0,0.0,,23313.4512,,0.0,,,20792.4777,,59102.3476,2520.9735,,,,限售股份上市,2023-08-15,,688271,2023-08-22,,,,,23313.4512,,,82415.7988,,,,,,59102.3476,,20792.4777,015027
联影医疗,上海联影医疗科技股份有限公司,,,,,,,,,23192.7812,,,,,23086.2512,,59223.0176,106.53,,,,定期报告,2024-04-27,,688271,2023-12-31,,,,,23192.7812,,,82415.7988,,,,,,59223.0176,,23086.2512,015019
联影医疗,上海联影医疗科技股份有限公司,,,,,,0.0,0.0,,23485.9012,,0.0,,,23285.9012,,58929.8976,200.0,,,,定期报告,2024-08-31,,688271,2024-06-30,,,,,23485.9012,,,82415.7988,,,,,,58929.8976,,23285.9012,015019
联影医疗,上海联影医疗科技股份有限公司,,,,,,,,,23085.9012,,,,,23085.9012,,59329.8976,,,,,限售股份上市,2024-08-13,,688271,2024-08-22,,,,,23085.9012,,,82415.7988,,,,,,59329.8976,,23085.9012,015027
联影医疗,上海联影医疗科技股份有限公司,,,,,,0.0,0.0,,23085.9012,,0.0,,,23085.9012,,59329.8976,,,,,其他,2024-08-23,,688271,2024-08-23,,,,,23085.9012,,,82415.7988,,,,,,59329.8976,,23085.9012,015999
联影医疗,上海联影医疗科技股份有限公司,,,,,,0.0,0.0,,23085.9012,,0.0,,,23085.9012,,59329.8976,,,,,"股份回购,股权激励",2024-11-27,,688271,2024-11-25,,,,,23085.9012,,,82415.7988,,,,,,59329.8976,,23085.9012,"015016,015025"
联影医疗,上海联影医疗科技股份有限公司,,,,,,0.0,0.0,,23085.9012,,0.0,,,23085.9012,,59329.8976,,,,,定期报告,2025-04-29,,688271,2024-12-31,,,,,23085.9012,,,82415.7988,,,,,,59329.8976,,23085.9012,015019
联影医疗,上海联影医疗科技股份有限公司,,,,,,0.0,0.0,,23085.9012,,0.0,,,23085.9012,,59329.8976,,,,,定期报告,2025-08-30,,688271,2025-06-30,,,,,23085.9012,,,82415.7988,,,,,,59329.8976,,23085.9012,015019
联影医疗,上海联影医疗科技股份有限公司,,,,,,,,,,,,,,,,82415.7988,,,,,限售股份上市,2025-08-16,,688271,2025-08-22,,,,,,,,82415.7988,,,,,,82415.7988,,,015027
