REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,ISSUE_BOND,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_OUTFLOW_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:应占附属公司溢利,减:投资收益,减:汇兑收益,减:重估盈余,加:减值及拨备,加:利息支出,加:购股权开支,发行相关费用,吸收投资所得,处置无形资产及其他资产,存款减少(增加),存货(增加)减少,已付利息(经营),已收利息(投资),已收利息(经营),已收股息(投资),应付帐款及应计费用增加(减少),应收关联方款项(增加)减少,应收关联方款项(增加)减少(投资),应收帐款减少,投资支付现金,收回投资所得现金,期间变动其他项目,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,赎回债券,除税前溢利(业务利润),非运算项目
2000-03-31,00992.HK,00992,联想集团,10009194,001,3-31,1999-04-01 00:00:00,1874035169.6,,349542457.0,,1817245290.3,201103122.0,6921495.9,2167515318.1,,-5581233.9,1276440.0,,1574794021.9,-191497911.0,569602840.4,242451268.4,,,,,,,,-256613370.2,1407275.1,,,,,,,,,,,37046543.6,,,,,,,,,,,,,,,727570.8,,,,,,-259759794.8
2000-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2000-04-01 00:00:00,,,2162828578.2,,-93653690.4,,,2073758013.0,,,,,237880968.0,-409582584.6,190224108.0,-331534658.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4583125.2,,,,,,-98186929.8
2001-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2000-04-01 00:00:00,92413975.2,,2162828578.2,,633511449.6,483429489.6,28048556.4,2795357171.4,,33613476.6,1273680.0,,819080257.2,-838024124.4,818278900.2,-185568807.6,356657996.4,,,,,,-20575239.0,672550803.0,-27258874.8,,,,,,,,,,,73236.6,,,,,,,,,,,,,,,-982856.4,,,,,,-311529391.2
2001-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2001-04-01 00:00:00,,,2791406694.9,,-576467951.1,,,2220040042.5,,,,,-129886505.4,-546877662.9,100296217.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5101298.7,,,,,,
2002-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2001-04-01 00:00:00,152729889.0,312547258.0,2794303711.0,279850421.0,-199291874.0,483379929.0,34202396.0,2590080309.0,151773928.0,,10614244.0,,-315896835.0,-777837137.0,894442098.0,116604961.0,266042567.0,858868890.0,,,1072011058.0,23391867.0,5135240.0,128906195.0,-94963744.0,,172730800.0,71468960.0,-4786171.0,,,,,12503885.0,,,,,,277578820.0,12503885.0,,71468960.0,,-261642600.0,-205974052.0,,-23104336.0,2913506.0,24645969.0,-4931528.0,,,,,1147146834.0,
2002-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2002-04-01 00:00:00,,,2589347958.3,,360211598.6,,,2949541525.0,,,,,-290758023.3,-107955924.6,758925546.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18031.9,,,,,,
2003-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2002-04-01 00:00:00,2002295.7,430038363.6,2590324425.9,84250278.9,389872545.3,312714658.8,31543319.7,2979911535.3,186276105.0,,53091077.4,,-512286346.8,-381642653.7,1283801545.8,902158892.1,23463043.2,1220344582.5,,,1249795413.0,18473751.0,,,28953174.6,,-31739623.2,81951936.3,-22208823.0,,,,,21222.0,,,,,,-437170016.7,21222.0,,81951936.3,7313101.2,506540490.3,205993465.2,,-304814769.3,212471480.7,149102588.7,-285435.9,,,102996732.6,,1091501576.1,
2003-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2003-04-01 00:00:00,,,3000131460.9,,-742841336.7,,,2257285851.0,,,,,-674883568.8,-185899156.2,117941388.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4273.2,,,,,,
2004-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2003-04-01 00:00:00,30500390.4,813465451.2,2980754032.2,30137391.6,-167913480.0,386724274.2,8553822.6,2812785359.4,261274224.0,,,,-721180966.8,-314728450.8,867995937.6,553267486.8,-5783568.6,794981170.2,,,1196661631.8,23028134.4,,79605000.0,18523552.8,,48028350.0,99100795.2,-23522746.8,,,,,3057893.4,,,12316485.6,,,-125183638.8,3057893.4,,99100795.2,5827086.0,634300069.8,,,-910796892.6,46226092.8,84747483.0,-55192.8,,,5213596.8,,1055935912.8,
2004-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2004-04-01 00:00:00,,,2811990338.1,,505288392.3,,,3317411367.9,,,,,-109931021.1,-19664305.2,634883718.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132637.5,,,,,,
