日期,开盘,最高,最低,收盘,成交量,成交额,换手率,流通股本
2021-01-22,7.3586,7.6729,7.3425,7.4715,81654255.0,,,
2021-01-25,7.5359,7.955,7.5198,7.8583,73542509.0,,,
2021-01-26,7.7374,8.1243,7.7374,7.9792,97691196.0,,,
2021-01-27,7.9792,8.0921,7.5359,7.8906,85212478.0,,,
2021-01-28,7.7535,8.0115,7.552,7.6085,102037047.0,,,
2021-01-29,7.5118,7.6568,7.2055,7.3586,152757640.0,,,
2021-02-01,7.2861,7.8906,7.2861,7.8019,89270360.0,,,
2021-02-02,7.947,8.1888,7.818,7.8261,79700143.0,,,
2021-02-03,7.8503,8.4628,7.7535,8.1888,185967050.0,,,
2021-02-04,7.9228,8.0598,7.5843,7.9309,151264162.0,,,
2021-02-05,7.7374,8.0921,7.7294,7.947,95283438.0,,,
2021-02-08,7.947,8.1243,7.7132,7.8583,93966987.0,,,
2021-02-09,7.818,8.2049,7.7938,8.2049,73408512.0,,,
2021-02-10,8.1082,8.3983,8.0518,8.1082,112247074.0,,,
2021-02-11,8.0759,8.0921,7.9067,8.0598,53102318.0,,,
2021-02-16,8.2371,8.3822,8.1727,8.3016,48745087.0,,,
2021-02-17,8.2855,8.6724,8.1727,8.5918,91993205.0,,,
2021-02-18,8.624,8.9625,8.6079,8.6079,107716602.0,,,
2021-02-19,8.5434,8.6401,8.2855,8.6401,85765697.0,,,
2021-02-22,8.6401,8.6401,8.0921,8.0921,94476970.0,,,
2021-02-23,8.0518,8.4467,7.9792,8.2049,88294485.0,,,
2021-02-24,8.3016,8.3339,7.8664,8.0921,116854253.0,,,
2021-02-25,8.3016,8.4306,8.0921,8.2694,60498562.0,,,
2021-02-26,8.0115,8.1404,7.8341,7.9067,131866599.0,,,
2021-03-01,8.0921,8.3822,7.9631,8.2855,59830565.0,,,
2021-03-02,8.4628,8.7046,8.2533,8.3016,56868864.0,,,
2021-03-03,8.3016,8.495,8.2371,8.3983,40605892.0,,,
2021-03-04,8.221,8.3822,8.0115,8.0276,68620795.0,,,
2021-03-05,7.8744,8.1082,7.4956,8.0437,81049108.0,,,
2021-03-08,8.1243,8.1404,7.7938,7.8744,100672551.0,,,
2021-03-09,7.8906,8.0598,7.6085,7.7697,98591427.0,,,
2021-03-10,7.9389,8.1565,7.818,8.0356,80373221.0,,,
2021-03-11,7.947,8.4628,7.947,8.3339,84194484.0,,,
2021-03-12,8.3177,8.3822,7.81,7.9067,179149010.0,,,
2021-03-15,7.8986,8.0115,7.3183,7.3506,120183953.0,,,
2021-03-16,7.3747,7.4634,7.0926,7.3183,69550997.0,,,
2021-03-17,7.3183,7.3747,6.9717,7.1813,146016633.0,,,
2021-03-18,7.2538,7.5037,7.2538,7.4795,132973809.0,,,
2021-03-19,7.3909,7.5118,7.27,7.4715,115768221.0,,,
2021-03-22,7.4715,7.7052,7.3909,7.6165,68422263.0,,,
2021-03-23,7.7132,7.8825,7.6326,7.818,98604636.0,,,
2021-03-24,7.7455,7.9228,7.7132,7.8341,75576844.0,,,
2021-03-25,7.8341,7.8341,7.4956,7.7938,111896231.0,,,
2021-03-26,7.8503,8.1888,7.7777,8.0518,90423078.0,,,
2021-03-29,8.0518,8.1888,7.955,8.0921,87564925.0,,,
2021-03-30,8.0921,9.156,8.0759,9.0915,185333431.0,,,
2021-03-31,8.9948,9.3494,8.8336,8.9142,129020463.0,,,
2021-04-01,8.8497,9.0592,8.6724,8.7046,57703130.0,,,
2021-04-07,8.7852,8.8336,8.3339,8.35,68540028.0,,,
2021-04-08,8.4306,8.4789,8.2694,8.2694,35336148.0,,,
2021-04-09,8.2371,8.2533,7.9792,8.0437,56216546.0,,,
2021-04-12,8.1243,8.2533,7.9953,8.0195,42098098.0,,,
2021-04-13,8.0195,8.2694,7.9953,8.1082,51579019.0,,,
2021-04-14,8.2694,8.3339,8.1727,8.2049,44869914.0,,,
2021-04-15,8.1243,8.3983,8.0921,8.3661,38262131.0,,,
2021-04-16,8.3822,8.7368,8.3822,8.7207,47274203.0,,,
2021-04-19,8.624,8.8174,8.5595,8.6885,32540527.0,,,
2021-04-20,8.6079,8.8497,8.5918,8.6724,29912198.0,,,
2021-04-21,8.4628,8.8336,8.4306,8.7368,33416647.0,,,
2021-04-22,8.753,8.8013,8.495,8.6885,40299363.0,,,
2021-04-23,8.6724,9.0109,8.6401,8.9948,45230918.0,,,
2021-04-26,9.0592,9.1721,8.624,8.6401,44255106.0,,,
2021-04-27,8.624,8.6885,8.2694,8.35,55241446.0,,,
2021-04-28,8.3983,8.4306,8.2049,8.3983,57627578.0,,,
2021-04-29,8.495,8.6724,8.3983,8.5112,31923061.0,,,
2021-04-30,8.5112,8.6562,8.3822,8.6079,26317258.0,,,
2021-05-03,8.5756,8.6562,8.4145,8.6401,21598055.0,,,
2021-05-04,8.6885,8.6885,8.5595,8.624,16692340.0,,,
2021-05-05,8.4789,8.495,8.3661,8.3822,19676462.0,,,
2021-05-06,8.3661,8.5112,8.2855,8.35,29408832.0,,,
2021-05-07,8.4467,8.753,8.3822,8.5595,35871421.0,,,
