date,open,high,low,close,volume
2004-06-16,0.736,0.7781,0.6855,0.6982,439775000.0
2004-06-17,0.6982,0.736,0.6939,0.7108,83801500.0
2004-06-18,0.7066,0.715,0.6645,0.6771,36598000.0
2004-06-21,0.6939,0.6939,0.6645,0.6729,22817000.0
2004-06-23,0.6813,0.7486,0.6771,0.7444,55016000.0
2004-06-24,0.7528,0.7612,0.7276,0.7528,34723000.0
2004-06-25,0.7528,0.7654,0.7318,0.7402,21212500.0
2004-06-28,0.736,0.7402,0.715,0.7234,14746000.0
2004-06-29,0.7234,0.7444,0.7234,0.7276,15081500.0
2004-06-30,0.7318,0.7444,0.7234,0.7234,12217000.0
2004-07-02,0.715,0.736,0.7024,0.7318,13026000.0
2004-07-05,0.7276,0.7402,0.7276,0.736,14264000.0
2004-07-06,0.736,0.7486,0.7318,0.7402,15429000.0
2004-07-07,0.7318,0.736,0.715,0.7192,13135000.0
2004-07-08,0.715,0.715,0.6855,0.6897,21149000.0
2004-07-09,0.6855,0.6939,0.6771,0.6855,9376000.0
2004-07-12,0.6855,0.6939,0.6687,0.6687,11970000.0
2004-07-13,0.6729,0.6813,0.6687,0.6771,10934000.0
2004-07-14,0.6771,0.6771,0.6309,0.6351,19638000.0
2004-07-15,0.6435,0.6435,0.5972,0.6182,11319000.0
2004-07-16,0.614,0.6309,0.6098,0.6224,4126500.0
2004-07-19,0.6224,0.6351,0.6056,0.6351,5321000.0
2004-07-20,0.6267,0.6351,0.6224,0.6309,3436000.0
2004-07-21,0.6435,0.6519,0.6309,0.6393,10495000.0
2004-07-22,0.6224,0.6309,0.5888,0.5972,13831000.0
2004-07-23,0.5972,0.6014,0.5888,0.593,4668000.0
2004-07-26,0.572,0.5888,0.5678,0.5678,7439000.0
2004-07-27,0.572,0.6267,0.5678,0.6267,17906000.0
2004-07-28,0.6267,0.6309,0.6098,0.6182,4205000.0
2004-07-29,0.6098,0.6351,0.6056,0.6309,3498000.0
2004-07-30,0.6393,0.6519,0.6267,0.6477,10065000.0
2004-08-02,0.6477,0.6519,0.6224,0.6519,5352000.0
2004-08-03,0.6561,0.6687,0.6519,0.6687,12739000.0
2004-08-04,0.6603,0.6603,0.6435,0.6519,2849000.0
2004-08-05,0.6561,0.6771,0.6561,0.6687,6785000.0
2004-08-06,0.6603,0.6813,0.6603,0.6729,4334000.0
2004-08-09,0.6729,0.6729,0.6645,0.6729,4497000.0
2004-08-10,0.6729,0.6813,0.6519,0.6519,4209000.0
2004-08-11,0.6603,0.6603,0.6182,0.6224,6565000.0
2004-08-12,0.6182,0.6309,0.6098,0.6309,5173000.0
2004-08-13,0.6182,0.6309,0.6182,0.6309,977000.0
2004-08-16,0.6182,0.6351,0.6056,0.6309,2665000.0
2004-08-17,0.6309,0.6309,0.6182,0.6224,893500.0
2004-08-18,0.6309,0.6309,0.6224,0.6267,676000.0
2004-08-19,0.6267,0.6393,0.6182,0.6224,3979000.0
2004-08-20,0.6267,0.6267,0.6182,0.6267,3456000.0
2004-08-23,0.6267,0.6309,0.6014,0.614,2150000.0
2004-08-24,0.614,0.614,0.5972,0.6056,3268000.0
2004-08-25,0.6098,0.6098,0.5846,0.5888,4818000.0
2004-08-26,0.5972,0.6014,0.5678,0.572,8416000.0
2004-08-27,0.5804,0.593,0.5762,0.5888,9896000.0
2004-08-30,0.5888,0.5972,0.5846,0.5888,2126000.0
2004-08-31,0.593,0.6182,0.5846,0.614,2290000.0
2004-09-01,0.6182,0.6182,0.6056,0.6098,2072000.0
2004-09-02,0.614,0.614,0.6056,0.6098,3049000.0
2004-09-03,0.614,0.614,0.6014,0.6056,1870000.0
2004-09-06,0.6056,0.6182,0.6014,0.614,2437000.0
2004-09-07,0.6182,0.6351,0.6182,0.6351,8060000.0
2004-09-08,0.6309,0.6309,0.6182,0.6267,1711000.0
2004-09-09,0.6182,0.6224,0.614,0.614,692000.0
2004-09-10,0.614,0.6224,0.6098,0.6224,622000.0
2004-09-13,0.6098,0.6098,0.5804,0.5846,7420000.0
2004-09-14,0.5888,0.614,0.5888,0.6056,3611000.0
2004-09-15,0.6224,0.6435,0.6182,0.6351,14480000.0
2004-09-16,0.6393,0.6603,0.6309,0.6561,12604000.0
2004-09-17,0.6603,0.6603,0.6477,0.6477,3699000.0
2004-09-20,0.6519,0.6561,0.6351,0.6477,2416000.0
2004-09-21,0.6561,0.6687,0.6435,0.6477,4143000.0
2004-09-22,0.6435,0.6477,0.6393,0.6435,1521000.0
2004-09-23,0.6393,0.6561,0.6393,0.6519,1612000.0
2004-09-24,0.6519,0.6519,0.6351,0.6393,4383000.0
2004-09-27,0.6393,0.6435,0.6351,0.6393,1303000.0
2004-09-28,0.6309,0.6393,0.6309,0.6393,2124000.0
2004-09-30,0.6435,0.6435,0.6309,0.6393,3282000.0
2004-10-04,0.6393,0.6687,0.6393,0.6603,6206000.0
2004-10-05,0.6645,0.7234,0.6645,0.7024,22494640.0
2004-10-06,0.7066,0.7276,0.7066,0.7192,19159910.0
2004-10-07,0.7234,0.7402,0.715,0.7234,9895000.0
2004-10-08,0.7318,0.7402,0.6982,0.7192,8688500.0
2004-10-11,0.7192,0.7696,0.7192,0.7528,20116580.0
2004-10-12,0.757,0.7696,0.7486,0.7654,12973000.0
2004-10-13,0.7654,0.7654,0.7318,0.7402,5590000.0
2004-10-14,0.7402,0.7528,0.7276,0.7444,3882000.0
2004-10-15,0.736,0.7612,0.7318,0.7612,2853000.0
2004-10-18,0.7612,0.7865,0.7612,0.7739,6817000.0
2004-10-19,0.7739,0.7865,0.7528,0.7696,2197000.0
2004-10-20,0.7654,0.7696,0.7276,0.736,3735000.0
2004-10-21,0.736,0.736,0.7192,0.7234,4515000.0
2004-10-25,0.7234,0.7234,0.7024,0.7066,3912000.0
2004-10-26,0.6982,0.7066,0.6939,0.7024,4015000.0
2004-10-27,0.7276,0.7528,0.7276,0.7486,9618000.0
2004-10-28,0.7612,0.8075,0.7612,0.7823,21639000.0
2004-10-29,0.7654,0.7865,0.7612,0.7696,4587000.0
2004-11-01,0.7654,0.7739,0.7612,0.7696,922000.0
2004-11-02,0.7739,0.8075,0.7696,0.8033,7451000.0
2004-11-03,0.7907,0.7991,0.7781,0.7907,4359000.0
2004-11-04,0.7907,0.7907,0.7444,0.7486,6993000.0
2004-11-05,0.7612,0.7696,0.7486,0.7612,4452000.0
2004-11-08,0.757,0.7612,0.7486,0.757,2493000.0
2004-11-09,0.7654,0.7823,0.7612,0.7654,4851000.0
2004-11-10,0.7781,0.7781,0.7654,0.7696,2129000.0
2004-11-11,0.7696,0.7696,0.757,0.7612,2308000.0
2004-11-12,0.7781,0.7865,0.7654,0.7781,6530000.0
2004-11-15,0.7781,0.8033,0.7781,0.7823,11964000.0
2004-11-16,0.7781,0.7865,0.7696,0.7865,6360000.0
2004-11-17,0.7823,0.8664,0.7823,0.8496,28680000.0
2004-11-18,0.8496,0.8832,0.7865,0.7865,31583000.0
2004-11-19,0.7907,0.8285,0.7865,0.8243,12685000.0
2004-11-22,0.8285,0.8832,0.8201,0.858,12146000.0
2004-11-23,0.858,0.9253,0.858,0.9084,9782000.0
2004-11-24,0.9168,0.9168,0.8664,0.8664,6270000.0
2004-11-25,0.8748,0.9,0.858,0.8832,5813000.0
2004-11-26,0.8664,0.9337,0.8664,0.9168,9848000.0
2004-11-29,0.9253,1.001,0.9253,0.9841,11656000.0
2004-11-30,0.9673,1.0178,0.9673,0.9926,4080000.0
2004-12-01,0.9926,0.9926,0.9589,0.9673,4494000.0
2004-12-02,1.001,1.0262,0.9841,1.0178,7263000.0
2004-12-03,1.0346,1.0683,0.9841,0.9841,5769000.0
2004-12-06,0.9926,1.0094,0.9841,0.9841,923000.0
2004-12-07,0.9926,0.9926,0.9168,0.9337,10534000.0
2004-12-08,0.9337,0.9337,0.9084,0.9084,4555000.0
2004-12-09,0.9253,0.9337,0.9084,0.9168,3940000.0
2004-12-10,0.9253,0.9673,0.9168,0.9421,4792000.0
2004-12-13,0.9589,0.9673,0.9421,0.9589,3166000.0
2004-12-14,0.9589,0.9589,0.9253,0.9337,10572000.0
2004-12-15,0.9337,0.9757,0.9337,0.9673,8012000.0
2004-12-16,0.9841,0.9841,0.9505,0.9673,1255000.0
2004-12-17,0.9589,0.9589,0.9337,0.9337,1741000.0
2004-12-20,0.9337,0.9421,0.8832,0.8916,8084000.0
2004-12-21,0.9084,0.9505,0.9084,0.9337,8565000.0
2004-12-22,0.9337,0.9421,0.8496,0.858,17087000.0
2004-12-23,0.8411,0.8411,0.7865,0.8159,25722000.0
2004-12-24,0.8201,0.8369,0.8201,0.8369,4175000.0
2004-12-28,0.8369,0.8369,0.8033,0.8201,6441000.0
2004-12-29,0.8201,0.8201,0.7781,0.7949,8359000.0
2004-12-30,0.7949,0.7991,0.7781,0.7823,7040000.0
2004-12-31,0.7823,0.7949,0.7781,0.7823,7767000.0
2005-01-03,0.7907,0.7991,0.7781,0.7823,8517000.0
2005-01-04,0.7865,0.8075,0.7823,0.8033,16490000.0
2005-01-05,0.7991,0.7991,0.7823,0.7907,9699000.0
2005-01-06,0.7907,0.7949,0.7823,0.7907,8217800.0
