SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,001001,除税前溢利(业务利润),1865250000
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,001002,减:利息收入,142012000
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,001003,加:利息支出,243814000
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,001004,减:投资收益,168169000
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,001005,减:应占附属公司溢利,92251000
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,001006,加:减值及拨备,44928000
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,001007,减:重估盈余,-24045000
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,001008,减:出售资产之溢利,5422000
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,001009,加:折旧及摊销,1239754000
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,001010,减:汇兑收益,88174000
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,001011,加:购股权开支,129816000
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,001997,加:经营调整其他项目,5487000
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,001999,营运资金变动前经营溢利,3057066000
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,002001,存货(增加)减少,63164000
