SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004001001,营业额,19651919000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004001999,营运收入,19651919000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004005002,销售成本,15757471000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004007999,毛利,3894448000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004010002,其他收益,538491000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004010003,销售及分销费用,184244000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004010004,行政开支,592788000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004010005,减值及拨备,5487000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004010010,研发费用,1633607000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004010999,经营溢利,2016813000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004011201,融资成本,243814000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004011202,应占联营公司溢利,92251000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004011999,除税前溢利,1865250000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004012001,税项,141066000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004012002,持续经营业务税后利润,1724184000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004012999,除税后溢利,1724184000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004025001,少数股东损益,78051000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004025002,股东应占溢利,1646133000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004027002,每股基本盈利,1.5156
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004027003,每股摊薄盈利,1.5096
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004030997,其他全面收益其他项目,3754000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004030999,其他全面收益,3754000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004039999,全面收益总额,1727938000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004040001,非控股权益应占全面收益总额,79198000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,1648740000.0
02382.HK,02382,舜宇光学科技,10080016,2025-06-30 00:00:00,002,12-31,2025-01-01 00:00:00,004099999,非运算项目,-15757471000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004001001,营业额,38294491000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004001999,营运收入,38294491000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004005002,销售成本,31288458000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004007999,毛利,7006033000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010002,其他收益,1281273000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010003,销售及分销费用,439329000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010004,行政开支,1399231000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010005,减值及拨备,99000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010010,研发费用,2924111000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004010999,经营溢利,3524536000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011201,融资成本,499383000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011202,应占联营公司溢利,118381000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011999,除税前溢利,3143534000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012001,税项,366510000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012002,持续经营业务税后利润,2777024000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012999,除税后溢利,2777024000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004025001,少数股东损益,77865000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004025002,股东应占溢利,2699159000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004027002,每股基本盈利,2.4816
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004027003,每股摊薄盈利,2.4788
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004030997,其他全面收益其他项目,-68358000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004030999,其他全面收益,-68358000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004039999,全面收益总额,2708666000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004040001,非控股权益应占全面收益总额,74806000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,2633860000.0
02382.HK,02382,舜宇光学科技,10080016,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004099999,非运算项目,-31288458000.0
02382.HK,02382,舜宇光学科技,10080016,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004001001,营业额,18860225000.0
02382.HK,02382,舜宇光学科技,10080016,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004001999,营运收入,18860225000.0
02382.HK,02382,舜宇光学科技,10080016,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004005002,销售成本,15613746000.0
02382.HK,02382,舜宇光学科技,10080016,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004007999,毛利,3246479000.0
02382.HK,02382,舜宇光学科技,10080016,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010002,其他收益,564820000.0
02382.HK,02382,舜宇光学科技,10080016,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010003,销售及分销费用,226073000.0
02382.HK,02382,舜宇光学科技,10080016,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010004,行政开支,563456000.0
02382.HK,02382,舜宇光学科技,10080016,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010005,减值及拨备,26958000.0
02382.HK,02382,舜宇光学科技,10080016,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010010,研发费用,1468369000.0
