日期,开盘,最高,最低,收盘,成交量,成交额,换手率,流通股本
2020-12-28,156.433,159.6157,150.9357,151.9001,7122368.0,,,
2020-12-29,152.5752,158.5548,151.5143,156.8188,6204598.0,,,
2020-12-30,158.0725,165.4988,157.3974,162.7019,9621779.0,,,
2020-12-31,161.9303,163.9557,159.6157,163.6663,5397982.0,,,
2021-01-04,163.6663,176.3006,161.4481,170.7068,9092410.0,,,
2021-01-05,168.7779,176.8792,166.6561,174.661,8055483.0,,,
2021-01-06,174.8539,181.2192,172.3463,175.0468,8448244.0,,,
2021-01-07,176.1077,176.1077,169.8388,175.2397,5278794.0,,,
2021-01-08,175.4326,184.7877,173.6001,182.3766,7289785.0,,,
2021-01-11,181.3157,197.3255,181.3157,191.9246,11390338.0,,,
2021-01-12,191.9246,194.4321,185.1734,188.0668,8826805.0,,,
2021-01-13,183.2446,190.4779,182.2801,183.5339,8062630.0,,,
2021-01-14,186.1379,187.0059,178.7117,185.3663,7624843.0,,,
2021-01-15,182.2801,186.9095,178.9046,183.8232,6076181.0,,,
2021-01-18,181.9908,197.7112,179.869,197.5183,10612551.0,,,
2021-01-19,199.6401,217.3859,198.4828,213.1424,17785075.0,,,
2021-01-20,212.1779,217.0001,207.5486,211.2135,11833667.0,,,
2021-01-21,212.1779,212.1779,204.6552,210.8277,7766867.0,,,
2021-01-22,211.2135,212.1779,205.6197,208.513,7065513.0,,,
2021-01-25,209.0917,218.929,206.777,213.5281,9596382.0,,,
2021-01-26,213.721,218.5432,204.4624,206.3912,9544589.0,,,
2021-01-27,212.3708,212.3708,195.7823,207.9344,9434706.0,,,
2021-01-28,201.569,207.9344,192.889,193.8535,9558879.0,,,
2021-01-29,196.7468,207.3557,193.6606,196.9397,10240203.0,,,
2021-02-01,198.097,206.3912,194.8179,198.6757,8339340.0,,,
2021-02-02,202.9192,208.7059,200.2188,207.5486,7040777.0,,,
2021-02-03,205.8126,218.3504,204.4624,217.9646,7901992.0,,,
2021-02-04,217.9646,218.1575,201.9548,208.7059,10321596.0,,,
2021-02-05,208.7059,214.1068,202.7263,204.2695,6501488.0,,,
2021-02-08,206.9699,210.0561,199.0615,202.5335,7959949.0,,,
2021-02-09,206.5841,211.7921,205.2339,210.0561,5031274.0,,,
2021-02-10,212.1779,212.9495,208.513,211.4064,2389077.0,,,
2021-02-11,211.2135,214.1068,209.4775,214.1068,1252268.0,,,
2021-02-16,217.5788,231.081,217.3859,228.3806,5273106.0,,,
2021-02-17,224.137,227.0304,218.929,224.137,3814306.0,,,
2021-02-18,223.1726,233.2028,217.9646,218.5432,8137334.0,,,
2021-02-19,220.2792,220.665,210.249,216.0357,6742433.0,,,
2021-02-22,219.5077,219.8935,204.6552,205.041,9546959.0,,,
2021-02-23,202.5335,209.6704,199.2543,200.7975,8590177.0,,,
2021-02-24,205.6197,206.1984,187.1023,190.3815,11007667.0,,,
2021-02-25,193.2748,203.6908,192.1175,197.3255,7229500.0,,,
2021-02-26,188.549,191.3459,183.2446,187.1023,9448619.0,,,
2021-03-01,190.9601,197.7112,189.8992,193.0819,4691663.0,,,
2021-03-02,195.7823,201.1832,190.9601,192.5032,5118041.0,,,
2021-03-03,192.6961,197.9041,189.6099,197.1326,3634304.0,,,
2021-03-04,189.8028,190.9601,181.4121,183.8232,7908965.0,,,
2021-03-05,178.4223,184.9806,175.6254,181.8943,6042571.0,,,
2021-03-08,185.945,185.945,167.2348,168.9708,8788441.0,,,
2021-03-09,171.4783,177.1686,161.8339,171.8641,10335521.0,,,
2021-03-10,185.6557,186.5237,180.1583,182.5694,8817212.0,,,
2021-03-11,182.5694,187.9703,179.869,185.5592,5148197.0,,,
2021-03-12,189.417,191.153,176.3006,176.7828,7519308.0,,,
2021-03-15,179.3868,181.3157,168.2957,171.7677,7313255.0,,,
2021-03-16,173.8894,178.4223,172.057,177.4579,4944173.0,,,
2021-03-17,178.8081,179.1939,168.2957,172.5392,6861659.0,,,
2021-03-18,176.7828,192.5032,175.1432,188.8383,13595143.0,,,
2021-03-19,186.813,188.3561,179.7726,184.5948,9397880.0,,,
2021-03-22,183.2446,184.3054,171.6712,175.3361,9308180.0,,,
2021-03-23,174.9503,180.2548,170.8032,172.2499,4676343.0,,,
2021-03-24,171.3819,173.6001,159.4228,162.2197,9921451.0,,,
2021-03-25,160.8694,168.8743,155.9508,166.7525,6991813.0,,,
2021-03-26,167.4277,172.1534,164.3414,169.453,5745040.0,,,
2021-03-29,170.321,172.4428,163.377,166.2703,6160992.0,,,
2021-03-30,169.0672,176.0112,166.849,172.1534,9263063.0,,,
2021-03-31,172.7321,173.6966,167.8134,170.8997,5900254.0,,,
2021-04-01,174.5646,179.3868,173.2143,176.3006,7675126.0,,,
2021-04-07,178.133,178.8081,172.6357,173.5037,3748411.0,,,
2021-04-08,172.057,178.4223,171.5748,176.6863,2993744.0,,,
2021-04-09,177.7472,178.2294,168.9708,171.7677,3899215.0,,,
2021-04-12,174.2752,177.4579,167.4277,168.8743,5029325.0,,,
2021-04-13,168.585,170.1281,164.3414,165.8845,3729216.0,,,
2021-04-14,169.1637,172.2499,166.849,170.9961,3892158.0,,,
2021-04-15,171.189,174.5646,168.0063,173.8894,3676500.0,,,
2021-04-16,175.529,182.6659,174.1788,178.4223,7098329.0,,,
2021-04-19,178.4223,189.1277,176.4934,187.681,10189571.0,,,
2021-04-20,186.813,190.9601,182.8588,187.8739,5718679.0,,,
2021-04-21,181.8943,185.8486,178.5188,183.2446,5145770.0,,,
2021-04-22,183.2446,189.5135,181.4121,189.3206,4039876.0,,,
2021-04-23,189.3206,196.9397,188.1632,190.0921,9709839.0,,,
2021-04-26,190.9601,193.6606,187.8739,191.7317,7514661.0,,,
2021-04-27,193.2748,194.4321,188.2597,189.1277,5215878.0,,,
2021-04-28,190.0921,191.153,186.5237,189.417,4184096.0,,,
