日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-27,5.23,5.25,5.12,5.19,2530207.0,19245769.0,588295706.0,0.004300910195662724
2019-11-28,5.19,5.24,5.14,5.2,1784385.0,13617013.0,588295706.0,0.0030331429956077225
2019-11-29,5.19,5.25,5.17,5.23,2260918.0,17286100.0,588295706.0,0.003843165906092811
2019-12-02,5.23,5.35,5.21,5.34,2819111.0,21904281.0,588295706.0,0.004791996560994787
2019-12-03,5.32,5.56,5.27,5.55,5814848.0,46450016.0,588295706.0,0.009884226487962841
2019-12-04,5.51,5.58,5.45,5.52,4863338.0,39239402.0,588295706.0,0.008266825595357992
2019-12-05,5.53,5.6,5.47,5.56,3981985.0,32394983.0,588295706.0,0.006768679355276477
2019-12-06,5.57,5.68,5.53,5.64,5255026.0,43390610.0,588295706.0,0.008932626817439324
2019-12-09,5.63,5.72,5.53,5.63,6131409.0,50615984.0,588295706.0,0.010422324925145722
2019-12-10,5.63,5.72,5.61,5.68,5637628.0,46864709.0,588295706.0,0.009582983425685586
2019-12-11,5.71,5.73,5.63,5.69,3995311.0,33245408.0,588295706.0,0.006791331228924523
2019-12-12,5.73,5.75,5.65,5.68,3465519.0,28973614.0,588295706.0,0.005890777315991492
2019-12-13,5.74,5.77,5.6,5.7,5755967.0,47838153.0,588295706.0,0.009784139066960995
2019-12-16,5.7,5.78,5.66,5.7,5292939.0,44374962.0,588295706.0,0.00899707229887549
2019-12-17,5.73,5.8,5.65,5.74,6177975.0,51748233.0,588295706.0,0.010501478996006815
2019-12-18,5.72,5.91,5.71,5.81,5217141.0,44505988.0,588295706.0,0.008868228931115128
2019-12-19,5.81,5.96,5.77,5.95,6364854.0,55170167.0,588295706.0,0.010819140672089148
2019-12-20,5.96,6.02,5.84,5.86,3740221.0,32422759.0,588295706.0,0.006357722760600942
2019-12-23,5.82,6.02,5.81,5.84,5238302.0,45607849.0,588295706.0,0.008904198936988331
2019-12-24,5.86,5.92,5.79,5.9,3203560.0,27526058.0,588295706.0,0.005445492746805804
2019-12-25,5.88,5.88,5.78,5.83,2921350.0,24982213.0,588295706.0,0.00496578501288602
2019-12-26,5.83,5.89,5.73,5.82,2810550.0,23894860.0,588295706.0,0.004777444355509201
2019-12-27,5.88,5.96,5.73,5.76,3998593.0,34128258.0,588295706.0,0.006796910055977869
2019-12-30,5.71,5.86,5.66,5.8,4672736.0,39429275.0,588295706.0,0.007942835469208745
2019-12-31,5.79,5.83,5.66,5.73,4550200.0,38194581.0,588295706.0,0.007734545660613746
2020-01-02,5.77,5.9,5.71,5.84,6544248.0,55950477.0,588295706.0,0.011124079154845982
2020-01-03,5.87,5.91,5.73,5.77,5354322.0,45474363.0,588295706.0,0.009101412683097164
2020-01-06,5.74,5.93,5.68,5.83,4714547.0,40329209.0,588295706.0,0.008013906870161652
2020-01-07,5.83,5.92,5.78,5.92,4723624.0,40720559.0,588295706.0,0.008029336185567875
2020-01-08,5.89,5.96,5.74,5.77,4984770.0,42658010.0,588295706.0,0.008473238796680932
2020-01-09,5.82,6.01,5.82,6.01,8700808.0,75924362.0,588295706.0,0.0147898546789665
2020-01-10,6.0,6.03,5.88,5.92,6449032.0,56086512.0,588295706.0,0.010962228576932704
2020-01-13,5.94,6.01,5.86,6.0,6339376.0,55242175.0,588295706.0,0.010775832519845045
2020-01-14,6.05,6.11,5.86,5.86,10557945.0,92019687.0,588295706.0,0.01794666337408215
2020-01-15,5.84,6.11,5.82,6.08,7975530.0,69917017.0,588295706.0,0.013557008692495879
2020-01-16,6.06,6.09,5.96,5.99,4709437.0,41562618.0,588295706.0,0.008005220762226675
2020-01-17,5.98,6.05,5.87,5.9,3798238.0,33172772.0,588295706.0,0.006456341532433351
2020-01-20,5.89,5.97,5.78,5.86,9374614.0,80264917.0,588295706.0,0.015935207251028278
2020-01-21,5.91,5.91,5.68,5.73,8352842.0,70256612.0,588295706.0,0.014198373224230197
2020-01-22,5.7,5.83,5.57,5.77,6678890.0,55867915.0,588295706.0,0.011352947050067369
2020-01-23,5.67,5.77,5.47,5.7,7325423.0,60548250.0,588295706.0,0.012451940283242523
2020-02-03,5.13,5.38,5.13,5.13,7840729.0,60134782.0,588295706.0,0.013327870525031505
2020-02-04,5.13,5.44,5.08,5.32,9015783.0,69900419.0,588295706.0,0.015325257193021226
2020-02-05,5.32,5.49,5.28,5.36,6372684.0,50394558.0,588295706.0,0.010832450305187168
2020-02-06,5.42,5.42,5.25,5.34,7396226.0,57683545.0,588295706.0,0.01257229302299208
2020-02-07,5.34,5.39,5.24,5.36,5637372.0,43993567.0,588295706.0,0.009582548270376122
2020-02-10,5.41,5.59,5.33,5.55,8350593.0,67126875.0,588295706.0,0.01419455031684355
2020-02-11,5.57,5.79,5.53,5.7,11972777.0,99533254.0,588295706.0,0.020351630783448215
2020-02-12,5.7,5.77,5.62,5.7,10624102.0,88293371.0,588295706.0,0.01805911872489513
2020-02-13,5.66,5.68,5.53,5.55,7097000.0,58165580.0,588295706.0,0.012063661059596447
2020-02-14,5.59,5.62,5.47,5.55,5238446.0,42507270.0,588295706.0,0.008904443711849903
2020-02-17,5.6,5.68,5.55,5.66,6985439.0,57474771.0,588295706.0,0.011874026835069234
2020-02-18,5.66,5.83,5.66,5.75,7900009.0,66330968.0,588295706.0,0.013428636176378959
2020-02-19,5.73,5.96,5.66,5.89,10801639.0,92301642.0,588295706.0,0.01836090063183293
2020-02-20,6.1,6.48,6.0,6.46,25433470.0,236322257.0,588295706.0,0.04323245901781238
2020-02-21,6.27,6.78,6.22,6.64,23431278.0,226539797.0,588295706.0,0.03982908214529786
2020-02-24,6.65,6.78,6.54,6.72,11591825.0,113612145.0,588295706.0,0.019704078887157472
2020-02-25,6.55,6.88,6.45,6.84,18643352.0,183242146.0,588295706.0,0.03169044378508518
2020-02-26,6.72,6.82,6.48,6.5,11683447.0,113564462.0,588295706.0,0.019859820292484
2020-02-27,6.6,6.74,6.44,6.63,7570048.0,73448634.0,588295706.0,0.01286776007846639
2020-02-28,6.38,6.71,6.14,6.44,13164151.0,125972116.0,588295706.0,0.02237675860241618
2020-03-02,6.76,7.08,6.64,7.08,25728745.0,260308092.0,588295706.0,0.04373437497094361
2020-03-03,7.43,7.79,7.31,7.61,41680591.0,464977313.0,588295706.0,0.07084972841872145
2020-03-04,7.44,7.92,7.34,7.72,25176372.0,279440834.0,588295706.0,0.0427954373000302
2020-03-05,8.14,8.29,7.64,7.74,28169045.0,328718071.0,588295706.0,0.04788245896188812
2020-03-06,7.74,7.77,7.42,7.57,13339527.0,148508014.0,588295706.0,0.022674867186604962
2020-03-09,7.37,7.72,7.14,7.2,14121525.0,152720425.0,588295706.0,0.024004127271328408
2020-03-10,7.37,7.68,6.98,7.66,19216028.0,206633887.0,588295706.0,0.032663893011654926
2020-03-11,7.64,7.7,7.43,7.45,11385704.0,126308006.0,588295706.0,0.019353709170197478
2020-03-12,7.31,7.4,6.96,7.14,11283978.0,117791352.0,588295706.0,0.0191807927287506
2020-03-13,6.59,7.49,6.59,7.27,13328647.0,139596933.0,588295706.0,0.022656373085952797
2020-03-16,7.38,7.53,6.84,6.92,12099886.0,127596733.0,588295706.0,0.020567693893723576
2020-03-17,7.03,7.23,6.69,7.06,10106100.0,103482973.0,588295706.0,0.01717860575375337
2020-03-18,7.18,7.32,6.82,6.89,9674532.0,100683245.0,588295706.0,0.0164450154936198
2020-03-19,6.96,7.22,6.8,7.19,9832974.0,100902495.0,588295706.0,0.0167143392340178
2020-03-20,7.36,7.44,7.09,7.4,9408753.0,100296336.0,588295706.0,0.015993237591300728
2020-03-23,7.18,7.62,7.06,7.14,11436585.0,122784942.0,588295706.0,0.019440197987778615
2020-03-24,7.33,7.37,6.98,7.19,9948956.0,104597517.0,588295706.0,0.016911488386760383
2020-03-25,7.37,7.51,7.2,7.34,9374608.0,101015775.0,588295706.0,0.015935197052075713
2020-03-26,7.27,7.54,7.23,7.3,8708231.0,94465984.0,588295706.0,0.014802472483115489
2020-03-27,7.4,7.44,7.17,7.34,8145256.0,87229289.0,588295706.0,0.013845513263018786
2020-03-30,7.3,8.07,7.21,8.07,20311139.0,231063746.0,588295706.0,0.03452539053548693
2020-03-31,8.37,8.41,7.78,8.07,16111638.0,190730761.0,588295706.0,0.027386971952503083
2020-04-01,8.05,8.87,7.96,8.41,27211988.0,343584825.0,588295706.0,0.046255629137636436
2020-04-02,8.2,9.1,8.2,8.93,23355502.0,296847459.0,588295706.0,0.039700276173696904
2020-04-03,8.88,8.88,8.45,8.47,13963150.0,175745599.0,588295706.0,0.023734917419234062
2020-04-07,8.63,8.85,8.52,8.61,15457841.0,196316037.0,588295706.0,0.026275631187421926
