日期,002706.SZ_close,002706.SZ_volume,002706.SZ_turnover
2024-05-13,7.42,188474704.96,2.64
2024-05-14,7.47,117530639.06,1.68
2024-05-15,7.47,92685389.26,1.32
2024-05-16,7.62,207672984.9,2.93
2024-05-17,7.72,208905126.96,2.93
2024-05-20,8.51,957456302.24,12.26
2024-05-21,8.43,644344950.78,8.17
2024-05-22,8.58,477624677.65,6.03
2024-05-23,8.28,324851936.37,4.16
2024-05-24,8.31,237734434.05,3.04
2024-05-27,8.16,301647969.11,3.96
2024-05-28,8.06,227937879.0,3.0
2024-05-29,8.0,186581857.43,2.48
2024-05-30,8.01,200302188.1,2.67
2024-05-31,7.88,166350216.39,2.25
2024-06-03,7.73,195855529.39,2.71
2024-06-04,7.88,191169202.94,2.64
2024-06-05,7.65,143367741.92,1.97
2024-06-06,7.47,144469439.2,2.05
2024-06-07,7.41,110634076.98,1.59
2024-06-11,7.48,91176013.39,1.32
2024-06-12,7.38,82758359.72,1.19
2024-06-13,7.31,77043337.61,1.12
2024-06-14,7.45,109795006.48,1.59
2024-06-17,7.5,99968951.07,1.42
2024-06-18,7.49,89232898.96,1.27
2024-06-19,7.3,104910740.24,1.52
2024-06-20,7.05,112114148.55,1.68
2024-06-21,7.01,56486181.7,0.85
2024-06-24,6.76,98195140.42,1.53
2024-06-25,6.69,64666518.3,1.02
2024-06-26,6.85,78615626.4,1.23
2024-06-27,6.57,133255244.88,2.14
2024-06-28,6.65,107681011.43,1.72
2024-07-01,6.65,97220261.95,1.56
2024-07-02,6.57,80418796.4,1.29
2024-07-03,6.47,59310618.09,0.97
2024-07-04,6.31,73494241.0,1.22
2024-07-05,6.33,69904724.4,1.17
2024-07-08,6.07,130957092.5,2.27
2024-07-09,6.17,97847969.2,1.69
2024-07-10,6.12,72475013.0,1.24
2024-07-11,6.3,97670485.05,1.65
2024-07-12,6.3,70354369.0,1.18
2024-07-15,6.15,82061841.0,1.41
2024-07-16,6.05,65410406.0,1.14
2024-07-17,6.08,65888502.11,1.15
2024-07-18,6.1,69943307.0,1.23
2024-07-19,6.08,50894360.0,0.88
2024-07-22,6.05,55330966.0,0.96
2024-07-23,5.93,53002443.04,0.93
2024-07-24,5.83,51935277.0,0.93
2024-07-25,5.94,68913399.77,1.23
2024-07-26,5.94,57763707.14,1.02
2024-07-29,5.89,49501232.83,0.89
2024-07-30,5.83,78116443.0,1.42
2024-07-31,6.16,116754998.1,2.04
2024-08-01,6.04,85650247.08,1.49
2024-08-02,6.01,76208554.86,1.33
2024-08-05,5.82,98474129.5,1.76
2024-08-06,5.98,90341185.9,1.6
2024-08-07,6.04,80439967.95,1.41
2024-08-08,6.06,74474207.5,1.3
2024-08-09,6.01,47515733.0,0.83
2024-08-12,5.93,42412632.77,0.75
2024-08-13,5.98,39317894.0,0.7
2024-08-14,5.9,42187243.0,0.75
2024-08-15,5.92,63944160.96,1.14
2024-08-16,5.83,48083320.4,0.86
2024-08-19,5.8,52210024.02,0.95
2024-08-20,5.66,66632103.5,1.23
2024-08-21,5.65,32367167.48,0.6
2024-08-22,5.52,54419807.2,1.03
2024-08-23,5.45,61112756.0,1.18
2024-08-26,5.49,96657737.2,1.87
2024-08-27,5.33,85206385.28,1.67
2024-08-28,5.4,53400473.34,1.04
2024-08-29,5.55,85039928.0,1.62
2024-08-30,5.7,127357034.78,2.37
2024-09-02,5.48,76884647.0,1.45
2024-09-03,5.54,53255993.5,1.01
2024-09-04,5.73,200480687.89,3.69
2024-09-05,5.68,132405615.65,2.47
2024-09-06,5.59,100690187.4,1.87
2024-09-09,5.51,68078480.3,1.29
2024-09-10,5.56,52577697.91,1.0
2024-09-11,5.67,76084805.45,1.42
2024-09-12,5.67,71297074.3,1.31
2024-09-13,5.62,52855190.24,0.99
2024-09-18,5.61,50336036.6,0.95
2024-09-19,5.76,96047153.38,1.76
2024-09-20,5.75,77424516.15,1.42
2024-09-23,5.77,57222559.71,1.05
2024-09-24,5.97,107456889.73,1.93
2024-09-25,5.98,160806468.09,2.8
2024-09-26,6.21,144073640.1,2.5
2024-09-27,6.65,184768589.31,3.01
2024-09-30,7.33,345780290.87,5.17
2024-10-08,7.62,519480471.62,7.23
2024-10-09,6.88,327526627.42,4.87
2024-10-10,6.9,167990673.94,2.55
2024-10-11,6.54,174322990.98,2.79
2024-10-14,6.73,129565000.2,2.07
2024-10-15,6.55,116842460.2,1.86
2024-10-16,6.62,112075350.65,1.8
2024-10-17,6.53,152571804.85,2.43
2024-10-18,6.72,166049370.37,2.63
2024-10-21,6.63,180398580.57,2.87
2024-10-22,6.86,167240833.0,2.63
2024-10-23,6.82,146007940.2,2.26
2024-10-24,6.76,98913672.58,1.55
2024-10-25,6.97,147993153.58,2.27
2024-10-28,6.87,286436014.38,4.47
2024-10-29,6.71,170627582.58,2.66
2024-10-30,6.66,137558317.13,2.18
2024-10-31,6.63,150403062.49,2.4
2024-11-01,6.53,154848418.2,2.49
2024-11-04,6.69,110171241.06,1.75
2024-11-05,6.83,169931612.42,2.66
2024-11-06,6.85,187776701.08,2.89
2024-11-07,7.01,180242748.08,2.76
2024-11-08,6.95,189419031.7,2.87
2024-11-11,7.03,135743658.38,2.06
2024-11-12,7.13,337194961.88,5.03
2024-11-13,7.2,251856949.46,3.73
2024-11-14,6.92,198873887.64,3.0
2024-11-15,6.83,135121891.26,2.07
2024-11-18,6.66,166698728.71,2.62
2024-11-19,6.85,141965536.24,2.23
2024-11-20,7.04,170179602.34,2.59
2024-11-21,6.98,152387820.73,2.31
2024-11-22,6.61,205581070.6,3.21
2024-11-25,6.61,147513857.84,2.38
2024-11-26,6.5,104077237.36,1.69
2024-11-27,6.59,129646263.85,2.12
2024-11-28,6.55,96226594.0,1.55
2024-11-29,6.81,225465732.8,3.53
2024-12-02,6.84,113617207.24,1.77
2024-12-03,6.82,118088031.7,1.84
2024-12-04,6.68,114626871.48,1.81
2024-12-05,6.75,79057168.86,1.25
2024-12-06,6.85,114862467.0,1.8
2024-12-09,6.86,127845134.7,1.98
2024-12-10,6.93,182858025.62,2.79
2024-12-11,6.94,99684594.8,1.53
2024-12-12,7.13,221517316.3,3.35
2024-12-13,6.87,160933945.92,2.46
2024-12-16,6.8,100953607.0,1.56
2024-12-17,6.72,93235853.25,1.46
2024-12-18,6.73,67278414.5,1.06
2024-12-19,6.84,122562571.02,1.92
2024-12-20,6.8,104443748.29,1.62
2024-12-23,6.71,108524255.55,1.69
2024-12-24,6.84,118693821.4,1.84
2024-12-25,6.73,110609772.8,1.74
2024-12-26,6.93,195124693.06,3.01
2024-12-27,7.2,508876775.68,7.49
2024-12-30,7.94,676684713.04,9.19
2024-12-31,7.47,1130905505.15,15.77
2025-01-02,7.01,591517741.25,8.81
2025-01-03,6.63,549165223.84,8.44
2025-01-06,6.66,367520180.45,5.81
2025-01-07,6.91,340247227.59,5.31
2025-01-08,6.68,382148612.2,6.09
2025-01-09,6.69,260311721.72,4.08
2025-01-10,6.29,315717540.63,5.17
2025-01-13,6.19,144787055.55,2.48
2025-01-14,6.43,173899561.67,2.9
2025-01-15,6.3,137342694.2,2.3
2025-01-16,6.71,514987255.17,8.07
2025-01-17,6.61,281244479.0,4.5
2025-01-20,6.71,283094641.2,4.44
2025-01-21,6.76,221096135.9,3.49
2025-01-22,6.72,141840236.79,2.23
2025-01-23,6.66,186832070.5,2.93
2025-01-24,6.75,145835033.87,2.3
2025-01-27,6.62,131291250.3,2.08
2025-02-05,6.6,127018146.3,2.03
2025-02-06,6.65,143678049.71,2.3
2025-02-07,6.89,313175471.64,4.85
2025-02-10,6.93,255270228.97,3.92
2025-02-11,6.95,178087215.15,2.73
