SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
300413.SZ,300413,芒果超媒,10181653,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-25 00:00:00,2025-10-25 00:00:00,CNY,9063127645.02,-11.8178982002,9063127645.02,-11.8178982002,,,,,,,,,,,8478606979.31,-3.2058973054,6624066604.5,-9.0362148979,,,,,173569111.57,35.9256442956,,,,,,,,,,,,,56864368.33,3.0796591644,1329713476.54,9.0283864918,299396442.75,16.3392147145,,,-5003024.38,97.258277176,7891378.6,-13.8149426534,38266604.34,-81.8555219045,,,,,,,,,186178875.03,-13.7759861342,,,,,,,3277375.58,1225.8975524317,-26511449.0,-779.8606491072,-54113877.45,17.1306559527,31795549.49,24.6603187151,,,0,,725147139.36,-57.134486521,22708610.61,-0.4391281882,,,2894849.53,-76.1692618777,,,,,0,,744960900.44,-56.2390270557,-270261078.17,-197.4694108405,,,,,,,1015221978.61,-28.759500304,,,1015221978.61,-28.759500304,,,1015871409.64,-29.6656998821,-649431.03,96.632300154,790941940.92,-35.5029827615,,,,,0.54,-29.8701298701,0.54,-29.8701298701,-22329.33,-6.5462795958,-22329.33,-6.5462795958,,,,,,,,,,,,,,,,,,,,,-22329.33,-6.5462795958,,,,,,,,,,,,,,,-22329.33,-6.5462795958,,,,,,,,,1015199649.28,-28.7600195289,1015849080.31,-29.6662253236,-649431.03,96.632300154,,,,,,,,,,,
300413.SZ,300413,芒果超媒,10181653,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-23 00:00:00,2025-08-23 00:00:00,CNY,5963683329.69,-14.3139904679,5963683329.69,-14.3139904679,,,,,,,,,,,5499143138.86,-6.2413035622,4379895882.02,-11.5594667519,,,,,108411322.51,21.2244502263,,,,,,,,,,,,,37651263.48,1.3324678161,780177717.16,2.277118281,195751283.92,-1.3339986687,,,-2744330.23,98.4313271017,6796604.04,17.6021598641,25802371.42,-86.7047383801,,,,,,,,,127144570.12,-17.1184396264,,,,,,,3469958.29,1303.8089597748,-26182795.8,-4502.9719471433,-21376367.71,37.562790734,20953343.77,7.7895351593,,,0,,568548899.5,-53.8891268247,14668241.69,-22.4652645986,,,2805264.49,-80.8710051328,,,,,0,,580411876.7,-53.0888288926,-182090920.21,-193.9441686861,,,,,,,762502796.91,-26.9233237361,,,762502796.91,-26.9233237361,,,763397450.94,-28.3082457753,-894654.03,95.8202696148,609820469.81,-33.1501083418,,,,,0.41,-28.0701754386,0.41,-28.0701754386,-8025.91,-170.295056869,-8025.91,-170.295056869,,,,,,,,,,,,,,,,,,,,,-8025.91,-170.295056869,,,,,,,,,,,,,,,-8025.91,-170.295056869,,,,,,,,,762494771.0,-26.924892529,763389425.03,-28.3097681844,-894654.03,95.8202696148,,,,,,,,,,,
300413.SZ,300413,芒果超媒,10181653,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-26 00:00:00,2025-04-26 00:00:00,CNY,2900344772.02,-12.7561418232,2900344772.02,-12.7561418232,,,,,,,,,,,2689671570.97,-3.8726276224,2133656267.78,-10.0693309428,,,,,53998170.22,26.8707774866,,,,,,,,,,,,,17812585.26,19.4745654694,382902086.66,10.7060718731,109340631.1,3.0805445672,,,-8038170.05,90.4244149546,1748341.69,-61.1923662252,17103997.58,-82.033417551,,,,,,,,,64369426.68,1350.5957830564,,,,,,,-53235.21,-121.364674594,-6023757.52,-2350.827887508,-4283215.21,-131.3061889534,9569819.93,-17.9617656761,,,0,,274252239.72,-49.8244711221,6480977.26,89.2739924157,,,10288.14,-98.5846988437,,,,,0,,280722928.84,-48.8928284124,-93628329.96,-205.7625553359,,,,,,,374351258.8,-18.7528077274,,,374351258.8,-18.7528077274,,,378811611.91,-19.7974542753,-4460353.11,61.4248246424,303428595.79,-35.0271045709,,,,,0.2,-20.0,0.2,-20.0,-2755.05,-187.4460811853,-2755.05,-187.4460811853,,,,,,,,,,,,,,,,,,,,,-2755.05,-187.4460811853,,,,,,,,,,,,,,,-2755.05,-187.4460811853,,,,,,,,,374348503.75,-18.7539612152,378808856.86,-19.7985725567,-4460353.11,61.4248246424,,,,,,,,,,,
300413.SZ,300413,芒果超媒,10181653,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-26 00:00:00,2025-04-26 00:00:00,CNY,14079689573.23,-3.7484694937,14079689573.23,-3.7484694937,,,,,,,,,,,12570048126.71,-2.6050086534,9991679957.84,1.9246448046,,,,,263871588.23,-5.3301582557,,,,,,,,,,,,,72209606.54,-27.8734960527,1991049368.32,-11.9030148708,440417808.78,-28.0373648909,,,-189180203.0,-28.1123731924,11974775.16,-48.0907529703,228123599.61,9.2080914317,,,,,,,,,284577190.38,288.5714782116,,,,,,,864607.48,-26.2043046451,-28519159.08,12.3150688992,-69433454.71,-2.8088520844,45283091.35,-63.1618689257,,,0,,1742413721.94,-4.2119786733,37254683.06,4.8482468051,,,16576762.46,313.8103165231,,,,,0,,1763091642.54,-4.7264359591,420182287.81,125.9248593641,,,,,,,1342909354.73,-61.3142344861,,,1342909354.73,-61.3142344861,,,1364348174.2,-61.6293263995,-21438819.47,74.5921539517,1644849888.65,-2.9857810988,,,,,0.73,-61.5789473684,0.73,-61.5789473684,27991.13,91.4405128949,27991.13,91.4405128949,,,,,,,,,,,,,,,,,,,,,27991.13,91.4405128949,,,,,,,,,,,,,,,27991.13,91.4405128949,,,,,,,,,1342937345.86,-61.3135910818,1364376165.33,-61.6286969678,-21438819.47,74.5921539517,,,,,,,,,,,标准无保留意见
300413.SZ,300413,芒果超媒,10181653,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-26 00:00:00,2025-10-25 00:00:00,CNY,10277740561.91,-0.8480900115,10277740561.91,-0.8480900115,,,,,,,,,,,8759425154.3,-0.2728322539,7282092095.29,9.607148528,,,,,127694161.37,-26.5165784208,,,,,,,,,,,,,55165460.18,-22.5200501058,1219603003.7,-24.1921060497,257347828.49,-36.3248989491,,,-182477394.73,-54.1718776591,9156318.79,-57.0399971491,210899449.07,25.6621318477,,,,,,,,,215924620.86,203.6816952415,,,,,,,247181.66,301.9671507326,-3013141.8,-11.1620800331,-65300236.26,-198.9807668072,25505750.2,-65.1051496464,,,0,,1691679582.27,-0.6044395999,22808770.35,-16.0871231705,,,12147544.55,379.5194093508,,,,,0,,1702340808.07,-1.4058924227,277277841.16,16055.5939129096,,,,,,,1425062966.91,-17.5479203511,,,1425062966.91,-17.5479203511,,,1444347079.5,-18.9581700055,-19284112.59,64.2032970257,1226323285.61,-23.9842920094,,,,,0.77,-18.9473684211,0.77,-18.9473684211,-20957.4,-149.8927624855,-20957.4,-149.8927624855,,,,,,,,,,,,,,,,,,,,,-20957.4,-149.8927624855,,,,,,,,,,,,,,,-20957.4,-149.8927624855,,,,,,,,,1425042009.51,-17.5511367054,1444326122.1,-18.9612559044,-19284112.59,64.2032970257,,,,,,,,,,,
300413.SZ,300413,芒果超媒,10181653,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-22 00:00:00,2025-08-23 00:00:00,CNY,6959926553.07,2.4615270103,6959926553.07,2.4615270103,,,,,,,,,,,5865208612.95,3.91911766,4952362588.92,12.3438690228,,,,,89430244.73,-17.1719547224,,,,,,,,,,,,,37156169.48,-15.4952904317,762807683.94,-16.0348254487,198397909.39,-21.4729507971,,,-174945983.51,-126.3930738278,5779319.06,-62.4433705124,194071934.48,75.734468115,,,,,,,,,153405135.65,763.5754333259,,,,,,,247181.66,292.927198954,-568823.71,84.8751366678,-34236584.18,-507.0946000101,19439126.2,-61.0709939083,,,0,,1233003975.74,2.1484913703,18918284.32,7.4217070645,,,14664986.37,603.4066444741,,,,,0,,1237257273.69,1.1991460242,193828869.59,32658.7224230859,,,,,,,1043428404.1,-14.6962611438,,,1043428404.1,-14.6962611438,,,1064832991.18,-15.4496782608,-21404587.08,40.896617514,912223572.37,-22.9630815952,,,,,0.57,-14.9253731343,0.57,-14.9253731343,11417.46,-84.7132842059,11417.46,-84.7132842059,,,,,,,,,,,,,,,,,,,,,11417.46,-84.7132842059,,,,,,,,,,,,,,,11417.46,-84.7132842059,,,,,,,,,1043439821.56,-14.7005361607,1064844408.64,-15.4537856742,-21404587.08,40.896617514,,,,,,,,,,,
300413.SZ,300413,芒果超媒,10181653,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-22 00:00:00,2025-04-26 00:00:00,CNY,3324411405.72,7.205588051,3324411405.72,7.205588051,,,,,,,,,,,2798028807.45,7.2570569663,2372556870.92,14.1464388274,,,,,42561550.65,-22.6794190132,,,,,,,,,,,,,14909102.36,-14.9682489378,345872706.15,-6.4744923821,106073004.91,-14.9845541666,,,-83944427.54,-127.0490698772,4505148.91,-41.8610622335,95198948.54,70.4096410747,,,,,,,,,-5147100.89,-156.283763623,,,,,,,249173.98,3368.9744292801,-245784.6,73.2322020754,13681688.36,197.7804296699,11665073.01,-47.1003221246,,,0,,546585648.13,3.6927660419,3424124.56,-33.7212115736,,,726922.32,140.3981816151,,,,,0,,549282850.37,3.251724524,88526917.36,16456.6499828873,,,,,,,460755933.01,-13.3020289083,,,460755933.01,-13.3020289083,,,472318688.25,-13.8542111392,-11562755.24,31.2919676073,467007963.53,-10.3951804547,,,,,0.25,-13.7931034483,0.25,-13.7931034483,3150.57,105.7031209978,3150.57,105.7031209978,,,,,,,,,,,,,,,,,,,,,3150.57,105.7031209978,,,,,,,,,,,,,,,3150.57,105.7031209978,,,,,,,,,460759083.58,-13.2924230363,472321838.82,-13.8449557809,-11562755.24,31.2919676073,,,,,,,,,,,
300413.SZ,300413,芒果超媒,10181653,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-22 00:00:00,2025-04-26 00:00:00,CNY,14628016301.84,4.6594605114,14628016301.84,4.6594605114,,,,,,,,,,,12906257244.76,4.8817260605,9803006894.94,6.460920886,,,,,278728244.78,8.1989163707,,,,,,,,,,,,,100115217.83,10.0580388593,2260065273.97,0.6789370907,612009007.33,-5.3353291663,,,-147667394.09,-3.6663964525,23068674.36,14.5307901033,208888917.13,4.3813000447,,,,,,,,,73236767.58,-44.9611890963,-4123864.73,-60.0415262394,,,,,1171623.19,31.4305952838,-32524584.01,34.6163608756,-67536455.57,42.992755338,122924507.92,-3.5613170806,,,0,,1819030916.19,3.093699402,35532003.82,-22.1275245338,,,4005884.29,-10.7896717485,,,,,0,,1850557035.72,2.490866909,-1620769786.67,-2130684.86968657,,,,,,,3471326822.39,92.2633448041,,,3471326822.39,92.2633448041,,,3555705558.9,90.7316223792,-84378736.51,-43.6499776407,1695473001.05,5.7022096766,,,,,1.9,90.0,1.9,90.0,14621.32,-91.4605109401,14621.32,-91.4605109401,,,,,,,,,,,,,,,,,,,,,14621.32,-91.4605109401,,,,,,,,,,,,,,,14621.32,-91.4605109401,,,,,,,,,3471341443.71,92.2459235244,3555720180.22,90.7148906301,-84378736.51,-43.6499776407,,,,,,,,,,,标准无保留意见
300413.SZ,300413,芒果超媒,10181653,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-25 00:00:00,2024-10-26 00:00:00,CNY,10365650609.35,1.238606827,10365650609.35,1.238606827,,,,,,,,,,,8783389072.68,0.7475692219,6643811277.9,2.039882537,,,,,173772748.5,16.3698182995,,,,,,,,,,,,,71199659.08,2.1883992903,1608807394.78,-4.1960636116,404157707.24,3.1096323725,,,-118359714.82,-42.5630043175,21313589.81,15.1776663096,167830551.63,22.746447633,,,,,,,,,71102283.82,-12.170640015,-1891207.25,6.8961283983,,,,,61493.0,228.4525285678,-2710584.22,-330.4310420557,-21840948.82,69.6006465733,73093164.01,-15.9741827631,,,0,,1701966944.46,5.3173281865,27181490.15,-28.2432196585,,,2533274.84,-50.8217557923,,,,,0,,1726615159.77,4.7216763662,-1737809.59,-1544.5221839911,,,,,,,1728352969.36,4.8347263445,,,1728352969.36,4.8347263445,,,1782224166.95,6.1926864937,-53871197.59,-81.7070145324,1613249837.47,4.9592170715,,,,,0.95,5.8967785085,0.95,5.8967785085,42004.89,-79.9945010333,42004.89,-79.9945010333,,,,,,,,,,,,,,,,,,,,,42004.89,-79.9945010333,,,,,,,,,,,,,,,42004.89,-79.9945010333,,,,,,,,,1728394974.25,4.8239241151,1782266171.84,6.1819051939,-53871197.59,-81.7070145324,,,,,,,,,,,
300413.SZ,300413,芒果超媒,10181653,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-18 00:00:00,2024-08-22 00:00:00,CNY,6792721869.52,1.165163713,6792721869.52,1.165163713,,,,,,,,,,,5644013098.86,0.7871674519,4408217940.15,3.0903766153,,,,,107970970.98,6.344494541,,,,,,,,,,,,,43969347.59,2.6601521249,908481031.59,-6.7267067778,252649133.52,0.0022280763,,,-77275324.97,-63.9237286511,15388279.35,101.0445662991,110434757.94,40.8709333631,,,,,,,,,17763953.18,-63.0221744793,-1891207.25,-137.2925478293,,,,,62907.75,231.4077952614,-3760851.9,31.7169331774,-5639415.04,90.5715743491,49934812.5,-3.0369143529,,,0,,1207070177.15,5.0791617377,17611230.39,-49.8194278398,,,2084851.84,-38.7696959177,,,,,0,,1222596555.7,3.5734182751,-595320.87,-594.8494980442,,,,,,,1223191876.57,3.6344134661,,,1223191876.57,3.6344134661,,,1259407379.27,5.7646098882,-36215502.7,-245.9183019804,1184138191.48,8.0999858553,,,,,0.67,4.6875,0.67,4.6875,74688.77,-23.439870761,74688.77,-23.439870761,,,,,,,,,,,,,,,,,,,,,74688.77,-23.439870761,,,,,,,,,,,,,,,74688.77,-23.439870761,,,,,,,,,1223266565.34,3.6321758625,1259482068.04,5.7622174502,-36215502.7,-245.9183019804,,,,,,,,,,,
