日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-11-12,300413,27.77,27.53,27.79,27.01,63882,181259518.0,2.83,0.04,0.01,0.77
2019-11-13,300413,27.58,28.1,28.51,27.27,102320,295358192.0,4.5,2.07,0.57,1.23
2019-11-14,300413,27.79,29.82,30.18,27.79,139547,423842432.0,8.51,6.12,1.72,1.67
2019-11-15,300413,29.76,30.5,32.08,29.34,173470,546381264.0,9.19,2.28,0.68,2.08
2019-11-18,300413,30.32,31.01,31.71,29.61,141285,446502880.0,6.89,1.67,0.51,1.69
2019-11-19,300413,30.71,32.62,33.26,30.61,195613,648092528.0,8.55,5.19,1.61,2.35
2019-11-20,300413,32.41,32.4,33.09,31.98,93908,312770512.0,3.4,-0.67,-0.22,1.13
2019-11-21,300413,31.98,31.79,32.27,31.34,78188,255149535.0,2.87,-1.88,-0.61,0.94
2019-11-22,300413,31.78,31.63,32.24,30.77,96504,311810640.0,4.62,-0.5,-0.16,1.16
2019-11-25,300413,31.61,30.33,31.61,29.37,144942,447994352.0,7.08,-4.11,-1.3,1.74
2019-11-26,300413,30.63,30.67,30.89,29.72,103269,321593920.0,3.86,1.12,0.34,1.24
2019-11-27,300413,30.24,29.81,30.24,29.31,80111,245567680.0,3.03,-2.8,-0.86,0.96
2019-11-28,300413,29.99,30.01,30.37,29.62,48711,150472479.0,2.52,0.67,0.2,0.58
2019-11-29,300413,30.06,29.57,30.19,28.98,60883,185293898.0,4.03,-1.47,-0.44,0.73
2019-12-02,300413,29.88,30.02,30.59,29.51,68780,212690800.0,3.65,1.52,0.45,0.82
2019-12-03,300413,29.76,30.33,30.62,29.56,63793,198100500.0,3.53,1.03,0.31,0.76
2019-12-04,300413,30.02,30.6,31.58,29.91,118126,374313648.0,5.51,0.89,0.27,1.42
2019-12-05,300413,30.52,30.8,31.11,30.17,71661,226118117.0,3.07,0.65,0.2,0.86
2019-12-06,300413,30.99,32.45,32.61,30.86,117932,386564992.0,5.68,5.36,1.65,1.41
2019-12-09,300413,32.17,31.59,33.03,31.59,88186,290344528.0,4.44,-2.65,-0.86,1.06
2019-12-10,300413,31.37,32.14,32.69,30.99,92837,305855728.0,5.38,1.74,0.55,1.11
2019-12-11,300413,31.83,31.86,32.66,31.62,78936,259999792.0,3.24,-0.87,-0.28,0.95
2019-12-12,300413,31.91,31.47,32.36,31.26,63395,206291055.0,3.45,-1.22,-0.39,0.76
2019-12-13,300413,31.51,31.44,32.29,31.44,87118,284654048.0,2.7,-0.1,-0.03,1.04
2019-12-16,300413,31.61,32.51,32.61,31.01,108428,355897424.0,5.09,3.4,1.07,1.3
2019-12-17,300413,32.35,32.17,32.6,31.73,83636,276116176.0,2.68,-1.05,-0.34,1.0
2019-12-18,300413,32.38,34.07,34.11,32.11,165517,565597984.0,6.22,5.91,1.9,1.98
2019-12-19,300413,33.71,34.12,34.4,32.97,105806,365292336.0,4.2,0.15,0.05,1.27
2019-12-20,300413,34.0,33.32,34.11,33.01,74243,255094220.0,3.22,-2.34,-0.8,0.89
2019-12-23,300413,33.31,32.31,33.59,31.92,78860,264122972.0,5.01,-3.03,-1.01,0.95
2019-12-24,300413,32.51,33.22,33.33,32.15,67538,228270268.0,3.65,2.82,0.91,0.81
2019-12-25,300413,33.11,33.21,33.38,32.93,56900,193817445.0,1.35,-0.03,-0.01,0.68
2019-12-26,300413,33.11,33.88,34.29,33.11,68589,237768348.0,3.55,2.02,0.67,0.82
2019-12-27,300413,33.84,32.95,35.26,32.95,96361,337972960.0,6.82,-2.74,-0.93,1.16
2019-12-30,300413,32.92,33.85,34.62,32.01,110693,384021776.0,7.92,2.73,0.9,1.33
2019-12-31,300413,33.85,34.07,34.43,33.39,67990,236366881.0,3.07,0.65,0.22,0.82
2020-01-02,300413,34.11,37.57,37.57,34.11,226907,859119712.0,10.16,10.27,3.5,2.72
2020-01-03,300413,37.91,38.46,39.44,37.02,251433,986185456.0,6.44,2.37,0.89,3.01
2020-01-06,300413,36.91,38.99,39.56,36.81,161050,632092608.0,7.15,1.38,0.53,1.93
2020-01-07,300413,38.46,40.06,40.98,38.22,141938,580789552.0,7.08,2.74,1.07,1.7
2020-01-08,300413,39.31,38.28,40.11,37.99,127614,508225168.0,5.29,-4.44,-1.78,1.53
2020-01-09,300413,38.8,38.45,39.26,37.29,131073,509209120.0,5.15,0.44,0.17,1.57
2020-01-10,300413,38.45,38.21,38.88,37.78,76424,299603248.0,2.86,-0.62,-0.24,0.92
2020-01-13,300413,38.24,38.88,39.67,37.96,95810,380964640.0,4.48,1.75,0.67,1.15
2020-01-14,300413,39.51,40.46,42.61,38.77,167105,692690880.0,9.88,4.06,1.58,2.0
2020-01-15,300413,41.0,40.31,41.41,39.17,108836,447208800.0,5.54,-0.37,-0.15,1.3
2020-01-16,300413,39.45,39.34,40.86,39.02,90645,368658704.0,4.56,-2.41,-0.97,1.09
2020-01-17,300413,39.43,39.11,40.41,38.61,97733,393837280.0,4.58,-0.58,-0.23,1.17
2020-01-20,300413,39.11,40.04,40.55,38.37,93341,378531216.0,5.57,2.38,0.93,1.12
2020-01-21,300413,39.89,41.83,42.69,39.42,122674,518535696.0,8.17,4.47,1.79,1.47
2020-01-22,300413,41.7,43.51,44.11,40.32,106054,458769600.0,9.06,4.02,1.68,1.27
2020-01-23,300413,43.39,45.1,46.67,42.69,143345,652202560.0,9.15,3.65,1.59,1.72
2020-02-03,300413,41.1,40.81,44.52,40.5,162953,699757760.0,8.91,-9.51,-4.29,1.95
2020-02-04,300413,41.88,44.98,44.98,41.26,164060,723723312.0,9.12,10.22,4.17,1.97
2020-02-05,300413,44.51,44.22,46.94,43.71,177995,816330320.0,7.18,-1.69,-0.76,2.13
2020-02-06,300413,43.91,48.01,48.73,42.88,209419,996677584.0,13.23,8.57,3.79,2.51
2020-02-07,300413,48.01,49.46,52.66,47.11,212699,1066873360.0,11.56,3.02,1.45,2.55
2020-02-10,300413,49.21,49.86,50.62,47.76,158596,796213232.0,5.78,0.81,0.4,1.9
2020-02-11,300413,49.43,48.3,50.09,46.92,145161,712346064.0,6.36,-3.13,-1.56,1.74
2020-02-12,300413,48.52,50.88,51.61,47.7,139031,705688768.0,8.1,5.34,2.58,1.67
2020-02-13,300413,50.91,50.21,50.91,48.68,125122,634401616.0,4.38,-1.32,-0.67,1.5
2020-02-14,300413,49.33,48.46,50.29,47.69,147341,728095120.0,5.18,-3.49,-1.75,1.77
2020-02-17,300413,48.95,49.91,50.89,47.98,126551,639343472.0,6.0,2.99,1.45,1.52
2020-02-18,300413,50.77,50.71,51.5,48.99,122076,625090816.0,5.03,1.6,0.8,1.46
2020-02-19,300413,49.99,48.26,50.49,47.22,138475,683358304.0,6.45,-4.83,-2.45,1.66
2020-02-20,300413,48.51,48.46,48.76,47.51,132984,652540720.0,2.59,0.41,0.2,1.59
2020-02-21,300413,48.41,48.93,49.38,47.33,117564,583114416.0,4.23,0.97,0.47,1.41
2020-02-24,300413,48.91,48.05,48.91,46.91,153038,745444944.0,4.09,-1.8,-0.88,1.83
2020-02-25,300413,47.14,46.7,47.85,44.67,198702,937184016.0,6.62,-2.81,-1.35,2.38
2020-02-26,300413,47.16,44.52,47.58,44.01,216165,996295824.0,7.64,-4.67,-2.18,2.59
2020-02-27,300413,45.51,44.4,45.59,43.63,121467,552887376.0,4.4,-0.27,-0.12,1.46
2020-02-28,300413,43.02,43.18,45.75,42.7,195236,878878288.0,6.87,-2.75,-1.22,2.34
2020-03-02,300413,44.22,43.51,44.65,41.72,204961,901436528.0,6.79,0.76,0.33,2.46
2020-03-03,300413,44.41,44.25,45.41,43.56,127860,580079920.0,4.25,1.7,0.74,1.53
2020-03-04,300413,44.12,45.39,45.57,43.15,128460,586684816.0,5.47,2.58,1.14,1.54
2020-03-05,300413,45.95,47.4,48.6,45.77,178484,863670960.0,6.23,4.43,2.01,2.14
2020-03-06,300413,46.62,46.07,47.39,45.65,70062,331473472.0,3.67,-2.81,-1.33,0.84
2020-03-09,300413,44.66,42.17,45.43,42.08,116906,513961712.0,7.27,-8.47,-3.9,1.4
2020-03-10,300413,41.48,43.76,44.52,41.48,119540,528202688.0,7.21,3.77,1.59,1.43
2020-03-11,300413,44.09,42.9,44.58,42.44,88501,390864608.0,4.89,-1.97,-0.86,1.06
2020-03-12,300413,43.11,41.01,43.31,40.16,121030,509326784.0,7.34,-4.41,-1.89,1.45
2020-03-13,300413,38.39,41.51,42.11,38.39,133559,558502352.0,9.07,1.22,0.5,1.6
2020-03-16,300413,42.11,39.51,42.41,39.33,82115,340679440.0,7.42,-4.82,-2.0,0.98
2020-03-17,300413,40.23,41.61,41.69,38.91,104758,435068080.0,7.04,5.32,2.1,1.26
2020-03-18,300413,42.1,42.32,43.86,41.11,101293,443419488.0,6.61,1.71,0.71,1.21
2020-03-19,300413,42.87,41.61,43.5,40.67,92615,393793216.0,6.69,-1.68,-0.71,1.11
2020-03-20,300413,42.21,42.99,43.69,41.79,82765,362095728.0,4.57,3.32,1.38,0.99
2020-03-23,300413,41.52,41.51,42.73,40.84,51490,219552452.0,4.4,-3.44,-1.48,0.62
2020-03-24,300413,42.61,43.01,43.11,41.06,78571,338094224.0,4.94,3.61,1.5,0.94
2020-03-25,300413,43.65,44.11,44.81,43.2,70448,315442032.0,3.74,2.56,1.1,0.84
2020-03-26,300413,43.64,45.59,46.51,43.64,83185,386839360.0,6.51,3.36,1.48,1.0
2020-03-27,300413,46.03,44.29,46.22,43.66,62041,281896480.0,5.62,-2.85,-1.3,0.74
2020-03-30,300413,43.11,42.91,43.61,39.82,125974,534025136.0,8.56,-3.12,-1.38,1.51
2020-03-31,300413,42.64,42.7,43.37,41.73,62265,269995632.0,3.82,-0.49,-0.21,0.75
2020-04-01,300413,42.53,40.76,43.36,40.5,75760,322280640.0,6.7,-4.54,-1.94,0.91
2020-04-02,300413,40.07,41.21,41.31,39.86,67581,281062928.0,3.56,1.1,0.45,0.81
2020-04-03,300413,41.51,40.21,41.66,39.61,84114,347160272.0,4.97,-2.43,-1.0,1.01
2020-04-07,300413,41.11,42.73,43.04,40.67,72364,311769744.0,5.89,6.27,2.52,0.87
2020-04-08,300413,42.61,40.53,42.68,40.36,85501,358079824.0,5.43,-5.15,-2.2,1.03
2020-04-09,300413,41.0,40.42,41.52,38.91,107175,440890640.0,6.44,-0.27,-0.11,1.29
2020-04-10,300413,40.49,39.09,40.7,38.39,95474,382457344.0,5.71,-3.29,-1.33,1.14
2020-04-13,300413,39.11,39.11,39.39,38.57,45376,180924392.0,2.1,0.05,0.02,0.54
2020-04-14,300413,39.39,40.69,40.69,39.12,62869,257284491.0,4.01,4.04,1.58,0.75
2020-04-15,300413,40.69,40.43,41.38,40.1,42740,177933830.0,3.15,-0.64,-0.26,0.51
2020-04-16,300413,40.12,41.6,41.94,40.12,60955,258021657.0,4.5,2.89,1.17,0.73
