日期,300413.SZ_close,300413.SZ_volume,300413.SZ_turnover
2024-04-15,22.9,324051272.0,1.36
2024-04-16,22.23,290500847.0,1.24
2024-04-17,23.02,302612255.0,1.27
2024-04-18,22.94,311493331.0,1.3
2024-04-19,23.14,294981562.0,1.23
2024-04-22,21.8,600044021.0,2.64
2024-04-23,21.62,255039313.0,1.13
2024-04-24,21.95,251110849.0,1.11
2024-04-25,22.07,234048899.0,1.02
2024-04-26,22.64,330840280.0,1.42
2024-04-29,23.25,413066260.0,1.71
2024-04-30,23.04,307076469.0,1.28
2024-05-06,23.2,359124671.0,1.48
2024-05-07,23.2,333369346.0,1.37
2024-05-08,22.52,312970370.0,1.33
2024-05-09,22.51,388901328.0,1.66
2024-05-10,22.1,389077013.0,1.68
2024-05-13,24.73,2088185488.0,8.29
2024-05-14,24.51,1199008776.0,4.67
2024-05-15,25.79,1597487040.0,6.08
2024-05-16,25.8,1123908099.0,4.2
2024-05-17,25.82,1168890816.0,4.36
2024-05-20,25.5,1151447348.0,4.39
2024-05-21,24.9,615642136.0,2.36
2024-05-22,25.31,574200861.0,2.21
2024-05-23,24.7,541443260.0,2.11
2024-05-24,24.33,454333673.0,1.79
2024-05-27,23.27,781030078.0,3.22
2024-05-28,22.83,403061342.0,1.7
2024-05-29,22.8,324842064.0,1.37
2024-05-30,22.65,286587346.0,1.22
2024-05-31,22.72,294526746.0,1.24
2024-06-03,23.0,397488367.0,1.67
2024-06-04,23.08,314237783.0,1.32
2024-06-05,22.46,351415003.0,1.48
2024-06-06,21.86,493944432.0,2.16
2024-06-07,21.91,305833615.0,1.35
2024-06-11,22.0,269158928.0,1.19
2024-06-12,22.24,325255494.0,1.41
2024-06-13,22.03,196542047.0,0.86
2024-06-14,22.11,207135814.0,0.9
2024-06-17,21.62,322619567.0,1.43
2024-06-18,21.67,220865488.0,0.98
2024-06-19,20.99,434630347.0,1.97
2024-06-20,20.29,357305052.0,1.67
2024-06-21,20.29,213187750.0,1.01
2024-06-24,19.71,242044694.0,1.17
2024-06-25,19.72,211855490.0,1.03
2024-06-26,20.74,446201497.0,2.11
2024-06-27,20.36,239991440.0,1.12
2024-06-28,20.5,220248033.0,1.03
2024-07-01,20.4,204999539.0,0.97
2024-07-02,20.0,286985555.0,1.37
2024-07-03,19.83,191285565.0,0.93
2024-07-04,19.55,296064868.0,1.45
2024-07-05,19.54,271373700.0,1.35
2024-07-08,19.13,220314534.0,1.1
2024-07-09,19.44,261261658.0,1.31
2024-07-10,19.47,182985526.0,0.9
2024-07-11,20.06,241849362.0,1.17
2024-07-12,19.86,168594074.0,0.82
2024-07-15,19.7,143180565.0,0.7
2024-07-16,19.87,140487897.0,0.69
2024-07-17,20.26,292781215.0,1.4
2024-07-18,19.87,294275887.0,1.44
2024-07-19,19.92,179597446.0,0.87
2024-07-22,19.79,166359076.0,0.82
2024-07-23,19.12,222132828.0,1.11
2024-07-24,18.78,177623390.0,0.91
2024-07-25,18.99,164734465.0,0.84
2024-07-26,19.21,123002848.0,0.62
2024-07-29,19.09,121999417.0,0.62
2024-07-30,19.15,117290207.0,0.6
2024-07-31,20.35,374876794.0,1.82
2024-08-01,20.12,178215510.0,0.85
2024-08-02,19.83,146439430.0,0.71
2024-08-05,19.9,346522277.0,1.66
2024-08-06,20.27,187698361.0,0.9
2024-08-07,20.24,150691193.0,0.72
2024-08-08,20.51,214767040.0,1.02
2024-08-09,20.13,167836794.0,0.8
2024-08-12,20.2,134543108.0,0.65
2024-08-13,20.15,93426139.0,0.45
2024-08-14,20.41,250454249.0,1.18
2024-08-15,20.62,194927246.0,0.92
2024-08-16,20.37,145667879.0,0.69
2024-08-19,20.21,121713192.0,0.58
2024-08-20,19.95,140428402.0,0.68
2024-08-21,19.68,158425428.0,0.77
2024-08-22,18.68,325813124.0,1.67
2024-08-23,18.36,162698225.0,0.85
2024-08-26,18.43,117339519.0,0.62
2024-08-27,18.09,116509802.0,0.62
2024-08-28,18.17,140374082.0,0.75
2024-08-29,18.5,169505352.0,0.89
2024-08-30,19.14,324228749.0,1.65
2024-09-02,18.29,203594442.0,1.06
2024-09-03,18.49,112837231.0,0.59
2024-09-04,18.4,88062897.0,0.46
2024-09-05,18.75,133360798.0,0.69
2024-09-06,18.5,78526888.0,0.41
2024-09-09,18.59,97686290.0,0.51
2024-09-10,18.59,119377967.0,0.62
2024-09-11,18.46,98874004.0,0.52
2024-09-12,18.2,139591589.0,0.74
2024-09-13,18.16,96742692.0,0.51
2024-09-18,18.04,76427834.0,0.41
2024-09-19,18.64,235846504.0,1.23
2024-09-20,18.79,182892692.0,0.95
2024-09-23,18.65,123700084.0,0.64
2024-09-24,19.43,271623294.0,1.38
2024-09-25,19.89,376594238.0,1.82
2024-09-26,21.22,488209429.0,2.29
2024-09-27,22.73,820893374.0,3.57
2024-09-30,26.1,1324618077.0,5.18
2024-10-08,29.34,1835609381.0,6.12
2024-10-09,24.65,1332518143.0,4.95
2024-10-10,24.68,699359100.0,2.71
2024-10-11,23.44,534839224.0,2.19
2024-10-14,23.68,692293588.0,2.87
2024-10-15,23.22,579777400.0,2.38
2024-10-16,22.95,404972721.0,1.7
2024-10-17,22.97,478193806.0,2.0
2024-10-18,24.14,770624352.0,3.17
2024-10-21,24.77,777340495.0,3.06
2024-10-22,26.17,1417027063.0,5.33
2024-10-23,25.03,1065982195.0,4.12
2024-10-24,25.39,914935330.0,3.52
2024-10-25,26.58,1143541137.0,4.22
2024-10-28,26.36,1085722061.0,4.0
2024-10-29,25.06,1033373970.0,3.93
2024-10-30,24.78,542285379.0,2.11
2024-10-31,24.86,717685641.0,2.77
2024-11-01,24.3,562468510.0,2.22
2024-11-04,25.5,564650699.0,2.17
2024-11-05,26.66,911469712.0,3.36
2024-11-06,27.06,1084372179.0,3.85
2024-11-07,27.76,714760482.0,2.53
2024-11-08,27.67,734895691.0,2.54
2024-11-11,28.78,797115115.0,2.74
2024-11-12,27.88,654040812.0,2.24
2024-11-13,28.8,721935963.0,2.48
2024-11-14,27.48,608617811.0,2.09
2024-11-15,27.41,879825309.0,3.02
2024-11-18,26.48,622022805.0,2.26
2024-11-19,27.18,370529895.0,1.35
2024-11-20,27.93,486031071.0,1.7
2024-11-21,28.08,415884819.0,1.43
2024-11-22,27.27,531152738.0,1.83
2024-11-25,27.97,482553029.0,1.7
2024-11-26,28.58,852519768.0,2.89
