SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
688037.SH,688037,芯源微,10628502,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-31 00:00:00,2025-10-31 00:00:00,CNY,1542585647.49,,,,,,,,,,,,41340096.74,66749236.67,,0,1650674980.9,1282416325.86,,,,,,338543495.3,91335057.18,170622369.64,,0,1882917247.98,,0,-232242267.08,3110370000.0,4498279.85,,,,,,0.0,3114868279.85,172384977.38,3110370000.0,,,,,,0,3282754977.38,,0,-167886697.53,31099775.9,11254000.0,370777947.68,,1618400.0,,0.0,403496123.58,171052507.57,45610566.15,,,928997.31,,,0.0,217592071.03,,0.0,185904052.55,-1646814.06,,0,-215871726.12,1513971714.69,,0,1298099988.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2114046387,,,,,,,,,,,,-44.9038701382,-40.5273623309,,,8.9796162454,49.4020434989,,,,,,30.3738421073,28.0872791478,25.8815880648,,,42.1191713316,,,-222.375889075,25.2161835749,-26.3753942575,,,,,,,24.8244364238,79.7333510665,25.1154465004,,,,,,,27.1443641712,,,-94.0615670454,-34.901877479,40.675,-45.3942403496,,-91.6321091059,,,-45.9209751835,-51.3127072347,-4.2834610815,,,-91.3476024356,,,,-46.8921627368,,,-44.7381400978,-385.1230460438,,,-149.0340061725,128.5693540277,,,17.7289329333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688037.SH,688037,芯源微,10628502,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-29 00:00:00,2025-08-29 00:00:00,CNY,860377230.22,,,,,,,,,,,,19760135.0,58429305.21,,0,938566670.43,820743803.56,,,,,,237336085.18,61399310.26,102197246.58,,0,1221676445.58,,0,-283109775.15,2630370000.0,4327403.14,,,,,,0.0,2634697403.14,104864819.88,2630370000.0,,,,,,0,2735234819.88,,0,-100537416.74,19138102.4,11254000.0,235877947.68,,1599017.27,,0.0,256615067.35,103543843.61,15521041.12,,,530706.24,,,0.0,119595590.97,,0.0,137019476.38,33399.64,,0,-246594315.87,1513971714.69,,0,1267377398.82,10296883.77,-288160.0,37432678.15,37432678.15,,3112320.45,724215.78,,,,,,2258289.0,16690693.96,-3921021.98,-3386105.08,-3386105.08,,,-389984299.24,16562825.03,84067995.84,-55167758.74,,0.0,-283109775.15,,,,,1267377398.82,1513971714.69,,,,,-246594315.87,1.6990769184,,,,,,,,,,,,-64.0790853167,-38.2639940169,,,-5.7339264206,50.4530458889,,,,,,30.6802061759,45.5288697794,18.0369738147,,,42.7355474025,,,-302.5759549191,52.2204861111,7.5776696961,,,,,,,51.653646352,51.7030579967,51.1706896552,,,,,,,51.1910309743,,,-39.9993278829,20.2287563181,40.675,-35.9896157993,,-90.0224541028,,,-35.9173224878,-39.4320197521,24.1733937444,,,-94.7898783325,,,,-38.2382773831,,,-33.7440972421,107.5889415932,,,-189.897723342,128.5693540277,,,35.3061299272,-86.2164322957,-183.3778202151,57.2109965712,57.2109965712,,-31.3228438145,8283.3108378729,,,,,,-72.8034089264,47.6470525085,-2.2209033949,-88.8706350595,-88.8706350595,,,-333.339207905,-87.0038777279,275.2950702562,-234.9563801302,,,-302.5759549191,,,,,35.3061299272,128.5693540277,,,,,-189.897723342,,,,,823587.42,200.0
688037.SH,688037,芯源微,10628502,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2025-04-29 00:00:00,CNY,380163369.74,,,,,,,,,,,,7621236.98,27614397.09,,0,415399003.81,381413961.47,,,,,,147034350.3,39147262.84,46355207.09,,0,613950781.7,,0,-198551777.89,1272900000.0,1871433.25,,,,,,0.0,1274771433.25,25041785.02,1272900000.0,,,,,,0,1297941785.02,,0,-23170351.77,12907974.4,9804000.0,98236266.57,,1918400.0,,0.0,113062640.97,39542010.58,7666424.81,,,1891569.32,,,0.0,49100004.71,,0.0,63962636.26,266884.37,,0,-157492609.03,1513971714.69,,0,1356479105.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.5709341765,,,,,,,,,,,,-65.241544193,5.346056694,,,-10.4629197686,39.502696358,,,,,,27.5450248924,77.6189462487,58.591027003,,,39.5471074507,,,-927.9464510464,127.5188919723,5.2478275447,,,,,,,125.022613539,-52.7552857694,85.2296481156,,,,,,,75.348862743,,,86.6604978073,61.34968,22.55,107.5004598135,,-87.9863481229,,,58.5482812502,-4.2075735248,31.3858119251,,,,,,,4.2155471753,,,164.3381472052,210.7234172418,,,-25.2328722642,128.5693540277,,,152.7873212275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688037.SH,688037,芯源微,10628502,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-26 00:00:00,2025-04-26 00:00:00,CNY,1917362233.06,,,,,,,,,,,,96283579.35,250657156.5,,0,2264302968.91,1173236080.99,,,,,,340988921.1,97175708.72,211092845.02,,0,1822493555.83,,0,441809413.08,3393754751.83,10466120.71,5295063.19,,,,,0.0,3409515935.73,224299527.56,3386680000.0,,,,,,0,3610979527.56,,0,-201463591.83,215349454.64,187046000.0,829001871.84,,24832303.1,,0.0,1069183629.58,392753908.42,55372776.04,,,11090681.46,,,0.0,459217365.92,,0.0,609966263.66,1290992.86,,0,851603077.77,662368636.92,,0,1513971714.69,201426284.1,12658189.9,54749404.97,54749404.97,,7022209.82,85238.43,,,,-1277183.8,322327.31,-1761160.55,25648325.63,-9168691.96,-19871497.89,-19871497.89,,,-182767677.91,-15952512.56,232127225.11,131010934.54,,0.0,441809413.08,,,,,1513971714.69,662368636.92,,,,,851603077.77,41.2808146013,,,,,,,,,,,,148.7629125388,265.065824743,,,54.6133010777,-21.4181594254,,,,,,32.37182201,-18.7217014537,34.282360723,,,-10.105572009,,,178.4913309883,124.2737177562,19.2149259147,-24.9170561031,,,,,,122.9824150343,-52.8605169421,117.4026317195,,,,,,,77.5647729341,,,60.0715151352,777.4150799803,6134.8666666667,-3.8479763661,,316.1019094464,,,19.7710206634,204.9081964358,11.2814033965,,,-24.2318323846,,,,137.6810030183,,,-12.7974723715,8215.5043468235,,,331.4516623001,-35.7116246543,,,128.5693540277,-19.4785267587,83.3545270392,64.0964396679,64.0964396679,,-5.9791362798,,,,,70.6301856506,-32.8344576757,-133.8438532504,101.0114557528,-6.3814278199,-775.2969151576,-906.9710533729,,,57.5035690958,95.1298762131,234.6197376323,180.9013209637,,,178.4913309883,,,,,128.5693540277,-35.7116246543,,,,,331.4516623001,标准无保留意见,,,,1098116.56,
688037.SH,688037,芯源微,10628502,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-23 00:00:00,2025-10-31 00:00:00,CNY,1327396095.32,,,,,,,,,,,,75032668.98,112235204.77,,0,1514663969.07,858365987.39,,,,,,259671334.24,71306891.51,135541958.33,,0,1324886171.47,,0,189777797.6,2484000000.0,6109750.68,5289683.19,,,,,0.0,2495399433.87,95911513.56,2486000000.0,,,,,,0,2581911513.56,,0,-86512079.69,47773691.0,8000000.0,679008862.9,,19340596.34,,0.0,746123150.24,351328853.7,47651708.54,,,10736877.3,,,0.0,409717439.54,,0.0,336405710.7,577580.13,,0,440249008.74,662368636.92,,0,1102617645.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5935614609,,,,,,,,,,,,128.5163451737,155.8865566604,,,49.3508029631,-25.8027097699,,,,,,32.6773228349,-25.6920826188,-12.6797625236,,,-17.3893442432,,,132.1872089635,147.602719244,-7.5019891177,-24.969032766,,,,,,145.3987709288,-70.4803366968,87.2275800325,,,,,,,56.2235595845,,,86.3937869225,268.2334791406,166.6666666667,-15.4538750355,,,,,-8.574111559,262.1592953691,8.8427803167,,,,,,,191.0135961128,,,-50.1847257668,3271.4903714254,,,180.0291910186,-35.7116246543,,,129.6172771831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688037.SH,688037,芯源微,10628502,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-30 00:00:00,2025-08-29 00:00:00,CNY,846002988.71,,,,,,,,,,,,55010110.89,94643805.15,,0,995656904.75,545514913.78,,,,,,181615940.26,42190467.33,86580707.11,,0,855902028.48,,0,139754876.27,1728000000.0,4022584.94,5289683.19,,,,,0.0,1737312268.13,69125053.42,1740000000.0,,,,,,0,1809125053.42,,0,-71812785.29,15918074.0,8000000.0,368499503.05,,16026158.0,,0.0,400443735.05,170954757.26,12499490.15,,,10186062.32,,,0.0,193640309.73,,0.0,206803425.32,-440109.33,,0,274305406.97,662368636.92,,0,936674043.89,74704053.34,345607.5,23810470.62,23810470.62,,4531813.23,8638.78,,,,-1281567.88,276165.71,8303573.76,11304454.56,-3835831.86,-1792817.12,-1792817.12,,,-89995156.71,127444361.35,-47957992.04,40878214.64,,0.0,139754876.27,,,,,936674043.89,662368636.92,,,,,274305406.97,29.9072407683,,,,,,,,,,,,90.9442622468,197.5870271115,,,39.8690256542,-29.6503527785,,,,,,36.5107887649,-26.5559285719,-16.2344534552,,,-19.9554204885,,,139.0996856994,212.4773960217,10.0586111221,,,,,,,212.0985943912,-72.4648357147,72.6540186477,,,,,,,43.7138151892,,,89.7729347881,59.5996891841,,-14.492702284,,,,,-9.1821270529,208.2464824233,-68.4375146648,,,,,,,103.6973112729,,,-40.2073723305,-205.9363666421,,,138.4540623198,-35.7116246543,,,195.5032845554,-44.9394175088,236.8202175038,46.7699029087,46.7699029087,,34.2893701263,,,,,,,5399.6584531785,272.5316391673,-4.9490149509,-140.5643599805,-142.958286893,,,74.9563175624,498.7302260706,65.666828044,219.413681268,,,139.0996856994,,,,,195.5032845554,-35.7116246543,,,,,138.4540623198,,,,,274529.14,
688037.SH,688037,芯源微,10628502,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,415801437.23,,,,,,,,,,,,21926281.83,26213033.46,,0,463940752.52,273409741.48,,,,,,115280349.37,22040026.51,29229400.91,,0,439959518.27,,0,23981234.25,559470024.21,1778120.55,5260000.0,,,,,0.0,566508144.76,53004416.32,687201003.16,,,,,,0,740205419.48,,0,-173697274.72,8000000.0,8000000.0,47342674.16,,15968500.0,,0.0,71311174.16,41278848.48,5835047.71,,,,,,0.0,47113896.19,,0.0,24197277.97,-241036.97,,0,-125759799.47,662368636.92,,0,536608837.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0996116833,,,,,,,,,,,,-23.8118469701,67.9666028866,,,71.6760412853,-9.2803978394,,,,,,29.6205351265,40.6646620538,-22.3989449715,,,-0.8319409155,,,113.8293353802,,,,,,,,,,-59.9615684505,35.2757880236,,,,,,,15.5877716028,,,72.8760687372,,,-21.6391213546,,,,,18.0331775414,38.4468572209,561.9093274672,,,,,,,53.4794032311,,,-18.5797720428,-252.8426302883,,,83.9574818379,-35.7116246543,,,117.7857627394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688037.SH,688037,芯源微,10628502,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-04-26 00:00:00,CNY,1357128523.41,,,,,,,,,,,,38704957.41,68660811.15,,0,1464494291.97,1493011709.08,,,,,,257599325.84,119559231.01,157200725.31,,0,2027370991.24,,0,-562876699.27,1513220000.0,8779203.3,7052285.0,,,,,0.0,1529051488.3,475820931.86,1557791629.85,,,,,,0,2033612561.71,,0,-504561073.41,24543623.6,3000000.0,862178288.62,,5967841.66,,0.0,892689753.88,128810544.62,49759235.91,,,14637653.0,,,0.0,193207433.53,,0.0,699482320.35,15525.13,,0,-367939927.2,1030308564.12,,0,662368636.92,250152258.76,6903669.14,33364163.83,33364163.83,,7468778.25,,,,,-4348627.42,479899.81,5203782.61,12759633.79,-8618696.09,-2270257.96,2462479.64,-4732737.6,,-430077712.46,-327558667.05,-172431791.35,46639486.81,,0.0,-562876699.27,,,,,662368636.92,1030308564.12,,,,,-367939927.2,-17.7649840935,,,,,,,,,,,,15.2686335736,-54.065587646,,,-20.1196001001,20.5282193002,,,,,,45.4462900748,29.0533219779,19.1653462557,,,23.5904303275,,,-391.7004600593,-11.0655304143,-15.4964289598,158022.9820627803,,,,,,-10.6806942448,130.40382205,-11.0595700914,,,,,,,3.8608715635,,,-105.0040710591,-97.5613932573,,321.8383077755,,,,,-26.2755866127,-54.6493377989,66.0928004199,,,,,,,-38.4672123902,,,-22.0072739684,-94.137345679,,,-143.5967342184,452.8995363219,,,-35.7116246543,24.9755662097,264.7287086373,64.1015414096,64.1015414096,,38.6595814895,,,,,-3669.2985624812,,,113.5904237366,17.04137922,-234.0486878007,181.0257920472,-200.0,,-60.8439982135,-76.8799529537,-145.6427299625,10.7306126264,,,-391.7004600593,,,,,-35.7116246543,452.8995363219,,,,,-143.5967342184,标准无保留意见,,,,,
688037.SH,688037,芯源微,10628502,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-23 00:00:00,CNY,937469247.63,,,,,,,,,,,,32834705.51,43861313.48,,0,1014165266.62,1156869724.93,,,,,,195716440.98,95961364.58,155223991.88,,0,1603771522.37,,0,-589606255.75,1003220000.0,6605277.91,7050000.0,,,,,0.0,1016875277.91,324907207.02,1327795829.85,,,,,,0,1652703036.87,,0,-635827758.96,12973750.0,3000000.0,803122394.06,,,,0.0,816096144.06,97009481.24,43780311.75,,,,,,0.0,140789792.99,,0.0,675306351.07,17131.3,,0,-550110532.34,1030308564.12,,0,480198031.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.3749121744,,,,,,,,,,,,31.0064571386,-51.7242708404,,,-16.2381804006,33.6505819483,,,,,,52.4135150645,60.4737682904,54.3139751322,,,38.9277243764,,,-1145.771704624,43.3171428571,35.4185169668,503471.4285714286,,,,,,44.2623722327,221.6889400828,-9.1484208108,,,,,,,5.7729653715,,,25.8614820999,-98.7030877764,,382.1297722234,,,,,-30.0649800256,-56.451555906,51.6704744115,,,,,,,-44.0483583927,,,-26.2208015298,-91.8865091648,,,-581.3831738035,452.8995363219,,,59.7340344072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688037.SH,688037,芯源微,10628502,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-29 00:00:00,2024-08-30 00:00:00,CNY,651236208.01,,,,,,,,,,,,28809512.39,31803740.26,,0,711849460.66,775433758.84,,,,,,133041455.48,57445708.7,103360761.89,,0,1069281684.91,,0,-357432224.25,553000000.0,3654947.94,,,,,,0.0,556654947.94,251042821.84,1007795829.85,,,,,,0,1258838651.69,,0,-702183703.75,9973750.0,,430956787.19,,,,0.0,440930537.19,55460408.15,39602363.43,,,,,,0.0,95062771.58,,0.0,345867765.61,415446.88,,0,-713332715.51,1030308564.12,,0,316975848.61,135676104.32,-252599.73,16222992.69,16222992.69,,3374662.66,,,,,,,-156681.3,3034495.16,-3654947.94,4419685.46,4173390.63,246294.83,,-359352730.71,-31962553.38,-139684128.52,12797890.96,,0.0,-357432224.25,,,,,316975848.61,1030308564.12,,,,,-713332715.51,-13.5256067066,,,,,,,,,,,,60.2688543909,66.9515211107,,,-9.9064543653,48.6991921916,,,,,,53.4838031007,76.0372414173,173.7436795405,,,57.5832929838,,,-420.3588958062,,,,,,,,,,236.2318061278,67.9659716417,,,,,,,86.5876006007,,,-4.0790829609,-99.0029807658,,231.7978193747,,,,,-60.9879597574,-40.2984478543,40.4475051528,,,,,,,-21.496298223,,,-65.7267831423,156.2250389132,,,-260.1847486538,452.8995363219,,,-49.8190087627,95.4797725594,-140.3790090376,149.9389097603,149.9389097603,,46.6112196973,,,,,,,,-33.3938134714,,161.3691086194,157.9492059337,,,-58.0649897721,72.6095703805,-140.1163474269,-45.516004535,,100.0,-420.3588958062,,,,,-49.8190087627,452.8995363219,,,,,-260.1847486538,,,,,,
