日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-04,49.86,50.12,47.55,49.42,3043891.0,325455872.0,44335649.99999999,0.0687
2021-01-05,49.42,50.16,48.01,48.54,2147559.0,226839735.0,44335649.99999999,0.0484
2021-01-06,48.06,49.2,47.04,47.69,1183542.0,122962834.0,44335649.99999999,0.0267
2021-01-07,47.27,47.29,42.24,43.49,2521387.0,241690004.0,44335649.99999999,0.0569
2021-01-08,44.17,44.55,42.27,43.16,1472791.0,137703690.0,44335649.99999999,0.0332
2021-01-11,43.83,45.47,42.88,44.43,1759469.0,170180439.0,44335649.99999999,0.0397
2021-01-12,43.91,45.05,43.17,44.6,1425040.0,137011290.0,44335649.99999999,0.0321
2021-01-13,44.59,44.91,41.68,43.16,1505900.0,140511076.0,44335649.99999999,0.034
2021-01-14,43.35,50.22,43.12,49.65,3291113.0,339447499.0,44335649.99999999,0.0742
2021-01-15,52.53,53.09,48.88,49.16,3369759.0,372284263.0,44335649.99999999,0.076
2021-01-18,46.67,51.78,46.67,50.46,3246052.0,346096886.0,44335649.99999999,0.0732
2021-01-19,51.38,51.47,47.64,47.78,2092051.0,224808543.0,44335649.99999999,0.0472
2021-01-20,48.93,50.28,47.95,48.93,1923838.0,205887532.0,44335649.99999999,0.0434
2021-01-21,49.86,50.51,47.8,48.35,1338753.0,141956588.0,44335649.99999999,0.0302
2021-01-22,48.01,48.93,45.46,47.53,1494809.0,151910715.0,44335649.99999999,0.0337
2021-01-25,47.14,48.47,45.55,47.32,1295274.0,132331069.0,44335649.99999999,0.0292
2021-01-26,47.08,49.81,46.07,48.24,1924241.0,200338415.0,44335649.99999999,0.0434
2021-01-27,48.93,48.93,46.71,47.36,1028054.0,105335970.0,44335649.99999999,0.0232
2021-01-28,46.76,48.06,46.16,46.39,978291.0,99800598.0,44335649.99999999,0.0221
2021-01-29,46.84,47.25,45.27,47.25,971593.0,97589727.0,44335649.99999999,0.0219
2021-02-01,47.09,49.07,46.37,48.19,1035778.0,107955868.0,44335649.99999999,0.0234
2021-02-02,48.98,48.98,46.67,48.92,1056178.0,109394085.0,44335649.99999999,0.0238
2021-02-03,48.73,48.84,46.62,47.86,1068661.0,110119056.0,44335649.99999999,0.0241
2021-02-04,47.59,48.24,43.86,45.17,1145549.0,113140560.0,44335649.99999999,0.0258
2021-02-05,45.17,45.36,39.7,40.12,1533449.0,140067410.0,44335649.99999999,0.0346
2021-02-08,40.85,43.65,40.62,42.55,972591.0,89355408.0,44335649.99999999,0.0219
2021-02-09,43.19,44.06,42.13,43.62,682158.0,63936851.0,44335649.99999999,0.0154
2021-02-10,43.62,44.46,42.71,42.76,492474.0,46434447.0,44335649.99999999,0.0111
2021-02-18,42.58,45.54,42.58,44.44,685544.0,66419979.0,44335649.99999999,0.0155
2021-02-19,43.86,44.69,43.45,44.51,514388.0,49313542.0,44335649.99999999,0.0116
2021-02-22,45.15,45.61,42.5,44.02,526729.0,50237890.0,44335649.99999999,0.0119
2021-02-23,44.22,44.22,42.55,43.28,496980.0,46544633.0,44335649.99999999,0.0112
2021-02-24,43.59,44.41,42.84,43.16,498234.0,47157908.0,44335649.99999999,0.0112
2021-02-25,43.21,43.85,41.22,41.59,617273.0,56246282.0,44335649.99999999,0.0139
2021-02-26,41.48,42.65,39.98,41.8,652785.0,58853310.0,44335649.99999999,0.0147
2021-03-01,42.64,43.1,41.8,43.05,425396.0,39225377.0,44335649.99999999,0.0096
2021-03-02,43.56,44.3,42.05,42.68,597221.0,56121390.0,44335649.99999999,0.0135
2021-03-03,42.3,42.59,41.78,42.47,366477.0,33440530.0,44335649.99999999,0.0083
2021-03-04,42.42,43.62,41.8,41.9,459413.0,42471846.0,44335649.99999999,0.0104
2021-03-05,42.1,42.26,41.09,41.78,403750.0,36451981.0,44335649.99999999,0.0091
2021-03-08,41.78,42.31,40.07,40.15,573216.0,50763211.0,44335649.99999999,0.0129
2021-03-09,40.28,40.83,37.92,38.06,748961.0,63319439.0,44335649.99999999,0.0169
2021-03-10,38.91,38.91,37.95,38.38,339099.0,28194910.0,44335649.99999999,0.0076
2021-03-11,38.5,40.14,37.54,39.56,542686.0,45731007.0,44335649.99999999,0.0122
2021-03-12,39.61,39.61,38.36,38.51,485640.0,40618434.0,44335649.99999999,0.011
2021-03-15,38.55,38.58,37.22,37.52,433489.0,35393623.0,44335649.99999999,0.0098
2021-03-16,38.03,38.08,37.05,37.19,334791.0,27104589.0,44335649.99999999,0.0076
2021-03-17,37.12,37.82,36.98,37.42,359139.0,29147725.0,44335649.99999999,0.0081
2021-03-18,37.81,37.81,37.0,37.2,353839.0,28554628.0,44335649.99999999,0.008
2021-03-19,37.0,37.34,36.51,37.34,403958.0,32371231.0,44335649.99999999,0.0091
2021-03-22,37.16,38.27,36.71,37.56,537609.0,43647429.0,44335649.99999999,0.0121
2021-03-23,37.55,39.42,37.55,38.81,810114.0,68082667.0,44335649.99999999,0.0183
2021-03-24,38.32,38.73,36.98,37.02,517849.0,42199308.0,44335649.99999999,0.0117
2021-03-25,37.02,37.52,36.74,36.82,325312.0,26079125.0,44335649.99999999,0.0073
2021-03-26,36.7,38.11,36.37,37.53,383158.0,30955500.0,44335649.99999999,0.0086
2021-03-29,37.54,37.9,36.85,36.87,357130.0,28866288.0,44335649.99999999,0.0081
2021-03-30,36.93,36.93,36.41,36.46,383004.0,30330961.0,44335649.99999999,0.0086
2021-03-31,36.43,36.58,34.85,35.38,689908.0,52820956.0,44335649.99999999,0.0156
2021-04-01,35.38,36.84,35.34,36.41,617859.0,48530596.0,44335649.99999999,0.0139
2021-04-02,36.76,38.15,36.73,37.91,880596.0,71872485.0,44335649.99999999,0.0199
2021-04-06,38.55,39.15,37.77,37.95,1068064.0,88964321.0,44335649.99999999,0.0241
2021-04-07,38.91,39.5,37.76,38.95,990519.0,82828825.0,44335649.99999999,0.0223
2021-04-08,38.48,38.91,37.82,38.25,699129.0,57987960.0,44335649.99999999,0.0158
2021-04-09,38.05,38.91,37.49,37.82,448786.0,36976776.0,44335649.99999999,0.0101
2021-04-12,37.82,38.09,36.98,37.11,318730.0,25888813.0,44335649.99999999,0.0072
2021-04-13,36.42,37.34,36.17,36.65,247479.0,19719573.0,44335649.99999999,0.0056
2021-04-14,36.71,37.18,36.35,37.02,301050.0,23955487.0,44335649.99999999,0.0068
2021-04-15,36.57,37.3,35.92,37.01,381831.0,30184348.0,44335649.99999999,0.0086
2021-04-16,37.11,37.39,36.47,36.84,253336.0,20194695.0,44335649.99999999,0.0057
2021-04-19,36.84,39.0,36.84,38.88,841293.0,70032523.0,44335649.99999999,0.019
2021-04-20,38.7,38.99,37.89,37.96,541376.0,45105112.0,44335649.99999999,0.0122
2021-04-21,38.27,38.59,37.48,37.66,262285.0,21441190.0,44335649.99999999,0.0059
2021-04-22,37.67,38.63,37.16,38.19,420507.0,34733317.0,44335649.99999999,0.0095
2021-04-23,38.05,38.53,37.51,38.25,352530.0,29062438.0,44335649.99999999,0.008
2021-04-26,38.49,39.92,38.36,39.75,1048967.0,89538038.0,44335649.99999999,0.0237
2021-04-27,39.42,39.42,37.39,37.86,799749.0,66039906.0,44335649.99999999,0.018
2021-04-28,37.86,38.29,36.43,37.14,499968.0,39911496.0,44335649.99999999,0.0113
2021-04-29,37.21,38.62,37.13,37.34,398424.0,32658867.0,44335649.99999999,0.009
2021-04-30,37.39,38.5,36.46,37.21,620221.0,50358500.0,44335649.99999999,0.014
2021-05-06,37.07,38.69,37.02,38.57,674016.0,55802531.0,44335649.99999999,0.0152
2021-05-07,38.55,38.85,37.77,38.04,443387.0,36572638.0,44335649.99999999,0.01
2021-05-10,37.72,38.64,36.96,37.38,327243.0,26579231.0,44335649.99999999,0.0074
2021-05-11,37.21,37.66,36.09,36.76,435640.0,34513028.0,44335649.99999999,0.0098
2021-05-12,38.08,38.08,37.07,37.69,383011.0,31049892.0,44335649.99999999,0.0086
2021-05-13,37.39,38.79,37.02,37.95,452107.0,37215118.0,44335649.99999999,0.0102
2021-05-14,37.95,38.8,37.51,38.57,530694.0,43838595.0,44335649.99999999,0.012
2021-05-17,38.34,39.53,38.34,39.33,885219.0,75067056.0,44335649.99999999,0.02
2021-05-18,39.25,39.25,38.5,38.9,588302.0,49323154.0,44335649.99999999,0.0133
2021-05-19,38.91,41.13,38.87,40.4,1262881.0,109972161.0,44335649.99999999,0.0285
2021-05-20,40.72,41.81,39.76,41.63,1226122.0,108787773.0,44335649.99999999,0.0277
2021-05-21,41.63,42.34,40.96,41.78,974180.0,88262796.0,44335649.99999999,0.022
2021-05-24,41.99,43.04,40.26,42.8,901032.0,81711174.0,44335649.99999999,0.0203
2021-05-25,42.71,43.36,42.35,42.52,569637.0,52689637.0,44335649.99999999,0.0128
2021-05-26,42.57,43.73,42.25,42.56,563699.0,52291517.0,44335649.99999999,0.0127
2021-05-27,42.94,48.59,42.32,46.97,2181114.0,218369792.0,44335649.99999999,0.0492
2021-05-28,46.45,48.35,45.96,46.66,1878863.0,192435824.0,44335649.99999999,0.0424
2021-05-31,47.93,50.04,47.92,49.26,1506429.0,160720050.0,44335649.99999999,0.034
2021-06-01,49.27,52.26,47.97,50.67,1637912.0,179238484.0,44335649.99999999,0.0369
2021-06-02,50.67,50.94,47.61,49.51,1853402.0,197990141.0,44335649.99999999,0.0418
2021-06-03,48.96,49.95,47.99,48.21,784859.0,83073781.0,44335649.99999999,0.0177
2021-06-04,47.2,49.72,46.74,48.91,1081876.0,113744665.0,44335649.99999999,0.0244
2021-06-07,50.86,54.6,50.86,53.98,2043842.0,235816924.0,44335649.99999999,0.0461
2021-06-08,54.15,54.37,51.16,53.06,1463286.0,167077927.0,44335649.99999999,0.033
2021-06-09,53.52,53.52,51.42,52.57,746908.0,84448044.0,44335649.99999999,0.0168
2021-06-10,52.33,56.42,52.2,55.26,1825844.0,216543540.0,44335649.99999999,0.0412
2021-06-11,56.08,56.08,53.7,53.9,909758.0,107585772.0,44335649.99999999,0.0205
2021-06-15,51.59,55.83,51.59,54.33,1187604.0,139262624.0,44335649.99999999,0.0268
2021-06-16,55.32,58.44,54.55,54.97,1852745.0,225669241.0,44335649.99999999,0.0418
2021-06-17,54.57,60.73,54.15,60.11,2050682.0,257473652.0,44335649.99999999,0.0463
2021-06-18,60.31,65.71,60.31,64.29,3050709.0,417522971.0,44335649.99999999,0.0688
2021-06-21,65.7,67.37,62.97,63.86,1657564.0,232237634.0,44335649.99999999,0.0374
2021-06-22,64.1,64.83,61.08,64.6,1335285.0,182062636.0,44335649.99999999,0.0301
2021-06-23,62.7,66.99,62.01,64.35,1804436.0,253233556.0,44335649.99999999,0.0407
2021-06-24,62.7,63.69,60.16,61.82,1392109.0,185841532.0,44335649.99999999,0.0314
2021-06-25,62.47,63.53,59.83,60.67,1750653.0,231232502.0,44335649.99999999,0.0395
2021-06-28,60.39,65.39,60.39,63.54,1747560.0,240119492.0,44335649.99999999,0.0394
2021-06-29,62.56,64.27,60.63,61.11,1366325.0,182770182.0,44335649.99999999,0.0308
2021-06-30,70.34,70.75,65.25,68.95,3241092.0,481524944.0,44335649.99999999,0.0731
2021-07-01,69.23,69.41,63.95,64.59,2142874.0,303660294.0,44335649.99999999,0.0483
2021-07-02,61.51,64.79,61.08,62.16,1513324.0,205175537.0,44335649.99999999,0.0341
2021-07-05,61.05,74.59,60.85,74.59,3263122.0,485578113.0,44335649.99999999,0.0736
2021-07-06,77.75,85.53,76.01,77.83,3994538.0,689741647.0,44335649.99999999,0.0901
2021-07-07,80.65,82.37,75.59,81.63,2369233.0,410686297.0,44335649.99999999,0.0534
2021-07-08,79.12,84.22,79.12,80.89,2081248.0,366441575.0,44335649.99999999,0.0469
2021-07-09,80.98,85.98,80.47,84.23,2151230.0,389041973.0,44335649.99999999,0.0485
2021-07-12,84.17,86.48,79.52,86.13,2221865.0,398101105.0,44335649.99999999,0.0501
2021-07-13,83.72,85.61,80.52,83.47,2023327.0,362426592.0,44335649.99999999,0.0456
2021-07-14,81.91,83.76,79.17,80.61,1322676.0,233110779.0,44335649.99999999,0.0298
2021-07-15,79.59,86.16,79.13,84.41,1424040.0,253926632.0,44335649.99999999,0.0321
2021-07-16,85.47,99.95,84.22,90.23,2570525.0,516816519.0,44335649.99999999,0.058
2021-07-19,91.67,92.59,86.53,89.78,1223085.0,238109469.0,44335649.99999999,0.0276
2021-07-20,90.08,93.0,83.76,92.31,1700767.0,324580381.0,44335649.99999999,0.0384
2021-07-21,91.86,110.77,91.39,110.77,2507366.0,564051021.0,44335649.99999999,0.0566
