证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
芯源微,沈阳芯源微电子设备股份有限公司,,,,,0.0,0.0,0.0,,6631.6255,,0.0,,,2230.8685,,1768.3745,2875.282,,,,A股上市,2019-12-13,,688037,2019-12-16,,,,,6631.6255,,,8400.0,,,,,,1768.3745,1525.475,3756.3435,015001
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,6526.6255,,,,,2125.8685,,1873.3745,2875.282,,,,定期报告,2020-04-25,,688037,2019-12-31,,,,,6526.6255,,,8400.0,,,,,,1873.3745,1525.475,3651.3435,015019
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,6447.575,,,,,2046.818,,1952.425,2875.282,,,,限售股份上市,2020-06-09,,688037,2020-06-16,,,,,6447.575,,,8400.0,,,,,,1952.425,1525.475,3572.293,015027
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,6478.425,,,,,2046.818,,1921.575,2906.132,,,,定期报告,2020-08-27,,688037,2020-06-30,,,,,6478.425,,,8400.0,,,,,,1921.575,1525.475,3572.293,015019
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,4113.125,,,,,1433.243,,4286.875,2074.132,,,,限售股份上市,2020-12-09,,688037,2020-12-16,,,,,4113.125,,,8400.0,,,,,,4286.875,605.75,2038.993,015027
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,3966.435,,,,,1433.243,,4433.565,2075.192,,,,定期报告,2021-03-20,,688037,2020-12-31,,,,,3966.435,,,8400.0,,,,,,4433.565,458.0,1891.243,015019
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,3966.435,,,,,1433.243,,4433.565,2075.192,,,,定期报告,2021-08-28,,688037,2021-06-30,,,,,3966.435,,,8400.0,,,,,,4433.565,458.0,1891.243,015019
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,0.0,0.0,,3966.435,,0.0,,,1433.243,,4449.165,2075.192,,,,"增发新股上市,股权激励",2021-11-02,,688037,2021-11-04,,,,,3966.435,,,8415.6,,,,,,4449.165,458.0,1891.243,"015004,015025"
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,3861.435,,,,,1328.243,,4554.165,2075.192,,,,限售股份上市,2021-12-09,,688037,2021-12-16,,,,,3861.435,,,8415.6,,,,,,4554.165,458.0,1786.243,015027
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,3934.525,,,,,1433.243,,4481.075,2043.282,,,,定期报告,2022-03-10,,688037,2021-12-31,,,,,3934.525,,,8415.6,,,,,,4481.075,458.0,1891.243,015019
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,0.0,0.0,,3934.525,,0.0,,,1433.243,,4507.295,2043.282,,,,"增发新股上市,股权激励",2022-06-01,,688037,2022-06-06,,,,,3934.525,,,8441.82,,,,,,4507.295,458.0,1891.243,"015004,015025"
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,0.0,0.0,,4739.0949,,40.2284,,,2157.3561,,4507.295,2043.282,,,,增发新股上市,2022-06-24,,688037,2022-06-22,,,,,4739.0949,,,9246.3899,,,,40.2284,,4507.295,498.2284,2655.5845,015004
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,4739.0949,,40.2284,,,1924.8355,,4507.295,2275.8026,,,,定期报告,2022-08-26,,688037,2022-06-30,,,,,4739.0949,,,9246.3899,,,,40.2284,,4507.295,498.2284,2423.0639,015019
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,0.0,0.0,,4739.0949,,40.2284,,,1924.8355,,4522.745,2275.8026,,,,"增发新股上市,股权激励",2022-11-04,,688037,2022-11-08,,,,,4739.0949,,,9261.8399,,,,40.2284,,4522.745,498.2284,2423.0639,"015004,015025"
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,1148.0699,,40.2284,,,491.5925,,8113.77,232.5206,,,,限售股份上市,2022-12-09,,688037,2022-12-16,,,,,1148.0699,,,9261.8399,,,,40.2284,,8113.77,383.7284,875.3209,015027
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,343.5,,,,,,,8918.3399,,,,,限售股份上市,2022-12-16,,688037,2022-12-23,,,,,343.5,,,9261.8399,,,,,,8918.3399,343.5,343.5,015027
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,,,,,,,,9261.8399,,,,,定期报告,2023-04-18,,688037,2022-12-31,,,,,,,,9261.8399,,,,,,9261.8399,,,015019
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,0.0,0.0,,0.0,,0.0,,,,,9287.0899,,,,,"增发新股上市,股权激励",2023-05-20,,688037,2023-05-24,,,,,0.0,,,9287.0899,,,,,,9287.0899,,0.0,"015004,015025"
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,,,,,,,,13744.8931,,,,,转增,2023-06-09,,688037,2023-06-15,,,,,,,,13744.8931,,,,,,13744.8931,,,015011
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,,,,,,,,13744.8931,,,,,定期报告,2023-08-29,,688037,2023-06-30,,,,,,,,13744.8931,,,,,,13744.8931,,,015019
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,0.0,0.0,,0.0,,0.0,,,,,13782.9291,,,,,"增发新股上市,股权激励",2023-11-01,,688037,2023-11-03,,,,,0.0,,,13782.9291,,,,,,13782.9291,,0.0,"015004,015025"
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,0.0,0.0,,0.0,,0.0,,,,,13788.7011,,,,,"增发新股上市,股权激励",2023-12-09,,688037,2023-12-13,,,,,0.0,,,13788.7011,,,,,,13788.7011,,0.0,"015004,015025"
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,,,,,,,,13788.7011,,,,,定期报告,2024-04-27,,688037,2023-12-31,,,,,,,,13788.7011,,,,,,13788.7011,,,015019
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,13818.6711,,,,,"增发新股上市,股权激励",2024-05-30,,688037,2024-06-03,,,,,,,,13818.6711,,,,,,13818.6711,,0.0,"015004,015025"
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,13818.6711,,,,,定期报告,2024-08-30,,688037,2024-06-30,,,,,,,,13818.6711,,,,,,13818.6711,,0.0,015019
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,13818.6711,,,,,其他,2024-07-03,,688037,2024-07-03,,,,,,,,13818.6711,,,,,,13818.6711,,0.0,015999
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,,,,,,,,,,,20032.4558,,,,,转增,2024-07-11,,688037,2024-07-17,,,,,,,,20032.4558,,,,,,20032.4558,,,015011
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,20085.9608,,,,,"增发新股上市,股权激励",2024-08-30,,688037,2024-09-03,,,,,,,,20085.9608,,,,,,20085.9608,,0.0,"015004,015025"
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,20096.6966,,,,,"增发新股上市,股权激励",2024-11-13,,688037,2024-11-18,,,,,,,,20096.6966,,,,,,20096.6966,,0.0,"015004,015025"
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,20096.6966,,,,,定期报告,2025-04-26,,688037,2024-12-31,,,,,,,,20096.6966,,,,,,20096.6966,,0.0,015019
芯源微,沈阳芯源微电子设备股份有限公司,,,,,,0.0,0.0,,,,0.0,,,,,20113.8646,,,,,"增发新股上市,股权激励",2025-04-02,,688037,2025-04-07,,,,,,,,20113.8646,,,,,,20113.8646,,0.0,"015004,015025"
