日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2021-01-11,5.29,5.34,5.1,5.11,20059151.0,106966703.0,632923739.0,0.0317
2021-01-12,5.03,5.19,5.02,5.09,11004201.0,57048267.0,632923739.0,0.0174
2021-01-13,5.14,5.14,4.96,4.97,12097450.0,61726079.0,632923739.0,0.0191
2021-01-14,4.93,5.02,4.91,4.97,8013440.0,40610719.0,632923739.0,0.0127
2021-01-15,4.98,5.03,4.93,5.0,6171400.0,31417200.0,632923739.0,0.0098
2021-01-18,5.02,5.09,5.0,5.06,8926351.0,46133558.0,632923739.0,0.0141
2021-01-19,5.06,5.06,4.98,4.99,8558900.0,43845218.0,632923739.0,0.0135
2021-01-20,4.99,5.13,4.93,5.13,15132928.0,77804147.0,632923739.0,0.0239
2021-01-21,5.14,5.38,5.09,5.32,28712843.0,154337990.0,632923739.0,0.0454
2021-01-22,5.25,5.27,5.09,5.16,16580273.0,87615273.0,632923739.0,0.0262
2021-01-25,5.12,5.12,4.97,5.0,12790897.0,65501376.0,632923739.0,0.0202
2021-01-26,4.99,5.1,4.95,5.02,7678200.0,39483717.0,632923739.0,0.0121
2021-01-27,4.97,5.01,4.93,4.98,7391237.0,37460650.0,632923739.0,0.0117
2021-01-28,4.94,4.99,4.87,4.87,8571613.0,43136277.0,632923739.0,0.0135
2021-01-29,4.9,4.93,4.41,4.51,21204830.0,99371827.0,632923739.0,0.0335
2021-02-01,4.49,4.5,4.34,4.38,9722150.0,43816180.0,632923739.0,0.0154
2021-02-02,4.39,4.46,4.37,4.43,4797700.0,21702793.0,632923739.0,0.0076
2021-02-03,4.45,4.45,4.34,4.35,5290039.0,23788111.0,632923739.0,0.0084
2021-02-04,4.34,4.36,4.15,4.26,7601302.0,32803079.0,632923739.0,0.012
2021-02-05,4.26,4.31,4.15,4.16,4233400.0,18250616.0,632923739.0,0.0067
2021-02-08,4.19,4.25,4.14,4.22,3346504.0,14366910.0,632923739.0,0.0053
2021-02-09,4.26,4.39,4.24,4.38,4615901.0,20403093.0,632923739.0,0.0073
2021-02-10,4.38,4.52,4.35,4.48,5439126.0,24684951.0,632923739.0,0.0086
2021-02-18,4.53,4.59,4.49,4.53,5079907.0,23510279.0,632923739.0,0.008
2021-02-19,4.52,4.64,4.49,4.64,6359032.0,29784269.0,632923739.0,0.01
2021-02-22,4.65,4.84,4.63,4.74,10647359.0,51645483.0,632923739.0,0.0168
2021-02-23,4.7,4.74,4.62,4.62,6242701.0,29661144.0,632923739.0,0.0099
2021-02-24,4.61,4.69,4.57,4.61,4729432.0,22380800.0,632923739.0,0.0075
2021-02-25,4.62,4.66,4.52,4.53,4151036.0,19335141.0,632923739.0,0.0066
2021-02-26,4.53,4.59,4.45,4.56,4322500.0,20071286.0,632923739.0,0.0068
2021-03-01,4.56,4.72,4.56,4.7,6068956.0,28882662.0,632923739.0,0.0096
2021-03-02,4.71,4.74,4.63,4.73,5832108.0,27957269.0,632923739.0,0.0092
2021-03-03,4.73,4.77,4.67,4.76,5746571.0,27746153.0,632923739.0,0.0091
2021-03-04,4.76,4.85,4.73,4.78,9875500.0,48401633.0,632923739.0,0.0156
2021-03-05,4.76,4.88,4.7,4.87,9044301.0,44613199.0,632923739.0,0.0143
2021-03-08,4.98,5.0,4.75,4.77,10963500.0,54449996.0,632923739.0,0.0173
2021-03-09,4.77,4.8,4.58,4.69,8769929.0,42024832.0,632923739.0,0.0139
2021-03-10,4.7,4.73,4.57,4.57,4606693.0,21755153.0,632923739.0,0.0073
2021-03-11,4.57,5.03,4.52,5.03,14071546.0,70605752.0,632923739.0,0.0222
2021-03-12,5.18,5.53,5.05,5.26,69733132.0,380946952.0,632923739.0,0.1102
2021-03-15,5.09,5.48,4.95,5.31,51197208.0,269713994.0,632923739.0,0.0809
2021-03-16,5.21,5.55,5.14,5.51,49645390.0,272920833.0,632923739.0,0.0784
2021-03-17,5.51,5.51,5.31,5.39,29702614.0,163889535.0,632923739.0,0.0469
2021-03-18,5.37,5.39,5.24,5.29,26055187.0,140969801.0,632923739.0,0.0412
2021-03-19,5.22,5.41,5.18,5.24,22446901.0,121468169.0,632923739.0,0.0355
2021-03-22,5.28,5.46,5.28,5.41,29737400.0,163781993.0,632923739.0,0.047
2021-03-23,5.35,5.4,5.19,5.2,24107405.0,129566519.0,632923739.0,0.0381
2021-03-24,5.17,5.46,5.16,5.36,29881002.0,162806628.0,632923739.0,0.0472
2021-03-25,5.26,5.33,5.07,5.21,22178500.0,116837280.0,632923739.0,0.035
2021-03-26,5.23,5.53,5.1,5.37,31785109.0,174235013.0,632923739.0,0.0502
2021-03-29,5.31,5.39,5.21,5.31,21261317.0,114915071.0,632923739.0,0.0336
2021-03-30,5.29,5.29,5.11,5.13,16873147.0,88813646.0,632923739.0,0.0267
2021-03-31,5.09,5.21,4.99,5.14,14668365.0,76157500.0,632923739.0,0.0232
2021-04-01,5.19,5.19,5.03,5.04,11720371.0,60593572.0,632923739.0,0.0185
2021-04-02,5.08,5.08,5.0,5.06,7905600.0,40741837.0,632923739.0,0.0125
2021-04-06,5.08,5.27,5.05,5.27,18628863.0,98757719.0,632923739.0,0.0294
2021-04-07,5.25,5.29,5.15,5.29,15125266.0,80587225.0,632923739.0,0.0239
2021-04-08,5.35,5.46,5.18,5.18,21412066.0,116475716.0,632923739.0,0.0338
2021-04-09,5.12,5.5,5.05,5.29,20933631.0,112999764.0,632923739.0,0.0331
2021-04-12,5.24,5.42,5.18,5.31,20147030.0,109425216.0,632923739.0,0.0318
2021-04-13,5.39,5.5,5.22,5.39,33806861.0,186764239.0,632923739.0,0.0534
2021-04-14,5.34,5.74,5.27,5.63,46327988.0,262484276.0,632923739.0,0.0732
2021-04-15,5.54,5.62,5.42,5.48,27841497.0,156282058.0,632923739.0,0.044
2021-04-16,5.46,5.53,5.37,5.48,21802775.0,121590655.0,632923739.0,0.0344
2021-04-19,5.49,5.71,5.43,5.56,28270401.0,161092131.0,632923739.0,0.0447
2021-04-20,5.51,5.54,5.32,5.43,27132622.0,150354158.0,632923739.0,0.0429
2021-04-21,5.43,5.98,5.4,5.72,81853821.0,486409883.0,632923739.0,0.1293
2021-04-22,5.95,6.14,5.74,5.91,77641557.0,468711247.0,632923739.0,0.1227
2021-04-23,5.7,5.88,5.6,5.73,52314829.0,306693383.0,632923739.0,0.0827
2021-04-26,5.68,5.72,5.46,5.47,37076000.0,209897007.0,632923739.0,0.0586
2021-04-27,5.4,5.46,5.17,5.17,29871147.0,160590528.0,632923739.0,0.0472
2021-04-28,5.13,5.25,5.11,5.2,13811947.0,73067532.0,632923739.0,0.0218
2021-04-29,5.15,5.21,5.07,5.08,16326187.0,85629914.0,632923739.0,0.0258
2021-04-30,5.09,5.12,5.0,5.05,11841443.0,61049081.0,632923739.0,0.0187
2021-05-06,5.05,5.17,5.05,5.14,9968346.0,52087293.0,632923739.0,0.0157
2021-05-07,5.14,5.2,5.07,5.1,11883289.0,62115306.0,632923739.0,0.0188
2021-05-10,5.07,5.18,5.01,5.16,11785189.0,61466241.0,632923739.0,0.0186
2021-05-11,5.11,5.22,5.11,5.19,10267200.0,54306108.0,632923739.0,0.0162
2021-05-12,5.22,5.33,5.21,5.29,14351302.0,77306806.0,632923739.0,0.0227
2021-05-13,5.25,5.26,5.16,5.16,11047201.0,58734024.0,632923739.0,0.0175
2021-05-14,5.23,5.41,5.2,5.35,18741209.0,101974080.0,632923739.0,0.0296
2021-05-17,5.31,5.33,5.17,5.25,13932449.0,74602325.0,632923739.0,0.022
2021-05-18,5.24,5.33,5.17,5.33,10120706.0,54075156.0,632923739.0,0.016
2021-05-19,5.29,5.39,5.26,5.31,10726900.0,58360029.0,632923739.0,0.0169
2021-05-20,5.28,5.53,5.22,5.5,27079509.0,150002322.0,632923739.0,0.0428
2021-05-21,5.63,5.77,5.47,5.5,34614206.0,197701521.0,632923739.0,0.0547
2021-05-24,5.47,5.68,5.47,5.51,25762008.0,146948014.0,632923739.0,0.0407
2021-05-25,5.43,5.52,5.34,5.44,17885228.0,99382809.0,632923739.0,0.0283
2021-05-26,5.44,5.56,5.38,5.49,19295576.0,108095394.0,632923739.0,0.0305
2021-05-27,5.48,5.62,5.43,5.62,22965072.0,130050647.0,632923739.0,0.0363
2021-05-28,5.61,5.81,5.54,5.72,35470608.0,206318960.0,632923739.0,0.056
2021-05-31,5.76,5.79,5.66,5.74,23551099.0,137651650.0,632923739.0,0.0372
2021-06-01,5.71,5.74,5.62,5.72,22795508.0,131988809.0,632923739.0,0.036
2021-06-02,5.5,5.53,5.15,5.2,51568198.0,278854538.0,632923739.0,0.0815
2021-06-03,5.19,5.32,5.16,5.22,18009811.0,96484825.0,632923739.0,0.0285
2021-06-04,5.17,5.3,5.17,5.24,12540000.0,67019288.0,632923739.0,0.0198
2021-06-07,5.24,5.27,5.19,5.23,12093287.0,64431330.0,632923739.0,0.0191
2021-06-08,5.24,5.26,5.13,5.17,13593806.0,71934695.0,632923739.0,0.0215
2021-06-09,5.19,5.21,5.11,5.11,11339800.0,59635277.0,632923739.0,0.0179
2021-06-10,5.11,5.16,5.09,5.15,9826120.0,51537135.0,632923739.0,0.0155
2021-06-11,5.14,5.15,5.07,5.09,12326300.0,64262968.0,632923739.0,0.0195
2021-06-15,5.11,5.15,5.04,5.12,12540867.0,65422956.0,632923739.0,0.0198
2021-06-16,5.11,5.22,5.09,5.15,10451919.0,55022015.0,632923739.0,0.0165
2021-06-17,5.13,5.31,5.1,5.29,20415080.0,109184290.0,632923739.0,0.0323
2021-06-18,5.21,5.28,5.15,5.26,16225008.0,86555708.0,632923739.0,0.0256
2021-06-21,5.24,5.26,5.2,5.24,12377772.0,66096378.0,632923739.0,0.0196
2021-06-22,5.29,5.36,5.25,5.27,15139358.0,81814470.0,632923739.0,0.0239
2021-06-23,5.28,5.28,5.19,5.24,12674005.0,67637987.0,632923739.0,0.02
2021-06-24,5.25,5.56,5.22,5.42,33113851.0,181996818.0,632923739.0,0.0523
2021-06-25,5.35,5.48,5.29,5.44,25141301.0,138873409.0,632923739.0,0.0397
2021-06-28,5.42,5.62,5.37,5.61,31898126.0,180346398.0,632923739.0,0.0504
2021-06-29,5.58,5.64,5.44,5.54,27840102.0,157430381.0,632923739.0,0.044
2021-06-30,5.55,5.74,5.48,5.62,30468452.0,174163962.0,650283970.0,0.0469
2021-07-01,5.58,5.59,5.45,5.49,23535102.0,132385983.0,650283970.0,0.0362
2021-07-02,5.43,5.66,5.42,5.56,27220815.0,154743233.0,650283970.0,0.0419
2021-07-05,5.61,5.74,5.59,5.63,25707403.0,148302532.0,650283970.0,0.0395
2021-07-06,5.59,5.76,5.52,5.68,26049700.0,150256888.0,650283970.0,0.0401
2021-07-07,5.64,5.91,5.6,5.82,48519499.0,288117496.0,650283970.0,0.0746
