证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
英威腾,深圳市英威腾电气股份有限公司,,0.0,,,0.0,4800.0,4800.0,,0.0,0.0,0.0,,0.0,0.0,4800.0,0.0,0.0,0.0,,,定期报告,2010-03-09,,002334,2009-12-31,0.0,0.0,,,0.0,,0.0,4800.0,,,,0.0,0.0,0.0,0.0,0.0,015019
英威腾,深圳市英威腾电气股份有限公司,,0.0,,,320.0,0.0,0.0,,4800.0,0.0,0.0,,0.0,0.0,,1280.0,0.0,320.0,,,A股上市,2010-01-12,,002334,2010-01-13,,0.0,,,5120.0,,0.0,6400.0,,,,0.0,,1280.0,4800.0,4800.0,015001
英威腾,深圳市英威腾电气股份有限公司,,,,,0.0,0.0,0.0,,4800.0,,0.0,,,,,1600.0,,0.0,,,配售股份上市,2010-04-08,,002334,2010-04-13,,0.0,,,4800.0,,,6400.0,,,,,,1600.0,4800.0,4800.0,015009
英威腾,深圳市英威腾电气股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,4800.0,0.0,0.0,,0.0,0.0,,1600.0,0.0,,,,定期报告,2010-08-19,,002334,2010-06-30,,,,,4800.0,,,6400.0,,,0.0,0.0,,1600.0,4800.0,4800.0,015019
英威腾,深圳市英威腾电气股份有限公司,,,,,0.0,0.0,0.0,,9120.0,,0.0,,,,,3040.0,,0.0,,,转增,2010-09-09,,002334,2010-09-16,,0.0,,,9120.0,,,12160.0,,,,0.0,,3040.0,9120.0,9120.0,015011
英威腾,深圳市英威腾电气股份有限公司,,,0.0,,0.0,0.0,0.0,,9120.0,,0.0,,,,,3040.0,,0.0,,,定期报告,2011-02-22,,002334,2010-12-31,,0.0,,,9120.0,,,12160.0,,,,0.0,,3040.0,9120.0,9120.0,015019
英威腾,深圳市英威腾电气股份有限公司,,,0.0,,0.0,,0.0,,9120.0,,0.0,,,,,3040.0,,0.0,,,定期报告,2011-08-18,,002334,2011-06-30,,0.0,,,9120.0,,,12160.0,,,,0.0,,3040.0,9120.0,9120.0,015019
英威腾,深圳市英威腾电气股份有限公司,,,0.0,,0.0,,0.0,,9120.0,,0.0,,,,,3040.0,,0.0,,,定期报告,2012-03-22,,002334,2011-12-31,,0.0,,,9120.0,,,12160.0,,,,0.0,,3040.0,9120.0,9120.0,015019
英威腾,深圳市英威腾电气股份有限公司,,,0.0,,0.0,0.0,0.0,,16416.0,,0.0,,,,,5472.0,,0.0,,,转增,2012-05-21,,002334,2012-05-29,,0.0,0.0,,16416.0,,0.0,21888.0,,,,0.0,,5472.0,16416.0,16416.0,015011
英威腾,深圳市英威腾电气股份有限公司,,,0.0,,0.0,,0.0,,16416.0,,0.0,,,,,5472.0,,0.0,,,定期报告,2012-08-16,,002334,2012-06-30,,0.0,,,16416.0,,0.0,21888.0,,,,0.0,,5472.0,16416.0,16416.0,015019
英威腾,深圳市英威腾电气股份有限公司,,,0.0,,0.0,,0.0,,16416.0,,0.0,,,,,5472.0,,0.0,,,定期报告,2013-03-28,,002334,2012-12-31,,0.0,,,16416.0,,0.0,21888.0,,,,0.0,,5472.0,16416.0,16416.0,015019
英威腾,深圳市英威腾电气股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,9163.2799,0.0,0.0,,0.0,,,12724.7201,,0.0,,,限售股份上市,2013-01-11,,002334,2013-01-14,,0.0,,,9163.2799,,0.0,21888.0,,,0.0,0.0,,12724.7201,9163.2799,9163.2799,015027
英威腾,深圳市英威腾电气股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,12324.7651,0.0,0.0,,0.0,,,22696.0349,0.0,0.0,,,转增,2013-05-08,,002334,2013-05-16,,0.0,,,12324.7651,,0.0,35020.8,,,0.0,0.0,,22696.0349,12324.7651,12324.7651,015011
英威腾,深圳市英威腾电气股份有限公司,,0.0,0.0,,0.0,,0.0,,12324.7651,0.0,0.0,,0.0,,,22696.0349,0.0,0.0,,,定期报告,2013-08-02,,002334,2013-06-30,,0.0,,,12324.7651,,0.0,35020.8,,,0.0,0.0,,22696.0349,12324.7651,12324.7651,015019
英威腾,深圳市英威腾电气股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,12879.3151,0.0,0.0,,0.0,0.0,,22696.0349,0.0,0.0,,,"增发新股上市,股权激励",2013-08-28,,002334,2013-08-29,0.0,0.0,,,12879.3151,,0.0,35575.35,,,0.0,0.0,,22696.0349,12879.3151,12879.3151,"015004,015025"
英威腾,深圳市英威腾电气股份有限公司,,0.0,0.0,,0.0,,0.0,,12879.3151,0.0,0.0,,0.0,0.0,,22696.0349,0.0,0.0,,,定期报告,2014-03-28,,002334,2013-12-31,0.0,0.0,,,12879.3151,,0.0,35575.35,,,0.0,0.0,,22696.0349,12879.3151,12879.3151,015019
