SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
688475.SH,688475,萤石网络,10551899,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-18 00:00:00,2025-10-18 00:00:00,CNY,5026884998.95,,,,,,,,,,,,199008653.08,115783398.06,,0.0,5341677050.09,2944031744.12,,,,,,988098989.96,230264769.62,669163051.66,,0.0,4831558555.36,,0.0,510118494.73,142700775.5,,1709259.33,,,,,0.0,144410034.83,252481637.66,144996296.2,,,,,,0.0,397477933.86,,0.0,-253067899.03,,,,,4978232.23,,0.0,4978232.23,,276005731.69,,,4981367.84,,,0.0,280987099.53,,0.0,-276008867.3,-2163751.97,,0.0,-21122023.57,3939464841.34,,0.0,3918342817.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2576055536,,,,,,,,,,,,18.4798446787,18.9634199453,,,10.7194937469,0.0096913768,,,,,,0.4257522184,26.724956917,14.5851693989,,,2.9448120155,,,288.9125602052,1484.3619055962,,314.8660405656,,,,,,1433.2053019978,-34.9388565922,1484.457670815,,,,,,,0.0650839196,,,34.7427737621,,,,,3785.8544324423,,,-56.0904490672,,-4.8591062691,,,-81.7718741543,,,,-11.6198282703,,,9.9753514798,-458.2487272844,,,96.252404691,-15.18548246,,,-3.9900657419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688475.SH,688475,萤石网络,10551899,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-02 00:00:00,2025-08-02 00:00:00,CNY,3381975672.55,,,,,,,,,,,,134433819.55,68690839.59,,0.0,3585100331.69,1987789097.83,,,,,,705965451.55,150693935.49,410729337.68,,0.0,3255177822.55,,0.0,329922509.14,75781767.5,,1501868.91,,,,,0.0,77283636.41,209998822.83,76873053.0,,,,,,0.0,286871875.83,,0.0,-209588239.42,,,,,,,,,,276005731.69,,,3876681.13,,,0.0,279882412.82,,0.0,-279882412.82,-1271053.03,,0.0,-160819196.13,3939464841.34,,0.0,3778645645.21,302445647.67,7271471.83,41924987.3,41924987.3,,4347345.26,1736907.47,-461368.92,,,-617667.78,34446.85,1801948.8,-2092388.57,1292629.5,-3413681.26,-3413681.26,,,10706672.63,112105816.77,-259963834.67,,18363857.46,0.0,329922509.14,,,,561944365.37,3778645645.21,3939464841.34,,,,,-160819196.13,13.8197044814,,,,,,,,,,,,25.7501796387,-20.5663552858,,,13.2831249076,1.3714169089,,,,,,1.6785315352,17.9299720697,17.6532140733,,,3.9298120891,,,910.9973326176,,,278.463780715,,,,,,19375.1066676851,-22.3446046316,,,,,,,,6.0822562596,,,22.3825346044,,,,,,,,,,-3.8919977647,,,-81.8673563396,,,,-9.4414702914,,,6.0334042167,-550.8173090309,,,69.938367232,-15.18548246,,,-8.0584634239,7.3804679785,297.4357905327,67.7049549246,67.7049549246,,11.0727428881,-3.4485528252,76.2350971427,,,-125.5596147692,-80.0885743514,5054.6844024887,-495.4586362446,,-176.8480987518,-176.8480987518,,,131.7096227095,526.9555821104,-2.1878669966,,215.9144020153,,910.9973326176,,,,82.6196439011,-8.0584634239,-15.18548246,,,,,69.938367232,,,,,3782053.57,-77.5080779126
688475.SH,688475,萤石网络,10551899,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-12 00:00:00,2025-04-12 00:00:00,CNY,1675113363.55,,,,,,,,,,,,61670441.35,39227985.85,,0.0,1776011790.75,1170771469.94,,,,,,429120020.9,48099579.1,193245036.28,,0.0,1841236106.22,,0.0,-65224315.47,40162780.0,,45027.25,,,,,0.0,40207807.25,155062144.14,40052142.5,,,,,,0.0,195114286.64,,0.0,-154906479.39,,,,,,,,,,,,,1799469.09,,,0.0,1799469.09,,0.0,-1799469.09,6925885.38,,0.0,-215004378.57,3939464841.34,,0.0,3724460462.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0757238533,,,,,,,,,,,,6.0056127382,-34.0933629547,,,10.1523212546,5.4086808155,,,,,,0.0185511235,-4.0374263936,10.4280781117,,,4.3277563934,,,57.239448941,,,-45.0715242198,,,,,,48949.2660934222,39.3332952678,,,,,,,,75.3227176249,,,-39.2960248303,,,,,,,,,,,,,-81.2869713974,,,,-85.6599123912,,,-34.3725915707,1945.6463503991,,,19.0053223355,-15.18548246,,,-14.9539420485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688475.SH,688475,萤石网络,10551899,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-12 00:00:00,2025-04-12 00:00:00,CNY,6046903357.32,,,,,,,,,,,,199097316.62,143842754.74,,0.0,6389843428.68,3509127894.47,,,,,,1259086052.46,238054014.38,835187273.61,,0.0,5841455234.92,,0.0,548388193.76,55804085.5,,319115.35,,,,,0.0,56123200.85,612013653.0,54935101.5,,,,,,0.0,666948754.5,,0.0,-610825553.65,,,11209358.5,,2094459.59,,0.0,13303818.09,331546389.75,292340199.84,,,31218569.61,,,0.0,655105159.2,,0.0,-641801341.11,-1096611.69,,0.0,-705335312.69,4644800154.03,,0.0,3939464841.34,503927731.05,6583252.04,66314352.57,66314352.57,,3405511.07,3907249.3,1482906.61,,,-971990.38,266634.06,-211968.0,5862159.55,-868984.0,-7611641.23,-7611641.23,,,-83714015.13,-240699036.75,153372011.05,,109526390.37,0.0,548388193.76,,,,327764051.59,3939464841.34,4644800154.03,,,,,-705335312.69,9.5282027918,,,,,,,,,,,,24.5841109554,14.8618444848,,,10.0576664878,19.5444237056,,,,,,23.3847604301,0.0025657483,29.9977591338,,,20.7814787078,,,-43.4372384242,,,-3.1379840952,,,,,,16935.2393683419,-22.5927732102,,,,,,,,-15.6446049142,,,22.7108377781,,,-87.8851499608,,326.0723881355,,,-85.6974868213,64.9484526119,58.9275118435,,,-47.6494049929,,,,47.3539599276,,,-82.5571247837,-141.3466555669,,,-315.6363066276,-3.5247712267,,,-15.18548246,-10.5177352414,-39.9508846596,36.0955914714,36.0955914714,,16.2137469997,-35.1350668191,-90.0675516339,,,-423.9730444467,-94.4800705841,,27.3595780301,,74.7216096176,74.7216096176,,,27.6173005318,-31.0433153727,-69.0988338546,,7.8209358866,,-43.4372384242,,,,43.7173222686,-15.18548246,-3.5247712267,,,,,-315.6363066276,标准无保留意见,,,,27839593.96,-33.4089887939
688475.SH,688475,萤石网络,10551899,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-26 00:00:00,2025-10-18 00:00:00,CNY,4559218362.95,,,,,,,,,,,,167968360.88,97326891.0,,0.0,4824513614.83,2943746454.56,,,,,,983909971.43,181704358.18,583987487.36,,0.0,4693348271.53,,0.0,131165343.3,9006829.5,,412002.71,,,,,0.0,9418832.21,388068245.4,9151162.5,,,,,,0.0,397219407.9,,0.0,-387800575.69,,,11209358.5,,128111.65,,0.0,11337470.15,500000.0,290102101.07,,,27327921.05,,,0.0,317930022.12,,0.0,-306592551.97,-387596.4,,0.0,-563615380.76,4644800154.03,,0.0,4081184773.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2295549729,,,,,,,,,,,,31.5349166728,22.776155606,,,12.0443184378,29.7971375223,,,,,,19.7871289487,-6.3085367373,20.7175172319,,,24.5896773604,,,-75.6584341509,,,115.1342447133,,,,,,4818.2039447737,-37.0943370734,,,,,,,,-35.6109383402,,,37.1182054191,,,-81.2931065057,,,,,-81.0793056007,0.0,61.2464807252,,,-40.9238469684,,,,40.2605580505,,,-83.8635944977,-221.8416154208,,,-130.3002565482,-3.5247712267,,,-10.6916730102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688475.SH,688475,萤石网络,10551899,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-10 00:00:00,2025-08-02 00:00:00,CNY,2971344626.1,,,,,,,,,,,,106905469.19,86475749.46,,0.0,3164725844.75,1960897024.47,,,,,,694311218.79,127782558.45,349101672.16,,0.0,3132092473.87,,0.0,32633370.88,,,396832.93,,,,,0.0,396832.93,270423995.44,,,,,,,0.0,270423995.44,,0.0,-270027162.51,,,11209358.5,,,,0.0,11209358.5,500000.0,287182883.08,,,21379569.37,,,0.0,309062452.45,,0.0,-297853093.95,281944.15,,0.0,-534964941.43,4644800154.03,,0.0,4109835212.6,281657971.29,1829596.63,24999253.79,24999253.79,,3913962.28,1798945.04,-1941387.78,,,-273837.93,173000.42,34957.5,529104.28,,4442115.44,4442115.44,,,-33764743.05,-26257020.98,-254397945.97,,5812921.9,0.0,32633370.88,,,,307712989.34,4109835212.6,4644800154.03,,,,,-534964941.43,11.5483852633,,,,,,,,,,,,50.7904549554,54.1123929901,,,13.4011190256,28.5936839595,,,,,,21.2135839859,-4.0265435409,23.9635288324,,,24.6634681727,,,-88.2739424214,,,173.2588168063,,,,,,173.2588168063,-28.2195954669,,,,,,,,-28.2195954669,,,28.2972899457,,,-78.7802357093,,,,,-78.7802357093,0.0,63.279847311,,,-38.8450036236,,,,46.2370307944,,,-87.8981078549,-58.8960286602,,,-108.8668359958,-3.5247712267,,,-9.8398657651,8.8776001163,-57.2793796839,14.7582898942,14.7582898942,,6.878465016,-59.8644716331,-7.0915382959,,,-47.6184299963,-61.3665066648,,107.5402467569,,-38.0791066222,-38.0791066222,,,-176.4210423579,33.2673462275,-306.8880844309,,-75.0466515299,,-88.2739424214,,,,68.4556608081,-9.8398657651,-3.5247712267,,,,,-108.8668359958,,,,,16815163.93,-16.9969385191
688475.SH,688475,萤石网络,10551899,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-13 00:00:00,2025-04-12 00:00:00,CNY,1494626406.11,,,,,,,,,,,,58176581.18,59520539.37,,0.0,1612323526.66,1110697393.12,,,,,,429040429.08,50123269.2,174996286.8,,0.0,1764857378.2,,0.0,-152533851.54,,,81974.33,,,,,0.0,81974.33,111288650.6,,,,,,,0.0,111288650.6,,0.0,-111206676.27,,,11209358.5,,,,0.0,11209358.5,,2932392.65,,,9616129.64,,,0.0,12548522.29,,0.0,-1339163.79,-375255.28,,0.0,-265454946.88,4644800154.03,,0.0,4379345207.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9988263012,,,,,,,,,,,,255.4777461361,103.0357118658,,,23.8646234684,56.6102191539,,,,,,21.1026861155,69.9667125696,22.2461657432,,,42.7727612438,,,-332.6924293136,,,277.0661415526,,,,,,277.0661415526,-12.2946880422,,,,,,,,-12.2946880422,,,12.3442729506,,,326.6747705255,,,,,326.6747705255,,-15.0169761435,,,-58.6038977162,,,,-52.9667628726,,,94.4324395573,-66.5698244887,,,-210.1322717868,-3.3293297684,,,-7.2009947178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688475.SH,688475,萤石网络,10551899,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-13 00:00:00,2025-04-12 00:00:00,CNY,5520864218.7,,,,,,,,,,,,159809557.65,125231102.97,,0.0,5805904879.32,2935417467.16,,,,,,1020455077.33,238047906.67,642462823.34,,0.0,4836383274.5,,0.0,969521604.82,,,329453.55,,,,,0.0,329453.55,790641492.25,,,,,,,0.0,790641492.25,,0.0,-790312038.7,,,92525771.79,,491573.65,,0.0,93017345.44,201000000.0,183945621.78,,,59633648.11,,,0.0,444579269.89,,0.0,-351561924.45,2652237.95,,0.0,-169700120.38,4814500274.41,,0.0,4644800154.03,563159339.35,10963112.45,48726304.69,48726304.69,,2930385.74,6023669.66,14929920.15,,,-185503.89,4830388.94,,4602841.53,,-30111257.54,-30111257.54,,,-115654729.3,-183678988.94,496330819.13,,101581747.06,0.0,969521604.82,,,,228061618.75,4644800154.03,4814500274.41,,,,,-169700120.38,11.7246598379,,,,,,,,,,,,101.6970638132,37.7690316393,,,13.5824163681,9.5766379287,,,,,,9.725525716,-8.1379326941,26.4566020172,,,10.5190019151,,,31.8076273454,,,20.3478144039,,,,,,20.3478144039,134.5353778371,,,,,,,,134.5353778371,,,-134.6281796293,,,-78.4729297445,,60.6550639779,,,-97.4000016474,-42.735042735,1325.5059421183,,,31.4102064651,,,,8.6237545824,,,-111.0962012855,-61.2782396938,,,-104.7483435728,291.1409490584,,,-3.3293297684,68.8688314342,-63.9481496906,20.6896498394,20.6896498394,,-36.9642234885,262.3986726866,857.3814372134,,,-1119.0606490429,1233.9686544817,,-3.5250253885,,11.5692491356,9.4006875539,,,-128.8883953585,-526.6255565125,462.8207105497,,2524.0039411148,,31.8076273454,,,,175.7129324181,-3.3293297684,291.1409490584,,,,,-104.7483435728,标准无保留意见,,,,41806834.67,7.7356005011
688475.SH,688475,萤石网络,10551899,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-21 00:00:00,2024-10-26 00:00:00,CNY,4098927091.87,,,,,,,,,,,,127698686.5,79271818.31,,0.0,4305897596.68,2267959456.39,,,,,,821382046.69,193939076.04,483763666.41,,0.0,3767044245.53,,0.0,538853351.15,,,191509.59,,,,,0.0,191509.59,616905104.16,,,,,,,0.0,616905104.16,,0.0,-616713594.57,,,59921004.54,,,,0.0,59921004.54,500000.0,179912206.31,,,46258802.66,,,0.0,226671008.97,,0.0,-166750004.43,-120430.79,,0.0,-244730678.64,4814500274.41,,0.0,4569769595.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9355420082,,,,,,,,,,,,110.094738977,100.4012117954,,,13.4560861623,2.1392499402,,,,,,11.4475418619,-6.8496818594,34.9852902937,,,6.8952152782,,,98.7233261412,,,1.9958605069,,,,,,1.9958605069,265.5014360014,,,,,,,,265.5014360014,,,-265.794898027,,,-67.481322471,,,,,-67.5352313471,-99.3788819876,1662.1490914015,,,85.2985418073,,,,95.9562577574,,,-342.0240399618,-101.9995257388,,,-237.8894915461,291.1409490584,,,224.4723541095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688475.SH,688475,萤石网络,10551899,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-05 00:00:00,2024-08-10 00:00:00,CNY,2663727152.2,,,,,,,,,,,,70896708.43,56112132.05,,0.0,2790735992.68,1524878177.6,,,,,,572799843.02,133143645.3,281616436.26,,0.0,2512438102.18,,0.0,278297890.5,,,145222.37,,,,,0.0,145222.37,376737909.46,,,,,,,0.0,376737909.46,,0.0,-376592687.09,,,52825084.89,,,,0.0,52825084.89,500000.0,175883850.83,,,34959644.57,,,0.0,211343495.4,,0.0,-158518410.51,685929.22,,0.0,-256127277.88,4814500274.41,,0.0,4558372996.53,258692303.09,4282701.46,21784268.32,21784268.32,,3662068.2,4482176.05,-1812830.23,,,-185503.89,447799.06,,-7017068.5,,7173855.54,7173855.54,,,44182520.95,-39346585.96,-62522830.16,,23295157.79,0.0,278297890.5,,,,182667051.89,4558372996.53,4814500274.41,,,,,-256127277.88,8.1398808421,,,,,,,,,,,,82.5393254764,106.5544185116,,,10.3394127096,3.8301806911,,,,,,8.6258149917,-6.9810304085,23.1795863015,,,6.1130062303,,,72.290611374,,,-4.6047335828,,,,,,-4.6047335828,225.1373080448,,,,,,,,225.1373080448,,,-225.4395436398,,,-50.696335157,,,,,-50.696335157,-99.3788819876,2626.3104385013,,,90.3996784605,,,,100.6821751922,,,-8763.3007472931,-73.4488407297,,,-609.9779724767,291.1409490584,,,255.8144761174,70.3976896633,-46.6887471883,10.1191066829,10.1191066829,,156.8532818533,477.5505797242,-32.596346777,,,,138.8906721852,,-287.5418448824,,158.2839022566,162.4169556417,,,-80.049525522,-146.3145103966,82.3964553507,,10.9209515525,,72.290611374,,,,202.4021270638,255.8144761174,291.1409490584,,,,,-609.9779724767,,,,,20258486.41,23.5793759172
