SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
688475.SH,688475,萤石网络,10551899,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-18 00:00:00,2025-10-18 00:00:00,CNY,4292870399.73,8.3334453772,4292870399.73,8.3334453772,,,,,,,,,,,3893790406.04,8.4784863467,2419909409.96,6.3498777362,,,,,647969334.98,4.7231554298,,,,,,,,,,,,,34153534.46,69.1999848646,702707102.95,17.0074986915,166799464.76,18.2034087344,,,-77748441.07,-16.7873668752,-4468854.7,-216.1192164835,59466845.7,-28.0695730893,,,,,,,-255334.4,-51.8564070845,-2295520.7,-1490.4337192465,,,,,,,552485.66,101.7564403879,-11713277.96,-311.0809290416,-4373716.35,-70.4008907425,73711387.92,67.7353810306,,,0.0,,454706017.86,10.4520883816,935746.1,72.2666081489,,,506399.64,-10.7646994909,,,,,0.0,,455135364.32,10.5629043249,32822359.45,-10.9935066754,,,,,,,422313004.87,12.6839606898,,,422313004.87,12.6839606898,,,422313004.87,12.6839606898,,,390818870.75,6.2199202926,,,,,0.54,12.5,,,2243521.04,164.5191770301,2243521.04,164.5191770301,,,,,,,,,,,,,,,,,,,,,2243521.04,164.5191770301,,,,,,,,,,,,,,,2243521.04,164.5191770301,,,,,,,,,424556525.91,13.0268006296,424556525.91,13.0268006296,,,,,,,,,,,,,
688475.SH,688475,萤石网络,10551899,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-02 00:00:00,2025-08-02 00:00:00,CNY,2827485098.89,9.4473985906,2827485098.89,9.4473985906,,,,,,,,,,,2512351342.93,9.3634938596,1594985577.05,8.6205365827,,,,,422756835.15,0.1069633625,,,,,,,,,,,,,20711037.95,74.917471194,444075669.11,19.1770020142,93877826.85,10.0589311046,,,-64055603.18,-1.3300078733,460196.46,-39.3909462337,38110869.25,-48.1331537686,,,,,,,-1801948.8,-5054.6844024887,-1292629.5,,,,,,,,617667.78,125.5596147692,-7271471.83,-297.4357905327,-2519965.46,-6658.9512301456,30136809.66,6.3059932489,,,0.0,,333002217.81,6.4015667757,684265.93,61.8336693703,,,179692.09,-60.6701587792,,,,,0.0,,333506791.65,6.5743891599,31061143.98,-0.6849513662,,,,,,,302445647.67,7.3804679785,,,302445647.67,7.3804679785,,,302445647.67,7.3804679785,,,297806980.84,7.6880487462,,,,,0.38,5.5555555556,,,2844541.95,454.9597465112,2844541.95,454.9597465112,,,,,,,,,,,,,,,,,,,,,2844541.95,454.9597465112,,,,,,,,,,,,,,,2844541.95,454.9597465112,,,,,,,,,305290189.62,8.6996668524,305290189.62,8.6996668524,,,,,,,,,,,,,
688475.SH,688475,萤石网络,10551899,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-12 00:00:00,2025-04-12 00:00:00,CNY,1380258421.19,11.5899486034,1380258421.19,11.5899486034,,,,,,,,,,,1222978457.46,10.9566909767,792996255.39,11.6625790551,,,,,203614149.98,-1.8596282573,,,,,,,,,,,,,9645391.97,92.9128389291,197089636.48,8.2518307546,42251730.99,-0.4156072627,,,-22618707.35,49.652987872,183865.44,-51.5943434296,15755317.23,-70.8303902475,,,,,,,-1350690.0,,492510.0,,,,,,,,,,777893.73,-31.3561331288,-6194123.28,-870.5413451518,6230320.72,-44.1560394978,,,0.0,,157235874.9,6.3961575811,515640.48,248.7991421676,,,146122.28,101.8111341327,,,,,0.0,,157605393.1,6.5917942549,19549134.0,-14.3687118192,,,,,,,138056259.1,10.4190247295,,,138056259.1,10.4190247295,,,138056259.1,10.4190247295,,,137722286.33,13.2386322977,,,,,0.18,12.5,,,892795.4,264.0867983202,892795.4,264.0867983202,,,,,,,,,,,,,,,,,,,,,892795.4,264.0867983202,,,,,,,,,,,,,,,892795.4,264.0867983202,,,,,,,,,138949054.5,11.618832706,138949054.5,11.618832706,,,,,,,,,,,,,
688475.SH,688475,萤石网络,10551899,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-12 00:00:00,2025-04-12 00:00:00,CNY,5441939939.51,12.4120259127,5441939939.51,12.4120259127,,,,,,,,,,,4970229459.82,14.9626070632,3151706770.18,13.1711517157,,,,,813673563.79,11.3535267806,,,,,,,,,,,,,27981928.02,-5.3868526249,858301978.86,26.6610662806,177151838.18,9.3452600868,,,-58586619.21,4.7276981579,6247124.14,-15.8548697675,91199000.2,29.222571935,,,,,,,211968.0,,868984.0,,,,,,,,971990.38,423.9730444467,-6583252.04,39.9508846596,21962.38,100.6723065482,72126878.0,5.4362949593,,,0.0,,539329010.41,-5.7257018171,816599.47,-19.3953078661,,,763514.23,-85.4217211077,,,,,0.0,,539382095.65,-5.0150579231,35454364.6,654.1402183839,,,,,,,503927731.05,-10.5177352414,,,503927731.05,-10.5177352414,,,503927731.05,-10.5177352414,,,483418313.42,-12.6322117467,,,,,0.64,-11.1111111111,,,-1527255.04,-184.4362651065,-1527255.04,-184.4362651065,,,,,,,,,,,,,,,,,,,,,-1527255.04,-184.4362651065,,,,,,,,,,,,,,,-1527255.04,-184.4362651065,,,,,,,,,502400476.01,-10.7037904074,502400476.01,-10.7037904074,,,,,,,,,,,,,标准无保留意见
688475.SH,688475,萤石网络,10551899,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-26 00:00:00,2025-10-18 00:00:00,CNY,3962645501.38,12.9271830268,3962645501.38,12.9271830268,,,,,,,,,,,3589458644.91,14.5647892973,2275422841.54,14.6512225549,,,,,618745044.8,13.4517760235,,,,,,,,,,,,,20185305.86,-14.508594116,600565870.4,19.7678106176,141112228.95,17.4684744017,,,-66572646.64,-58.1892282024,3848505.73,-35.4301936099,82672727.32,53.8571769754,,,,,,,-168142.0,,-144333.0,,,,,,,,273837.93,47.6184299963,-2849384.91,29.8903910894,-2566721.53,-282.1623543445,43945044.55,-10.5930120948,,,0.0,,411677157.51,-2.0988776184,543196.45,-70.3943538176,,,567488.02,-17.1916916663,,,,,0.0,,411652865.94,-2.3715276329,36876365.11,84.4869059709,,,,,,,374776500.83,-6.6939956825,,,374776500.83,-6.6939956825,,,374776500.83,-6.6939956825,,,367933688.59,-5.4544262081,,,,,0.48,-5.8823529412,,,848150.62,137.5534814051,848150.62,137.5534814051,,,,,,,,,,,,,,,,,,,,,848150.62,137.5534814051,,,,,,,,,,,,,,,848150.62,137.5534814051,,,,,,,,,375624651.45,-5.9540256836,375624651.45,-5.9540256836,,,,,,,,,,,,,
688475.SH,688475,萤石网络,10551899,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-10 00:00:00,2025-08-02 00:00:00,CNY,2583419190.68,13.0470377381,2583419190.68,13.0470377381,,,,,,,,,,,2297248610.36,12.7558433834,1468401489.47,12.6827211233,,,,,422305123.39,14.8780625413,,,,,,,,,,,,,11840462.71,-31.7695397938,372618593.86,17.2164341773,85297781.75,12.0215187198,,,-63214840.82,-41.2226796621,759286.66,-81.7591926275,73478285.3,102.3143219734,,,,,,,-34957.5,,,,,,,,,,273837.93,47.6184299963,-1829596.63,57.2793796839,38420.25,104.1698938726,28349116.3,14.9528870106,,,0.0,,312967400.67,16.980594034,422820.5,-74.2237990488,,,456884.86,-22.5370172664,,,,,0.0,,312933336.31,16.5103599534,31275365.02,216.0366998005,,,,,,,281657971.29,8.8776001163,,,281657971.29,8.8776001163,,,281657971.29,8.8776001163,,,276545990.3,9.8857687074,,,,,0.36,9.0909090909,,,-801370.29,66.0347754913,-801370.29,66.0347754913,,,,,,,,,,,,,,,,,,,,,-801370.29,66.0347754913,,,,,,,,,,,,,,,-801370.29,66.0347754913,,,,,,,,,280856601.0,9.5671218111,280856601.0,9.5671218111,,,,,,,,,,,,,
688475.SH,688475,萤石网络,10551899,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-13 00:00:00,2025-04-12 00:00:00,CNY,1236902103.16,14.6142250434,1236902103.16,14.6142250434,,,,,,,,,,,1102212445.86,13.9539809397,710171896.53,11.7722761927,,,,,207472364.7,28.932859023,,,,,,,,,,,,,4999870.42,-48.8946229654,182065869.1,31.3138751967,42428065.11,21.6760056031,,,-44925620.0,-263.8283843325,379842.88,-83.0811656705,54012780.3,175.2908679291,,,,,,,,,,,,,,,,,,,1133231.22,434.1806169899,803866.44,142.2335624752,11156659.85,471.8971735772,,,0.0,,147783414.81,31.7103400408,147833.07,-28.7428048984,,,72405.46,-39.2952780318,,,,,0.0,,147858842.42,31.6740713143,22829428.84,8.0904384578,,,,,,,125029413.58,37.1374636837,,,125029413.58,37.1374636837,,,125029413.58,37.1374636837,,,121621290.84,34.9368544711,,,,,0.16,0.0,,,-544099.47,-147.0513672409,-544099.47,-147.0513672409,,,,,,,,,,,,,,,,,,,,,-544099.47,-147.0513672409,,,,,,,,,,,,,,,-544099.47,-147.0513672409,,,,,,,,,124485314.11,34.8305072385,124485314.11,34.8305072385,,,,,,,,,,,,,
688475.SH,688475,萤石网络,10551899,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-13 00:00:00,2025-04-12 00:00:00,CNY,4841065620.27,12.4178559597,4841065620.27,12.4178559597,,,,,,,,,,,4323344421.97,7.4940950757,2784902974.3,1.7096517169,,,,,730711983.1,21.1846172661,,,,,,,,,,,,,29575094.79,45.5211054475,677636786.16,24.8974067664,162011447.08,10.0591478059,,,-61493863.46,-110.5162625655,7424225.41,-43.577732321,70575131.6,102.6089118486,,,,,,,,,,,,,,,,,185503.89,1119.0606490429,-10963112.45,63.9481496906,-3266721.12,-7.7148275451,68408016.45,-14.5064774538,,,0.0,,572084885.07,72.8706668974,1013091.73,3.1397551324,,,5237341.36,1024.9486610504,,,,,0.0,,567860635.44,71.3267029767,4701296.09,330.4309227508,,,,,,,563159339.35,68.8688314342,,,563159339.35,68.8688314342,,,563159339.35,68.8688314342,,,553314125.36,86.896487257,,,,,0.72,-2.7027027027,,,-536941.04,91.9582143071,-536941.04,91.9582143071,,,,,,,,,,,,,,,,,,,,,-536941.04,91.9582143071,,,,,,,,,,,,,,,-536941.04,91.9582143071,,,,,,,,,562622398.31,72.1545832795,562622398.31,72.1545832795,,,,,,,,,,,,,标准无保留意见
688475.SH,688475,萤石网络,10551899,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-21 00:00:00,2024-10-26 00:00:00,CNY,3509027140.47,11.8619356555,3509027140.47,11.8619356555,,,,,,,,,,,3133125515.2,6.4803492427,1984647691.35,-1.0609321619,,,,,545381541.38,23.4323445397,,,,,,,,,,,,,23610918.14,52.8919334925,501441804.19,30.3774737398,120127744.63,10.2276621353,,,-42084184.49,-193.0035154134,5960224.98,-42.4938200943,53733422.74,115.0005055491,,,,,,,,,,,,,,,,,185503.89,1119.0606490429,-4064186.0,66.4991511571,-671631.18,14.1930071748,49151688.9,34.5676818429,,,0.0,,420503000.88,92.824782335,1834773.16,231.8605392657,,,685303.24,97.6210608553,,,,,0.0,,421652470.8,93.1693200035,19988608.36,2677.1311251029,,,,,,,401663862.44,83.360517712,,,401663862.44,83.360517712,,,401663862.44,83.360517712,,,389160141.33,83.0249586755,,,,,0.51,4.0816326531,,,-2258513.96,74.8782818847,-2258513.96,74.8782818847,,,,,,,,,,,,,,,,,,,,,-2258513.96,74.8782818847,,,,,,,,,,,,,,,-2258513.96,74.8782818847,,,,,,,,,399405348.48,90.1327116496,399405348.48,90.1327116496,,,,,,,,,,,,,
688475.SH,688475,萤石网络,10551899,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-05 00:00:00,2024-08-10 00:00:00,CNY,2285260403.43,9.2802352664,2285260403.43,9.2802352664,,,,,,,,,,,2037365462.78,4.2274865929,1303129241.85,-3.4713854846,,,,,367611634.5,28.6501339574,,,,,,,,,,,,,17353631.61,106.0295167423,317889378.29,31.087617428,76144104.03,6.9573299015,,,-44762527.5,-1332.9314222859,4162571.56,-41.6053304044,36318874.8,132.7557193683,,,,,,,,,,,,,,,,,185503.89,,-4282701.46,46.6887471883,-921372.37,-14.990268404,24661508.76,16.769567601,,,0.0,,267537879.47,79.8593150034,1640352.28,297.1966361183,,,589810.57,200.3629396867,,,,,0.0,,268588421.18,80.3030008969,9896118.09,447.0180073827,,,,,,,258692303.09,70.3976896633,,,258692303.09,70.3976896633,,,258692303.09,70.3976896633,,,251666793.21,70.3565326085,,,,,0.33,-2.9411764706,,,-2359384.64,43.4834008681,-2359384.64,43.4834008681,,,,,,,,,,,,,,,,,,,,,-2359384.64,43.4834008681,,,,,,,,,,,,,,,-2359384.64,43.4834008681,,,,,,,,,256332918.45,73.6177505794,256332918.45,73.6177505794,,,,,,,,,,,,,
