日期,688475.SH_close,688475.SH_volume,688475.SH_turnover
2024-05-13,37.68,309193063.0,1.94
2024-05-14,38.09,170377715.0,1.09
2024-05-15,38.99,128923836.0,0.8
2024-05-16,39.54,105475167.0,0.65
2024-05-17,39.29,104896134.0,0.65
2024-05-20,40.34,142529033.0,0.86
2024-05-21,39.41,118492253.0,0.73
2024-05-22,38.94,94963273.0,0.59
2024-05-23,38.72,75462949.0,0.47
2024-05-24,37.99,101237263.0,0.64
2024-05-27,37.72,103721586.0,0.66
2024-05-28,38.08,96193326.0,0.62
2024-05-29,37.96,66763882.0,0.43
2024-05-30,38.54,63459789.0,0.4
2024-05-31,37.49,97743871.0,0.63
2024-06-03,39.3,285366013.0,1.76
2024-06-04,39.37,145532432.0,0.91
2024-06-05,39.41,114155127.0,0.71
2024-06-06,39.11,109014238.0,0.67
2024-06-07,40.65,138239309.0,0.84
2024-06-11,40.43,194044951.0,1.17
2024-06-12,39.41,204579985.0,1.26
2024-06-13,38.59,312411704.0,1.96
2024-06-14,37.57,812777041.0,5.22
2024-06-17,36.31,329757792.0,2.22
2024-06-18,36.78,215549859.0,1.44
2024-06-19,36.51,124044039.0,0.83
2024-06-20,36.17,90593869.0,0.61
2024-06-21,36.07,80221954.0,0.55
2024-06-24,35.37,97189174.0,0.66
2024-06-25,34.46,70363133.0,0.5
2024-06-26,34.19,83898983.0,0.6
2024-06-27,33.63,80847793.0,0.59
2024-06-28,33.76,111751890.0,0.81
2024-07-01,33.87,87374535.0,0.63
2024-07-02,32.9,90529882.0,0.67
2024-07-03,31.55,103923231.0,0.8
2024-07-04,30.66,111532000.0,0.87
2024-07-05,30.45,69340480.0,0.55
2024-07-08,30.07,73495022.0,0.59
2024-07-09,29.72,109218230.0,0.9
2024-07-10,29.95,73014402.0,0.59
2024-07-11,30.47,108391514.0,0.87
2024-07-12,30.02,70432791.0,0.57
2024-07-15,29.8,44814613.0,0.37
2024-07-16,29.12,86172905.0,0.72
2024-07-17,28.71,94654334.0,0.81
2024-07-18,28.58,53900865.0,0.46
2024-07-19,28.65,77109562.0,0.66
2024-07-22,28.87,62563847.0,0.53
2024-07-23,27.37,83407368.0,0.73
2024-07-24,26.95,56401722.0,0.51
2024-07-25,26.98,50893537.0,0.46
2024-07-26,27.6,58797428.0,0.52
2024-07-29,27.48,56097391.0,0.5
2024-07-30,26.74,77317039.0,0.7
2024-07-31,28.52,135431474.0,1.18
2024-08-01,27.86,110792299.0,0.95
2024-08-02,27.52,54364830.0,0.48
2024-08-05,26.95,99853899.0,0.89
2024-08-06,27.65,95552324.0,0.86
2024-08-07,28.03,105049791.0,0.91
2024-08-08,28.21,76023565.0,0.66
2024-08-09,28.53,81458216.0,0.7
2024-08-12,27.15,247439903.0,2.24
2024-08-13,26.97,148599261.0,1.35
2024-08-14,26.5,86448245.0,0.79
2024-08-15,26.39,71231988.0,0.66
2024-08-16,26.7,61357158.0,0.56
2024-08-19,26.3,82224834.0,0.75
2024-08-20,25.54,51103841.0,0.49
2024-08-21,25.42,42669021.0,0.41
2024-08-22,25.16,28787587.0,0.28
2024-08-23,25.35,46016780.0,0.45
2024-08-26,25.31,46748966.0,0.45
2024-08-27,25.07,35614888.0,0.35
2024-08-28,25.44,39501474.0,0.38
2024-08-29,25.52,43964931.0,0.42
2024-08-30,25.85,126641941.0,1.2
2024-09-02,25.16,74362234.0,0.72
2024-09-03,25.53,45510177.0,0.44
2024-09-04,25.73,44635140.0,0.42
2024-09-05,26.08,40956407.0,0.38
2024-09-06,25.56,26477345.0,0.25
2024-09-09,24.85,48719665.0,0.48
2024-09-10,24.69,40361796.0,0.4
2024-09-11,24.92,37724959.0,0.37
