日期,开盘,最高,最低,收盘,成交量,成交额,流通股本,换手率
2022-12-28,20.02,20.55,17.4,17.57,44114184.0,1173869981.0,83773538.00000001,0.5266
2022-12-29,17.19,17.75,16.54,17.13,19592975.0,480625515.0,83773538.00000001,0.2339
2022-12-30,17.82,18.28,17.34,18.04,16105777.0,414835446.0,83773538.00000001,0.1923
2023-01-03,17.98,19.68,17.65,19.35,14976690.0,407444812.0,88188738.0,0.1698
2023-01-04,18.94,19.68,18.8,19.4,7312688.0,202324502.0,88188738.0,0.0829
2023-01-05,19.62,20.45,19.31,20.06,13464099.0,388235915.0,88188738.0,0.1527
2023-01-06,20.07,20.48,19.55,20.13,10578577.0,303251156.0,88188738.0,0.12
2023-01-09,20.04,20.74,19.84,20.1,8019287.0,233352216.0,88188738.0,0.0909
2023-01-10,20.04,20.82,19.85,20.72,8794283.0,258084211.0,88188738.0,0.0997
2023-01-11,20.53,21.02,20.04,20.22,6727236.0,198389633.0,88188738.0,0.0763
2023-01-12,20.34,20.49,19.96,20.19,5750595.0,167290810.0,88188738.0,0.0652
2023-01-13,20.2,20.4,19.76,20.23,4780875.0,138305968.0,88188738.0,0.0542
2023-01-16,20.15,21.09,20.11,20.75,7042889.0,208623527.0,88188738.0,0.0799
2023-01-17,20.81,21.54,20.65,21.22,5357431.0,162866486.0,88188738.0,0.0607
2023-01-18,21.16,21.86,20.74,21.64,4735888.0,145786820.0,88188738.0,0.0537
2023-01-19,21.44,22.34,21.4,21.92,3680850.0,115918892.0,88188738.0,0.0417
2023-01-20,22.2,22.26,21.57,22.18,3100297.0,97581999.0,88188738.0,0.0352
2023-01-30,22.27,23.97,22.12,23.96,8268325.0,277149921.0,88188738.0,0.0938
2023-01-31,23.74,24.38,23.58,24.21,4399010.0,151837042.0,88188738.0,0.0499
2023-02-01,23.96,25.75,23.7,25.73,4200980.0,148745632.0,88188738.0,0.0476
2023-02-02,25.78,26.98,25.13,26.43,6996821.0,261695077.0,88188738.0,0.0793
2023-02-03,26.13,26.67,25.37,26.66,6240871.0,232467400.0,88188738.0,0.0708
2023-02-06,26.1,26.98,25.9,26.7,4112672.0,155823692.0,88188738.0,0.0466
2023-02-07,27.0,27.95,26.1,26.27,5586659.0,217081517.0,88188738.0,0.0633
2023-02-08,26.51,27.39,26.24,26.58,5572154.0,213130550.0,88188738.0,0.0632
2023-02-09,26.43,27.04,25.87,26.22,4445806.0,168158242.0,88188738.0,0.0504
2023-02-10,26.12,26.56,24.91,25.28,7192093.0,263104585.0,88188738.0,0.0816
2023-02-13,25.37,25.88,25.11,25.68,4683765.0,171481235.0,88188738.0,0.0531
2023-02-14,25.53,25.82,24.93,24.99,3620689.0,131941796.0,88188738.0,0.0411
2023-02-15,25.14,25.5,24.8,25.14,2590617.0,93577576.0,88188738.0,0.0294
2023-02-16,25.32,25.95,24.76,25.11,5228563.0,189789598.0,88188738.0,0.0593
2023-02-17,25.16,25.16,24.07,24.08,3466368.0,122269766.0,88188738.0,0.0393
2023-02-20,24.01,25.47,23.81,25.45,4865775.0,174643448.0,88188738.0,0.0552
2023-02-21,25.2,25.87,25.0,25.41,3032907.0,110962209.0,88188738.0,0.0344
2023-02-22,24.91,25.52,24.75,24.95,2382231.0,85689101.0,88188738.0,0.027
2023-02-23,25.04,25.26,24.29,24.36,2767323.0,97801223.0,88188738.0,0.0314
2023-02-24,24.38,24.63,23.89,23.98,2294633.0,79717586.0,88188738.0,0.026
2023-02-27,24.01,24.21,23.6,23.87,2479694.0,85423275.0,88188738.0,0.0281
2023-02-28,24.15,24.6,23.83,24.13,1595118.0,55346400.0,88188738.0,0.0181
2023-03-01,24.1,25.22,24.1,24.86,2866483.0,102115851.0,88188738.0,0.0325
2023-03-02,24.84,24.98,24.1,24.49,2692276.0,94473789.0,88188738.0,0.0305
2023-03-03,24.36,24.62,23.88,24.5,1960800.0,68383123.0,88188738.0,0.0222
2023-03-06,24.52,24.9,24.02,24.62,1828126.0,64308668.0,88188738.0,0.0207
2023-03-07,24.65,24.77,23.67,23.72,2171591.0,75372754.0,88188738.0,0.0246
2023-03-08,23.87,23.87,23.35,23.52,1851624.0,62695867.0,88188738.0,0.021
2023-03-09,23.68,24.01,23.28,23.87,1656896.0,56456371.0,88188738.0,0.0188
2023-03-10,23.74,24.63,23.6,24.15,1986486.0,69047328.0,88188738.0,0.0225
2023-03-13,24.36,25.72,23.94,25.29,3957199.0,142946698.0,88188738.0,0.0449
2023-03-14,25.05,25.96,25.05,25.71,2839116.0,104457026.0,88188738.0,0.0322
2023-03-15,25.79,26.79,25.37,25.4,2618035.0,98128779.0,88188738.0,0.0297
2023-03-16,25.66,25.8,24.91,25.11,1455784.0,52822157.0,88188738.0,0.0165
2023-03-17,24.89,27.77,24.89,27.59,5968783.0,230660998.0,88188738.0,0.0677
2023-03-20,27.99,29.38,27.59,28.2,7576720.0,310659865.0,88188738.0,0.0859
2023-03-21,27.84,28.48,27.15,27.24,2634020.0,104346452.0,88188738.0,0.0299
2023-03-22,27.15,29.13,27.13,28.3,3506323.0,142110863.0,88188738.0,0.0398
2023-03-23,28.11,28.32,27.35,28.18,4147734.0,165571559.0,88188738.0,0.047
2023-03-24,28.33,28.36,27.33,28.11,3587382.0,143510826.0,88188738.0,0.0407
