证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
萤石网络,杭州萤石网络股份有限公司,,,,,,0.0,0.0,,47872.6462,,0.0,,,20872.6462,,8377.3538,27000.0,,,,A股上市,2022-12-27,,688475,2022-12-28,,,,,47872.6462,,,56250.0,,,,,,8377.3538,,20872.6462,015001
萤石网络,杭州萤石网络股份有限公司,,,,,,,,,47431.1262,,,,,19388.1182,,8818.8738,28043.008,,,,定期报告,2023-04-15,,688475,2022-12-31,,,,,47431.1262,,,56250.0,,,,,,8818.8738,,19388.1182,015019
萤石网络,杭州萤石网络股份有限公司,,,,,,,,,46911.9686,,,,,18868.9606,,9338.0314,28043.008,,,,限售股份上市,2023-06-20,,688475,2023-06-28,,,,,46911.9686,,,56250.0,,,,,,9338.0314,,18868.9606,015027
萤石网络,杭州萤石网络股份有限公司,,,,,,,,,47289.8286,,,,,18868.9606,,8960.1714,28420.868,,,,定期报告,2023-08-05,,688475,2023-06-30,,,,,47289.8286,,,56250.0,,,,,,8960.1714,,18868.9606,015019
萤石网络,杭州萤石网络股份有限公司,,,,,0.0,0.0,0.0,,45295.42,,0.0,,,18000.0,,10954.58,27295.42,,,,限售股份上市,2023-12-19,,688475,2023-12-28,,,,,45295.42,,,56250.0,,,,,,10954.58,,18000.0,015027
萤石网络,杭州萤石网络股份有限公司,,,,,,,,,45309.07,,,,,18000.0,,10940.93,27309.07,,,,定期报告,2024-04-13,,688475,2023-12-31,,,,,45309.07,,,56250.0,,,,,,10940.93,,18000.0,015019
萤石网络,杭州萤石网络股份有限公司,,,,,0.0,0.0,0.0,,27295.42,,0.0,,,,,28954.58,27295.42,,,,限售股份上市,2024-01-04,,688475,2024-01-10,,,,,27295.42,,,56250.0,,,,,,28954.58,,0.0,015027
萤石网络,杭州萤石网络股份有限公司,,,,,,,,,38213.588,,,,,,,40536.412,38213.588,,,,转增,2024-05-22,,688475,2024-05-28,,,,,38213.588,,,78750.0,,,,,,40536.412,,,015011
萤石网络,杭州萤石网络股份有限公司,,,,,,,,,38272.5,,,,,,,40477.5,38272.5,,,,定期报告,2024-08-10,,688475,2024-06-30,,,,,38272.5,,,78750.0,,,,,,40477.5,,,015019
萤石网络,杭州萤石网络股份有限公司,,,,,,,,,37800.0,,,,,,,40950.0,37800.0,,,,限售股份上市,2024-12-21,,688475,2024-12-30,,,,,37800.0,,,78750.0,,,,,,40950.0,,,015027
萤石网络,杭州萤石网络股份有限公司,,,,,,0.0,0.0,,37800.0,,0.0,,,,,40950.0,37800.0,,,,定期报告,2025-04-12,,688475,2024-12-31,,,,,37800.0,,,78750.0,,,,,,40950.0,,0.0,015019
萤石网络,杭州萤石网络股份有限公司,,,,,,0.0,0.0,,37800.0,,0.0,,,,,40950.0,37800.0,,,,定期报告,2025-08-02,,688475,2025-06-30,,,,,37800.0,,,78750.0,,,,,,40950.0,,0.0,015019
萤石网络,杭州萤石网络股份有限公司,,,,,,,,,,,,,,,,78750.0,,,,,限售股份上市,2025-12-20,,688475,2025-12-29,,,,,,,,78750.0,,,,,,78750.0,,,015027
