SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
300058.SZ,300058,蓝色光标,10138089,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-30 00:00:00,2025-10-30 00:00:00,CNY,50464003664.27,,,,,,,,,,,,1077.71,127316280.14,,0.0,50591321022.12,49633018333.77,,,,,,712659509.62,313185816.7,297205682.0,,0.0,50956069342.09,,0.0,-364748319.97,181881911.17,49578066.17,24000.0,4046164.64,,28096090.4,,0.0,263626232.38,2597835.24,106990544.55,,,,31691.79,,0.0,109620071.58,,0.0,154006160.8,1337395.6,1337395.6,1543787644.79,,162830640.0,,0.0,1707955680.39,1433340961.63,65222936.26,,,77570410.96,,,0.0,1576134308.85,,0.0,131821371.54,-35453528.03,,0.0,-114374315.66,4141981566.42,,0.0,4027607250.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8983622734,,,,,,,,,,,,-99.9748275274,1.4444863329,,,8.8682009103,7.4141516329,,,,,,0.0679112921,79.9295620377,-1.1914587623,,,7.515466979,,,60.5220611677,-84.9251865604,-17.4824249438,-96.5041076735,,,,,,-79.1977510265,-81.5037702691,-87.9452798401,,,,-93.3855397448,,,-87.8478746646,,,-57.8333061898,-53.4559667427,-53.4559667427,-45.2195813905,,-4.00540487,,,-42.8898828914,-49.0619331953,-23.9082417253,,,44.594742436,,,,-46.6305609582,,,252.6200977571,-47.2074393407,,,79.0292164372,1.5860627988,,,14.0346779064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300058.SZ,300058,蓝色光标,10138089,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-27 00:00:00,2025-08-27 00:00:00,CNY,31434556453.61,,,,,,,,,,,,0.0,94260234.19,,0.0,31528816687.8,31501737359.18,,,,,,480305423.29,205554745.0,200556339.76,,0.0,32388153867.23,,0.0,-859337179.43,135351774.44,35091216.85,,4046164.64,,,,0.0,174489155.93,562233.31,80228476.18,,,,31691.79,,0.0,80822401.28,,0.0,93666754.65,0.0,,1000030128.5,,,,0.0,1000030128.5,776696876.72,42467554.99,,,46586420.08,,,0.0,865750851.79,,0.0,134279276.71,-12536499.52,,0.0,-643927647.59,4141981566.42,,0.0,3498053918.83,94825014.41,79624681.67,6578077.55,6578077.55,,2055896.34,1407066.66,,,,60292.18,10146.29,32154939.31,50883241.33,-18850665.83,-24289216.44,-14773793.5,-9515422.94,,-1488393.39,-1785165877.28,634015877.42,36446673.54,,0.0,-859337179.43,,,,,3498053918.83,4141981566.42,,,,,-643927647.59,-0.6896391254,,,,,,,,,,,,-100.0,3.9110958755,,,-0.6898858876,0.7800769313,,,,,,-1.5611475674,54.79754766,2.6579553309,,,0.9795370928,,,-163.4897911264,-85.8884385612,-21.9741055494,,,,,,,-82.6270739806,-93.4743463199,-89.9373080398,,,,-85.1815808429,,,-89.9738500551,,,-52.7551195084,-100.0,,-48.3690503866,,,,,-48.4090045642,-59.5633614924,-33.6824109459,,,12.5353265124,,,,-57.272378818,,,252.8893897987,-173.9568990892,,,-223.9798819327,1.5860627988,,,-9.8104378977,-47.5267046118,182.703013181,-17.7891350217,-17.7891350217,,-27.8190518046,-42.8134005777,,,,139.2168109085,,159.6984175475,-18.4396814716,40.3463230781,35.6976290722,59.0733490648,-468.0117408628,,-398.2630814642,-2744.3719840346,191.6654224579,-68.1760108989,,,-163.4897911264,,,,,-9.8104378977,1.5860627988,,,,,-223.9798819327,,,,,32395066.81,43.2979630264
300058.SZ,300058,蓝色光标,10138089,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2025-04-25 00:00:00,CNY,14684420489.0,,,,,,,,,,,,,36916465.56,,0.0,14721336954.56,15604787727.08,,,,,,250644200.61,75359271.11,89921792.82,,0.0,16020712991.62,,0.0,-1299376037.06,62799021.87,8249563.42,,,,,,0.0,71048585.29,374887.95,45111989.59,,,,31691.79,,0.0,45518569.33,,0.0,25530015.96,,,532220000.0,,,,0.0,532220000.0,412307559.77,21898809.96,,,23062615.85,,,0.0,457268985.58,,0.0,74951014.42,-4773114.94,,0.0,-1203668121.62,4141981566.42,,0.0,2938313444.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.1639088251,,,,,,,,,,,,,-29.8803037177,,,-6.2669581902,-6.1374017063,,,,,,-5.0104553945,1.0716166411,-13.8923740577,,,-6.135935808,,,4.6255170273,-69.6761893176,-67.2379911607,,,,,,,-69.4192618009,-85.8322576771,-77.0026885202,,,,-85.1815808429,,,-77.128869733,,,-23.3544961625,,,-47.775905614,,,,,-47.8526599902,-49.5992127996,21.3831768004,,,-13.4584332062,,,,-46.9985467151,,,-52.5206184084,-220.082870834,,,-3.1200289877,1.5860627988,,,0.9707767127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300058.SZ,300058,蓝色光标,10138089,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-25 00:00:00,2025-04-25 00:00:00,CNY,61989080932.67,,,,,,,,,,,,4281303.7,166424543.94,,0.0,62159786780.31,60527599203.52,,,,,,925183008.69,224953803.47,392383277.78,,0.0,62070119293.46,,0.0,89667486.85,1234951644.2,79210794.14,688900.0,,,,,0.0,1314851338.34,16995365.37,940404415.44,,,,479128.89,,0.0,957878909.7,,0.0,356972428.64,2873398.6,2873398.6,3234671648.73,,169624800.0,,0.0,3407169847.33,3649344691.66,102556716.04,,,72127080.74,,,0.0,3824028488.44,,0.0,-416858641.11,34887467.52,,0.0,64668741.9,4077312824.52,,0.0,4141981566.42,-296941481.37,192438240.51,13295599.92,13295599.92,,5631758.94,2727433.63,,,,-930398.38,447763.16,-47269308.02,104365383.21,22071466.5,-66898249.58,-65746784.22,-1151465.36,,-6638057.08,-954311011.24,847818147.21,,,0.0,89667486.85,,,,,4141981566.42,4077312824.52,,,,,64668741.9,23.4595055691,,,,,,,,,,,,-85.6345640344,-16.9107396609,,,23.234737951,25.6269116822,,,,,,-4.5280859475,-6.1990631953,-6.013986262,,,24.6217398747,,,-85.8420173711,561.7839697874,-39.847436806,-1.7541357673,,,,,,312.1870626736,4.1378108727,263.693212223,,,,,,,248.4578936547,,,709.4066465923,-64.0825175,-64.0825175,34.5839564308,,,,,41.2907430922,35.6398527055,61.7591791117,,,-0.0007431134,,,,35.3161849623,,,-0.5605815342,249.897587501,,,-76.3008869476,7.1725193069,,,1.5860627988,-365.7837059713,17704.9777303778,-3.2608462709,-3.2608462709,,-49.9969727873,-61.8296047318,,,,-299.575532306,74.220375547,-335.5488934623,-6.8406618845,138.3390192942,66.4111944002,70.4827751507,-104.8848635748,,-222.0604695863,71.6566571756,-75.1760383486,,,,-85.8420173711,,,,,1.5860627988,7.1725193069,,,,,-76.3008869476,标准无保留意见,,,,79695301.59,15.1470690222
300058.SZ,300058,蓝色光标,10138089,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-30 00:00:00,CNY,46340461519.14,,,,,,,,,,,,4281303.7,125503400.67,,0.0,46470246223.51,46207150155.97,,,,,,712175861.79,174060233.99,300789464.43,,0.0,47394175716.18,,0.0,-923929492.67,1206528438.3,60081826.37,686520.0,,,,,0.0,1267296784.67,14045215.04,887540673.95,,,,479128.89,,0.0,902065017.88,,0.0,365231766.79,2873398.6,2873398.6,2818137728.73,,169624800.0,,0.0,2990635927.33,2813889594.84,85716163.93,,,53646771.42,,,0.0,2953252530.19,,0.0,37383397.14,-24084060.01,,0.0,-545398388.75,4077312824.52,,0.0,3531914435.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4242000501,,,,,,,,,,,,40674.320952381,-13.9383490104,,,33.2384031541,36.5085811627,,,,,,-3.3228095514,9.4334575959,1.2118857975,,,35.2490088349,,,-461.1660555771,755.5915572527,-28.9193299139,4.1128298453,,,,,,460.2487409387,23.8947448247,379.0139912756,,,,,,,358.7828991921,,,1134.6754148928,-52.1100233333,-52.1100233333,62.3843867811,,,,,71.7302166802,40.939214517,99.2442375043,,,-1.0274950565,,,,41.0507695398,,,110.6118987967,-156.062148491,,,-22.7319020976,7.1725193069,,,5.11472419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300058.SZ,300058,蓝色光标,10138089,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-30 00:00:00,2025-08-27 00:00:00,CNY,31652846869.93,,,,,,,,,,,,4281303.7,90712385.81,,0.0,31747840559.44,31257901678.97,,,,,,487922615.33,132789406.62,195363660.92,,0.0,32073977361.84,,0.0,-326136802.4,959155193.61,44973809.14,245020.0,,,,,0.0,1004374022.75,8615739.32,797286416.97,,,,213867.55,,0.0,806116023.84,,0.0,198257998.91,1500000.0,1500000.0,1936881145.88,,,,0.0,1938381145.88,1920775082.66,64036638.84,,,41397151.92,,,0.0,2026208873.42,,0.0,-87827727.54,16951088.64,,0.0,-198755442.39,4077312824.52,,0.0,3878557382.13,180710995.39,28165487.44,8001469.82,8001469.82,,2848253.44,2460483.18,,,,-153740.65,,-53862297.58,62387251.85,-31600174.21,-37773438.35,-36098222.46,-1675215.89,,-298716.37,67508122.46,-691663072.53,114525785.64,,0.0,-326136802.4,,,,,3878557382.13,4077312824.52,,,,,-198755442.39,49.9904806648,,,,,,,,,,,,40674.320952381,68.7205766207,,,50.0582395934,50.8580370007,,,,,,-4.1925357101,13.7270444288,37.3449093838,,,49.2621284278,,,1.5713461033,1390.2533635483,-18.2684843713,4800.4,,,,,,741.2324420378,105.8645050201,794.4114253412,,,,,,,763.7631162514,,,660.5676165741,-75.0,-75.0,84.7637779169,,,,,83.8545666336,48.9791628367,128.6755655684,,,43.0289000747,,,,50.5090118956,,,69.9154423295,-67.8905603273,,,63.4923183123,7.1725193069,,,18.9735017086,-35.867755353,-56.1116720896,14.1115285092,14.1115285092,,-17.6557277053,-61.2165759057,,,,-133.7680217439,,-20.0005907449,31.7417068682,-48.4755538853,-187.8264390885,17.7740383416,-105.4429780815,,75.0571091593,104.096324002,-172.3331243594,,,,1.5713461033,,,,,18.9735017086,7.1725193069,,,,,63.4923183123,,,,,22606788.07,-24.9486152725
300058.SZ,300058,蓝色光标,10138089,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-22 00:00:00,2025-04-25 00:00:00,CNY,15649011276.08,,,,,,,,,,,,3941303.7,52647783.03,,0.0,15705600362.81,16625139310.81,,,,,,263865040.78,74560270.84,104429534.36,,0.0,17067994156.79,,0.0,-1362393793.98,207094756.42,25180273.47,56135.0,,,,,0.0,232331164.89,2646066.97,196162014.98,,,,213867.55,,0.0,199021949.5,,0.0,33309215.39,1500000.0,1500000.0,1019108145.88,,,,0.0,1020608145.88,818057777.81,18041058.52,,,26649177.62,,,0.0,862748013.95,,0.0,157860131.93,3974850.79,,0.0,-1167249595.87,4077312824.52,,0.0,2910063228.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.030624779,,,,,,,,,,,,37436.2257142857,223.8032956617,,,63.3433054193,73.6069261737,,,,,,-3.6803405468,35.3953278261,236.6000563128,,,71.7732491659,,,-324.0715995282,5603.4013760378,-12.0526300084,1771.1666666667,,,,,,620.0685592641,336.4840293365,196.8140855607,,,,,,,198.4042684582,,,196.7440002874,50.0,50.0,98.9787519892,,,,,98.8833083435,27.1329242175,-27.1905686388,,,63.7552215087,,,,26.0371628655,,,192.1276142333,110.2399465185,,,-106.2782001141,7.1725193069,,,-10.143766099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300058.SZ,300058,蓝色光标,10138089,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-22 00:00:00,2025-04-25 00:00:00,CNY,50210051179.87,,,,,,,,,,,,29802810.79,200296095.14,,0.0,50440150085.8,48180440315.72,,,,,,969063014.89,239820423.05,417491137.43,,0.0,49806814891.09,,0.0,633335194.71,186609482.94,131683156.85,701200.0,,,,,0.0,318993839.79,16320071.67,258570790.94,,,,,,0.0,274890862.61,,0.0,44102977.18,8000000.0,8000000.0,2403460066.5,,,,0.0,2411460066.5,2690466421.83,63400863.31,,,72127616.73,,,0.0,2825994901.87,,0.0,-414534835.37,9970765.38,,0.0,272874101.9,3804438722.62,,0.0,4077312824.52,111722981.77,-1093089.94,13743762.9,13743762.9,,11262835.98,7145416.26,,,,466188.6,257009.64,20067726.63,112028901.58,-57569199.49,-199168289.51,-222740398.38,23572108.87,,5438334.87,-3366967041.09,3415321692.47,76350523.76,,0.0,633335194.71,,,,,4077312824.52,3804438722.62,,,,,272874101.9,35.523474622,,,,,,,,,,,,178.6912527245,308.0995939194,,,35.9252425836,39.9634245411,,,,,,0.8835489785,-14.5491697504,14.6360821823,,,38.2408616984,,,-41.3433572886,21.977110727,18.9249052842,197.2571961507,,,,,,-4.5353340623,-84.3177269279,-70.0314825359,,,,,,,-71.5691440876,,,106.9703067252,,,-24.6795490385,,,,,-26.8052665522,9.9758329476,-65.5794850908,,,-34.9724392195,,,,3.0809566106,,,-174.9540670754,-92.0833602234,,,-75.7661814354,42.0397016581,,,7.1725193069,105.1311613853,-100.0536260191,26.7808833431,26.7808833431,,-80.0681470121,-58.2206969838,,,,192.544184626,-67.8159195751,-89.2572255773,28.2980391999,23.5045824532,-8.9660744349,-149.8819072884,125.1726286867,,151.5333036694,-366.8607031645,139.9801539632,533.6273314937,,,-41.3433572886,,,,,7.1725193069,42.0397016581,,,,,-75.7661814354,标准无保留意见,,,,69211750.04,-2.7510969433
300058.SZ,300058,蓝色光标,10138089,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-27 00:00:00,2024-10-30 00:00:00,CNY,34731676488.78,,,,,,,,,,,,10500.0,145829645.64,,0.0,34877516634.42,33849264099.31,,,,,,736653453.09,159055774.91,297187886.64,,0.0,35042161213.95,,0.0,-164644579.53,141016870.5,84526252.07,659400.0,,,,,0.0,226202522.57,11336409.03,185284916.54,,,,,,0.0,196621325.57,,0.0,29581197.0,6000000.0,6000000.0,1735473332.5,,,,0.0,1741473332.5,1996527087.57,43020648.93,,,54203711.88,,,0.0,2093751448.38,,0.0,-352278115.88,42959573.72,,0.0,-444381924.69,3804438722.62,,0.0,3360056797.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.133718711,,,,,,,,,,,,-99.9018126789,-25.313021734,,,32.6455935314,36.1963887028,,,,,,4.2074833329,1.6894247534,-33.6912998472,,,33.9287041627,,,-227.6569876751,119.7218870368,60.4741817418,1079.8174986581,,,,,,93.4869635395,-88.4730233155,-73.915536815,,,,,,,-75.685944449,,,104.2761909978,,,-33.3037134607,,,,,-35.6358166125,9.7235687301,-73.265998219,,,-35.5905859077,,,,1.4083634518,,,-154.959079031,-74.9743096564,,,-277.8569517482,42.0397016581,,,14.7447950087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300058.SZ,300058,蓝色光标,10138089,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-23 00:00:00,2024-08-30 00:00:00,CNY,21103237171.87,,,,,,,,,,,,10500.0,53764862.37,,0.0,21157012534.24,20720077166.87,,,,,,509274114.44,116761503.2,142243103.0,,0.0,21488355887.51,,0.0,-331343353.27,64361887.52,55026275.72,5000.0,,,,,0.0,119393163.24,4185150.48,89140902.54,,,,,,0.0,93326053.02,,0.0,26067110.22,6000000.0,6000000.0,1048301332.5,,,,0.0,1054301332.5,1289291096.88,28003271.22,,,28943207.91,,,0.0,1346237576.01,,0.0,-291936243.51,52791605.25,,0.0,-544420881.31,3804438722.62,,0.0,3260017841.31,281778684.63,64175348.62,7011973.22,7011973.22,,3458957.57,6344161.81,,,,455284.74,242319.84,-44885027.02,47355733.68,-21283082.22,-13123686.09,-43901246.92,30777560.83,,-1197601.24,-1648017159.46,956218991.86,,,0.0,-331343353.27,,,,,3260017841.31,3804438722.62,,,,,-544420881.31,27.2742935854,,,,,,,,,,,,-99.8772158408,1.4806235853,,,27.1268448407,31.5827443186,,,,,,6.1145142718,-8.4465852593,-28.1632385312,,,29.821158289,,,-467.4762153155,71.8100716662,70.1472019228,-85.8597285068,,,,,,70.960189536,-95.4903894646,-85.978184535,,,,,,,-87.1899056333,,,103.9573663928,,,-42.3463992539,,,,,-45.1421175937,11.1740287358,-80.0112898979,,,-61.480783631,,,,-2.0875680637,,,-153.3765595491,-35.1260561662,,,-1010.6814817638,42.0397016581,,,19.0563120351,6258.158462701,152.3101258709,66.4271720197,66.4271720197,,-86.6108523789,-28.222660711,,,,375.5753880716,,-125.2012371489,33.2695418651,29.2611044792,68.879929618,-52.2704297438,330.7158674217,,62.4770266413,-24.4684851036,-15.6866966763,,,,-467.4762153155,,,,,19.0563120351,42.0397016581,,,,,-1010.6814817638,,,,,30121746.79,-14.188755445
