日期,300058.SZ_close,300058.SZ_volume,300058.SZ_turnover
2024-05-13,4.36,241467278.0,1.65
2024-05-14,4.59,665740908.0,4.4
2024-05-15,4.48,357628599.0,2.37
2024-05-16,4.48,333978920.0,2.21
2024-05-17,4.48,301639784.0,2.03
2024-05-20,4.46,252426578.0,1.69
2024-05-21,4.48,287563455.0,1.91
2024-05-22,4.52,279589229.0,1.86
2024-05-23,4.36,367258174.0,2.5
2024-05-24,4.29,231656023.0,1.6
2024-05-27,4.38,235131000.0,1.63
2024-05-28,4.26,228077453.0,1.59
2024-05-29,4.24,171086204.0,1.2
2024-05-30,4.21,166024497.0,1.18
2024-05-31,4.3,243729850.0,1.7
2024-06-03,4.22,189237131.0,1.33
2024-06-04,4.19,188040999.0,1.35
2024-06-05,4.11,180127375.0,1.29
2024-06-06,3.99,305027534.0,2.27
2024-06-07,4.0,233159913.0,1.74
2024-06-11,4.06,213471334.0,1.59
2024-06-12,4.19,293307519.0,2.11
2024-06-13,4.18,177346635.0,1.27
2024-06-14,4.19,176364044.0,1.26
2024-06-17,4.17,157737826.0,1.13
2024-06-18,4.19,175362032.0,1.25
2024-06-19,4.12,188894186.0,1.36
2024-06-20,3.98,201542747.0,1.5
2024-06-21,3.96,137340531.0,1.03
2024-06-24,3.79,230193231.0,1.8
2024-06-25,3.76,154768907.0,1.23
2024-06-26,3.97,309075258.0,2.39
2024-06-27,3.93,237089446.0,1.79
2024-06-28,3.89,214997398.0,1.63
2024-07-01,3.88,151987074.0,1.17
2024-07-02,3.93,187334541.0,1.41
2024-07-03,3.89,122633953.0,0.93
2024-07-04,3.76,148448954.0,1.16
2024-07-05,3.8,160133600.0,1.25
2024-07-08,3.66,165146154.0,1.32
2024-07-09,3.72,192600304.0,1.55
2024-07-10,3.71,152355263.0,1.21
2024-07-11,3.84,208108437.0,1.62
2024-07-12,3.79,133934640.0,1.04
2024-07-15,3.76,132539062.0,1.04
2024-07-16,3.74,135779405.0,1.08
2024-07-17,3.72,162062871.0,1.28
2024-07-18,3.68,172877422.0,1.4
2024-07-19,3.7,168785207.0,1.35
2024-07-22,3.74,149031729.0,1.19
2024-07-23,3.64,134924549.0,1.08
2024-07-24,3.51,193601706.0,1.61
2024-07-25,3.57,171247622.0,1.43
2024-07-26,3.64,143450002.0,1.17
2024-07-29,3.66,139066239.0,1.13
2024-07-30,3.66,113498445.0,0.92
2024-07-31,3.83,248968441.0,1.95
2024-08-01,3.81,175646022.0,1.36
2024-08-02,3.76,161873135.0,1.26
2024-08-05,3.71,207614706.0,1.63
2024-08-06,3.77,149878758.0,1.18
2024-08-07,3.76,136518058.0,1.07
2024-08-08,3.76,147494512.0,1.17
2024-08-09,3.66,141951588.0,1.13
2024-08-12,3.62,114705618.0,0.94
2024-08-13,3.64,90985099.0,0.74
2024-08-14,3.67,133462138.0,1.08
2024-08-15,3.76,236788314.0,1.86
2024-08-16,3.78,173586649.0,1.36
2024-08-19,3.8,182283223.0,1.42
2024-08-20,3.78,203699484.0,1.59
2024-08-21,3.71,164017125.0,1.29
2024-08-22,3.64,423552671.0,3.34
2024-08-23,3.61,217147843.0,1.78
2024-08-26,3.63,132738056.0,1.08
2024-08-27,3.54,160658983.0,1.33
2024-08-28,3.56,146846290.0,1.24
2024-08-29,3.61,123473490.0,1.02
2024-08-30,3.82,454142709.0,3.54
2024-09-02,3.76,241233677.0,1.89
2024-09-03,3.8,153854283.0,1.2
2024-09-04,3.79,143033621.0,1.11
2024-09-05,3.86,230632997.0,1.77
2024-09-06,3.79,159181902.0,1.23
2024-09-09,3.8,141770754.0,1.1
2024-09-10,3.86,176893346.0,1.37
2024-09-11,3.86,294283198.0,2.25
2024-09-12,3.82,208077424.0,1.6
2024-09-13,3.75,154527716.0,1.21
2024-09-18,3.7,153722100.0,1.23
