证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,0.0,6000.0,6000.0,,0.0,,0.0,,0.0,0.0,5655.0,0.0,,,,,定期报告,2010-04-09,345.0,300058,2009-12-31,,,,,0.0,0.0,,6000.0,,,,,,0.0,0.0,0.0,015019
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,400.0,0.0,0.0,0.0,6000.0,,0.0,,,345.0,,1600.0,0.0,400.0,,,A股上市,2010-02-25,,300058,2010-02-26,,0.0,,,6400.0,,,8000.0,,,,,,1600.0,5655.0,6000.0,015001
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,600.0,0.0,0.0,,9000.0,,0.0,,,517.5,,2400.0,,600.0,,,转增,2010-05-12,,300058,2010-05-19,,0.0,,,9600.0,,0.0,12000.0,,,,,,2400.0,8482.5,9000.0,015011
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,0.0,0.0,0.0,,9000.0,,0.0,,,517.5,,3000.0,,,,,配售股份上市,2010-05-21,,300058,2010-05-26,,0.0,,,9000.0,,0.0,12000.0,,,,,,3000.0,8482.5,9000.0,015009
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,0.0,0.0,0.0,,9000.0,0.0,0.0,,0.0,517.5,,3000.0,,,,,定期报告,2010-08-18,,300058,2010-06-30,,,,,9000.0,,,12000.0,,,0.0,,,3000.0,8482.5,9000.0,015019
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,0.0,,0.0,,9000.0,0.0,0.0,,0.0,517.5,,3000.0,,,,,定期报告,2011-04-08,,300058,2010-12-31,,,,,9000.0,,,12000.0,,,0.0,,,3000.0,8482.5,9000.0,015019
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,0.0,0.0,0.0,,6184.9373,,0.0,,,,,5815.0627,,,,,限售股份上市,2011-02-25,,300058,2011-02-28,,,,,6184.9373,,,12000.0,,,,,,5815.0627,6184.9373,6184.9373,015027
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,0.0,,0.0,,6184.9373,,0.0,,,,,5815.0627,,,,,定期报告,2011-07-28,,300058,2011-06-30,,,,,6184.9373,,,12000.0,,,,,,5815.0627,6184.9373,6184.9373,015019
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,0.0,0.0,0.0,0.0,9277.406,0.0,0.0,,0.0,,,8722.594,,0.0,,,转增,2011-08-18,,300058,2011-08-24,0.0,,,,9277.406,,0.0,18000.0,,,,,,8722.594,9277.406,9277.406,015011
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,,,,,9277.4059,,,,,,,8722.5941,,,,,定期报告,2012-03-01,,300058,2011-12-31,,,,,9277.4059,,,18000.0,,,,,,8722.5941,9277.4059,9277.4059,015019
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,0.0,0.0,0.0,0.0,8863.8356,0.0,0.0,,0.0,,,9136.1644,,0.0,,,限售股份上市,2012-02-24,,300058,2012-02-28,0.0,0.0,,,8863.8356,,0.0,18000.0,,,0.0,,,9136.1644,8863.8356,8863.8356,015027
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,0.0,,,0.0,0.0,0.0,0.0,8811.1856,0.0,0.0,,0.0,,,9188.8144,,0.0,,,限售股份上市,2012-04-12,,300058,2012-04-17,0.0,0.0,,,8811.1856,,0.0,18000.0,,,0.0,,,9188.8144,8811.1856,8811.1856,015027
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,0.0,,,0.0,0.0,0.0,0.0,17622.3712,0.0,0.0,,0.0,,,18377.6288,,0.0,,,转增,2012-05-11,,300058,2012-05-17,0.0,0.0,0.0,,17622.3712,,0.0,36000.0,,0.0,0.0,,,18377.6288,17622.3712,17622.3712,015011
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,0.0,0.0,,,0.0,0.0,0.0,0.0,17641.8712,0.0,0.0,0.0,0.0,0.0,,18796.9538,,0.0,,,期权行权,2012-05-31,,300058,2012-06-01,0.0,0.0,,0.0,17641.8712,0.0,0.0,36438.825,,,0.0,,,18796.9538,17641.8712,17641.8712,015992
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,20875.2703,0.0,0.0,0.0,0.0,0.0,,18796.9538,0.0,0.0,,,增发新股上市,2012-06-21,,300058,2012-06-25,0.0,0.0,,0.0,20875.2703,0.0,0.0,39672.2241,,,0.0,,,18796.9538,20875.2703,20875.2703,015004
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,0.0,0.0,0.0,,20875.2703,,0.0,,,,,18796.9538,,,,,定期报告,2012-07-27,,300058,2012-06-30,,,,,20875.2703,,,39672.2241,,,,,,18796.9538,20875.2703,20875.2703,015019
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,0.0,0.0,0.0,,20848.7203,,0.0,,,,,18823.5038,,,,,限售股份上市,2012-07-20,,300058,2012-07-23,,,,,20848.7203,,,39672.2241,,,,,,18823.5038,20848.7203,20848.7203,015027
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,,,,,20604.0703,,,,,,,19068.1538,,,,,定期报告,2013-04-03,,300058,2012-12-31,,,,,20604.0703,,,39672.2241,,,,,,19068.1538,20604.0703,20604.0703,015019
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,0.0,,0.0,0.0,0.0,,15270.4228,,0.0,,,,,24401.8013,,,,,限售股份上市,2013-02-22,,300058,2013-02-26,,0.0,,,15270.4228,,0.0,39672.2241,,,,,,24401.8013,15270.4228,15270.4228,015027
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,0.0,,0.0,0.0,0.0,,14935.5617,0.0,0.0,,,,,25337.4024,,,,,期权行权,2013-06-06,,300058,2013-06-07,,0.0,,,14935.5617,,0.0,40272.9641,,,0.0,,,25337.4024,14935.5617,14935.5617,015992
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,0.0,,0.0,0.0,0.0,,13854.162,0.0,0.0,,0.0,,,26418.8021,,0.0,,,限售股份上市,2013-06-19,,300058,2013-06-25,,0.0,,,13854.162,,0.0,40272.9641,,,0.0,,,26418.8021,13854.162,13854.162,015027
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,0.0,,0.0,,0.0,,13854.162,0.0,0.0,,0.0,,,26418.8021,,0.0,,,定期报告,2013-08-15,,300058,2013-06-30,,0.0,,,13854.162,,0.0,40272.9641,,,0.0,,,26418.8021,13854.162,13854.162,015019
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,0.0,,0.0,0.0,0.0,,18740.8819,0.0,0.0,,0.0,1945.277,,26418.8021,0.0,0.0,,,增发新股上市,2013-09-05,,300058,2013-09-06,0.0,0.0,,,18740.8819,,0.0,45159.684,,,0.0,,,26418.8021,16795.6049,18740.8819,015004
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,0.0,0.0,,0.0,0.0,0.0,,20012.3104,0.0,0.0,,0.0,3073.8484,,26418.8021,142.8571,0.0,,,增发新股上市,2013-09-16,,300058,2013-09-18,0.0,0.0,,,20012.3104,,0.0,46431.1125,,,0.0,,,26418.8021,16795.6049,19869.4533,015004
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,0.0,0.0,,0.0,,0.0,,20012.3104,0.0,0.0,,0.0,3073.8484,,26418.8021,142.8571,0.0,,,定期报告,2014-04-11,,300058,2013-12-31,0.0,0.0,,,20012.3104,,0.0,46431.1125,,,0.0,,,26418.8021,16795.6049,19869.4533,015019
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,21224.4216,,0.0,,,2280.9428,,26180.8409,142.8571,,,,"增发新股上市,股权激励",2014-02-17,,300058,2014-02-19,,,,,21224.4216,,0.0,47405.2625,,,,,,26180.8409,18800.6217,21081.5645,"015004,015025"
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,42468.646,,0.0,,,4561.8856,,52341.879,285.7142,,,,转增,2014-05-23,,300058,2014-05-30,,0.0,,,42468.646,,0.0,94810.525,,,,,,52341.879,37621.0462,42182.9318,015011
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,0.0,,0.0,,0.0,0.0,42468.646,,0.0,,,4561.8856,,52341.879,285.7142,,,,定期报告,2014-08-20,,300058,2014-06-30,,0.0,,,42468.646,,0.0,94810.525,,,,,,52341.879,37621.0462,42182.9318,015019
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,0.0,,0.0,0.0,0.0,0.0,42468.646,,0.0,,0.0,4561.8856,,54009.509,285.7142,,,,期权行权,2014-07-23,,300058,2014-07-24,,0.0,,,42468.646,,0.0,96478.155,,,0.0,0.0,,54009.509,37621.0462,42182.9318,015992
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,0.0,0.0,,0.0,0.0,0.0,0.0,34786.3594,,0.0,,0.0,4561.8856,,61691.7956,285.7142,,,,限售股份上市,2014-09-05,,300058,2014-09-09,,0.0,,,34786.3594,,0.0,96478.155,,,0.0,0.0,,61691.7956,29938.7596,34500.6452,015027
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,0.0,0.0,0.0,0.0,0.0,0.0,18.0,32243.2236,,18.0,,0.0,3890.554,,64234.9314,0.0,,,,限售股份上市,2014-09-17,,300058,2014-09-18,,0.0,,,32243.2236,,0.0,96478.155,,,0.0,0.0,,64234.9314,28334.6696,32225.2236,015027
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,0.0,0.0,0.0,0.0,0.0,0.0,18.0,31126.7371,0.0,18.0,,0.0,2774.0675,,65351.4179,0.0,0.0,,,限售股份上市,2014-09-23,,300058,2014-09-24,,0.0,,,31126.7371,,0.0,96478.155,,,0.0,0.0,,65351.4179,28334.6696,31108.7371,015027
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,,,,18.0,31004.3263,,18.0,,,2774.0675,,65473.8287,,,,,定期报告,2015-03-20,,300058,2014-12-31,,,,,31004.3263,,,96478.155,0.0,,,,,65473.8287,28212.2588,30986.3263,015019
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,0.0,,0.0,0.0,0.0,18.0,31170.7563,,18.0,,,2774.0675,,65468.0387,0.0,,,,"增发新股上市,股份回购,股权激励",2015-05-19,,300058,2015-05-20,,0.0,,,31170.7563,,,96638.795,,,0.0,,,65468.0387,28378.6888,31152.7563,"015004,015016,015025"
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,0.0,,0.0,0.0,0.0,18.0,30616.6663,,18.0,,,2774.0675,,66022.1287,0.0,,,,激励股份解禁,2015-05-25,,300058,2015-05-27,,0.0,,,30616.6663,,0.0,96638.795,,,0.0,,,66022.1287,27824.5988,30598.6663,015998
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,0.0,,0.0,0.0,0.0,18.0,61182.4385,0.0,18.0,,0.0,5543.5237,,131934.5088,0.0,,,,转增,2015-06-02,,300058,2015-06-09,,0.0,,,61182.4385,,0.0,193116.9473,,,0.0,0.0,,131934.5088,55620.9148,61164.4385,015011
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,0.0,0.0,,0.0,0.0,0.0,18.0,52587.1908,0.0,18.0,,0.0,5543.5237,,140529.7565,0.0,,,,限售股份上市,2015-06-24,,300058,2015-06-25,,0.0,,,52587.1908,,0.0,193116.9473,,,0.0,0.0,,140529.7565,47025.6671,52569.1908,015027
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,0.0,0.0,,0.0,,0.0,18.0,52587.1908,0.0,18.0,,0.0,5543.5237,,140529.7565,0.0,,,,定期报告,2015-08-20,,300058,2015-06-30,,0.0,,,52587.1908,,0.0,193116.9473,,,0.0,0.0,,140529.7565,47025.6671,52569.1908,015019
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,0.0,0.0,,0.0,0.0,0.0,18.0,49240.5152,0.0,18.0,,0.0,2196.8481,,143876.4321,0.0,,,,限售股份上市,2015-11-19,,300058,2015-11-20,,0.0,,,49240.5152,,0.0,193116.9473,,,0.0,0.0,,143876.4321,47025.6671,49222.5152,015027
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,,,,2.7977,49250.5069,,2.7977,,,2196.8481,,143866.4404,,,,,定期报告,2016-04-14,,300058,2015-12-31,,,,,49250.5069,,,193116.9473,0.0,,,,,143866.4404,47050.8611,49247.7092,015019
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,0.0,0.0,0.0,2.7977,56020.49,,2.7977,,,4643.83,,143866.4404,,,,,增发新股上市,2016-05-10,,300058,2016-05-12,,0.0,,,56020.49,,,199886.9304,,,,,,143866.4404,51373.8623,56017.6923,015004
蓝色光标,北京蓝色光标品牌管理顾问股份有限公司,,,,,0.0,0.0,0.0,2.7977,57819.5542,,2.7977,,,4643.83,,142068.3025,,,,,"可转债转股,定期报告",2016-08-13,,300058,2016-06-30,,0.0,,,57819.5542,,0.0,199887.8567,,,,,,142068.3025,53172.9265,57816.7565,"015012,015019"
