日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率
2019-11-27,8.8,8.93,8.74,8.85,5573399.0,52332159.0,1008180304.9999999,0.005528176827457466
2019-11-28,8.86,9.13,8.82,9.04,7784596.0,74401309.0,1008180304.9999999,0.007721432328515881
2019-11-29,9.04,9.16,9.01,9.14,9795073.0,94407500.0,1008180304.9999999,0.00971559645771894
2019-12-02,9.14,9.34,9.02,9.15,10687230.0,103925044.0,1008180304.9999999,0.01060051455776058
2019-12-03,9.1,9.26,9.04,9.26,9690747.0,94402100.0,1008180304.9999999,0.009612116951639917
2019-12-04,9.21,9.29,9.05,9.1,10614519.0,103005234.0,1008180304.9999999,0.010528393529766485
2019-12-05,9.1,9.32,9.01,9.3,17084578.0,166624571.0,1008180304.9999999,0.01694595492023622
2019-12-06,9.32,9.49,9.2,9.27,15107090.0,149018587.0,1008180304.9999999,0.01498451212057748
2019-12-09,9.26,9.45,9.15,9.45,16221066.0,160720440.0,1008180304.9999999,0.016089449396653313
2019-12-10,9.37,9.58,9.3,9.54,17234089.0,172820127.0,1008180304.9999999,0.017094252798362294
2019-12-11,9.5,9.66,9.38,9.61,19203555.0,194270915.0,1008180304.9999999,0.01904773868797209
2019-12-12,9.58,9.65,9.48,9.6,12984789.0,131483165.0,1008180304.9999999,0.012879431323546835
2019-12-13,9.61,9.65,9.5,9.61,12473657.0,126604237.0,1008180304.9999999,0.012372446613108556
2019-12-16,9.75,9.95,9.64,9.84,18301970.0,190212917.0,1008180304.9999999,0.018153469086067894
2019-12-17,9.84,10.26,9.76,10.2,24647395.0,263605898.0,1008180304.9999999,0.024447407748160687
2019-12-18,10.14,10.41,10.12,10.17,21376844.0,231978055.0,1008180304.9999999,0.02120339377191067
2019-12-19,10.19,10.36,10.13,10.16,11533231.0,125076840.0,1008180304.9999999,0.011439651164381753
2019-12-20,10.2,10.25,9.99,10.0,13526830.0,144960365.0,1008180304.9999999,0.013417074240505027
2019-12-23,10.0,10.17,9.93,9.95,11936642.0,127052940.0,1008180304.9999999,0.011839788915535304
2019-12-24,9.95,10.33,9.95,10.31,12520416.0,135265926.0,1008180304.9999999,0.012418826213828886
2019-12-25,10.28,10.32,10.16,10.22,9671265.0,104882306.0,1008180304.9999999,0.009592793027235343
2019-12-26,10.22,10.28,10.1,10.18,7941221.0,85700685.0,1008180304.9999999,0.007876786484139859
2019-12-27,10.17,10.33,9.91,9.98,11637459.0,125381823.0,1008180304.9999999,0.011543033465625975
2019-12-30,9.98,10.29,9.75,10.26,14308646.0,153255896.0,1008180304.9999999,0.014192546639760039
2019-12-31,10.22,10.29,10.04,10.16,7862295.0,84658635.0,1008270140.0,0.007797806052255004
2020-01-02,10.22,10.85,10.15,10.8,26383454.0,296059882.0,1008270140.0,0.026167048842684164
2020-01-03,10.8,10.83,10.58,10.65,14685588.0,166118708.0,1008270140.0,0.014565132316623004
2020-01-06,10.63,10.76,10.58,10.62,14529068.0,164109331.0,1008270140.0,0.014409896141524136
2020-01-07,10.68,10.99,10.68,10.83,17436724.0,200322519.0,1008270140.0,0.017293702657900787
2020-01-08,10.71,11.13,10.54,10.91,23747783.0,273500692.0,1008270140.0,0.02355299642216916
2020-01-09,10.91,11.09,10.7,10.75,16954094.0,194602995.0,1008270140.0,0.01681503133674077
2020-01-10,10.8,10.85,10.57,10.6,15023196.0,170038152.0,1008270140.0,0.014899971152572265
2020-01-13,10.63,10.95,10.62,10.93,16454803.0,189040524.0,1008270140.0,0.016319835674197394
2020-01-14,10.94,11.21,10.88,10.9,19726689.0,230944060.0,1008270140.0,0.019564884664738758
2020-01-15,10.93,11.1,10.69,11.07,15337474.0,177383901.0,1008270140.0,0.015211671348315442
2020-01-16,11.04,11.06,10.8,10.82,12270658.0,141605762.0,1008270140.0,0.012170010310927189
2020-01-17,10.83,10.87,10.5,10.52,17584070.0,198219039.0,1008270140.0,0.01743984008095291
2020-01-20,10.71,11.1,10.61,10.96,22229838.0,257842098.0,1008270140.0,0.022047502071220713
2020-01-21,10.94,11.21,10.9,11.0,20953834.0,245733026.0,1008270140.0,0.02078196424620886
2020-01-22,10.93,11.35,10.72,11.31,21762532.0,257342601.0,1008270140.0,0.021584029057926876
2020-01-23,11.22,11.44,10.7,10.93,21607492.0,252476588.0,1008270140.0,0.02143026074341545
2020-02-03,9.83,9.83,9.83,9.83,3050900.0,31790378.0,1008270140.0,0.003025875585287094
2020-02-04,8.92,9.83,8.92,9.52,30799331.0,309401115.0,1008270140.0,0.030546705469230696
2020-02-05,9.58,10.15,9.58,9.93,24168418.0,253127546.0,1008270140.0,0.023970181245276192
2020-02-06,9.75,10.09,9.68,10.0,18048283.0,189299295.0,1008270140.0,0.01790024546397853
2020-02-07,9.99,10.04,9.81,9.98,14468068.0,151721065.0,1008270140.0,0.014349396482176889
2020-02-10,9.91,10.42,9.89,10.33,17756577.0,193345089.0,1008270140.0,0.017610932125789226
2020-02-11,10.41,10.46,10.14,10.21,12545699.0,136483994.0,1008270140.0,0.012442795340542366
2020-02-12,10.28,10.4,10.12,10.35,12386562.0,135145473.0,1008270140.0,0.012284963630877733
2020-02-13,10.39,10.44,10.08,10.1,13121078.0,142128072.0,1008270140.0,0.013013454906043335
2020-02-14,10.11,10.3,9.97,10.1,12253728.0,131816898.0,1008270140.0,0.012153219175964092
2020-02-17,10.1,10.59,10.08,10.59,18642246.0,205232597.0,1008270140.0,0.01848933659782883
2020-02-18,10.61,10.71,10.43,10.7,16986718.0,190903960.0,1008270140.0,0.016847387744716908
2020-02-19,10.66,10.91,10.55,10.59,17790368.0,201725069.0,1008270140.0,0.017644445961674516
2020-02-20,10.71,11.01,10.69,10.96,21172147.0,243498870.0,1008270140.0,0.020998486576226487
2020-02-21,11.09,11.35,10.98,11.18,24456829.0,289650167.0,1008270140.0,0.024256226610063054
2020-02-24,11.17,11.38,10.98,11.26,24799887.0,294190599.0,1008270140.0,0.0245964707434458
2020-02-25,11.07,11.1,10.49,10.9,30339350.0,348056081.0,1008270140.0,0.030090497374047
2020-02-26,10.65,11.32,10.62,10.96,31998352.0,373530543.0,1008270140.0,0.031735891732348635
2020-02-27,10.96,12.06,10.85,12.06,61657289.0,762784600.0,1008270140.0,0.06115155706188026
2020-02-28,11.63,11.92,11.18,11.18,53325741.0,653858245.0,1008270140.0,0.05288834696622078
2020-03-02,11.51,12.3,11.4,12.3,52023596.0,662938180.0,1008270140.0,0.051596882557684395
