证券简称,机构名称,境外法人持股,证券投资基金持股,国家持股-受限,国有法人持股,配售法人股,发起人股份,未流通股份,其中：境外自然人持股,其他流通受限股份,其他流通股,外资持股-受限,内部职工股,境外上市外资股-H股,其中：境内法人持股,自然人持股,人民币普通股,国有法人持股-受限,一般法人持股,控股股东、实际控制人,其中：限售H股,变动原因,公告日期,境内法人持股,证券代码,变动日期,战略投资者持股,国家持股,其中：限售B股,其他未流通股,流通受限股份,优先股,高管股,总股本,其中：限售高管股,转配股,境内上市外资股-B股,其中：境外法人持股,募集法人股,已流通股份,其中：境内自然人持股,其他内资持股-受限,变动原因编码
许继电气,许继电气股份有限公司,0.0,,,10790.0,,10790.0,11492.0,,,0.0,,0.0,0.0,,,12150.0,,,,,职工股上市,2000-04-10,0.0,000400,2000-04-10,,,,0.0,0.0,0.0,,23642.0,,0.0,0.0,,702.0,12150.0,,,015006
许继电气,许继电气股份有限公司,0.0,,,17264.0,,17264.0,18387.2,,,0.0,,0.0,0.0,,,19440.0,,,,,"送股,转增",2000-04-24,0.0,000400,2000-04-21,,,,0.0,0.0,0.0,,37827.2,,0.0,0.0,,1123.2,19440.0,,,"015010,015011"
许继电气,许继电气股份有限公司,0.0,0.0,,17264.0,0.0,17264.0,18387.2,,,0.0,,0.0,0.0,,0.0,19440.0,,0.0,,,定期报告,,0.0,000400,2000-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,37827.2,,0.0,0.0,,1123.2,19440.0,,,015019
许继电气,许继电气股份有限公司,0.0,0.0,,17264.0,0.0,17264.0,18387.2,,,0.0,,0.0,0.0,,0.0,19440.0,,0.0,,,定期报告,,0.0,000400,2000-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,37827.2,,0.0,0.0,,1123.2,19440.0,,,015019
许继电气,许继电气股份有限公司,0.0,0.0,,17264.0,0.0,17264.0,18387.2,,,0.0,,0.0,0.0,,0.0,19440.0,,0.0,,,定期报告,,0.0,000400,2001-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,37827.2,,0.0,0.0,,1123.2,19440.0,,,015019
许继电气,许继电气股份有限公司,0.0,0.0,,17264.0,0.0,17264.0,18387.2,,,0.0,,0.0,0.0,,0.0,19440.0,,0.0,,,定期报告,,0.0,000400,2001-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,37827.2,,0.0,0.0,,1123.2,19440.0,,,015019
许继电气,许继电气股份有限公司,0.0,0.0,,17264.0,0.0,17264.0,18387.2,,,0.0,,0.0,0.0,,0.0,19440.0,,0.0,,,定期报告,,0.0,000400,2002-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,37827.2,,0.0,0.0,,1123.2,19440.0,,,015019
许继电气,许继电气股份有限公司,0.0,0.0,,17264.0,0.0,17264.0,18387.2,,,0.0,,0.0,0.0,,0.0,19440.0,,0.0,,,定期报告,2003-03-26,0.0,000400,2002-12-31,0.0,0.0,,0.0,0.0,0.0,0.0,37827.2,,0.0,0.0,,1123.2,19440.0,,,015019
许继电气,许继电气股份有限公司,0.0,0.0,,17264.0,0.0,17264.0,18387.2,,,0.0,,0.0,0.0,,0.0,19440.0,,0.0,,,定期报告,2003-08-20,0.0,000400,2003-06-30,0.0,0.0,,0.0,0.0,0.0,0.0,37827.2,,0.0,0.0,,1123.2,19440.0,,,015019
许继电气,许继电气股份有限公司,0.0,0.0,,17264.0,0.0,17264.0,18387.2,,,0.0,,0.0,0.0,,0.0,19440.0,,0.0,,,定期报告,2004-03-24,0.0,000400,2003-12-31,0.0,,,0.0,0.0,0.0,0.0,37827.2,,0.0,0.0,,1123.2,19440.0,,,015019
