日期,收盘价
2022-12-27,79.73
2022-12-28,76.78
2022-12-29,77.17
2022-12-30,76.35
2023-01-03,76.75
2023-01-04,77.14
2023-01-05,78.74
2023-01-06,80.79
2023-01-09,82.23
2023-01-10,84.67
2023-01-11,82.70
2023-01-12,82.95
2023-01-13,83.56
2023-01-16,90.38
2023-01-17,92.11
2023-01-18,92.29
2023-01-19,96.52
2023-01-20,95.66
2023-01-30,95.38
2023-01-31,93.26
2023-02-01,93.91
2023-02-02,94.19
2023-02-03,93.17
2023-02-06,91.49
2023-02-07,91.75
2023-02-08,90.82
2023-02-09,94.09
2023-02-10,93.10
2023-02-13,93.50
2023-02-14,92.97
2023-02-15,93.57
2023-02-16,90.71
2023-02-17,87.04
2023-02-20,88.73
2023-02-21,88.38
2023-02-22,87.56
2023-02-23,87.20
2023-02-24,86.23
2023-02-27,84.63
2023-02-28,85.13
2023-03-01,85.71
2023-03-02,85.29
2023-03-03,85.77
2023-03-06,85.18
2023-03-07,82.66
2023-03-08,83.33
2023-03-09,82.56
2023-03-10,81.07
2023-03-13,81.99
2023-03-14,83.37
2023-03-15,83.39
2023-03-16,83.22
2023-03-17,82.71
2023-03-20,86.15
2023-03-21,86.02
2023-03-22,86.47
2023-03-23,91.12
2023-03-24,92.95
2023-03-27,88.65
2023-03-28,86.91
2023-03-29,89.10
2023-03-30,89.50
2023-03-31,90.23
2023-04-03,93.00
2023-04-04,94.67
2023-04-06,100.13
2023-04-07,102.53
2023-04-10,106.46
2023-04-11,106.96
2023-04-12,107.96
2023-04-13,102.11
2023-04-14,105.20
2023-04-17,102.60
2023-04-18,103.20
2023-04-19,103.42
2023-04-20,102.12
2023-04-21,94.31
2023-04-24,90.56
2023-04-25,89.66
2023-04-26,87.58
2023-04-27,89.38
2023-04-28,90.38
2023-05-04,91.31
2023-05-05,90.46
2023-05-08,90.40
2023-05-09,90.73
2023-05-10,90.03
2023-05-11,89.44
2023-05-12,88.64
2023-05-15,89.63
2023-05-16,91.39
2023-05-17,94.82
2023-05-18,94.49
2023-05-19,96.74
2023-05-22,96.60
2023-05-23,94.28
2023-05-24,95.05
2023-05-25,95.92
2023-05-26,95.18
2023-05-29,96.57
2023-05-30,96.61
2023-05-31,98.93
2023-06-01,98.55
2023-06-02,97.74
2023-06-05,96.90
2023-06-06,94.05
2023-06-07,94.47
2023-06-08,93.05
2023-06-09,95.09
2023-06-12,94.72
2023-06-13,98.81
2023-06-14,99.53
2023-06-15,99.00
2023-06-16,99.67
2023-06-19,102.11
2023-06-20,101.90
2023-06-21,99.52
2023-06-26,99.83
2023-06-27,99.04
2023-06-28,96.64
2023-06-29,97.16
2023-06-30,97.10
2023-07-03,98.15
2023-07-04,102.11
2023-07-05,101.92
2023-07-06,104.74
2023-07-07,104.17
2023-07-10,105.99
2023-07-11,110.07
2023-07-12,106.94
2023-07-13,106.77
2023-07-14,105.52
2023-07-17,101.30
2023-07-18,103.13
2023-07-19,102.88
2023-07-20,100.28
2023-07-21,99.67
2023-07-24,100.21
2023-07-25,101.95
2023-07-26,100.50
2023-07-27,100.00
2023-07-28,100.76
2023-07-31,101.70
2023-08-01,102.64
2023-08-02,104.71
2023-08-03,106.19
2023-08-04,102.30
2023-08-07,103.57
2023-08-08,103.49
2023-08-09,102.72
2023-08-10,102.48
2023-08-11,99.91
2023-08-14,99.12
2023-08-15,91.35
2023-08-16,87.28
2023-08-17,87.23
2023-08-18,87.46
2023-08-21,86.36
2023-08-22,89.22
2023-08-23,87.83
2023-08-24,88.10
2023-08-25,88.40
2023-08-28,87.43
2023-08-29,89.45
2023-08-30,90.91
2023-08-31,91.21
2023-09-01,89.58
2023-09-04,91.64
2023-09-05,91.98
2023-09-06,93.24
2023-09-07,92.33
2023-09-08,91.55
2023-09-11,92.19
2023-09-12,92.14
2023-09-13,92.76
2023-09-14,90.68
2023-09-15,92.64
2023-09-18,93.97
2023-09-19,95.16
2023-09-20,92.76
2023-09-21,91.19
2023-09-22,95.35
2023-09-25,94.07
2023-09-26,92.71
2023-09-27,92.17
2023-09-28,92.25
2023-10-09,94.52
2023-10-10,97.64
2023-10-11,100.60
2023-10-12,101.02
2023-10-13,102.05
2023-10-16,99.34
2023-10-17,100.23
2023-10-18,100.21
2023-10-19,99.62
2023-10-20,98.06
2023-10-23,98.23
2023-10-24,99.15
2023-10-25,101.27
2023-10-26,98.48
2023-10-27,101.60
2023-10-30,110.13
2023-10-31,109.34
2023-11-01,105.03
2023-11-02,104.06
2023-11-03,105.46
2023-11-06,110.08
2023-11-07,111.77
2023-11-08,110.92
2023-11-09,109.44
2023-11-10,108.64
2023-11-13,107.24
2023-11-14,107.25
2023-11-15,108.03
2023-11-16,105.67
2023-11-17,106.06
2023-11-20,103.22
2023-11-21,102.88
2023-11-22,102.92
2023-11-23,102.77
2023-11-24,102.64
2023-11-27,106.73
2023-11-28,103.47
2023-11-29,107.27
2023-11-30,107.29
2023-12-01,108.54
2023-12-04,107.53
2023-12-05,104.27
2023-12-06,103.59
2023-12-07,102.40
2023-12-08,106.36
2023-12-11,105.98
2023-12-12,106.66
2023-12-13,106.88
2023-12-14,107.46
2023-12-15,107.58
2023-12-18,105.38
2023-12-19,107.33
2023-12-20,107.37
2023-12-21,107.78
2023-12-22,107.74
2023-12-25,108.40
2023-12-26,105.54
2023-12-27,106.11
2023-12-28,107.90
2023-12-29,105.78
2024-01-02,102.10
2024-01-03,98.06
2024-01-04,97.31
2024-01-05,96.81
2024-01-08,93.48
2024-01-09,94.17
2024-01-10,92.75
2024-01-11,93.67
2024-01-12,93.56
2024-01-15,92.65
2024-01-16,89.15
2024-01-17,88.12
2024-01-18,90.84
2024-01-19,89.97
2024-01-22,88.47
2024-01-23,86.49
2024-01-24,88.52
2024-01-25,91.79
