代码,简称,公告标题,公告时间,公告链接
603501,豪威集团,关于可转换公司债券2025年度付息的公告,2025-12-20 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224888362&orgId=9900030772&announcementTime=2025-12-20 00:00:00
603501,豪威集团,第七届董事会第八次会议决议公告,2025-12-19 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224885477&orgId=9900030772&announcementTime=2025-12-19 00:00:00
603501,豪威集团,关于刊发H股发行聆讯后资料集的公告,2025-12-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224877540&orgId=9900030772&announcementTime=2025-12-16 00:00:00
603501,豪威集团,关于香港联交所审议公司发行H股的公告,2025-12-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224872351&orgId=9900030772&announcementTime=2025-12-13 00:00:00
603501,豪威集团,关于发行境外上市股份（H股）获中国证监会备案的公告,2025-12-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224863731&orgId=9900030772&announcementTime=2025-12-10 00:00:00
603501,豪威集团,控股股东未减持公司股份并提前终止减持计划的公告,2025-12-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224863729&orgId=9900030772&announcementTime=2025-12-10 00:00:00
603501,豪威集团,关于控股股东及其一致行动人权益变动触及1%刻度的提示性公告,2025-12-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224863728&orgId=9900030772&announcementTime=2025-12-10 00:00:00
603501,豪威集团,简式权益变动报告书,2025-12-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224863727&orgId=9900030772&announcementTime=2025-12-10 00:00:00
603501,豪威集团,关于股东无偿捐赠部分公司股份计划的公告,2025-12-03 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224844342&orgId=9900030772&announcementTime=2025-12-03 00:00:00
603501,豪威集团,关于控股股东部分股权解除质押的公告,2025-11-28 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224830887&orgId=9900030772&announcementTime=2025-11-28 00:00:00
603501,豪威集团,关于参与投资私募股权投资基金的公告,2025-11-28 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224830878&orgId=9900030772&announcementTime=2025-11-28 00:00:00
603501,豪威集团,关于可转换公司债券转股价格调整暨转股复牌的公告,2025-11-18 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224810404&orgId=9900030772&announcementTime=2025-11-18 00:00:00
603501,豪威集团,北京市天元律师事务所关于豪威集团差异化分红事项的专项核查意见,2025-11-18 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224810393&orgId=9900030772&announcementTime=2025-11-18 00:00:00
603501,豪威集团,2025年中期权益分派实施公告,2025-11-18 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224810375&orgId=9900030772&announcementTime=2025-11-18 00:00:00
603501,豪威集团,关于控股股东部分股权质押的公告,2025-11-14 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224803022&orgId=9900030772&announcementTime=2025-11-14 00:00:00
603501,豪威集团,股东会议事规则（草案）（H股发行并上市后适用）,2025-11-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224802162&orgId=9900030772&announcementTime=2025-11-13 00:00:00
603501,豪威集团,第七届董事会第七次会议决议公告,2025-11-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224800069&orgId=9900030772&announcementTime=2025-11-13 00:00:00
603501,豪威集团,公司章程（草案）（H股发行并上市后适用）,2025-11-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224800067&orgId=9900030772&announcementTime=2025-11-13 00:00:00
603501,豪威集团,关于修订于H股发行上市后生效的《公司章程（草案）》及《股东会议事规则（草案）》的公告,2025-11-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224800066&orgId=9900030772&announcementTime=2025-11-13 00:00:00
603501,豪威集团,关于调整公司高级管理人员及变更法定代表人的公告,2025-11-13 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224800065&orgId=9900030772&announcementTime=2025-11-13 00:00:00
603501,豪威集团,关于实施2025年中期权益分派时“韦尔转债”停止转股的提示性公告,2025-11-11 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224795490&orgId=9900030772&announcementTime=2025-11-11 00:00:00
603501,豪威集团,关于召开2025年第三季度业绩说明会的公告,2025-11-05 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224785511&orgId=9900030772&announcementTime=2025-11-05 00:00:00
603501,豪威集团,2025年第三季度报告,2025-10-29 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224754045&orgId=9900030772&announcementTime=2025-10-29 00:00:00
603501,豪威集团,第七届董事会第六次会议决议公告,2025-10-29 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224754044&orgId=9900030772&announcementTime=2025-10-29 00:00:00
603501,豪威集团,关于控股股东及其一致行动人部分股权解除质押的公告,2025-10-29 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224754013&orgId=9900030772&announcementTime=2025-10-29 00:00:00
603501,豪威集团,北京市天元律师事务所关于豪威集成电路（集团）股份有限公司股票期权激励计划调整行权价格的法律意见,2025-10-29 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224754012&orgId=9900030772&announcementTime=2025-10-29 00:00:00
603501,豪威集团,关于调整股票期权行权价格的公告,2025-10-29 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224754011&orgId=9900030772&announcementTime=2025-10-29 00:00:00
603501,豪威集团,2025年中期利润分配方案公告,2025-10-29 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224754010&orgId=9900030772&announcementTime=2025-10-29 00:00:00
603501,豪威集团,2023年员工持股计划存续期届满暨终止的公告,2025-10-21 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224720361&orgId=9900030772&announcementTime=2025-10-21 00:00:00
603501,豪威集团,关于控股股东及其一致行动人部分股权质押及解除质押的公告,2025-10-16 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224714142&orgId=9900030772&announcementTime=2025-10-16 00:00:00
603501,豪威集团,关于召开2025年半年度业绩说明会的公告,2025-10-11 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224706162&orgId=9900030772&announcementTime=2025-10-11 00:00:00
603501,豪威集团,关于可转债转股及股权激励计划自主行权结果暨股份变动公告,2025-10-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224703405&orgId=9900030772&announcementTime=2025-10-10 00:00:00
603501,豪威集团,控股股东减持股份计划公告,2025-10-01 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224696345&orgId=9900030772&announcementTime=2025-10-01 00:00:00
603501,豪威集团,关于控股股东部分股权质押及解除质押的公告,2025-09-27 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224686669&orgId=9900030772&announcementTime=2025-09-27 00:00:00
603501,豪威集团,关于2023年第二期股票期权激励计划第二个行权期符合行权条件的实施公告,2025-09-25 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=603501&announcementId=1224679123&orgId=9900030772&announcementTime=2025-09-25 00:00:00
