SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
603501.SH,603501,豪威集团,10426674,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-29 00:00:00,2025-10-29 00:00:00,CNY,21378083359.45,,,,,,,,,,,,50958043.0,391576579.89,,0,21820617982.34,16023000364.4,,,,,,1984487712.74,725475077.64,411501450.75,,0,19144464605.53,,0,2676153376.81,1097954276.44,54356324.49,22769878.66,,,20821667.91,,0.0,1195902147.5,1807770282.67,1024255965.72,,100000000.0,,34914137.19,,0,2966940385.58,,0,-1771038238.08,197326274.1,,3552810291.63,,,,0,3750136565.73,2507590152.78,399355159.35,1769090.89,,80866733.24,,,0,2987812045.37,,0,762324520.36,-115900071.5,,0,1551539587.59,10152782025.45,,0,11704321613.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2329886683,,,,,,,,,,,,-0.5267994398,37.4734544184,,,12.570162633,19.069444074,,,,,,11.9840744999,32.9610130173,13.0187194205,,,18.6245809948,,,-17.5379782494,560.9817975952,236.0634242415,187.1702776256,,,60.1666762308,,,276.0922289948,98.8447194454,428.5991318071,,0.0,,321.7643340245,,,144.9622299032,,,-98.279763073,,,-6.3571351705,,,,,-3.3088376656,-48.5367662021,20.2836763386,-72.7034938091,,-93.5215217758,,,,-53.6976720545,,,129.6121437065,-68.8435932566,,,633.3704106126,12.1222726346,,,33.5468737513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603501.SH,603501,豪威集团,10426674,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,13644154021.46,,,,,,,,,,,,40073832.47,266528958.99,,0,13950756812.92,10158182719.64,,,,,,1342510604.36,345367055.1,216546186.16,,0,12062606565.26,,0,1888150247.66,262171136.24,18391045.55,2645568.77,,,9750400.0,,0.0,292958150.56,1069503954.69,427060965.72,,,,34914137.19,,0,1531479057.6,,0,-1238520907.04,164835992.15,,2439043523.61,,,,0,2603879515.76,2022950000.0,98109880.94,958721.9,,46541927.82,,,0,2167601808.76,,0,436277707.0,-55117917.97,,0,1030789129.65,10152782025.45,,0,11183571155.1,2020392602.94,138597744.3,276064651.04,276064651.04,,303259213.35,24442813.7,,,,-18046.31,9208.72,-49317982.67,176797555.1,-12132954.32,-189734422.75,-191006663.09,1272240.34,,-1147411800.97,-912024427.1,1050842562.83,139535004.01,,0.0,1888150247.66,,,,,11183571155.1,10152782025.45,,,,,1030789129.65,13.6887834694,,,,,,,,,,,,8.7602851488,48.1020680551,,,14.1808001667,18.0335250961,,,,,,15.366884122,-7.2220268756,-14.9121461578,,,16.0243023865,,,3.6586419668,59.4101782569,29.0192111052,795.9831634729,,,-24.9969230769,,,-0.2800916572,78.2501147986,120.398087259,,,,321.7643340245,,,90.9460728226,,,-143.6752831807,,,-17.1520542252,,,,,-11.5530055788,-52.8074286135,-12.3843141209,-80.845482698,,-96.2060826956,,,,-61.467010754,,,116.2710385721,-190.0791530625,,,178.8737279792,12.1222726346,,,44.3374243501,48.4584526123,4.2577958368,21.2118781948,21.2118781948,,-2.3372706749,-24.0276733325,,,,99.5071847265,-88.5479150453,-154.0373011004,27.4460467727,83.2270926358,-270.4757705305,-132.0746537652,-95.9079127447,,-114.070178177,-153.1149844824,181.4084853521,9.8595171144,,,3.6586419668,,,,,44.3374243501,12.1222726346,,,,,178.8737279792,,,,,34455022.83,-2.0905085952
603501.SH,603501,豪威集团,10426674,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-30 00:00:00,2025-04-30 00:00:00,CNY,6779051697.69,,,,,,,,,,,,12763990.57,128204464.44,,0,6920020152.7,4861070234.83,,,,,,743665811.02,92791237.49,124577282.61,,0,5822104565.95,,0,1097915586.75,70883472.46,15691941.65,6154788.5,,,9750400.0,,0.0,102480602.61,543983183.31,258000000.0,,,,,,0,801983183.31,,0,-699502580.7,65979297.93,,848000000.0,,7019222.38,,0,920998520.31,615750000.0,45509701.85,811281.9,,17947227.25,,,0,679206929.1,,0,241791591.21,-13360707.28,,0,626843889.98,10152782025.45,,0,10779625915.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8890226491,,,,,,,,,,,,-12.4969729374,124.8618679509,,,17.8645354088,27.6236314357,,,,,,12.1106034446,-43.4938850919,0.176581263,,,22.2921765356,,,-1.1197533045,-2.9447295769,525.1389467307,3473.4330306058,,,,,,35.3477450464,133.4416186414,,,,,,,,232.3516366895,,,-322.4327409318,,,80.4255319149,,,,,95.9571319809,-61.3592668431,-14.7962256872,,,-98.2605366686,,,,-74.6442200373,,,110.9472032552,-131.9606005522,,,151.2905443686,12.1222726346,,,37.6188899724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603501.SH,603501,豪威集团,10426674,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-16 00:00:00,2025-04-16 00:00:00,CNY,27275452862.78,,,,,,,,,,,,56932641.79,584895165.78,,0,27917280670.35,19489271493.34,,,,,,2336772816.89,634014687.42,685350091.67,,0,23145409089.32,,0,4771871581.03,666074790.06,25160706.58,27559053.43,50000000.0,,,,0.0,768794550.07,1248619064.85,208768000.0,,122000000.0,,,,0,1579387064.85,,0,-810592514.78,218393011.71,,5320724900.8,,,,0,5539117912.51,6618035665.0,664258277.63,7367947.19,,1263601600.01,,,0,8545895542.64,,0,-3006777630.13,143182269.54,,0,1097683705.66,9055098319.79,,0,10152782025.45,3284302206.55,647611843.31,492802295.42,492802295.42,,665717606.68,62595448.44,,,,-8796860.25,1631258.32,-57989663.27,294515181.25,-182459207.66,20630229.17,-9751553.35,30381782.52,,-873486976.65,56552561.2,96950768.57,186344910.84,,0.0,4771871581.03,,,,,10152782025.45,9055098319.79,,,,,1097683705.66,30.107491461,,,,,,,,,,,,-44.8620663187,39.0226487332,,,29.9217951045,77.6166456934,,,,,,14.5191269186,113.1758626764,7.0045410298,,,65.9041847611,,,-36.6847644893,-12.0939192248,171.8836929526,301.9793857453,1462.5,,,,,-1.36824983,19.0973962256,-75.9971487859,,-90.7017856851,,,,,-51.3022566634,,,67.0997107041,-93.5657920948,,-12.9077371445,,,,,-44.0094697604,-18.4755802725,15.6846810274,25.1342075694,,-0.0812304337,,,,-14.1692510809,,,-4618.1395325823,181.9788788851,,,-78.3064402293,126.6524811383,,,12.1222726346,503.9287106432,75.4516164705,25.9277997542,25.9277997542,,9.6746775964,-17.5712197021,,,,-373.6671579487,493.4831822368,74.9322883914,-46.0215893641,-148.3205418372,136.2698836365,91.0285529014,-41.3656320685,,-114.8000751675,174.321607218,116.3316748448,487.4671739413,,,-36.6847644893,,,,,12.1222726346,126.6524811383,,,,,-78.3064402293,标准无保留意见,,,,73549121.15,-20.2272252113
603501.SH,603501,豪威集团,10426674,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-26 00:00:00,2025-10-29 00:00:00,CNY,19047949816.81,,,,,,,,,,,,51227911.35,284837957.66,,0,19384015685.82,13456853258.21,,,,,,1772116009.89,545629926.53,364100259.55,,0,16138699454.18,,0,3245316231.64,166109608.53,16174424.4,7929051.31,114768000.0,,13000000.0,,0.0,317981084.24,909136680.98,193768000.0,,100000000.0,,8278115.14,,0,1211182796.12,,0,-893201711.88,,,3794000000.0,,84468802.31,,0,3878468802.31,4872585665.0,332011102.01,6481015.84,,1248236552.49,,,0,6452833319.5,,0,-2574364517.19,-68643452.36,,0,-290893449.79,9055098319.79,,0,8764204870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3075031178,,,,,,,,,,,,-41.6669932731,70.3558986931,,,33.2807089176,94.3165239938,,,,,,14.312925524,145.1523555234,-6.9546578155,,,77.5563736315,,,-40.501097991,-78.5511665103,227.604340546,216.4771995379,3486.5,,,,,-59.4974206118,16.0067495124,-71.333656591,,-89.2272798544,,,,,-49.278457564,,,44.2730282886,,,-24.1467287876,,-63.6842220071,,,-28.2300428199,-13.169088536,-28.048947348,300.9989049496,,-1.1043767687,,,,-12.0291569687,,,-33.3061439204,-158.1614338125,,,-114.2703175251,126.6524811383,,,45.2567045498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603501.SH,603501,豪威集团,10426674,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-20 00:00:00,2025-08-30 00:00:00,CNY,12001319395.89,,,,,,,,,,,,36846016.37,179963023.13,,0,12218128435.39,8606184311.93,,,,,,1163688015.48,372251131.89,254497177.19,,0,10396620636.49,,0,1821507798.9,164463235.1,14254501.63,295269.92,114768000.0,,13000000.0,,0.0,293781006.65,600001832.2,193768000.0,,,,8278115.14,,0,802047947.34,,0,-508266940.69,,,2944000000.0,,,,0,2944000000.0,4286585665.0,111977530.0,5005200.0,,1226751246.41,,,0,5625314441.41,,0,-2681314441.41,61188317.27,,0,-1306885265.93,9055098319.79,,0,7748213053.86,1360914496.54,132937535.45,227753793.73,227753793.73,,310516832.21,32173312.01,,,,-3661881.23,80410.86,91266554.15,138723451.67,-72336620.34,-51213719.72,-82303974.17,31090254.45,,-535997966.06,-360320203.47,373422486.36,127012213.12,,0.0,1821507798.9,,,,,7748213053.86,9055098319.79,,,,,-1306885265.93,34.7945731411,,,,,,,,,,,,-26.0043050442,88.966049363,,,35.0301480396,90.3106938609,,,,,,9.2475926592,197.9868136683,23.6316980983,,,75.6739913561,,,-41.8106577252,-60.7485546071,195.4112845809,-87.4207509652,3486.5,,,,,-31.5788718902,8.2852275746,-64.7807689386,,,,,,,-55.7486412452,,,63.251886993,,,-22.1673417611,,,,,-27.6119769549,27.1285416889,-55.4231332849,,,109.2115647855,,,,33.6362908327,,,-1782.2828841465,-67.5769616674,,,-172.8690933861,126.6524811383,,,33.8525945751,821.3971555282,-7.6343496992,20.4431215882,20.4431215882,,4.9388833022,-20.7113215841,,,,-175.1234248823,-58.6896291169,160.5538865537,-35.9874601109,-546.0523279607,-518.6137259636,-197.5279399091,-22.0731701062,,-119.8449021539,43.6511438231,35.4853516597,180.6571160159,,,-41.8106577252,,,,,33.8525945751,126.6524811383,,,,,-172.8690933861,,,,,35190687.17,-15.6595817603
603501.SH,603501,豪威集团,10426674,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-30 00:00:00,CNY,5799562306.24,,,,,,,,,,,,14586913.16,57014764.49,,0,5871163983.89,3808910763.74,,,,,,663332270.25,164214506.06,124357690.23,,0,4760815230.28,,0,1110348753.61,73034130.09,2510152.62,172237.41,,,,,0.0,75716520.12,233027506.61,,,,,8278115.14,,0,241305621.75,,0,-165589101.63,,,470000000.0,,,,0,470000000.0,1593525665.0,53412776.86,,,1031768070.42,,,0,2678706512.28,,0,-2208706512.28,41803680.31,,0,-1222143179.99,9055098319.79,,0,7832955139.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7574393573,,,,,,,,,,,,-27.2818655109,18.8652655003,,,38.2209417451,83.3105087715,,,,,,15.9715650837,103.178313108,-7.3052773413,,,66.1828183077,,,-19.7063567799,45.9732314603,6.6142074544,,,,,,,44.5330993103,-7.3911564522,,,,,,,,-77.7482044818,,,83.9552465503,,,-61.5005485606,,,,,-67.563723243,144.0187307748,-60.1632004913,,,301.575494173,,,,156.5704710991,,,-645.4246394947,209.6105144256,,,-270.3030958385,126.6524811383,,,66.2068687314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603501.SH,603501,豪威集团,10426674,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-04-16 00:00:00,CNY,20963783527.38,,,,,,,,,,,,103254942.63,420719336.82,,0,21487757806.83,10972660483.06,,,,,,2040508760.21,297413918.94,640486922.4,,0,13951070084.61,,0,7536687722.22,757711849.04,9254216.87,6855837.49,3200000.0,,2437600.0,,0.0,779459503.4,1048401648.08,869763338.27,,1312079888.33,,13000000.0,,0,3243244874.68,,0,-2463785371.28,3394248599.5,,6109296883.96,,389409430.18,,0,9892954913.64,8117856817.77,574197267.72,5888036.0,,1264628863.52,,,0,9956682949.01,,0,-63728035.37,50777657.57,,0,5059951973.14,3995146346.65,,0,9055098319.79,543822830.19,369111357.5,391337176.05,391337176.05,,606992991.7,75938826.48,,,,-1857181.8,274861.76,-231332098.34,545616622.98,-73477291.21,-56879777.66,-108695433.89,51815656.23,,5901909056.32,-76091682.24,-593636412.01,-48093083.33,,0.0,7536687722.22,,,,,9055098319.79,3995146346.65,,,,,5059951973.14,-3.5967141009,,,,,,,,,,,,-52.0544173138,75.8987382163,,,-3.210318905,-46.6089789996,,,,,,-4.7264470786,-44.3194538669,-33.7225383963,,,-42.3360843812,,,478.1014440399,-31.4741789344,22.0019061461,-4.0530392761,-97.8951613595,,,,,-38.7454918609,-53.5969950617,-69.1817850018,,538.1849117183,,433.3114538891,,,-38.6865149556,,,38.6678329749,1141.0871138572,,-18.012993062,,1192.5553079453,,,27.5660997561,92.8481303352,-30.155458423,,,170.0156206334,,,,81.0333196551,,,-102.825773107,-57.7158635509,,,239.197575264,-47.6405695949,,,126.6524811383,-43.2675695143,-74.2278567831,14.3353421387,14.3353421387,,11.1954217295,-5.1146889568,,,,73.8598769887,-13.7874652871,-204.56353838,-10.7476878982,92.984575593,-211.2657263968,-48.4669643222,-58.3249398099,,238.0022788353,78.129903735,18.3383430162,-137.4997198296,,,478.1014440399,,,,,126.6524811383,-47.6405695949,,,,,239.197575264,标准无保留意见,,,,92198273.59,19.8076377899
603501.SH,603501,豪威集团,10426674,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-26 00:00:00,CNY,14288730470.02,,,,,,,,,,,,87819768.3,167201699.41,,0,14543751937.73,6925223332.34,,,,,,1550232400.9,222567686.68,391314869.72,,0,9089338289.64,,0,5454413648.09,774445885.88,4937182.57,2505409.97,3200000.0,,,,0.0,785088478.42,783692918.56,675942505.94,,928270656.33,,,,0,2387906080.83,,0,-1602817602.41,169671106.83,,5001761874.42,,232595326.27,,0,5404028307.52,5611579543.33,461440228.84,1616217.84,,1262175728.01,,,0,7335195500.18,,0,-1931167192.66,118022283.6,,0,2038451136.62,3995146346.65,,0,6033597483.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.6985668503,,,,,,,,,,,,-56.4647200057,-54.7945609113,,,-13.1890274178,-57.641946465,,,,,,-3.6003289378,-45.2210643187,-63.0221104687,,,-53.2006201618,,,304.3951134355,-12.5794886709,-95.6910406315,-53.1018536848,-98.757249788,,,,,-39.747410171,-37.412353513,-75.3821719403,,351.5032445924,,,,,-43.1923270345,,,44.739893273,-13.6646745247,,-2.625982785,,669.1247265554,,,0.7571971454,88.0671538472,-33.7211311379,-0.5328511189,,1288.2977432361,,,,94.518893495,,,-221.2683478013,-71.4382115243,,,157.2057311421,-47.6405695949,,,48.3599556464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603501.SH,603501,豪威集团,10426674,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-15 00:00:00,2024-08-20 00:00:00,CNY,8903414370.64,,,,,,,,,,,,49794810.89,95235638.22,,0,9048444819.75,4522175888.98,,,,,,1065184126.4,124922014.94,205851073.07,,0,5918133103.39,,0,3130311716.36,418999181.95,4825307.08,2347277.8,3200000.0,,,,0.0,429371766.83,554093892.25,550176690.86,,708211496.33,,,,0,1812482079.44,,0,-1383110312.61,96299400.51,,3782473921.12,,188197810.0,,0,4066971131.63,3371851519.77,251200988.88,,,586368754.36,,,0,4209421263.01,,0,-142450131.38,188718640.87,,0,1793469913.24,3995146346.65,,0,5788616259.89,147701182.75,143925295.84,189096555.06,189096555.06,,295902550.55,40577435.08,,,,-1330995.8,194650.54,-150719564.58,216712931.42,-11196712.28,12234123.38,-27662603.45,39896726.83,,2700935292.62,-639445461.57,275618346.77,-157471800.87,,0.0,3130311716.36,,,,,5788616259.89,3995146346.65,,,,,1793469913.24,-24.5028444823,,,,,,,,,,,,-50.8270515474,-49.5922009257,,,-25.1157473123,-60.9439998449,,,,,,1.1083360168,-55.7265842727,-63.2483413558,,,-56.0789456195,,,325.001958868,-36.3234744656,-47.4937830175,782.2297633228,-97.236651788,,,,,-47.8261841963,-8.9904773854,-74.5481191496,,,,,,,-34.5784254113,,,28.980262415,-43.6612222889,,-11.7264633376,,,,,-8.727905907,42.9508296887,61.8471248944,,,1213.8708471777,,,,64.5213207155,,,-107.5080894098,1.9415563823,,,242.7551606129,-47.6405695949,,,-9.1826032471,-93.4589054061,1287.7899703791,15.6856107673,15.6856107673,,15.5464788154,-8.3772019036,,,,-55.6574498493,710.3581510813,-169.8459602173,-25.1753537157,98.9749674553,-82.0696144277,10.2440813438,-59.721043629,,174.6670859086,-165.1606587573,1177.2965222169,-257.2731139077,,,325.001958868,,,,,-9.1826032471,-47.6405695949,,,,,242.7551606129,,,,,41724582.24,11.5564261447
